symbol,date,open,high,low,close,volume
MIRAKHTER,2022-01-02,62.1,63.4,61.8,62.2,99572.0
MIRAKHTER,2022-01-03,62.9,63.9,61.7,63.4,407528.0
MIRAKHTER,2022-01-04,63.3,63.4,61.8,62.2,207994.0
MIRAKHTER,2022-01-05,62.5,64.9,62.4,63.5,568838.0
MIRAKHTER,2022-01-06,64.2,69.8,63.9,69.8,1068062.0
MIRAKHTER,2022-01-09,71.4,71.8,67.9,68.1,671819.0
MIRAKHTER,2022-01-10,66.6,69.0,65.9,66.1,762537.0
MIRAKHTER,2022-01-11,66.3,68.5,66.1,66.7,682664.0
MIRAKHTER,2022-01-12,66.6,68.3,66.6,67.0,479683.0
MIRAKHTER,2022-01-13,67.0,67.4,66.1,67.2,182492.0
MIRAKHTER,2022-01-16,67.0,67.4,65.0,65.2,769977.0
MIRAKHTER,2022-01-17,65.5,66.0,63.8,65.0,417911.0
MIRAKHTER,2022-01-18,66.1,66.1,64.2,64.5,365934.0
MIRAKHTER,2022-01-19,65.0,65.0,63.8,64.0,381512.0
MIRAKHTER,2022-01-20,65.2,65.5,63.5,63.8,382111.0
MIRAKHTER,2022-01-23,63.8,63.9,62.5,62.9,329137.0
MIRAKHTER,2022-01-24,63.4,63.4,61.9,62.1,248285.0
MIRAKHTER,2022-01-25,62.3,64.0,62.3,63.6,180185.0
MIRAKHTER,2022-01-26,63.8,63.9,62.8,63.3,137837.0
MIRAKHTER,2022-01-27,63.8,64.9,63.7,64.2,244077.0
MIRAKHTER,2022-01-30,64.0,64.7,63.5,63.6,201803.0
MIRAKHTER,2022-01-31,63.6,64.3,63.4,63.9,236733.0
MIRAKHTER,2022-02-01,64.4,69.0,64.0,67.5,887797.0
MIRAKHTER,2022-02-02,68.0,68.3,66.5,66.9,382656.0
MIRAKHTER,2022-02-03,66.5,66.6,65.3,65.6,374242.0
MIRAKHTER,2022-02-06,65.7,67.7,65.7,67.0,426080.0
MIRAKHTER,2022-02-07,67.3,68.4,66.4,66.5,410694.0
MIRAKHTER,2022-02-08,66.5,67.0,65.6,65.9,198622.0
MIRAKHTER,2022-02-09,65.9,66.6,65.6,65.9,133725.0
MIRAKHTER,2022-02-10,66.1,66.4,64.7,64.9,352109.0
MIRAKHTER,2022-02-13,64.8,65.6,64.3,64.8,263685.0
MIRAKHTER,2022-02-14,64.7,65.6,64.3,64.6,142925.0
MIRAKHTER,2022-02-15,65.5,66.4,64.9,66.2,436453.0
MIRAKHTER,2022-02-17,65.6,65.7,63.8,63.9,374042.0
MIRAKHTER,2022-02-20,65.3,65.3,62.5,62.9,150429.0
MIRAKHTER,2022-02-22,62.7,64.0,62.7,63.2,157271.0
MIRAKHTER,2022-02-23,64.0,65.3,63.6,64.9,210731.0
MIRAKHTER,2022-02-24,64.4,65.0,62.7,62.9,247158.0
MIRAKHTER,2022-02-27,62.9,64.9,61.0,61.9,364761.0
MIRAKHTER,2022-02-28,63.1,63.1,61.6,62.4,53867.0
MIRAKHTER,2022-03-01,62.4,63.6,61.7,61.9,123513.0
MIRAKHTER,2022-03-02,62.3,62.4,60.2,60.4,152890.0
MIRAKHTER,2022-03-03,60.4,61.0,58.9,60.2,88955.0
MIRAKHTER,2022-03-06,60.3,60.6,59.6,59.8,56464.0
MIRAKHTER,2022-03-07,60.3,60.3,57.5,57.6,125880.0
MIRAKHTER,2022-03-08,58.5,58.6,55.0,58.2,139316.0
MIRAKHTER,2022-03-09,59.0,60.5,58.8,60.4,123810.0
MIRAKHTER,2022-03-10,60.6,61.5,59.8,61.1,131204.0
MIRAKHTER,2022-03-13,61.0,63.2,60.8,62.6,173502.0
MIRAKHTER,2022-03-14,62.6,62.7,61.8,62.2,126047.0
MIRAKHTER,2022-03-15,62.3,64.5,62.0,64.2,225034.0
MIRAKHTER,2022-03-16,64.5,64.5,63.0,63.1,93373.0
MIRAKHTER,2022-03-20,62.3,62.3,61.9,61.9,53327.0
MIRAKHTER,2022-03-21,60.8,61.7,60.7,61.3,75270.0
MIRAKHTER,2022-03-22,62.9,62.9,61.2,62.6,74839.0
MIRAKHTER,2022-03-23,62.9,63.0,61.5,61.5,126992.0
MIRAKHTER,2022-03-24,60.8,61.9,60.8,61.5,66470.0
MIRAKHTER,2022-03-27,62.2,63.3,61.7,62.1,85438.0
MIRAKHTER,2022-03-28,62.9,62.9,61.3,61.4,122773.0
MIRAKHTER,2022-03-29,61.7,63.6,61.7,63.1,126426.0
MIRAKHTER,2022-03-30,62.8,63.4,62.5,62.6,83615.0
MIRAKHTER,2022-03-31,61.8,62.8,61.8,62.3,68348.0
MIRAKHTER,2022-04-03,62.5,62.9,61.8,62.0,51649.0
MIRAKHTER,2022-04-04,61.9,62.0,60.9,61.1,122581.0
MIRAKHTER,2022-04-05,61.1,61.6,60.5,61.0,28056.0
MIRAKHTER,2022-04-06,60.6,61.1,60.5,60.6,51909.0
MIRAKHTER,2022-04-07,60.2,60.9,59.9,60.5,72690.0
MIRAKHTER,2022-04-10,59.9,61.5,59.9,61.2,25380.0
MIRAKHTER,2022-04-11,60.8,61.6,60.1,60.4,119206.0
MIRAKHTER,2022-04-12,60.9,60.9,59.6,59.8,40707.0
MIRAKHTER,2022-04-13,59.8,60.6,59.5,60.3,53582.0
MIRAKHTER,2022-04-17,60.0,60.4,59.3,60.0,13431.0
MIRAKHTER,2022-04-18,59.6,59.6,58.8,58.8,81567.0
MIRAKHTER,2022-04-19,61.0,61.0,57.7,59.8,52001.0
MIRAKHTER,2022-04-20,59.8,60.9,59.1,59.6,99769.0
MIRAKHTER,2022-04-21,59.6,61.0,59.6,60.0,126768.0
MIRAKHTER,2022-04-24,60.8,61.8,60.0,61.6,94901.0
MIRAKHTER,2022-04-25,61.9,61.9,60.9,61.3,106507.0
MIRAKHTER,2022-04-26,61.0,61.2,60.5,60.6,85758.0
MIRAKHTER,2022-04-27,60.6,61.6,60.6,61.1,62630.0
MIRAKHTER,2022-04-28,58.1,58.1,58.1,58.1,122695.0
