symbol,date,open,high,low,close,volume
MITHUNKNIT,2022-01-02,12.6,12.6,12.2,12.5,10918.0
MITHUNKNIT,2022-01-03,12.5,12.9,12.5,12.6,25942.0
MITHUNKNIT,2022-01-04,12.4,12.8,12.0,12.3,30243.0
MITHUNKNIT,2022-01-05,12.6,13.5,12.6,13.3,158034.0
MITHUNKNIT,2022-01-06,13.4,14.0,13.0,13.4,98734.0
MITHUNKNIT,2022-01-09,13.3,13.8,13.0,13.1,42274.0
MITHUNKNIT,2022-01-10,13.4,13.4,13.0,13.0,17549.0
MITHUNKNIT,2022-01-11,13.0,13.8,13.0,13.1,20895.0
MITHUNKNIT,2022-01-12,13.7,14.4,13.7,14.1,337912.0
MITHUNKNIT,2022-01-13,14.5,15.0,13.5,13.8,47223.0
MITHUNKNIT,2022-01-16,13.6,14.2,13.6,13.7,23157.0
MITHUNKNIT,2022-01-17,13.7,14.4,13.1,13.7,45720.0
MITHUNKNIT,2022-01-18,13.3,14.3,13.3,13.7,23785.0
MITHUNKNIT,2022-01-19,14.1,14.3,13.3,14.1,63369.0
MITHUNKNIT,2022-01-20,15.5,15.5,14.5,14.6,330039.0
MITHUNKNIT,2022-01-23,14.4,14.7,13.7,13.8,42514.0
MITHUNKNIT,2022-01-24,13.2,13.8,13.0,13.1,55973.0
MITHUNKNIT,2022-01-25,12.9,13.8,12.9,13.5,33799.0
MITHUNKNIT,2022-01-26,13.9,13.9,13.5,13.7,29539.0
MITHUNKNIT,2022-01-27,13.9,13.9,13.3,13.6,36503.0
MITHUNKNIT,2022-01-30,13.5,13.5,13.0,13.2,141043.0
MITHUNKNIT,2022-01-31,13.7,13.7,12.8,12.9,33157.0
MITHUNKNIT,2022-02-01,13.5,13.5,12.8,12.9,95204.0
MITHUNKNIT,2022-02-02,13.3,13.5,13.2,13.2,62274.0
MITHUNKNIT,2022-02-03,13.2,13.9,13.2,13.8,89589.0
MITHUNKNIT,2022-02-06,14.0,15.1,13.9,14.8,341905.0
MITHUNKNIT,2022-02-07,14.8,15.0,14.5,14.6,244508.0
MITHUNKNIT,2022-02-08,14.6,14.8,14.3,14.4,63205.0
MITHUNKNIT,2022-02-09,15.2,15.3,14.4,14.5,227617.0
MITHUNKNIT,2022-02-10,14.5,14.9,14.5,14.6,18285.0
MITHUNKNIT,2022-02-13,14.7,15.1,14.7,15.0,138913.0
MITHUNKNIT,2022-02-14,15.0,15.5,14.4,14.5,135077.0
MITHUNKNIT,2022-02-15,14.5,15.1,14.5,14.8,36831.0
MITHUNKNIT,2022-02-16,14.9,15.0,14.8,15.0,221456.0
MITHUNKNIT,2022-02-17,15.2,15.2,14.5,14.6,29602.0
MITHUNKNIT,2022-02-20,14.3,15.0,14.3,14.6,86899.0
MITHUNKNIT,2022-02-23,15.3,15.3,14.4,14.5,135274.0
MITHUNKNIT,2022-02-24,14.6,14.9,14.4,14.5,31766.0
MITHUNKNIT,2022-02-27,14.2,14.4,13.5,13.9,115022.0
MITHUNKNIT,2022-02-28,13.7,14.4,13.7,14.0,28466.0
MITHUNKNIT,2022-03-01,14.8,14.8,13.9,14.0,16045.0
MITHUNKNIT,2022-03-02,13.7,14.2,13.5,13.7,41613.0
MITHUNKNIT,2022-03-03,13.7,15.0,13.7,14.9,188219.0
MITHUNKNIT,2022-03-06,14.8,14.9,14.5,14.6,38413.0
MITHUNKNIT,2022-03-07,14.8,14.8,13.5,13.6,158056.0
MITHUNKNIT,2022-03-08,14.8,14.9,13.2,13.9,65327.0
MITHUNKNIT,2022-03-09,14.4,15.0,13.9,14.9,141114.0
MITHUNKNIT,2022-03-10,15.0,15.7,14.7,14.8,298507.0
MITHUNKNIT,2022-03-13,15.5,16.2,15.2,16.2,381665.0
MITHUNKNIT,2022-03-14,17.0,17.0,16.6,16.7,177720.0
MITHUNKNIT,2022-03-15,16.4,16.6,16.4,16.4,60151.0
MITHUNKNIT,2022-03-16,16.1,16.6,16.1,16.1,98071.0
MITHUNKNIT,2022-03-20,15.8,16.1,15.8,15.9,217052.0
MITHUNKNIT,2022-03-21,15.8,16.8,15.8,16.4,74358.0
MITHUNKNIT,2022-03-22,16.6,16.9,16.5,16.6,96088.0
MITHUNKNIT,2022-03-23,16.8,16.8,16.4,16.6,73681.0
MITHUNKNIT,2022-03-24,16.5,17.9,16.4,17.6,183711.0
MITHUNKNIT,2022-03-27,17.6,18.2,17.3,17.3,183682.0
MITHUNKNIT,2022-03-28,17.1,17.8,17.0,17.0,60885.0
MITHUNKNIT,2022-03-29,17.0,17.3,16.7,16.8,87320.0
MITHUNKNIT,2022-03-30,16.7,17.0,16.5,16.7,44278.0
MITHUNKNIT,2022-03-31,16.5,17.0,16.5,16.9,19467.0
MITHUNKNIT,2022-04-03,16.8,17.0,16.6,16.6,46940.0
MITHUNKNIT,2022-04-04,16.6,16.7,16.3,16.4,58762.0
MITHUNKNIT,2022-04-05,16.1,16.4,16.1,16.1,22856.0
MITHUNKNIT,2022-04-06,15.8,16.2,15.8,16.0,20161.0
MITHUNKNIT,2022-04-07,15.9,16.5,15.7,16.4,81707.0
MITHUNKNIT,2022-04-10,16.4,16.9,16.4,16.6,28515.0
MITHUNKNIT,2022-04-11,16.5,16.9,16.3,16.5,22179.0
MITHUNKNIT,2022-04-12,16.3,16.3,16.2,16.2,21845.0
MITHUNKNIT,2022-04-13,15.9,16.4,15.9,16.2,3767.0
MITHUNKNIT,2022-04-17,17.0,17.0,16.1,16.1,12570.0
MITHUNKNIT,2022-04-18,16.9,16.9,15.8,15.8,56460.0
MITHUNKNIT,2022-04-19,16.7,16.7,15.9,16.0,40272.0
MITHUNKNIT,2022-04-20,15.7,16.2,15.7,15.7,63300.0
MITHUNKNIT,2022-04-21,16.3,16.3,15.7,15.7,14792.0
MITHUNKNIT,2022-04-24,15.7,16.0,15.4,15.9,29941.0
MITHUNKNIT,2022-04-25,15.6,15.9,15.6,15.6,26848.0
MITHUNKNIT,2022-04-26,16.0,16.0,15.5,15.6,26745.0
MITHUNKNIT,2022-04-27,16.0,16.0,15.0,15.4,19586.0
MITHUNKNIT,2022-04-28,16.0,16.0,15.0,15.2,94914.0
MITHUNKNIT,2022-05-05,16.0,16.0,15.2,15.4,317.0
MITHUNKNIT,2022-05-08,16.4,16.4,15.0,15.4,13539.0
MITHUNKNIT,2022-05-09,15.8,16.4,15.7,15.9,50929.0
MITHUNKNIT,2022-05-10,16.3,16.3,15.7,15.7,61755.0
MITHUNKNIT,2022-05-11,15.4,15.9,15.3,15.3,20948.0
MITHUNKNIT,2022-05-12,16.0,16.0,15.2,15.4,32401.0
MITHUNKNIT,2022-05-16,15.9,15.9,14.7,14.9,27295.0
MITHUNKNIT,2022-05-17,15.4,15.4,14.4,14.5,2668.0
MITHUNKNIT,2022-05-18,14.8,14.9,14.0,14.2,20172.0
MITHUNKNIT,2022-05-19,13.5,14.7,13.5,14.3,30597.0
MITHUNKNIT,2022-05-22,15.3,15.3,13.6,13.8,28139.0
MITHUNKNIT,2022-05-23,14.4,14.5,13.8,14.0,17751.0
MITHUNKNIT,2022-05-24,14.0,14.3,13.8,14.1,13041.0
MITHUNKNIT,2022-05-25,14.0,14.0,14.0,14.0,775.0
MITHUNKNIT,2022-05-26,14.0,14.3,13.8,14.1,13372.0
MITHUNKNIT,2022-05-29,14.4,15.1,14.4,14.7,15050.0
MITHUNKNIT,2022-05-30,15.0,15.6,15.0,15.3,71534.0
MITHUNKNIT,2022-05-31,15.5,15.8,15.0,15.1,13867.0
MITHUNKNIT,2022-06-01,15.3,15.4,14.9,15.1,13463.0
MITHUNKNIT,2022-06-02,15.0,15.7,14.9,15.2,53133.0
MITHUNKNIT,2022-06-05,15.7,15.7,15.1,15.3,11367.0
MITHUNKNIT,2022-06-06,15.8,15.8,15.0,15.1,24247.0
MITHUNKNIT,2022-06-07,15.3,15.4,14.8,15.1,23085.0
MITHUNKNIT,2022-06-08,15.1,15.3,15.1,15.3,15561.0
MITHUNKNIT,2022-06-09,15.4,15.7,15.3,15.6,2231.0
MITHUNKNIT,2022-06-12,15.6,15.6,15.5,15.6,16477.0
MITHUNKNIT,2022-06-13,15.9,15.9,15.3,15.3,30399.0
MITHUNKNIT,2022-06-14,15.5,15.8,15.1,15.2,81974.0
MITHUNKNIT,2022-06-15,15.7,15.7,15.4,15.5,30418.0
MITHUNKNIT,2022-06-16,15.7,15.7,15.2,15.4,13631.0
MITHUNKNIT,2022-06-19,15.6,15.6,15.4,15.5,46051.0
MITHUNKNIT,2022-06-20,15.7,15.7,15.2,15.2,18672.0
MITHUNKNIT,2022-06-21,15.2,15.2,14.9,14.9,42733.0
MITHUNKNIT,2022-06-22,15.1,15.6,14.9,15.4,182465.0
MITHUNKNIT,2022-06-23,15.8,16.4,15.5,15.7,101895.0
MITHUNKNIT,2022-06-26,16.4,16.4,15.8,16.1,176487.0
MITHUNKNIT,2022-06-27,17.1,17.1,16.1,16.4,203951.0
MITHUNKNIT,2022-06-28,16.2,17.3,16.2,16.4,163230.0
MITHUNKNIT,2022-06-29,16.9,16.9,16.1,16.2,114971.0
MITHUNKNIT,2022-06-30,16.3,16.3,15.9,15.9,48812.0
MITHUNKNIT,2022-07-03,16.0,16.0,15.6,15.7,95742.0
MITHUNKNIT,2022-07-04,16.9,16.9,15.9,16.4,65694.0
MITHUNKNIT,2022-07-05,16.4,16.5,16.1,16.1,51173.0
MITHUNKNIT,2022-07-06,16.7,16.7,15.8,15.8,138269.0
MITHUNKNIT,2022-07-07,16.2,16.2,15.6,15.7,92483.0
MITHUNKNIT,2022-07-12,16.9,17.0,15.7,15.8,67464.0
MITHUNKNIT,2022-07-13,16.3,16.3,15.7,15.8,25381.0
MITHUNKNIT,2022-07-14,15.8,16.2,15.5,16.0,162767.0
MITHUNKNIT,2022-07-17,16.0,17.6,16.0,17.6,407147.0
MITHUNKNIT,2022-07-18,19.2,19.3,18.1,18.3,1244503.0
MITHUNKNIT,2022-07-19,18.5,19.7,18.0,19.5,815670.0
MITHUNKNIT,2022-07-20,19.3,20.6,19.2,19.3,736783.0
MITHUNKNIT,2022-07-21,19.4,19.7,19.0,19.0,341152.0
MITHUNKNIT,2022-07-24,19.1,19.1,18.7,18.7,122393.0
MITHUNKNIT,2022-07-25,18.4,19.5,18.4,19.1,529005.0
MITHUNKNIT,2022-07-26,19.9,20.3,18.8,18.8,597520.0
MITHUNKNIT,2022-07-27,18.8,19.5,18.6,18.8,233727.0
MITHUNKNIT,2022-07-28,19.2,19.2,18.5,18.6,222000.0
MITHUNKNIT,2022-07-31,18.8,19.7,18.8,19.3,471122.0
MITHUNKNIT,2022-08-01,19.8,19.8,18.9,19.1,429123.0
MITHUNKNIT,2022-08-02,19.2,19.5,18.9,18.9,173371.0
MITHUNKNIT,2022-08-03,19.1,19.1,18.8,18.9,244418.0
MITHUNKNIT,2022-08-04,19.9,19.9,18.8,18.8,226067.0
MITHUNKNIT,2022-08-07,18.9,19.2,18.8,18.8,272809.0
MITHUNKNIT,2022-08-08,19.1,19.1,18.8,18.8,155837.0
MITHUNKNIT,2022-08-10,18.8,18.8,18.8,18.8,8900.0
MITHUNKNIT,2022-08-11,18.8,18.8,18.8,18.8,7050.0
MITHUNKNIT,2022-08-14,18.8,18.8,18.8,18.8,87072.0
MITHUNKNIT,2022-08-16,18.8,18.8,18.8,18.8,9480.0
MITHUNKNIT,2022-08-17,18.8,18.8,18.8,18.8,23567.0
MITHUNKNIT,2022-08-21,18.8,18.8,18.8,18.8,15909.0
MITHUNKNIT,2022-08-22,18.8,18.8,18.8,18.8,5903.0
MITHUNKNIT,2022-08-23,18.8,18.8,18.8,18.8,9500.0
MITHUNKNIT,2022-08-24,18.8,18.8,18.8,18.8,201.0
MITHUNKNIT,2022-08-25,18.8,18.8,18.8,18.8,8002.0
MITHUNKNIT,2022-08-28,18.8,18.8,18.8,18.8,8707.0
MITHUNKNIT,2022-08-29,18.8,18.8,18.8,18.8,4260.0
MITHUNKNIT,2022-08-30,18.8,18.8,18.8,18.8,55195.0
MITHUNKNIT,2022-08-31,18.8,18.8,18.8,18.8,2561.0
MITHUNKNIT,2022-09-01,18.8,18.8,18.8,18.8,1846.0
MITHUNKNIT,2022-09-04,18.8,18.8,18.8,18.8,2790.0
MITHUNKNIT,2022-09-05,18.8,18.8,18.8,18.8,6.0
MITHUNKNIT,2022-09-06,18.8,18.8,18.8,18.8,2514.0
MITHUNKNIT,2022-09-07,18.8,18.8,18.8,18.8,750.0
MITHUNKNIT,2022-09-08,18.8,18.8,18.8,18.8,300.0
MITHUNKNIT,2022-09-12,18.8,18.8,18.8,18.8,1400.0
MITHUNKNIT,2022-09-13,18.8,18.8,18.8,18.8,43330.0
MITHUNKNIT,2022-09-14,18.8,18.8,18.8,18.8,500.0
MITHUNKNIT,2022-09-15,18.8,18.8,18.8,18.8,150.0
MITHUNKNIT,2022-09-18,18.8,18.8,18.8,18.8,10.0
MITHUNKNIT,2022-09-20,18.8,18.8,18.8,18.8,42.0
MITHUNKNIT,2022-09-21,18.8,18.8,18.8,18.8,100.0
MITHUNKNIT,2022-09-22,18.8,18.8,18.8,18.8,402.0
MITHUNKNIT,2022-09-25,18.8,18.8,18.8,18.8,30.0
MITHUNKNIT,2022-09-27,18.8,18.8,18.8,18.8,100.0
MITHUNKNIT,2022-09-28,18.8,18.8,18.8,18.8,2780.0
MITHUNKNIT,2022-10-02,18.8,18.8,18.8,18.8,2.0
MITHUNKNIT,2022-10-03,18.8,18.8,18.8,18.8,2.0
MITHUNKNIT,2022-10-06,18.8,18.8,18.8,18.8,600.0
MITHUNKNIT,2022-10-10,18.8,18.8,18.8,18.8,1.0
MITHUNKNIT,2022-10-11,18.8,18.8,18.8,18.8,505.0
MITHUNKNIT,2022-10-12,18.8,18.8,18.8,18.8,4.0
MITHUNKNIT,2022-10-13,18.8,18.8,18.8,18.8,2.0
MITHUNKNIT,2022-10-17,18.8,18.8,18.8,18.8,1200.0
MITHUNKNIT,2022-10-18,18.8,18.8,18.8,18.8,2.0
MITHUNKNIT,2022-10-19,18.8,18.8,18.8,18.8,1.0
MITHUNKNIT,2022-10-20,18.8,18.8,18.8,18.8,2.0
MITHUNKNIT,2022-10-23,18.8,18.8,18.8,18.8,210.0
MITHUNKNIT,2022-10-24,18.8,18.8,18.8,18.8,1.0
MITHUNKNIT,2022-10-25,18.8,18.8,18.8,18.8,156.0
MITHUNKNIT,2022-10-26,18.8,18.8,18.8,18.8,1.0
MITHUNKNIT,2022-10-30,18.8,18.8,18.8,18.8,10101.0
MITHUNKNIT,2022-11-02,18.8,18.8,18.8,18.8,3.0
MITHUNKNIT,2022-11-06,18.8,18.8,18.8,18.8,20.0
MITHUNKNIT,2022-11-07,18.8,18.8,18.8,18.8,435.0
MITHUNKNIT,2022-11-08,18.8,18.8,18.8,18.8,200.0
MITHUNKNIT,2022-11-09,18.8,18.8,18.8,18.8,2.0
MITHUNKNIT,2022-11-13,18.8,18.8,18.8,18.8,102.0
MITHUNKNIT,2022-11-15,18.8,18.8,18.8,18.8,1.0
MITHUNKNIT,2022-11-16,18.8,18.8,18.8,18.8,1.0
MITHUNKNIT,2022-11-17,18.8,18.8,18.8,18.8,3.0
MITHUNKNIT,2022-11-20,18.8,18.8,18.8,18.8,7512.0
