symbol,date,open,high,low,close,volume
MLDYEING,2022-01-02,23.7,23.7,23.4,23.5,331178.0
MLDYEING,2022-01-03,23.6,24.3,23.6,23.8,451823.0
MLDYEING,2022-01-04,23.9,24.0,23.5,23.6,402236.0
MLDYEING,2022-01-05,23.8,24.8,23.7,24.4,672506.0
MLDYEING,2022-01-06,24.6,24.7,24.1,24.2,601704.0
MLDYEING,2022-01-09,24.5,24.5,23.7,23.8,544196.0
MLDYEING,2022-01-10,24.0,24.1,23.5,23.7,395873.0
MLDYEING,2022-01-11,24.0,24.3,23.7,24.0,843599.0
MLDYEING,2022-01-12,24.3,24.4,23.8,23.9,553041.0
MLDYEING,2022-01-13,24.0,24.1,23.7,24.0,481451.0
MLDYEING,2022-01-16,24.1,24.4,23.9,24.0,681152.0
MLDYEING,2022-01-17,24.1,24.3,23.9,24.0,938598.0
MLDYEING,2022-01-18,24.2,24.6,24.1,24.2,605625.0
MLDYEING,2022-01-19,24.4,24.4,24.0,24.1,1467608.0
MLDYEING,2022-01-20,24.2,25.0,24.2,24.5,879460.0
MLDYEING,2022-01-23,24.5,24.5,24.0,24.1,620662.0
MLDYEING,2022-01-24,24.2,24.2,23.7,23.8,322601.0
MLDYEING,2022-01-25,23.1,23.5,22.8,23.1,1751849.0
MLDYEING,2022-01-26,23.4,24.1,23.1,23.3,700489.0
MLDYEING,2022-01-27,23.4,23.8,23.2,23.4,584406.0
MLDYEING,2022-01-30,23.4,23.6,23.0,23.2,558401.0
MLDYEING,2022-01-31,23.2,23.2,22.8,22.8,476031.0
MLDYEING,2022-02-01,22.9,23.1,22.8,22.9,424274.0
MLDYEING,2022-02-02,23.1,23.4,23.0,23.1,345478.0
MLDYEING,2022-02-03,23.1,23.3,22.9,23.0,465256.0
MLDYEING,2022-02-06,23.0,23.5,23.0,23.4,467263.0
MLDYEING,2022-02-07,23.4,23.6,23.0,23.1,397949.0
MLDYEING,2022-02-08,23.1,23.8,23.1,23.4,657630.0
MLDYEING,2022-02-09,23.7,23.8,23.4,23.5,655677.0
MLDYEING,2022-02-10,23.7,24.0,23.4,23.8,704700.0
MLDYEING,2022-02-13,24.0,24.0,23.5,23.5,420351.0
MLDYEING,2022-02-14,23.7,23.7,23.3,23.4,306252.0
MLDYEING,2022-02-15,23.3,23.5,23.1,23.1,219037.0
MLDYEING,2022-02-16,23.4,23.6,23.1,23.4,461787.0
MLDYEING,2022-02-17,23.3,23.5,23.1,23.3,506718.0
MLDYEING,2022-02-20,23.2,23.4,23.2,23.3,513108.0
MLDYEING,2022-02-22,23.3,23.5,23.2,23.2,237683.0
MLDYEING,2022-02-23,23.2,23.5,23.2,23.4,745928.0
MLDYEING,2022-02-24,23.6,23.7,23.3,23.4,1665972.0
MLDYEING,2022-02-27,23.4,23.4,22.8,22.9,743592.0
MLDYEING,2022-02-28,22.9,23.1,22.9,23.1,294161.0
MLDYEING,2022-03-01,23.1,23.5,23.0,23.2,419834.0
MLDYEING,2022-03-02,23.4,23.4,22.8,23.0,468692.0
MLDYEING,2022-03-03,23.0,23.2,23.0,23.1,456902.0
MLDYEING,2022-03-06,23.1,23.2,23.0,23.0,233750.0
MLDYEING,2022-03-07,23.0,23.0,22.4,22.5,564723.0
MLDYEING,2022-03-08,22.9,22.9,21.4,22.6,375908.0
MLDYEING,2022-03-09,22.6,23.6,22.6,23.3,436711.0
MLDYEING,2022-03-10,23.6,24.3,23.0,24.0,900164.0
MLDYEING,2022-03-13,24.2,26.3,24.2,25.2,2999721.0
MLDYEING,2022-03-14,25.8,25.8,24.7,24.7,782077.0
MLDYEING,2022-03-15,24.5,24.9,24.3,24.4,739068.0
MLDYEING,2022-03-16,24.7,24.7,24.1,24.2,345701.0
MLDYEING,2022-03-20,24.2,24.2,23.8,23.8,381060.0
MLDYEING,2022-03-21,23.5,23.8,23.4,23.4,471662.0
MLDYEING,2022-03-22,23.7,24.0,23.5,23.9,401344.0
MLDYEING,2022-03-23,23.5,23.9,23.5,23.6,2014876.0
MLDYEING,2022-03-24,23.4,23.9,23.3,23.4,329574.0
MLDYEING,2022-03-27,23.3,23.3,23.1,23.2,336968.0
MLDYEING,2022-03-28,23.4,23.4,23.0,23.1,366292.0
MLDYEING,2022-03-29,23.3,23.7,23.1,23.2,344331.0
MLDYEING,2022-03-30,23.5,23.5,23.1,23.2,289679.0
MLDYEING,2022-03-31,23.2,23.2,23.0,23.1,274332.0
MLDYEING,2022-04-03,23.0,23.5,23.0,23.2,131124.0
MLDYEING,2022-04-04,23.2,23.4,23.1,23.3,180250.0
MLDYEING,2022-04-05,23.4,23.4,23.1,23.3,302814.0
MLDYEING,2022-04-06,23.3,23.4,23.2,23.2,313605.0
MLDYEING,2022-04-07,23.4,23.4,23.1,23.3,251280.0
MLDYEING,2022-04-10,23.3,23.5,23.1,23.3,265125.0
MLDYEING,2022-04-11,23.3,23.3,23.1,23.1,127744.0
MLDYEING,2022-04-12,23.4,23.4,22.8,23.0,241443.0
MLDYEING,2022-04-13,22.9,23.0,22.6,22.8,303333.0
MLDYEING,2022-04-17,23.0,23.1,22.8,22.9,172899.0
MLDYEING,2022-04-18,22.7,22.9,22.5,22.6,229554.0
MLDYEING,2022-04-19,22.5,22.8,22.2,22.5,167281.0
MLDYEING,2022-04-20,23.0,23.2,22.6,22.7,78039.0
MLDYEING,2022-04-21,23.1,23.1,22.6,22.8,128113.0
MLDYEING,2022-04-24,23.3,23.3,22.9,23.0,209631.0
MLDYEING,2022-04-25,23.0,23.2,22.9,22.9,190885.0
MLDYEING,2022-04-26,23.0,23.1,22.7,22.7,112920.0
MLDYEING,2022-04-27,23.0,23.4,22.7,23.0,301849.0
MLDYEING,2022-04-28,23.2,23.2,22.5,22.6,284971.0
MLDYEING,2022-05-05,23.1,23.1,22.0,22.2,120223.0
MLDYEING,2022-05-08,22.5,22.5,22.0,22.4,276032.0
MLDYEING,2022-05-09,22.4,23.0,22.2,22.9,236644.0
MLDYEING,2022-05-10,23.1,23.4,22.8,22.9,354109.0
MLDYEING,2022-05-11,23.0,23.0,22.6,22.6,277731.0
MLDYEING,2022-05-12,22.4,22.8,22.4,22.6,290619.0
MLDYEING,2022-05-16,22.3,22.6,22.1,22.1,201946.0
MLDYEING,2022-05-17,22.4,22.4,21.3,21.7,283796.0
MLDYEING,2022-05-18,22.2,22.2,20.7,21.0,264712.0
MLDYEING,2022-05-19,21.6,21.6,20.6,20.8,155872.0
MLDYEING,2022-05-22,20.8,21.8,19.8,19.8,242830.0
MLDYEING,2022-05-23,20.6,20.6,19.9,20.2,199518.0
MLDYEING,2022-05-24,20.6,20.6,19.9,20.0,130743.0
MLDYEING,2022-05-25,19.8,20.7,19.5,20.3,407495.0
MLDYEING,2022-05-26,20.1,20.5,20.0,20.4,77622.0
MLDYEING,2022-05-29,21.9,21.9,20.6,21.1,93472.0
MLDYEING,2022-05-30,22.8,22.8,21.1,21.6,143418.0
MLDYEING,2022-05-31,21.8,21.8,21.3,21.6,125472.0
MLDYEING,2022-06-01,21.7,21.9,21.6,21.8,219342.0
MLDYEING,2022-06-02,22.6,22.9,22.0,22.7,600487.0
MLDYEING,2022-06-05,23.2,23.6,22.7,23.1,526939.0
MLDYEING,2022-06-06,23.4,23.4,22.9,22.9,460448.0
MLDYEING,2022-06-07,22.8,22.8,22.5,22.6,285954.0
MLDYEING,2022-06-08,22.5,22.8,22.5,22.7,216311.0
MLDYEING,2022-06-09,23.0,23.0,22.7,22.8,179843.0
MLDYEING,2022-06-12,23.0,23.0,22.4,22.5,177241.0
MLDYEING,2022-06-13,22.8,23.0,22.4,22.7,212476.0
MLDYEING,2022-06-14,22.9,23.0,22.4,22.4,233358.0
