symbol,date,open,high,low,close,volume
MONNOCERA,2022-01-02,112.3,113.9,112.0,112.4,82640.0
MONNOCERA,2022-01-03,112.7,114.5,112.2,112.5,79331.0
MONNOCERA,2022-01-04,112.8,113.4,111.6,111.9,69026.0
MONNOCERA,2022-01-05,112.3,113.0,111.6,112.3,135722.0
MONNOCERA,2022-01-06,114.1,114.2,112.0,112.4,111130.0
MONNOCERA,2022-01-09,113.0,116.0,112.5,113.1,142017.0
MONNOCERA,2022-01-10,114.1,114.8,112.5,113.5,84563.0
MONNOCERA,2022-01-11,114.1,120.7,113.5,118.1,342651.0
MONNOCERA,2022-01-12,120.5,124.3,116.5,120.8,369034.0
MONNOCERA,2022-01-13,120.9,123.0,118.2,119.8,145090.0
MONNOCERA,2022-01-16,119.8,123.9,117.9,118.4,292742.0
MONNOCERA,2022-01-17,119.0,121.7,115.6,116.0,232807.0
MONNOCERA,2022-01-18,117.0,118.0,115.5,115.7,153469.0
MONNOCERA,2022-01-19,115.7,118.9,115.7,117.3,114832.0
MONNOCERA,2022-01-20,118.1,118.8,116.1,116.7,109705.0
MONNOCERA,2022-01-23,116.7,118.0,114.0,114.6,81133.0
MONNOCERA,2022-01-24,115.0,115.4,112.7,113.4,52668.0
MONNOCERA,2022-01-25,114.8,114.8,113.0,113.3,51406.0
MONNOCERA,2022-01-26,114.2,114.7,112.0,112.7,77107.0
MONNOCERA,2022-01-27,114.4,114.4,112.0,112.3,102815.0
MONNOCERA,2022-01-30,112.5,113.7,111.6,111.9,86528.0
MONNOCERA,2022-01-31,112.0,112.7,110.4,110.8,71827.0
MONNOCERA,2022-02-01,110.8,112.6,110.7,111.1,51619.0
MONNOCERA,2022-02-02,111.9,112.7,110.4,110.8,52052.0
MONNOCERA,2022-02-03,111.0,112.5,110.8,111.8,84028.0
MONNOCERA,2022-02-06,112.0,113.0,110.9,111.3,73267.0
MONNOCERA,2022-02-07,111.3,113.0,110.7,111.2,78214.0
MONNOCERA,2022-02-08,112.0,112.9,111.6,111.9,101671.0
MONNOCERA,2022-02-09,112.8,113.0,111.6,112.2,69066.0
MONNOCERA,2022-02-10,114.5,115.0,112.0,114.3,166542.0
MONNOCERA,2022-02-13,116.4,123.7,116.3,118.0,348902.0
MONNOCERA,2022-02-14,118.8,118.9,114.6,114.8,106778.0
MONNOCERA,2022-02-15,115.9,116.0,113.8,114.8,134817.0
MONNOCERA,2022-02-16,116.8,119.5,115.1,118.0,291485.0
MONNOCERA,2022-02-17,118.0,118.9,114.2,116.0,119014.0
MONNOCERA,2022-02-20,116.0,122.0,116.0,119.1,450322.0
MONNOCERA,2022-02-22,121.8,126.6,121.6,123.5,972057.0
MONNOCERA,2022-02-23,123.5,123.5,118.6,119.2,291925.0
MONNOCERA,2022-02-24,122.0,122.0,114.0,114.7,346725.0
MONNOCERA,2022-02-27,115.0,115.0,111.5,112.0,169483.0
MONNOCERA,2022-02-28,115.0,115.2,112.6,112.8,135256.0
MONNOCERA,2022-03-01,114.7,115.0,111.9,112.6,125190.0
MONNOCERA,2022-03-02,112.8,112.8,111.2,111.7,85165.0
MONNOCERA,2022-03-03,112.5,112.5,110.0,111.7,62781.0
MONNOCERA,2022-03-06,111.7,112.7,111.0,111.2,94569.0
MONNOCERA,2022-03-07,111.2,111.2,106.2,106.8,150672.0
MONNOCERA,2022-03-08,109.9,109.9,102.0,106.4,103837.0
MONNOCERA,2022-03-09,108.9,111.0,106.8,110.3,98029.0
MONNOCERA,2022-03-10,110.4,112.3,108.9,109.3,105276.0
MONNOCERA,2022-03-13,110.9,111.9,109.4,110.6,103329.0
MONNOCERA,2022-03-14,111.0,112.5,109.8,110.5,96526.0
MONNOCERA,2022-03-15,110.5,111.9,110.0,110.3,109493.0
MONNOCERA,2022-03-16,110.5,111.8,110.0,110.4,67880.0
MONNOCERA,2022-03-20,111.5,111.8,108.2,108.6,74220.0
MONNOCERA,2022-03-21,108.7,110.5,108.6,109.2,41641.0
MONNOCERA,2022-03-22,110.0,111.5,109.6,110.7,59358.0
MONNOCERA,2022-03-23,110.8,111.4,108.5,109.2,61621.0
MONNOCERA,2022-03-24,109.2,110.6,108.7,109.4,55503.0
MONNOCERA,2022-03-27,109.4,110.0,109.0,109.2,56870.0
MONNOCERA,2022-03-28,109.2,111.3,109.2,110.0,92984.0
MONNOCERA,2022-03-29,111.0,111.2,110.4,110.6,74599.0
MONNOCERA,2022-03-30,110.1,111.1,109.4,109.5,50531.0
MONNOCERA,2022-03-31,109.5,110.8,108.5,108.8,49521.0
MONNOCERA,2022-04-03,110.9,110.9,107.9,108.4,59303.0
MONNOCERA,2022-04-04,108.8,108.8,107.4,107.8,46656.0
MONNOCERA,2022-04-05,109.4,109.4,106.6,107.1,34354.0
MONNOCERA,2022-04-06,107.1,108.0,106.3,106.9,31538.0
MONNOCERA,2022-04-07,106.9,106.9,106.0,106.4,41836.0
MONNOCERA,2022-04-10,106.8,107.0,105.5,105.7,45500.0
MONNOCERA,2022-04-11,106.1,107.1,106.0,106.2,42180.0
MONNOCERA,2022-04-12,106.0,106.4,104.6,104.9,29816.0
MONNOCERA,2022-04-13,103.5,107.0,103.2,104.9,19597.0
MONNOCERA,2022-04-17,106.8,106.8,103.7,104.2,25877.0
MONNOCERA,2022-04-18,103.2,104.0,102.2,102.2,40584.0
MONNOCERA,2022-04-19,100.2,103.0,100.2,102.4,89046.0
MONNOCERA,2022-04-20,103.5,103.5,101.5,102.3,31809.0
MONNOCERA,2022-04-21,102.9,104.5,102.1,104.2,45159.0
MONNOCERA,2022-04-24,104.4,106.8,104.3,105.0,32149.0
MONNOCERA,2022-04-25,105.0,105.0,103.1,103.5,27288.0
MONNOCERA,2022-04-26,103.0,104.7,102.0,103.6,22378.0
MONNOCERA,2022-04-27,104.5,105.5,103.3,104.2,33772.0
MONNOCERA,2022-04-28,104.2,105.5,103.1,104.0,27804.0
MONNOCERA,2022-05-05,106.5,106.5,103.8,104.1,23658.0
MONNOCERA,2022-05-08,104.6,105.7,103.0,103.4,95673.0
MONNOCERA,2022-05-09,103.7,108.9,103.6,107.9,99530.0
MONNOCERA,2022-05-10,108.8,109.5,106.1,106.2,97544.0
MONNOCERA,2022-05-11,105.8,106.9,104.1,104.7,50685.0
MONNOCERA,2022-05-12,103.7,108.0,103.7,106.5,86156.0
MONNOCERA,2022-05-16,108.0,109.0,102.3,103.2,84161.0
