symbol,date,open,high,low,close,volume
MONNOFABR,2022-01-02,20.4,21.0,20.4,20.9,91122.0
MONNOFABR,2022-01-03,21.4,21.6,20.7,21.2,193809.0
MONNOFABR,2022-01-04,21.7,21.7,20.5,20.6,142089.0
MONNOFABR,2022-01-05,21.0,22.0,20.6,21.7,355460.0
MONNOFABR,2022-01-06,22.2,22.3,20.9,21.2,98757.0
MONNOFABR,2022-01-09,21.0,21.4,20.1,20.3,138929.0
MONNOFABR,2022-01-10,20.5,21.0,20.2,20.5,305334.0
MONNOFABR,2022-01-11,20.5,20.7,20.0,20.3,179213.0
MONNOFABR,2022-01-12,20.3,20.7,20.2,20.5,138840.0
MONNOFABR,2022-01-13,21.0,22.0,21.0,21.8,744262.0
MONNOFABR,2022-01-16,22.1,23.3,22.1,23.1,575831.0
MONNOFABR,2022-01-17,23.6,24.1,23.0,23.9,624065.0
MONNOFABR,2022-01-18,23.7,24.7,23.5,23.8,257755.0
MONNOFABR,2022-01-19,24.2,25.8,23.8,25.6,648024.0
MONNOFABR,2022-01-20,25.8,26.7,25.4,25.4,809756.0
MONNOFABR,2022-01-23,25.7,25.8,23.5,24.4,265605.0
MONNOFABR,2022-01-24,24.9,24.9,23.4,23.7,140782.0
MONNOFABR,2022-01-25,24.3,24.3,23.5,24.0,110420.0
MONNOFABR,2022-01-26,25.9,26.0,23.3,23.5,525075.0
MONNOFABR,2022-01-27,24.8,24.8,22.8,23.0,210039.0
MONNOFABR,2022-01-30,23.1,23.2,22.8,22.9,130139.0
MONNOFABR,2022-01-31,23.8,23.8,22.6,22.7,100381.0
MONNOFABR,2022-02-01,23.6,23.6,22.6,22.8,67202.0
MONNOFABR,2022-02-02,23.3,23.3,22.8,23.0,80469.0
MONNOFABR,2022-02-03,23.4,23.4,22.8,23.0,21326.0
MONNOFABR,2022-02-06,24.0,24.0,22.9,23.0,142017.0
MONNOFABR,2022-02-07,23.6,23.6,22.9,23.0,61709.0
MONNOFABR,2022-02-08,23.1,23.2,22.8,22.8,96006.0
