symbol,date,open,high,low,close,volume
NAHEEACP,2022-01-02,41.3,41.6,40.2,41.2,90927.0
NAHEEACP,2022-01-03,41.5,42.0,41.5,41.8,157121.0
NAHEEACP,2022-01-04,41.5,41.6,40.6,40.9,88125.0
NAHEEACP,2022-01-05,41.6,42.3,40.8,41.6,167456.0
NAHEEACP,2022-01-06,42.0,42.5,41.2,42.0,420083.0
NAHEEACP,2022-01-09,42.0,44.1,42.0,43.6,1054576.0
NAHEEACP,2022-01-10,43.8,47.2,43.0,47.0,1252466.0
NAHEEACP,2022-01-11,47.0,47.8,45.9,46.2,876400.0
NAHEEACP,2022-01-12,45.4,46.2,43.6,44.1,485234.0
NAHEEACP,2022-01-13,43.5,45.2,43.5,44.9,323505.0
NAHEEACP,2022-01-16,45.0,45.2,42.5,43.6,234992.0
NAHEEACP,2022-01-17,43.8,44.3,43.3,43.5,157480.0
NAHEEACP,2022-01-18,43.1,45.0,43.1,44.6,185973.0
NAHEEACP,2022-01-19,44.1,46.4,43.5,45.6,575721.0
NAHEEACP,2022-01-20,45.6,46.9,45.6,46.7,518404.0
NAHEEACP,2022-01-23,46.7,46.9,46.3,46.7,379740.0
NAHEEACP,2022-01-24,46.9,46.9,46.0,46.7,601576.0
NAHEEACP,2022-01-25,45.8,49.2,45.8,48.6,1317253.0
NAHEEACP,2022-01-26,48.1,49.3,47.9,48.1,630720.0
NAHEEACP,2022-01-27,48.3,49.0,48.0,48.7,746400.0
NAHEEACP,2022-01-30,48.1,49.3,48.0,48.2,665628.0
NAHEEACP,2022-01-31,48.0,48.7,47.2,47.3,467124.0
NAHEEACP,2022-02-01,47.5,49.2,47.5,48.2,919666.0
NAHEEACP,2022-02-02,48.6,48.6,48.0,48.2,387938.0
NAHEEACP,2022-02-03,48.9,53.0,48.6,53.0,3502640.0
NAHEEACP,2022-02-06,54.8,56.0,53.0,53.4,3223039.0
NAHEEACP,2022-02-07,53.1,54.8,51.9,53.8,2102974.0
NAHEEACP,2022-02-08,54.0,54.1,52.7,53.3,1765799.0
NAHEEACP,2022-02-09,53.0,55.0,53.0,54.5,1376409.0
NAHEEACP,2022-02-10,55.0,57.8,54.9,56.7,4235007.0
NAHEEACP,2022-02-13,56.3,56.5,54.1,54.7,807117.0
NAHEEACP,2022-02-14,55.2,55.2,53.7,54.0,911206.0
NAHEEACP,2022-02-15,55.2,55.2,53.0,54.3,670848.0
NAHEEACP,2022-02-16,54.3,55.2,54.2,54.6,867327.0
NAHEEACP,2022-02-17,55.0,55.9,54.6,55.5,1070732.0
NAHEEACP,2022-02-20,56.0,57.4,55.3,57.0,1568618.0
NAHEEACP,2022-02-22,57.6,58.5,57.2,57.5,1169727.0
NAHEEACP,2022-02-23,57.5,57.5,56.5,56.8,925380.0
NAHEEACP,2022-02-24,56.9,58.1,54.6,55.6,1031130.0
NAHEEACP,2022-02-27,54.7,56.4,52.4,55.2,1288049.0
NAHEEACP,2022-02-28,56.1,57.7,55.7,56.9,1193989.0
NAHEEACP,2022-03-01,57.1,57.6,55.0,55.4,469200.0
NAHEEACP,2022-03-02,55.3,55.6,54.1,54.3,379100.0
NAHEEACP,2022-03-03,54.1,56.2,54.0,56.0,391463.0
NAHEEACP,2022-03-06,56.2,56.8,54.8,55.4,1266451.0
NAHEEACP,2022-03-07,55.2,55.9,54.3,54.4,418990.0
NAHEEACP,2022-03-08,54.1,56.2,54.1,55.8,928531.0
NAHEEACP,2022-03-09,56.8,57.7,55.9,57.3,1088536.0
NAHEEACP,2022-03-10,57.8,58.1,56.5,56.8,401922.0
NAHEEACP,2022-03-13,56.9,58.4,56.7,58.0,1135541.0
NAHEEACP,2022-03-14,58.0,58.4,57.7,58.0,678040.0
NAHEEACP,2022-03-15,58.7,63.4,58.0,61.3,3087756.0
NAHEEACP,2022-03-16,61.9,64.0,61.0,63.7,1540485.0
NAHEEACP,2022-03-20,63.1,63.1,62.5,62.6,1684593.0
NAHEEACP,2022-03-21,62.6,63.2,61.7,62.5,945972.0
NAHEEACP,2022-03-22,63.0,63.5,62.5,62.9,1270445.0
NAHEEACP,2022-03-23,63.4,64.3,62.7,63.8,1676804.0
NAHEEACP,2022-03-24,64.2,65.9,63.6,65.6,1609860.0
NAHEEACP,2022-03-27,65.9,66.5,64.6,65.8,1750945.0
NAHEEACP,2022-03-28,66.0,68.4,65.5,67.4,1772292.0
NAHEEACP,2022-03-29,66.9,68.3,66.9,68.1,974777.0
NAHEEACP,2022-03-30,68.5,70.8,68.3,70.2,2112639.0
NAHEEACP,2022-03-31,70.3,70.9,69.1,70.4,1091325.0
NAHEEACP,2022-04-03,71.2,71.5,69.0,69.9,2795110.0
NAHEEACP,2022-04-04,70.0,71.5,68.6,71.2,2412647.0
NAHEEACP,2022-04-05,71.1,72.9,70.5,72.7,843181.0
NAHEEACP,2022-04-06,72.7,75.8,72.7,74.4,1237608.0
NAHEEACP,2022-04-07,74.4,75.3,73.0,74.2,1221305.0
NAHEEACP,2022-04-10,75.1,75.1,72.8,73.0,669057.0
NAHEEACP,2022-04-11,73.1,75.9,73.1,75.2,1973691.0
NAHEEACP,2022-04-12,75.2,75.6,73.7,73.9,958868.0
NAHEEACP,2022-04-13,73.9,74.2,72.5,73.6,857802.0
NAHEEACP,2022-04-17,74.0,74.7,72.2,72.2,735720.0
NAHEEACP,2022-04-18,72.1,72.1,70.8,70.9,34009.0
NAHEEACP,2022-04-19,69.5,69.5,69.5,69.5,221373.0
NAHEEACP,2022-04-20,69.1,71.3,68.2,70.0,1201458.0
NAHEEACP,2022-04-21,71.0,72.2,70.0,71.5,813780.0
NAHEEACP,2022-04-24,71.6,73.5,71.2,72.7,1357623.0
NAHEEACP,2022-04-25,73.4,74.1,71.6,73.3,883124.0
NAHEEACP,2022-04-26,74.3,74.7,71.6,74.3,888639.0
NAHEEACP,2022-04-27,74.5,74.9,70.6,71.3,837277.0
NAHEEACP,2022-04-28,70.5,71.6,67.8,68.9,3172117.0
NAHEEACP,2022-05-05,68.9,68.9,65.5,65.9,621262.0
NAHEEACP,2022-05-08,67.3,68.6,66.0,67.8,485007.0
NAHEEACP,2022-05-09,69.1,69.1,65.0,65.6,796631.0
NAHEEACP,2022-05-10,66.0,66.9,64.2,64.8,629520.0
NAHEEACP,2022-05-11,65.1,66.1,64.7,65.1,843655.0
NAHEEACP,2022-05-12,65.9,69.6,65.0,69.0,912951.0
NAHEEACP,2022-05-16,69.1,69.7,65.6,66.5,501983.0
NAHEEACP,2022-05-17,67.0,67.9,64.8,65.3,561091.0
NAHEEACP,2022-05-18,65.7,66.4,62.1,62.1,593704.0
NAHEEACP,2022-05-19,62.5,64.7,59.0,60.9,862859.0
NAHEEACP,2022-05-22,63.0,64.1,60.7,63.6,570745.0
NAHEEACP,2022-05-23,64.4,65.9,64.2,65.7,475572.0
NAHEEACP,2022-05-24,66.2,67.0,62.9,63.9,429772.0
