symbol,date,open,high,low,close,volume
NATLIFEINS,2022-01-02,221.8,227.0,221.8,226.1,13844.0
NATLIFEINS,2022-01-03,225.0,232.0,225.0,230.9,20538.0
NATLIFEINS,2022-01-04,238.3,238.5,220.0,233.7,21959.0
NATLIFEINS,2022-01-05,238.0,238.0,220.0,221.1,2600.0
NATLIFEINS,2022-01-06,227.8,227.9,217.0,221.5,5874.0
NATLIFEINS,2022-01-09,226.3,226.3,215.0,222.8,2333.0
NATLIFEINS,2022-01-10,227.4,227.4,215.3,219.7,4316.0
NATLIFEINS,2022-01-11,217.1,224.9,215.0,217.0,6697.0
NATLIFEINS,2022-01-12,217.1,221.9,213.2,215.3,3178.0
NATLIFEINS,2022-01-13,221.6,221.6,209.0,220.2,9743.0
NATLIFEINS,2022-01-16,224.0,238.9,216.0,222.3,9625.0
NATLIFEINS,2022-01-17,222.0,222.0,215.1,219.9,10675.0
NATLIFEINS,2022-01-18,215.7,225.0,215.7,222.5,19871.0
NATLIFEINS,2022-01-19,218.3,226.7,217.0,224.6,9882.0
NATLIFEINS,2022-01-20,224.6,224.6,218.0,218.2,5513.0
NATLIFEINS,2022-01-23,215.5,219.5,211.6,215.9,24690.0
NATLIFEINS,2022-01-24,212.5,220.0,212.1,214.0,2288.0
NATLIFEINS,2022-01-25,212.6,214.0,212.6,213.8,1061.0
NATLIFEINS,2022-01-26,213.5,213.5,209.0,209.6,10304.0
NATLIFEINS,2022-01-27,219.9,227.9,219.9,226.9,1082359.0
NATLIFEINS,2022-01-30,224.1,227.9,215.0,225.8,513585.0
NATLIFEINS,2022-01-31,224.8,224.8,206.1,206.1,381867.0
NATLIFEINS,2022-02-01,206.0,215.0,206.0,212.9,225071.0
NATLIFEINS,2022-02-02,210.1,213.4,204.3,211.1,231326.0
NATLIFEINS,2022-02-03,215.8,216.0,205.0,205.6,70700.0
NATLIFEINS,2022-02-06,205.7,208.7,204.0,204.4,38929.0
NATLIFEINS,2022-02-07,206.1,210.0,206.1,208.1,17355.0
NATLIFEINS,2022-02-08,207.1,208.9,205.1,205.8,38531.0
NATLIFEINS,2022-02-09,205.9,210.0,202.4,208.1,36961.0
NATLIFEINS,2022-02-10,205.4,210.0,205.4,208.2,11145.0
NATLIFEINS,2022-02-13,206.9,210.0,204.0,204.6,18254.0
NATLIFEINS,2022-02-14,204.6,220.0,204.5,218.4,2198710.0
NATLIFEINS,2022-02-15,218.8,220.0,212.8,214.6,76150.0
NATLIFEINS,2022-02-16,213.3,216.8,208.2,212.7,1459407.0
NATLIFEINS,2022-02-17,209.7,223.0,209.7,219.5,103525.0
NATLIFEINS,2022-02-20,219.8,220.0,212.3,215.4,1829419.0
NATLIFEINS,2022-02-22,216.0,220.0,213.6,217.7,77734.0
NATLIFEINS,2022-02-23,219.9,220.0,215.0,215.0,959131.0
NATLIFEINS,2022-02-24,216.0,216.0,211.0,212.9,8344.0
NATLIFEINS,2022-02-27,213.0,213.0,211.5,212.2,74264.0
NATLIFEINS,2022-02-28,214.9,214.9,210.0,211.8,5128.0
NATLIFEINS,2022-03-01,218.5,219.9,212.4,212.7,154708.0
NATLIFEINS,2022-03-02,210.1,212.5,208.5,210.4,10206.0
NATLIFEINS,2022-03-03,208.5,209.2,207.6,207.9,6777.0
NATLIFEINS,2022-03-06,208.0,208.0,200.0,202.0,26059.0
NATLIFEINS,2022-03-07,211.6,211.6,200.0,200.5,5025.0
NATLIFEINS,2022-03-08,195.1,201.4,188.1,198.9,10635.0
NATLIFEINS,2022-03-09,208.0,208.0,202.0,204.7,1572.0
NATLIFEINS,2022-03-10,204.0,206.5,201.5,202.3,13878.0
NATLIFEINS,2022-03-13,202.5,205.4,202.5,203.1,5364.0
NATLIFEINS,2022-03-14,203.0,208.0,202.9,205.0,13685.0
NATLIFEINS,2022-03-15,203.1,205.9,203.1,203.2,13377.0
NATLIFEINS,2022-03-16,208.8,208.8,200.0,200.6,12898.0
NATLIFEINS,2022-03-20,201.9,201.9,198.0,198.1,7638.0
NATLIFEINS,2022-03-21,198.0,199.7,198.0,198.5,855.0
NATLIFEINS,2022-03-22,200.0,204.0,199.9,200.0,48115.0
NATLIFEINS,2022-03-23,205.2,208.0,202.5,207.1,26007.0
NATLIFEINS,2022-03-24,207.1,210.0,205.0,208.9,13133.0
NATLIFEINS,2022-03-27,207.5,207.5,204.8,204.8,1891.0
NATLIFEINS,2022-03-28,202.5,206.8,202.0,204.8,17815.0
NATLIFEINS,2022-03-29,205.7,205.7,200.8,200.8,21192.0
NATLIFEINS,2022-03-30,201.2,201.2,200.0,200.0,6007.0
NATLIFEINS,2022-03-31,200.1,202.0,200.1,200.9,3875.0
NATLIFEINS,2022-04-03,200.9,200.9,199.1,199.8,3350.0
NATLIFEINS,2022-04-04,200.0,200.0,199.1,199.4,654.0
NATLIFEINS,2022-04-05,202.8,207.0,199.1,205.5,19262.0
NATLIFEINS,2022-04-06,202.5,202.5,201.9,202.2,450.0
NATLIFEINS,2022-04-07,205.3,206.0,201.9,205.8,23428.0
NATLIFEINS,2022-04-10,202.0,207.0,202.0,205.6,4951.0
NATLIFEINS,2022-04-11,203.2,210.8,203.2,209.7,18781.0
NATLIFEINS,2022-04-12,205.8,206.2,205.8,206.0,2211.0
NATLIFEINS,2022-04-13,203.4,205.1,203.3,203.9,1715.0
NATLIFEINS,2022-04-17,201.5,202.3,200.9,201.7,5881.0
NATLIFEINS,2022-04-18,202.0,202.0,199.2,201.3,480.0
NATLIFEINS,2022-04-19,200.1,207.0,199.9,200.4,1916.0
NATLIFEINS,2022-04-20,200.0,201.0,200.0,200.2,2401.0
NATLIFEINS,2022-04-21,201.3,206.4,200.0,200.1,15495.0
NATLIFEINS,2022-04-24,200.1,203.0,199.5,199.8,5178.0
NATLIFEINS,2022-04-25,205.0,205.0,199.0,199.8,9290.0
NATLIFEINS,2022-04-26,202.0,202.0,198.7,199.0,2228.0
NATLIFEINS,2022-04-27,201.1,201.1,198.7,199.0,3265.0
NATLIFEINS,2022-04-28,203.9,203.9,199.2,200.4,2226.0
NATLIFEINS,2022-05-05,200.4,200.4,198.4,198.9,3695.0
NATLIFEINS,2022-05-08,204.3,204.3,195.0,196.0,7902.0
NATLIFEINS,2022-05-09,199.5,199.9,196.2,197.2,5520.0
NATLIFEINS,2022-05-10,197.3,197.7,191.2,192.0,14903.0
NATLIFEINS,2022-05-11,192.0,198.6,189.3,193.4,4573.0
NATLIFEINS,2022-05-12,190.0,193.5,190.0,192.8,5907.0
NATLIFEINS,2022-05-16,186.7,195.0,186.5,186.9,4217.0
NATLIFEINS,2022-05-17,186.5,187.0,181.1,181.2,2148.0
NATLIFEINS,2022-05-18,198.9,198.9,176.0,178.5,2016.0
NATLIFEINS,2022-05-19,180.0,180.0,174.1,175.7,1936.0
NATLIFEINS,2022-05-22,176.0,180.0,176.0,178.1,5235.0
NATLIFEINS,2022-05-23,178.1,181.9,175.2,179.9,1250.0
NATLIFEINS,2022-05-24,180.0,180.0,172.1,173.1,3460.0
NATLIFEINS,2022-05-25,180.0,180.0,179.8,179.9,3.0
NATLIFEINS,2022-05-26,176.5,179.9,176.4,176.6,498.0
NATLIFEINS,2022-05-29,180.0,187.7,180.0,183.0,3000.0
NATLIFEINS,2022-05-30,183.0,183.0,179.4,180.0,2490.0
NATLIFEINS,2022-05-31,183.4,183.4,180.0,180.3,1322.0
NATLIFEINS,2022-06-01,181.0,187.8,180.0,184.4,5710.0
NATLIFEINS,2022-06-02,185.2,194.8,183.4,190.6,2601.0
NATLIFEINS,2022-06-05,190.2,192.5,186.8,189.3,2120.0
NATLIFEINS,2022-06-06,189.8,197.8,188.2,191.0,3058.0
NATLIFEINS,2022-06-07,191.0,191.1,187.5,190.6,5161.0
NATLIFEINS,2022-06-08,195.0,195.0,187.0,188.4,5683.0
NATLIFEINS,2022-06-09,194.5,194.5,188.3,190.7,1435.0
NATLIFEINS,2022-06-12,193.0,193.0,187.0,187.0,5064.0
NATLIFEINS,2022-06-13,183.6,188.0,183.3,183.4,5143.0
NATLIFEINS,2022-06-14,182.0,186.0,182.0,183.6,8678.0
NATLIFEINS,2022-06-15,184.9,184.9,181.0,181.2,3748.0
NATLIFEINS,2022-06-16,185.0,185.0,180.0,180.0,651.0
NATLIFEINS,2022-06-19,120.1,190.0,120.1,178.3,4020.0
NATLIFEINS,2022-06-20,178.4,179.6,174.8,175.9,10360.0
NATLIFEINS,2022-06-21,184.8,184.8,174.5,175.8,2251.0
NATLIFEINS,2022-06-22,176.2,177.0,176.0,176.2,2300.0
NATLIFEINS,2022-06-23,179.0,183.9,179.0,181.7,3948.0
NATLIFEINS,2022-06-26,184.7,184.7,181.9,183.8,17.0
NATLIFEINS,2022-06-27,190.0,190.0,180.5,180.7,2327.0
NATLIFEINS,2022-06-28,177.2,181.0,177.2,178.3,584.0
NATLIFEINS,2022-06-29,183.0,183.0,176.1,178.6,411.0
NATLIFEINS,2022-06-30,181.0,182.0,180.0,181.0,1645.0
NATLIFEINS,2022-07-03,180.0,183.0,178.3,178.5,816.0
NATLIFEINS,2022-07-04,182.9,183.0,180.0,181.3,1665.0
NATLIFEINS,2022-07-05,182.7,183.0,181.3,181.8,1134.0
NATLIFEINS,2022-07-06,185.8,185.8,181.9,182.4,2650.0
NATLIFEINS,2022-07-07,182.4,182.8,179.1,181.2,867.0
NATLIFEINS,2022-07-12,179.9,179.9,179.9,179.9,2.0
NATLIFEINS,2022-07-13,179.9,179.9,177.0,179.3,127.0
NATLIFEINS,2022-07-14,179.0,179.3,178.0,178.8,965.0
NATLIFEINS,2022-07-17,178.8,178.8,176.5,178.8,1739.0
NATLIFEINS,2022-07-18,176.2,176.2,175.3,175.3,993.0
NATLIFEINS,2022-07-19,190.0,190.0,182.0,189.0,2374.0
NATLIFEINS,2022-07-20,185.3,185.3,185.3,185.3,910.0
NATLIFEINS,2022-07-21,184.7,184.7,181.6,181.6,1778.0
NATLIFEINS,2022-07-24,184.0,184.0,180.4,180.5,3917.0
NATLIFEINS,2022-07-25,177.0,181.0,177.0,179.3,1307.0
NATLIFEINS,2022-07-26,185.0,185.4,178.0,180.8,11276.0
NATLIFEINS,2022-07-27,184.0,184.0,177.2,177.3,18458.0
NATLIFEINS,2022-07-31,179.0,179.0,179.0,179.0,234.0
NATLIFEINS,2022-08-01,179.0,179.0,179.0,179.0,123.0
NATLIFEINS,2022-08-02,179.0,179.0,179.0,179.0,1615.0
NATLIFEINS,2022-08-03,179.0,179.0,179.0,179.0,6611.0
NATLIFEINS,2022-08-04,179.0,179.0,179.0,179.0,42.0
NATLIFEINS,2022-08-10,179.0,179.0,179.0,179.0,1.0
NATLIFEINS,2022-08-16,179.0,179.0,179.0,179.0,604.0
NATLIFEINS,2022-08-17,179.0,179.0,179.0,179.0,125.0
NATLIFEINS,2022-08-21,179.0,179.0,179.0,179.0,100.0
NATLIFEINS,2022-08-22,179.0,179.0,179.0,179.0,247.0
NATLIFEINS,2022-08-23,179.0,179.0,179.0,179.0,2931.0
NATLIFEINS,2022-08-24,179.0,179.0,179.0,179.0,989.0
NATLIFEINS,2022-08-25,179.0,179.0,179.0,179.0,1436.0
NATLIFEINS,2022-08-28,179.0,179.0,179.0,179.0,4351.0
NATLIFEINS,2022-08-29,179.0,182.0,179.0,179.1,7731.0
NATLIFEINS,2022-08-30,179.1,179.1,179.0,179.0,596.0
NATLIFEINS,2022-08-31,179.0,179.0,179.0,179.0,1791.0
NATLIFEINS,2022-09-01,179.0,179.0,179.0,179.0,7297.0
NATLIFEINS,2022-09-04,179.0,179.1,179.0,179.0,2953.0
NATLIFEINS,2022-09-05,189.4,189.4,179.0,179.0,4792.0
NATLIFEINS,2022-09-06,179.0,179.0,179.0,179.0,1166.0
NATLIFEINS,2022-09-07,179.0,179.0,179.0,179.0,3.0
NATLIFEINS,2022-09-08,179.0,179.0,179.0,179.0,20.0
NATLIFEINS,2022-09-11,179.0,179.0,179.0,179.0,50.0
NATLIFEINS,2022-09-12,179.0,179.0,179.0,179.0,100.0
NATLIFEINS,2022-09-13,179.0,179.0,179.0,179.0,90.0
NATLIFEINS,2022-09-14,179.0,179.0,179.0,179.0,77.0
NATLIFEINS,2022-09-15,179.0,179.0,179.0,179.0,20.0
NATLIFEINS,2022-09-20,179.0,179.0,179.0,179.0,901.0
NATLIFEINS,2022-09-22,179.0,179.0,179.0,179.0,1020.0
