symbol,date,open,high,low,close,volume
NAVANACNG,2022-01-02,29.6,30.0,29.5,30.0,16044.0
NAVANACNG,2022-01-03,29.1,30.2,29.1,29.9,16049.0
NAVANACNG,2022-01-04,30.0,30.1,30.0,30.1,15533.0
NAVANACNG,2022-01-05,30.1,31.0,30.1,30.8,88095.0
NAVANACNG,2022-01-06,31.5,31.5,30.4,31.3,71450.0
NAVANACNG,2022-01-09,31.3,31.9,30.7,30.8,95943.0
NAVANACNG,2022-01-10,30.9,31.4,30.4,31.3,54236.0
NAVANACNG,2022-01-11,31.2,33.5,31.2,32.2,190540.0
NAVANACNG,2022-01-12,33.9,33.9,32.0,32.1,60296.0
NAVANACNG,2022-01-13,32.1,32.2,31.0,31.5,68680.0
NAVANACNG,2022-01-16,32.4,32.4,31.1,31.2,50578.0
NAVANACNG,2022-01-17,30.8,31.8,30.8,31.0,30410.0
NAVANACNG,2022-01-18,31.0,31.6,30.9,31.4,24680.0
NAVANACNG,2022-01-19,31.5,31.5,30.9,31.0,24679.0
NAVANACNG,2022-01-20,31.0,32.2,31.0,31.6,52089.0
NAVANACNG,2022-01-23,31.2,31.6,30.8,30.9,75962.0
NAVANACNG,2022-01-24,30.9,31.2,30.7,30.8,27613.0
NAVANACNG,2022-01-25,31.1,31.6,30.7,30.8,34746.0
NAVANACNG,2022-01-26,31.5,31.5,30.3,30.3,29202.0
NAVANACNG,2022-01-27,30.2,30.6,30.0,30.4,44143.0
NAVANACNG,2022-01-30,30.0,30.4,30.0,30.2,17432.0
NAVANACNG,2022-01-31,30.1,30.7,29.1,30.0,56356.0
NAVANACNG,2022-02-01,30.8,30.8,29.2,30.1,18080.0
NAVANACNG,2022-02-02,30.7,30.8,30.0,30.4,18751.0
NAVANACNG,2022-02-03,30.4,31.0,30.1,30.6,40883.0
NAVANACNG,2022-02-06,31.2,32.8,31.2,31.9,152114.0
NAVANACNG,2022-02-07,32.6,32.6,31.2,31.2,38650.0
NAVANACNG,2022-02-08,30.2,31.4,30.2,31.2,32425.0
NAVANACNG,2022-02-09,31.2,31.9,31.2,31.6,37484.0
NAVANACNG,2022-02-10,31.8,31.8,31.3,31.6,29602.0
NAVANACNG,2022-02-13,31.8,31.8,31.2,31.3,30008.0
NAVANACNG,2022-02-14,32.2,32.2,30.5,30.7,27788.0
NAVANACNG,2022-02-15,31.6,31.6,30.6,30.8,15283.0
NAVANACNG,2022-02-16,31.8,31.8,31.0,31.2,22387.0
NAVANACNG,2022-02-17,31.9,31.9,30.7,30.9,20433.0
NAVANACNG,2022-02-20,31.8,31.8,30.4,30.7,15851.0
NAVANACNG,2022-02-22,31.5,31.5,30.0,30.3,91337.0
NAVANACNG,2022-02-23,31.3,31.3,30.4,30.6,16909.0
NAVANACNG,2022-02-24,31.3,31.3,29.7,29.9,85227.0
NAVANACNG,2022-02-27,29.2,30.4,29.2,29.4,31845.0
NAVANACNG,2022-02-28,28.7,29.9,28.7,29.5,34509.0
NAVANACNG,2022-03-01,30.0,30.0,28.8,29.0,68107.0
NAVANACNG,2022-03-02,28.5,29.5,28.3,28.5,43342.0
NAVANACNG,2022-03-03,28.0,28.6,27.9,28.2,82102.0
NAVANACNG,2022-03-06,28.8,28.8,28.2,28.3,37120.0
NAVANACNG,2022-03-07,28.3,28.3,27.4,27.5,41312.0
NAVANACNG,2022-03-08,27.2,28.0,27.0,27.9,74468.0
NAVANACNG,2022-03-09,29.0,29.0,28.1,28.7,64168.0
NAVANACNG,2022-03-10,29.0,29.0,28.4,28.7,69552.0
