symbol,date,open,high,low,close,volume
NCCBANK,2022-01-02,15.4,15.6,15.2,15.4,544583.0
NCCBANK,2022-01-03,15.5,15.6,15.2,15.2,572891.0
NCCBANK,2022-01-04,15.3,15.6,15.1,15.3,461595.0
NCCBANK,2022-01-05,15.3,15.5,15.2,15.2,806889.0
NCCBANK,2022-01-06,15.3,15.9,15.2,15.5,1006829.0
NCCBANK,2022-01-09,15.5,15.5,15.2,15.3,452712.0
NCCBANK,2022-01-10,15.5,15.5,15.2,15.3,504007.0
NCCBANK,2022-01-11,15.4,15.5,15.4,15.5,594090.0
NCCBANK,2022-01-12,15.4,15.6,15.3,15.4,766269.0
NCCBANK,2022-01-13,15.4,15.5,15.3,15.3,280735.0
NCCBANK,2022-01-16,15.3,15.4,15.1,15.2,874971.0
NCCBANK,2022-01-17,15.3,15.4,15.2,15.3,381139.0
NCCBANK,2022-01-18,15.4,15.5,15.2,15.2,661234.0
NCCBANK,2022-01-19,15.2,15.5,15.2,15.4,547972.0
NCCBANK,2022-01-20,15.4,15.5,15.3,15.3,380051.0
NCCBANK,2022-01-23,15.4,15.5,15.2,15.3,376259.0
NCCBANK,2022-01-24,15.3,15.5,15.2,15.2,591973.0
NCCBANK,2022-01-25,15.2,15.4,15.2,15.3,264979.0
NCCBANK,2022-01-26,15.5,15.5,15.2,15.3,365851.0
NCCBANK,2022-01-27,15.3,15.5,15.2,15.3,662182.0
NCCBANK,2022-01-30,15.3,15.6,15.2,15.4,521478.0
NCCBANK,2022-01-31,15.5,15.5,15.2,15.2,527662.0
NCCBANK,2022-02-01,15.4,15.4,15.2,15.3,298221.0
NCCBANK,2022-02-02,15.3,15.4,15.2,15.3,175538.0
NCCBANK,2022-02-03,15.4,15.5,15.2,15.4,429770.0
NCCBANK,2022-02-06,15.5,15.5,15.4,15.4,216678.0
NCCBANK,2022-02-07,15.5,15.6,15.4,15.5,517243.0
NCCBANK,2022-02-08,15.4,15.7,15.4,15.6,511647.0
NCCBANK,2022-02-09,15.5,16.0,15.5,15.8,1150991.0
NCCBANK,2022-02-10,15.8,16.0,15.7,15.9,838766.0
NCCBANK,2022-02-13,15.8,16.0,15.7,16.0,1979462.0
NCCBANK,2022-02-14,16.1,16.2,15.9,15.9,1381208.0
NCCBANK,2022-02-15,16.0,16.0,15.8,15.8,939260.0
NCCBANK,2022-02-16,15.9,15.9,15.6,15.7,810306.0
NCCBANK,2022-02-17,15.6,15.7,15.4,15.5,684983.0
NCCBANK,2022-02-20,15.4,15.6,15.3,15.3,444162.0
NCCBANK,2022-02-22,15.5,15.5,15.2,15.2,313500.0
NCCBANK,2022-02-23,15.2,15.4,15.2,15.3,218029.0
NCCBANK,2022-02-24,15.3,15.3,15.2,15.2,805605.0
NCCBANK,2022-02-27,15.0,15.1,14.9,14.9,501069.0
NCCBANK,2022-02-28,15.0,15.2,14.7,15.0,178880.0
NCCBANK,2022-03-01,15.1,15.3,15.0,15.1,124801.0
NCCBANK,2022-03-02,15.0,15.3,14.9,15.0,187454.0
NCCBANK,2022-03-03,15.0,15.2,14.9,15.1,342738.0
NCCBANK,2022-03-06,15.1,15.1,14.9,15.0,133059.0
NCCBANK,2022-03-07,14.9,15.2,14.8,14.8,490530.0
NCCBANK,2022-03-08,14.7,14.9,14.6,14.7,473509.0
NCCBANK,2022-03-09,14.8,15.0,14.6,15.0,497298.0
NCCBANK,2022-03-10,15.0,15.4,15.0,15.2,384931.0
NCCBANK,2022-03-13,15.3,15.5,15.3,15.4,287070.0
NCCBANK,2022-03-14,15.5,15.7,15.3,15.4,487875.0
NCCBANK,2022-03-15,15.3,15.4,15.1,15.2,658612.0
NCCBANK,2022-03-16,15.2,15.9,15.1,15.5,1005389.0
NCCBANK,2022-03-20,15.3,15.7,15.3,15.5,817327.0
NCCBANK,2022-03-21,15.5,15.5,15.3,15.3,573578.0
NCCBANK,2022-03-22,15.4,15.6,15.4,15.5,425626.0
NCCBANK,2022-03-23,15.6,15.6,15.3,15.3,709786.0
NCCBANK,2022-03-24,15.3,15.4,15.3,15.3,600890.0
NCCBANK,2022-03-27,15.3,15.6,15.3,15.5,405309.0
NCCBANK,2022-03-28,15.5,15.7,15.4,15.6,566328.0
NCCBANK,2022-03-29,15.6,15.6,15.4,15.5,168680.0
NCCBANK,2022-03-30,15.5,15.6,15.4,15.5,200614.0
NCCBANK,2022-03-31,15.5,15.6,15.3,15.4,394241.0
NCCBANK,2022-04-03,15.4,15.4,15.3,15.4,335996.0
NCCBANK,2022-04-04,15.2,15.4,15.2,15.2,255628.0
NCCBANK,2022-04-05,15.2,15.3,15.0,15.1,380433.0
NCCBANK,2022-04-06,15.2,15.2,14.9,14.9,664054.0
NCCBANK,2022-04-07,14.9,15.1,14.8,15.0,436323.0
NCCBANK,2022-04-10,15.0,15.0,14.8,14.9,302930.0
NCCBANK,2022-04-11,14.9,14.9,14.7,14.7,667458.0
NCCBANK,2022-04-12,15.0,15.0,14.5,14.5,553782.0
NCCBANK,2022-04-13,14.4,15.0,14.4,14.9,553876.0
NCCBANK,2022-04-17,15.0,15.0,14.7,14.8,772462.0
NCCBANK,2022-04-18,14.7,15.1,14.6,15.0,1208096.0
NCCBANK,2022-04-19,15.0,15.0,14.8,15.0,850139.0
NCCBANK,2022-04-20,15.0,15.5,14.9,15.3,1234249.0
NCCBANK,2022-04-21,15.3,15.4,15.1,15.3,478530.0
NCCBANK,2022-04-24,15.5,15.6,15.4,15.5,2719800.0
NCCBANK,2022-04-25,15.6,15.7,15.5,15.6,1776116.0
NCCBANK,2022-04-26,15.5,15.7,15.5,15.6,1079574.0
NCCBANK,2022-04-27,15.5,15.8,15.5,15.7,1838211.0
NCCBANK,2022-04-28,15.7,15.8,15.6,15.6,941520.0
NCCBANK,2022-05-05,15.6,15.7,15.5,15.6,648283.0
NCCBANK,2022-05-08,15.6,15.8,15.5,15.7,1028443.0
NCCBANK,2022-05-09,15.6,15.8,15.6,15.7,952826.0
NCCBANK,2022-05-10,15.7,15.8,15.6,15.7,959193.0
NCCBANK,2022-05-11,15.6,15.8,15.4,15.5,1673316.0
NCCBANK,2022-05-12,15.5,15.6,15.3,15.4,793250.0
NCCBANK,2022-05-16,15.3,15.4,15.2,15.4,867103.0
NCCBANK,2022-05-17,15.5,15.6,15.3,15.5,1206562.0
NCCBANK,2022-05-18,15.5,15.6,15.4,15.5,873413.0
NCCBANK,2022-05-19,15.5,15.6,15.4,15.5,864524.0
NCCBANK,2022-05-22,15.4,15.6,15.3,15.5,937196.0
NCCBANK,2022-05-23,15.6,15.7,15.5,15.5,1198347.0
NCCBANK,2022-05-24,15.5,15.6,15.4,15.5,516276.0
NCCBANK,2022-05-25,15.4,15.6,15.4,15.5,1116824.0
NCCBANK,2022-05-26,15.5,15.6,15.4,15.5,762731.0
NCCBANK,2022-05-29,15.6,15.6,15.5,15.5,915793.0
NCCBANK,2022-05-30,15.5,15.7,15.4,15.6,1593083.0
NCCBANK,2022-05-31,15.6,15.8,15.5,15.6,887203.0
NCCBANK,2022-06-01,15.6,15.7,15.4,15.5,1607866.0
NCCBANK,2022-06-02,15.6,15.7,15.5,15.6,789575.0
NCCBANK,2022-06-05,15.6,15.7,15.5,15.6,1958727.0
NCCBANK,2022-06-06,15.7,15.8,15.5,15.6,2113614.0
NCCBANK,2022-06-07,15.7,15.7,15.6,15.7,2232208.0
NCCBANK,2022-06-09,14.8,14.8,14.8,14.8,59159.0
NCCBANK,2022-06-12,14.6,14.6,14.6,14.6,50742.0
NCCBANK,2022-06-13,14.4,14.4,14.4,14.4,68921.0
NCCBANK,2022-06-14,14.2,14.2,14.2,14.2,52634.0
NCCBANK,2022-06-15,14.0,14.1,14.0,14.0,963614.0
NCCBANK,2022-06-16,13.8,14.0,13.8,13.9,335157.0
NCCBANK,2022-06-19,13.9,14.1,13.9,13.9,771464.0
NCCBANK,2022-06-20,14.1,14.1,13.7,13.8,1121907.0
NCCBANK,2022-06-21,13.9,13.9,13.6,13.8,211797.0
NCCBANK,2022-06-22,13.8,14.0,13.7,13.8,316660.0
NCCBANK,2022-06-23,14.0,14.0,13.8,13.9,149468.0
NCCBANK,2022-06-26,13.9,13.9,13.8,13.8,223937.0
NCCBANK,2022-06-27,13.8,13.9,13.7,13.8,341651.0
NCCBANK,2022-06-28,13.8,13.9,13.8,13.8,765465.0
NCCBANK,2022-06-29,13.8,14.1,13.8,14.0,502042.0
NCCBANK,2022-06-30,13.9,14.7,13.8,14.4,1005940.0
NCCBANK,2022-07-03,14.4,14.4,14.2,14.2,184952.0
NCCBANK,2022-07-04,14.2,14.2,14.0,14.2,336926.0
NCCBANK,2022-07-05,14.2,14.2,14.0,14.1,683405.0
NCCBANK,2022-07-06,14.1,14.1,14.0,14.0,237271.0
NCCBANK,2022-07-07,14.0,14.2,14.0,14.1,113079.0
NCCBANK,2022-07-12,14.0,14.2,14.0,14.1,193845.0
NCCBANK,2022-07-13,14.0,14.2,14.0,14.0,348357.0
NCCBANK,2022-07-14,14.0,14.1,13.9,14.0,377845.0
NCCBANK,2022-07-17,14.0,14.1,13.9,14.0,250609.0
NCCBANK,2022-07-18,14.0,14.0,13.9,14.0,673581.0
NCCBANK,2022-07-19,13.8,14.0,13.8,13.9,452105.0
NCCBANK,2022-07-20,13.8,14.2,13.8,14.2,673803.0
NCCBANK,2022-07-21,14.1,14.2,14.0,14.0,212279.0
NCCBANK,2022-07-24,13.8,14.1,13.8,13.8,150621.0
NCCBANK,2022-07-25,13.8,14.0,13.6,13.9,211069.0
NCCBANK,2022-07-26,14.0,14.1,13.8,13.9,230638.0
NCCBANK,2022-07-27,13.9,14.0,13.8,13.8,306084.0
NCCBANK,2022-07-28,13.8,13.8,13.7,13.7,166735.0
NCCBANK,2022-07-31,13.9,13.9,13.8,13.8,201611.0
NCCBANK,2022-08-01,13.8,13.9,13.8,13.8,128789.0
NCCBANK,2022-08-02,13.8,14.0,13.8,13.9,284793.0
NCCBANK,2022-08-03,14.0,14.2,13.9,14.0,430545.0
NCCBANK,2022-08-04,14.1,14.1,13.9,14.0,346004.0
NCCBANK,2022-08-07,14.0,14.0,13.9,13.9,351250.0
NCCBANK,2022-08-08,13.9,14.0,13.8,13.9,258614.0
NCCBANK,2022-08-10,14.0,14.0,13.8,13.9,696374.0
NCCBANK,2022-08-11,14.0,14.0,13.8,13.9,141108.0
NCCBANK,2022-08-14,14.0,14.0,13.8,13.9,182073.0
NCCBANK,2022-08-16,13.8,13.9,13.8,13.8,207707.0
NCCBANK,2022-08-17,13.8,13.9,13.8,13.9,130676.0
NCCBANK,2022-08-21,13.9,13.9,13.8,13.9,177714.0
NCCBANK,2022-08-22,13.8,13.9,13.8,13.9,223194.0
NCCBANK,2022-08-23,13.8,13.9,13.8,13.9,477251.0
NCCBANK,2022-08-24,13.8,13.9,13.8,13.8,196144.0
NCCBANK,2022-08-25,13.8,14.0,13.8,13.9,515110.0
NCCBANK,2022-08-28,13.8,14.3,13.8,14.1,552729.0
NCCBANK,2022-08-29,14.0,14.2,13.9,14.0,777760.0
NCCBANK,2022-08-30,14.2,14.2,14.0,14.1,148889.0
NCCBANK,2022-08-31,14.0,14.2,14.0,14.1,451203.0
NCCBANK,2022-09-01,14.0,14.2,14.0,14.0,321671.0
NCCBANK,2022-09-04,14.0,14.2,14.0,14.1,727306.0
NCCBANK,2022-09-05,14.0,14.2,14.0,14.1,445755.0
NCCBANK,2022-09-06,14.0,14.2,14.0,14.1,664931.0
NCCBANK,2022-09-07,14.1,14.3,14.1,14.2,621094.0
NCCBANK,2022-09-08,14.1,14.2,14.0,14.0,295132.0
NCCBANK,2022-09-11,14.2,14.4,14.0,14.0,264217.0
NCCBANK,2022-09-12,14.0,14.1,14.0,14.0,371364.0
NCCBANK,2022-09-13,14.0,14.1,13.9,14.0,367440.0
NCCBANK,2022-09-14,14.0,14.1,13.9,14.0,620087.0
