symbol,date,open,high,low,close,volume
NEWLINE,2022-01-02,37.8,38.2,37.0,37.8,441203.0
NEWLINE,2022-01-03,38.5,39.5,37.7,39.1,400316.0
NEWLINE,2022-01-04,39.4,39.6,35.5,39.3,1302868.0
NEWLINE,2022-01-05,40.3,40.3,38.3,39.8,325022.0
NEWLINE,2022-01-06,40.5,40.5,38.2,39.4,339842.0
NEWLINE,2022-01-09,39.9,39.9,38.6,38.8,130786.0
NEWLINE,2022-01-10,39.0,39.1,38.2,38.4,155406.0
NEWLINE,2022-01-11,39.0,39.1,37.5,38.1,767729.0
NEWLINE,2022-01-12,38.9,38.9,37.2,37.3,480150.0
NEWLINE,2022-01-13,38.2,38.4,38.1,38.2,178100.0
NEWLINE,2022-01-16,38.7,39.4,37.7,38.2,329578.0
NEWLINE,2022-01-17,39.2,39.3,37.6,37.8,221325.0
NEWLINE,2022-01-18,38.8,41.4,38.0,38.4,1027360.0
NEWLINE,2022-01-19,39.5,39.6,37.3,38.5,1024546.0
NEWLINE,2022-01-20,38.3,38.7,37.9,38.6,113650.0
NEWLINE,2022-01-23,38.7,38.7,37.9,38.4,30835.0
NEWLINE,2022-01-24,38.2,38.4,37.4,38.1,50826.0
NEWLINE,2022-01-25,38.3,38.3,37.1,38.2,146176.0
NEWLINE,2022-01-26,37.4,38.4,37.0,37.4,425361.0
NEWLINE,2022-01-27,37.2,38.0,36.1,37.4,1269740.0
NEWLINE,2022-01-30,37.4,39.4,37.1,38.9,400565.0
NEWLINE,2022-01-31,38.1,40.5,38.1,39.1,333344.0
NEWLINE,2022-02-01,39.5,42.4,39.5,41.7,1168429.0
NEWLINE,2022-02-02,42.5,42.7,41.0,41.7,1163253.0
NEWLINE,2022-02-03,42.5,43.9,41.5,41.5,782226.0
NEWLINE,2022-02-06,42.3,43.3,41.5,42.8,1041325.0
NEWLINE,2022-02-07,44.1,44.2,42.4,43.6,806524.0
NEWLINE,2022-02-08,45.6,45.6,41.6,43.4,914277.0
NEWLINE,2022-02-09,44.7,44.7,43.6,44.6,878512.0
NEWLINE,2022-02-10,45.7,45.7,43.8,45.2,667408.0
NEWLINE,2022-02-13,45.7,46.1,44.1,44.9,855189.0
NEWLINE,2022-02-14,45.5,45.5,44.3,45.2,447088.0
NEWLINE,2022-02-15,45.6,45.6,44.5,44.9,371583.0
NEWLINE,2022-02-16,45.1,45.3,44.3,45.0,393584.0
NEWLINE,2022-02-17,45.4,45.4,44.0,45.1,534726.0
NEWLINE,2022-02-20,45.2,45.2,44.1,44.7,202190.0
NEWLINE,2022-02-22,44.9,44.9,44.2,44.4,139856.0
NEWLINE,2022-02-23,44.3,46.9,44.3,46.3,328516.0
NEWLINE,2022-02-24,46.6,46.8,45.0,45.7,975318.0
NEWLINE,2022-02-27,45.0,46.8,44.6,45.2,124624.0
NEWLINE,2022-02-28,45.2,45.9,44.5,45.3,150156.0
NEWLINE,2022-03-01,46.4,46.5,44.8,45.1,89421.0
NEWLINE,2022-03-02,45.9,45.9,44.0,45.0,148077.0
NEWLINE,2022-03-03,45.2,45.4,44.0,45.0,109456.0
NEWLINE,2022-03-06,46.4,46.5,44.2,45.3,130168.0
NEWLINE,2022-03-07,45.0,45.8,44.0,44.7,82910.0
NEWLINE,2022-03-08,45.2,45.3,43.3,44.8,97132.0
NEWLINE,2022-03-09,45.9,45.9,44.2,45.4,63344.0
NEWLINE,2022-03-10,45.8,46.0,45.5,45.7,122370.0
NEWLINE,2022-03-13,45.9,46.0,45.1,46.0,79510.0
NEWLINE,2022-03-14,45.9,46.1,45.4,46.0,68851.0
