symbol,date,open,high,low,close,volume
NFML,2022-01-02,20.0,20.2,19.7,19.9,301752.0
NFML,2022-01-03,20.2,20.8,19.8,20.3,858734.0
NFML,2022-01-04,20.3,20.7,19.8,20.0,615163.0
NFML,2022-01-05,20.4,21.6,20.2,21.2,1224583.0
NFML,2022-01-06,21.3,22.0,21.3,21.7,1205704.0
NFML,2022-01-09,21.2,21.6,20.3,20.6,642171.0
NFML,2022-01-10,20.6,20.9,20.4,20.7,511837.0
NFML,2022-01-11,20.7,21.1,20.4,20.5,638664.0
NFML,2022-01-12,20.5,21.0,20.2,20.3,527262.0
NFML,2022-01-13,20.6,20.6,20.3,20.4,295167.0
NFML,2022-01-16,20.7,20.8,20.2,20.3,303052.0
NFML,2022-01-17,20.3,20.5,19.8,19.9,780768.0
NFML,2022-01-18,19.9,20.4,19.9,20.1,486102.0
NFML,2022-01-19,20.1,20.4,20.0,20.3,513912.0
NFML,2022-01-20,20.3,22.2,20.3,21.3,1818321.0
NFML,2022-01-23,21.3,21.3,20.5,20.8,563040.0
NFML,2022-01-24,20.7,20.7,20.0,20.1,767535.0
NFML,2022-01-25,20.1,20.5,20.0,20.1,391103.0
NFML,2022-01-26,20.3,20.3,20.0,20.0,345174.0
NFML,2022-01-27,20.0,20.4,20.0,20.2,303320.0
NFML,2022-01-30,20.4,20.7,20.2,20.5,548758.0
NFML,2022-01-31,19.7,19.7,18.5,18.7,1847437.0
NFML,2022-02-01,19.2,19.2,18.6,18.9,448498.0
NFML,2022-02-02,19.1,19.2,18.7,18.8,536111.0
NFML,2022-02-03,18.8,19.1,18.6,18.9,401780.0
NFML,2022-02-06,18.8,19.1,18.7,18.7,413968.0
NFML,2022-02-07,18.7,19.0,18.6,18.6,422021.0
NFML,2022-02-08,18.9,18.9,18.6,18.6,297688.0
NFML,2022-02-09,18.9,19.3,18.7,19.2,627671.0
NFML,2022-02-10,19.3,19.3,18.9,19.0,350509.0
NFML,2022-02-13,19.2,19.2,18.8,18.9,233081.0
NFML,2022-02-14,19.1,19.1,18.7,18.7,410831.0
NFML,2022-02-15,18.8,18.9,18.6,18.7,164365.0
NFML,2022-02-16,18.7,18.9,18.7,18.8,146700.0
NFML,2022-02-17,18.7,18.9,18.5,18.6,211470.0
NFML,2022-02-20,18.8,18.8,18.2,18.2,199073.0
NFML,2022-02-22,18.5,18.5,18.2,18.3,136337.0
NFML,2022-02-23,18.5,18.7,18.3,18.7,205262.0
NFML,2022-02-24,18.8,19.7,18.6,18.8,1046006.0
NFML,2022-02-27,18.9,19.0,18.1,18.2,361173.0
NFML,2022-02-28,18.2,18.4,18.1,18.2,352915.0
NFML,2022-03-01,18.3,18.4,18.1,18.1,196176.0
