symbol,date,open,high,low,close,volume
NLI1STMF,2022-01-02,13.7,13.8,13.7,13.8,155800.0
NLI1STMF,2022-01-03,13.7,14.3,13.7,14.0,1671332.0
NLI1STMF,2022-01-04,14.0,14.0,13.8,13.9,140094.0
NLI1STMF,2022-01-05,13.9,13.9,13.8,13.9,243231.0
NLI1STMF,2022-01-06,13.9,14.0,13.8,13.9,197382.0
NLI1STMF,2022-01-09,14.0,14.1,13.9,14.0,297494.0
NLI1STMF,2022-01-10,13.9,14.0,13.9,13.9,134128.0
NLI1STMF,2022-01-11,13.9,14.0,13.8,13.9,1486500.0
NLI1STMF,2022-01-12,14.0,14.1,13.9,14.0,145594.0
NLI1STMF,2022-01-13,14.0,14.1,13.9,14.0,364914.0
NLI1STMF,2022-01-16,14.0,14.1,13.9,14.0,130220.0
NLI1STMF,2022-01-17,14.0,14.1,14.0,14.0,235743.0
NLI1STMF,2022-01-18,14.0,14.1,14.0,14.1,801622.0
NLI1STMF,2022-01-19,14.2,14.2,14.0,14.0,132555.0
NLI1STMF,2022-01-20,14.1,14.2,14.1,14.1,93937.0
NLI1STMF,2022-01-23,14.1,14.3,14.1,14.2,247779.0
NLI1STMF,2022-01-24,14.1,14.2,14.1,14.1,132345.0
NLI1STMF,2022-01-25,14.1,14.2,14.0,14.1,438054.0
NLI1STMF,2022-01-26,14.1,14.2,14.1,14.2,249320.0
NLI1STMF,2022-01-27,14.2,14.3,14.2,14.2,256685.0
NLI1STMF,2022-01-30,14.2,14.3,14.2,14.2,399058.0
NLI1STMF,2022-01-31,14.2,14.3,14.2,14.2,319616.0
NLI1STMF,2022-02-01,14.2,14.2,14.1,14.1,1885179.0
NLI1STMF,2022-02-02,14.0,14.2,14.0,14.1,1306800.0
NLI1STMF,2022-02-03,14.1,14.5,14.1,14.4,842334.0
