symbol,date,open,high,low,close,volume
NORTHRNINS,2022-01-02,54.6,55.6,53.5,54.9,202724.0
NORTHRNINS,2022-01-03,54.9,56.0,54.7,54.9,238460.0
NORTHRNINS,2022-01-04,55.4,56.1,54.8,55.1,241265.0
NORTHRNINS,2022-01-05,54.8,55.7,54.2,54.4,151000.0
NORTHRNINS,2022-01-06,54.8,54.8,53.4,53.6,73763.0
NORTHRNINS,2022-01-09,53.5,54.3,52.5,52.7,61714.0
NORTHRNINS,2022-01-10,52.5,53.5,52.0,52.8,57330.0
NORTHRNINS,2022-01-11,53.0,53.7,52.5,52.9,72245.0
NORTHRNINS,2022-01-12,53.1,53.9,50.2,51.0,113522.0
NORTHRNINS,2022-01-13,50.6,51.3,50.1,50.5,66207.0
NORTHRNINS,2022-01-16,55.1,55.3,52.5,52.7,145594.0
NORTHRNINS,2022-01-17,52.4,54.0,52.2,53.2,149175.0
NORTHRNINS,2022-01-18,53.0,53.0,52.0,52.3,61605.0
NORTHRNINS,2022-01-19,54.0,54.0,52.0,52.2,37958.0
NORTHRNINS,2022-01-20,52.0,53.0,51.5,51.9,108304.0
NORTHRNINS,2022-01-23,52.4,53.2,51.9,52.0,86300.0
NORTHRNINS,2022-01-24,53.0,53.0,51.5,51.7,52320.0
NORTHRNINS,2022-01-25,52.5,53.0,51.8,52.0,50344.0
NORTHRNINS,2022-01-26,52.0,52.2,51.2,51.4,80375.0
NORTHRNINS,2022-01-27,51.7,52.0,48.7,49.4,530989.0
NORTHRNINS,2022-01-30,49.6,51.1,48.4,49.1,237353.0
NORTHRNINS,2022-01-31,50.3,50.3,47.1,48.2,273559.0
NORTHRNINS,2022-02-01,49.0,49.5,46.0,47.1,233814.0
NORTHRNINS,2022-02-02,48.7,48.7,47.3,48.0,253549.0
NORTHRNINS,2022-02-03,48.6,49.8,48.5,49.4,156705.0
NORTHRNINS,2022-02-06,49.7,52.9,49.0,51.9,258010.0
NORTHRNINS,2022-02-07,52.2,53.6,51.3,53.1,244335.0
NORTHRNINS,2022-02-08,53.6,54.1,52.5,52.7,199294.0
NORTHRNINS,2022-02-09,53.3,53.3,51.7,51.9,98046.0
NORTHRNINS,2022-02-10,51.9,52.4,51.3,51.7,100097.0
NORTHRNINS,2022-02-13,51.9,51.9,51.0,51.3,60226.0
NORTHRNINS,2022-02-14,52.3,52.3,50.6,50.6,103770.0
NORTHRNINS,2022-02-15,51.9,51.9,49.4,49.8,92988.0
NORTHRNINS,2022-02-16,49.8,50.6,49.6,50.0,51743.0
NORTHRNINS,2022-02-17,49.7,50.7,49.4,49.7,51203.0
NORTHRNINS,2022-02-20,50.0,50.2,49.4,49.6,95279.0
NORTHRNINS,2022-02-22,49.5,49.7,48.6,49.0,120101.0
NORTHRNINS,2022-02-23,49.7,49.7,49.1,49.2,30992.0
NORTHRNINS,2022-02-24,49.5,49.9,49.0,49.2,192756.0
NORTHRNINS,2022-02-27,49.0,49.0,47.0,47.0,202808.0
NORTHRNINS,2022-02-28,49.0,49.0,48.3,48.8,83839.0
NORTHRNINS,2022-03-01,49.3,50.0,48.9,49.0,141283.0
NORTHRNINS,2022-03-02,48.9,50.0,48.7,49.8,70772.0
NORTHRNINS,2022-03-03,49.1,49.9,49.0,49.3,134124.0
NORTHRNINS,2022-03-06,49.4,49.9,48.6,48.9,87095.0
NORTHRNINS,2022-03-07,48.0,48.0,47.5,47.9,99420.0
NORTHRNINS,2022-03-08,47.6,48.1,46.0,47.1,64687.0
NORTHRNINS,2022-03-09,50.5,50.5,48.5,49.2,22361.0
NORTHRNINS,2022-03-10,51.4,51.5,49.5,50.0,59027.0
NORTHRNINS,2022-03-13,51.0,51.0,49.2,49.5,28724.0
NORTHRNINS,2022-03-14,49.3,50.5,49.2,49.4,51501.0
NORTHRNINS,2022-03-15,49.9,49.9,48.8,49.1,59232.0
NORTHRNINS,2022-03-16,49.0,49.5,48.8,49.2,30127.0
NORTHRNINS,2022-03-20,49.0,49.0,48.3,48.3,305923.0
NORTHRNINS,2022-03-21,47.4,48.8,47.4,47.5,120050.0
NORTHRNINS,2022-03-22,47.6,48.4,47.5,47.8,49466.0
NORTHRNINS,2022-03-23,48.1,49.0,48.0,48.1,68286.0
NORTHRNINS,2022-03-24,48.8,48.8,48.1,48.1,23441.0
NORTHRNINS,2022-03-27,48.1,48.5,48.1,48.2,154914.0
NORTHRNINS,2022-03-28,48.5,49.4,48.1,49.1,55421.0
NORTHRNINS,2022-03-29,49.0,50.4,48.9,50.4,195039.0
NORTHRNINS,2022-03-30,50.5,52.4,50.5,51.9,211837.0
NORTHRNINS,2022-03-31,52.1,53.1,51.2,51.8,102027.0
NORTHRNINS,2022-04-03,52.8,52.8,50.8,50.8,80108.0
NORTHRNINS,2022-04-04,50.8,50.8,49.8,49.8,220628.0
NORTHRNINS,2022-04-05,49.8,51.0,48.9,49.0,55944.0
NORTHRNINS,2022-04-06,48.5,48.5,48.1,48.4,99930.0
NORTHRNINS,2022-04-07,48.0,48.6,48.0,48.1,15968.0
NORTHRNINS,2022-04-10,49.5,49.5,47.3,48.5,89730.0
NORTHRNINS,2022-04-11,48.6,52.0,48.0,50.8,141446.0
NORTHRNINS,2022-04-12,50.5,51.5,49.8,49.9,190866.0
NORTHRNINS,2022-04-13,49.1,49.5,49.0,49.0,46749.0
NORTHRNINS,2022-04-17,48.4,50.6,48.4,48.9,54956.0
NORTHRNINS,2022-04-18,48.3,49.8,48.2,48.9,158945.0
NORTHRNINS,2022-04-19,48.2,49.4,48.0,48.6,161229.0
NORTHRNINS,2022-04-20,48.3,50.5,48.3,50.0,44177.0
NORTHRNINS,2022-04-21,48.6,50.9,48.6,50.5,93075.0
NORTHRNINS,2022-04-24,50.9,51.9,50.7,51.7,352587.0
NORTHRNINS,2022-04-25,51.7,52.9,51.5,52.7,165582.0
NORTHRNINS,2022-04-26,52.7,53.5,52.2,52.5,155306.0
NORTHRNINS,2022-04-27,51.6,52.3,51.6,51.9,32101.0
NORTHRNINS,2022-04-28,50.0,52.2,50.0,52.0,96636.0
NORTHRNINS,2022-05-05,52.0,52.7,51.0,51.4,7917.0
NORTHRNINS,2022-05-08,50.3,52.0,50.3,51.0,31463.0
NORTHRNINS,2022-05-09,51.0,51.5,50.6,51.5,62946.0
NORTHRNINS,2022-05-10,51.4,52.7,51.4,52.4,92671.0
NORTHRNINS,2022-05-11,52.6,52.6,51.3,51.9,146812.0
NORTHRNINS,2022-05-12,51.5,52.0,51.1,51.5,114061.0
NORTHRNINS,2022-05-16,51.1,51.1,49.1,49.5,137420.0
NORTHRNINS,2022-05-17,49.5,50.0,49.1,49.1,162015.0
NORTHRNINS,2022-05-18,49.2,51.0,47.2,48.6,92394.0
NORTHRNINS,2022-05-19,48.0,49.0,48.0,48.5,107957.0
NORTHRNINS,2022-05-22,48.1,48.1,46.1,46.8,93778.0
NORTHRNINS,2022-05-23,51.4,51.4,46.9,47.4,5882.0
NORTHRNINS,2022-05-24,47.4,49.8,47.0,47.0,21871.0
NORTHRNINS,2022-05-25,46.0,46.1,45.5,45.9,18653.0
NORTHRNINS,2022-05-29,45.3,46.8,45.0,45.7,27480.0
NORTHRNINS,2022-05-30,46.0,46.0,45.2,45.4,36454.0
NORTHRNINS,2022-05-31,47.3,48.2,46.1,47.2,40474.0
NORTHRNINS,2022-06-01,48.0,48.0,47.0,47.1,23152.0
NORTHRNINS,2022-06-02,47.2,47.5,46.5,46.9,39840.0
NORTHRNINS,2022-06-05,47.0,49.8,46.3,48.1,47076.0
NORTHRNINS,2022-06-06,50.8,52.0,49.0,51.7,123303.0
NORTHRNINS,2022-06-07,51.5,52.7,50.7,51.8,163786.0
NORTHRNINS,2022-06-08,51.7,52.0,50.8,50.8,39477.0
NORTHRNINS,2022-06-09,49.8,49.9,49.8,49.8,33399.0
NORTHRNINS,2022-06-12,49.0,49.0,48.9,49.0,7069.0
NORTHRNINS,2022-06-13,49.0,50.2,48.1,48.1,19869.0
NORTHRNINS,2022-06-14,47.5,49.9,47.2,48.3,49940.0
NORTHRNINS,2022-06-15,48.3,48.3,47.4,47.5,60534.0
NORTHRNINS,2022-06-16,49.0,49.0,47.3,47.6,13506.0
NORTHRNINS,2022-06-19,47.5,48.0,46.7,46.7,27293.0
NORTHRNINS,2022-06-20,46.0,46.0,45.8,45.8,34119.0
NORTHRNINS,2022-06-21,45.2,45.7,44.9,45.1,24851.0
NORTHRNINS,2022-06-22,44.2,45.8,44.2,45.1,12180.0
NORTHRNINS,2022-06-23,45.1,46.7,44.4,44.6,14855.0
NORTHRNINS,2022-06-26,44.3,44.4,44.3,44.3,25378.0
NORTHRNINS,2022-06-27,45.5,45.5,44.0,45.4,43240.0
NORTHRNINS,2022-06-28,47.0,47.0,44.6,44.9,13331.0
NORTHRNINS,2022-06-29,44.3,44.5,44.1,44.1,52372.0
NORTHRNINS,2022-06-30,43.9,45.7,43.9,44.7,38463.0
NORTHRNINS,2022-07-03,45.5,46.4,45.2,46.1,31423.0
NORTHRNINS,2022-07-04,45.6,45.6,45.2,45.3,14348.0
