symbol,date,open,high,low,close,volume
NTLTUBES,2022-01-02,88.3,89.7,87.0,87.6,106257.0
NTLTUBES,2022-01-03,87.5,87.7,85.0,85.2,135968.0
NTLTUBES,2022-01-04,84.9,86.5,84.3,86.0,84142.0
NTLTUBES,2022-01-05,86.0,89.0,85.1,87.1,131764.0
NTLTUBES,2022-01-06,88.0,89.0,86.1,88.2,230680.0
NTLTUBES,2022-01-09,90.0,90.6,85.5,86.1,104144.0
NTLTUBES,2022-01-10,86.2,92.4,86.0,91.3,373925.0
NTLTUBES,2022-01-11,92.2,100.4,92.2,100.4,913903.0
NTLTUBES,2022-01-12,100.4,102.0,93.0,93.8,469373.0
NTLTUBES,2022-01-13,94.0,99.0,92.5,96.9,308310.0
NTLTUBES,2022-01-16,98.8,100.9,95.1,95.5,238806.0
NTLTUBES,2022-01-17,96.2,97.5,93.0,93.2,241838.0
NTLTUBES,2022-01-18,94.9,95.0,91.0,91.4,245840.0
NTLTUBES,2022-01-19,91.6,93.9,91.6,92.0,129821.0
NTLTUBES,2022-01-20,93.0,93.0,91.0,91.2,138366.0
NTLTUBES,2022-01-23,90.6,91.7,90.1,90.6,91905.0
NTLTUBES,2022-01-24,92.0,92.0,88.5,89.5,128672.0
NTLTUBES,2022-01-25,90.0,90.5,89.0,89.0,75542.0
NTLTUBES,2022-01-26,90.0,90.0,87.5,87.7,71375.0
NTLTUBES,2022-01-27,87.7,88.9,87.0,87.8,73944.0
NTLTUBES,2022-01-30,88.8,91.0,87.7,90.5,238409.0
NTLTUBES,2022-01-31,91.2,93.1,89.7,90.4,165476.0
NTLTUBES,2022-02-01,92.3,92.3,90.0,90.3,135080.0
NTLTUBES,2022-02-02,90.4,91.1,89.0,89.2,147548.0
NTLTUBES,2022-02-03,89.3,89.6,88.2,88.5,101082.0
NTLTUBES,2022-02-06,89.9,90.0,88.3,88.5,97281.0
NTLTUBES,2022-02-07,90.7,95.1,90.6,93.5,507954.0
NTLTUBES,2022-02-08,94.2,94.3,91.6,91.8,123995.0
NTLTUBES,2022-02-09,91.3,93.1,91.3,92.6,120990.0
NTLTUBES,2022-02-10,92.0,95.7,92.0,94.5,310928.0
NTLTUBES,2022-02-13,95.7,96.0,92.8,93.1,128719.0
NTLTUBES,2022-02-14,93.2,94.3,91.0,93.0,125717.0
NTLTUBES,2022-02-15,92.5,93.5,91.8,92.9,123854.0
NTLTUBES,2022-02-16,94.3,94.8,93.0,93.4,145295.0
NTLTUBES,2022-02-17,93.8,96.9,93.3,93.7,367479.0
NTLTUBES,2022-02-20,94.8,98.6,92.8,96.2,464951.0
NTLTUBES,2022-02-22,96.4,97.0,93.0,93.4,271891.0
NTLTUBES,2022-02-23,92.5,93.8,91.5,91.6,239087.0
NTLTUBES,2022-02-24,91.6,91.7,88.0,89.0,205483.0
NTLTUBES,2022-02-27,90.0,90.0,85.0,85.2,165464.0
