symbol,date,open,high,low,close,volume
OAL,2022-01-02,11.1,11.8,11.1,11.6,375653.0
OAL,2022-01-03,11.8,12.2,11.5,11.8,1075475.0
OAL,2022-01-04,11.9,12.3,11.7,12.2,1206519.0
OAL,2022-01-05,12.3,12.6,12.2,12.4,1575228.0
OAL,2022-01-06,12.5,12.7,12.0,12.0,1462743.0
OAL,2022-01-09,12.1,12.4,11.8,11.9,1489723.0
OAL,2022-01-10,11.9,12.6,11.8,12.5,2148251.0
OAL,2022-01-11,12.7,12.8,12.0,12.1,1389189.0
OAL,2022-01-12,12.3,12.3,11.8,11.9,1206739.0
OAL,2022-01-13,12.1,12.2,11.8,12.0,552459.0
OAL,2022-01-16,12.1,12.3,12.0,12.0,564092.0
OAL,2022-01-17,12.2,12.2,11.9,12.0,817252.0
OAL,2022-01-18,12.1,12.2,12.0,12.0,845468.0
OAL,2022-01-19,12.0,12.7,11.9,12.5,2460205.0
OAL,2022-01-20,12.5,13.4,12.5,12.7,3169447.0
OAL,2022-01-23,12.7,12.7,12.2,12.4,1810421.0
OAL,2022-01-24,12.3,12.4,12.0,12.1,1012560.0
OAL,2022-01-25,12.1,12.3,11.9,12.0,924677.0
OAL,2022-01-26,12.0,12.6,12.0,12.3,795180.0
OAL,2022-01-27,12.5,13.0,12.4,12.7,2250502.0
OAL,2022-01-30,12.8,12.8,12.1,12.3,1046146.0
OAL,2022-01-31,12.3,12.5,12.0,12.1,1006768.0
OAL,2022-02-01,12.3,12.8,12.1,12.5,1308437.0
OAL,2022-02-02,12.7,13.7,12.6,13.7,6706429.0
OAL,2022-02-03,14.2,14.5,13.8,14.0,5601511.0
OAL,2022-02-06,13.9,14.3,13.4,13.5,5843580.0
OAL,2022-02-07,13.6,14.3,13.6,14.1,3095554.0
OAL,2022-02-08,14.4,15.5,14.2,15.5,11769388.0
OAL,2022-02-09,15.5,16.0,15.0,15.1,4433695.0
OAL,2022-02-10,15.0,15.3,14.6,14.8,5450819.0
OAL,2022-02-13,15.0,15.5,14.9,15.0,4972934.0
OAL,2022-02-14,15.1,15.2,14.2,14.3,4328085.0
OAL,2022-02-15,14.3,14.6,13.4,13.8,3595899.0
OAL,2022-02-16,14.1,14.5,13.8,14.2,3634986.0
OAL,2022-02-17,14.2,14.4,13.7,13.9,1992005.0
OAL,2022-02-20,14.1,14.1,13.2,13.3,1601352.0
OAL,2022-02-22,13.5,13.6,13.0,13.3,1574759.0
OAL,2022-02-23,13.5,14.0,13.5,13.9,1493728.0
OAL,2022-02-24,13.8,14.6,13.6,13.8,3909191.0
OAL,2022-02-27,13.8,13.9,13.1,13.2,2102778.0
OAL,2022-02-28,13.4,13.8,13.2,13.5,1430192.0
OAL,2022-03-01,13.7,13.7,13.2,13.3,1265768.0
OAL,2022-03-02,13.4,13.4,13.0,13.1,1298217.0
OAL,2022-03-03,13.1,13.4,12.9,13.3,661040.0
OAL,2022-03-06,13.5,13.5,13.0,13.1,816470.0
OAL,2022-03-07,13.2,13.2,12.3,12.4,1206076.0
OAL,2022-03-08,12.5,12.8,12.0,12.6,1444787.0
OAL,2022-03-09,12.8,13.2,12.6,13.1,1383771.0
OAL,2022-03-10,13.2,13.3,12.9,13.1,1595968.0
OAL,2022-03-13,13.2,13.7,13.0,13.6,2044260.0
OAL,2022-03-14,13.8,13.8,13.4,13.4,1541293.0
OAL,2022-03-15,13.3,13.6,13.2,13.4,1551343.0
OAL,2022-03-16,13.6,13.6,13.2,13.2,790839.0
OAL,2022-03-20,13.2,13.3,13.0,13.0,782262.0
OAL,2022-03-21,13.0,13.0,12.8,12.9,719163.0
OAL,2022-03-22,13.1,13.1,12.7,13.0,1096720.0
OAL,2022-03-23,13.1,13.2,12.8,12.8,1294733.0
OAL,2022-03-24,12.9,12.9,12.6,12.7,991036.0
OAL,2022-03-27,12.8,12.8,12.5,12.7,854863.0
OAL,2022-03-28,12.7,12.8,12.5,12.6,883102.0
OAL,2022-03-29,12.6,12.9,12.6,12.8,566327.0
OAL,2022-03-30,12.9,13.0,12.6,12.7,840940.0
OAL,2022-03-31,12.8,13.1,12.6,12.9,1008054.0
OAL,2022-04-03,13.0,13.2,12.9,12.9,648864.0
OAL,2022-04-04,12.9,12.9,12.7,12.7,664615.0
OAL,2022-04-05,12.7,12.7,12.5,12.5,458138.0
OAL,2022-04-06,12.5,12.5,12.3,12.3,476304.0
OAL,2022-04-07,12.2,12.4,12.1,12.3,514935.0
OAL,2022-04-10,12.3,12.5,12.1,12.4,312804.0
OAL,2022-04-11,12.5,12.5,12.2,12.2,249252.0
OAL,2022-04-12,12.1,12.2,12.0,12.0,314611.0
OAL,2022-04-13,11.9,12.1,11.8,12.0,443177.0
OAL,2022-04-17,12.1,12.1,11.8,11.8,266121.0
OAL,2022-04-18,11.8,11.8,11.6,11.6,209006.0
OAL,2022-04-19,11.4,11.7,11.4,11.5,600213.0
OAL,2022-04-20,11.6,11.8,11.5,11.7,490486.0
OAL,2022-04-21,11.8,12.0,11.7,12.0,784657.0
OAL,2022-04-24,12.0,12.4,11.9,11.9,588865.0
OAL,2022-04-25,11.9,12.0,11.6,11.7,532680.0
OAL,2022-04-26,11.3,11.5,11.2,11.3,1194865.0
OAL,2022-04-27,11.5,11.5,11.3,11.5,340827.0
OAL,2022-04-28,11.5,11.5,11.3,11.3,389550.0
OAL,2022-05-05,11.3,11.3,11.1,11.1,270954.0
OAL,2022-05-08,11.0,11.4,11.0,11.3,417768.0
OAL,2022-05-09,11.4,12.0,11.3,11.9,1016511.0
OAL,2022-05-10,11.9,12.3,11.7,11.8,1254576.0
OAL,2022-05-11,11.7,11.9,11.3,11.4,773204.0
