symbol,date,open,high,low,close,volume
OIMEX,2022-01-02,17.5,18.1,17.5,18.0,45816.0
OIMEX,2022-01-03,18.2,18.5,17.7,17.8,113165.0
OIMEX,2022-01-04,17.9,18.7,17.6,18.4,88286.0
OIMEX,2022-01-05,18.7,19.1,18.4,18.9,137344.0
OIMEX,2022-01-06,19.4,19.4,19.0,19.1,198563.0
OIMEX,2022-01-09,19.4,19.4,18.6,18.7,136644.0
OIMEX,2022-01-10,18.5,18.9,18.4,18.7,82111.0
OIMEX,2022-01-11,18.6,18.8,18.6,18.7,95775.0
OIMEX,2022-01-12,18.9,19.2,18.4,18.5,105074.0
OIMEX,2022-01-13,18.6,18.8,18.4,18.5,71883.0
OIMEX,2022-01-16,18.5,19.0,18.3,18.7,97373.0
OIMEX,2022-01-17,18.8,18.9,18.0,18.2,236010.0
OIMEX,2022-01-18,18.3,18.8,18.2,18.7,125492.0
OIMEX,2022-01-19,18.8,18.8,18.5,18.7,99304.0
OIMEX,2022-01-20,18.8,19.3,18.7,18.8,119756.0
OIMEX,2022-01-23,18.7,18.9,18.5,18.7,88959.0
OIMEX,2022-01-24,18.6,18.6,18.4,18.5,60726.0
OIMEX,2022-01-25,18.4,18.4,18.0,18.1,97653.0
OIMEX,2022-01-26,18.5,18.5,18.1,18.1,29663.0
OIMEX,2022-01-27,18.4,18.9,18.4,18.4,90338.0
OIMEX,2022-01-30,17.9,18.0,17.3,17.6,244987.0
OIMEX,2022-01-31,17.3,18.0,17.3,17.6,66643.0
OIMEX,2022-02-01,17.6,18.3,17.6,18.0,117322.0
OIMEX,2022-02-02,18.1,18.6,18.1,18.2,124801.0
OIMEX,2022-02-03,18.7,19.5,18.5,18.9,485654.0
OIMEX,2022-02-06,19.0,19.2,18.7,19.0,181418.0
OIMEX,2022-02-07,19.2,19.2,18.5,18.6,138366.0
OIMEX,2022-02-08,18.9,18.9,18.4,18.5,120785.0
OIMEX,2022-02-09,18.7,19.1,18.6,18.7,168274.0
OIMEX,2022-02-10,19.0,19.0,18.7,18.8,66751.0
OIMEX,2022-02-13,18.8,19.2,18.8,19.2,250910.0
OIMEX,2022-02-14,19.1,20.0,19.1,19.2,406238.0
