symbol,date,open,high,low,close,volume
OLYMPIC,2022-01-02,160.6,161.2,159.0,160.9,30159.0
OLYMPIC,2022-01-03,160.9,163.0,160.2,161.2,60811.0
OLYMPIC,2022-01-04,161.7,161.7,159.8,160.0,137768.0
OLYMPIC,2022-01-05,162.0,162.0,159.5,160.0,64162.0
OLYMPIC,2022-01-06,160.5,162.4,160.5,161.5,66915.0
OLYMPIC,2022-01-09,163.0,166.0,162.2,162.6,127509.0
OLYMPIC,2022-01-10,162.6,163.0,160.8,162.3,76159.0
OLYMPIC,2022-01-11,163.0,163.8,160.1,161.7,331045.0
OLYMPIC,2022-01-12,161.8,164.0,161.8,162.6,131431.0
OLYMPIC,2022-01-13,162.7,163.8,162.2,162.9,105057.0
OLYMPIC,2022-01-16,163.0,166.6,163.0,164.9,147264.0
OLYMPIC,2022-01-17,166.0,168.0,164.5,164.9,444507.0
OLYMPIC,2022-01-18,165.7,170.0,165.0,168.1,538810.0
OLYMPIC,2022-01-19,170.0,171.0,165.2,166.0,573626.0
OLYMPIC,2022-01-20,167.0,167.0,163.7,164.1,280082.0
OLYMPIC,2022-01-23,163.5,164.6,161.9,162.3,203783.0
OLYMPIC,2022-01-24,162.8,163.7,162.5,163.0,133231.0
OLYMPIC,2022-01-25,163.0,164.3,162.0,162.7,395133.0
OLYMPIC,2022-01-26,163.7,163.7,162.5,162.6,56740.0
OLYMPIC,2022-01-27,162.0,165.4,162.0,162.3,82300.0
OLYMPIC,2022-01-30,162.4,162.4,158.5,159.0,383203.0
OLYMPIC,2022-01-31,158.0,163.0,157.0,161.7,246383.0
OLYMPIC,2022-02-01,160.9,160.9,157.1,159.1,213394.0
OLYMPIC,2022-02-02,159.2,160.3,157.4,157.9,246775.0
OLYMPIC,2022-02-03,158.1,160.0,157.0,157.4,224193.0
OLYMPIC,2022-02-06,158.0,160.4,156.5,156.9,135049.0
OLYMPIC,2022-02-07,157.5,158.6,156.0,156.2,157045.0
OLYMPIC,2022-02-08,156.3,157.5,155.9,156.2,113306.0
OLYMPIC,2022-02-09,157.0,157.4,156.0,156.6,134174.0
OLYMPIC,2022-02-10,156.1,158.8,155.6,155.9,122981.0
OLYMPIC,2022-02-13,156.0,157.0,155.2,155.6,95052.0
OLYMPIC,2022-02-14,155.6,156.8,154.8,155.0,158486.0
OLYMPIC,2022-02-15,155.0,156.0,154.2,154.5,119305.0
OLYMPIC,2022-02-16,155.0,155.5,154.0,154.3,66254.0
OLYMPIC,2022-02-17,154.4,155.5,153.3,154.0,118845.0
OLYMPIC,2022-02-20,154.9,154.9,153.0,153.5,88486.0
OLYMPIC,2022-02-22,155.0,156.4,150.5,151.0,224123.0
OLYMPIC,2022-02-23,152.0,153.6,150.0,150.7,242983.0
OLYMPIC,2022-02-24,152.9,161.0,152.2,153.1,1347433.0
OLYMPIC,2022-02-27,154.2,154.3,150.0,150.7,174740.0
OLYMPIC,2022-02-28,150.7,151.5,146.0,147.2,495364.0
OLYMPIC,2022-03-01,147.2,151.2,147.2,150.0,190745.0
OLYMPIC,2022-03-02,149.3,149.5,146.8,147.1,159357.0
OLYMPIC,2022-03-03,148.5,148.5,145.1,146.7,116999.0
OLYMPIC,2022-03-06,146.7,149.9,144.5,145.0,95499.0
OLYMPIC,2022-03-07,144.0,144.1,139.5,140.0,209844.0
OLYMPIC,2022-03-08,139.5,145.9,133.2,137.1,549658.0
OLYMPIC,2022-03-09,138.1,141.8,136.3,138.2,459361.0
OLYMPIC,2022-03-10,141.7,142.7,138.5,138.8,364308.0
OLYMPIC,2022-03-13,139.9,143.0,139.0,142.4,264857.0
OLYMPIC,2022-03-14,142.5,142.5,140.1,140.5,247595.0
OLYMPIC,2022-03-15,140.2,141.7,139.5,140.0,245953.0
OLYMPIC,2022-03-16,140.1,141.2,139.2,139.7,214660.0
OLYMPIC,2022-03-20,140.9,141.0,137.0,137.7,124078.0
OLYMPIC,2022-03-21,137.5,138.2,136.2,137.5,66394.0
OLYMPIC,2022-03-22,137.5,140.0,137.5,139.3,78579.0
OLYMPIC,2022-03-23,140.8,140.8,138.2,138.6,88994.0
OLYMPIC,2022-03-24,139.3,139.9,138.0,138.3,71476.0
OLYMPIC,2022-03-27,138.3,139.2,138.1,138.6,55311.0
OLYMPIC,2022-03-28,138.2,139.4,137.1,137.3,154069.0
OLYMPIC,2022-03-29,137.5,139.5,137.5,137.9,103717.0
OLYMPIC,2022-03-30,139.3,139.3,137.5,138.0,93881.0
OLYMPIC,2022-03-31,138.9,138.9,137.0,137.2,97021.0
OLYMPIC,2022-04-03,139.4,139.4,136.9,137.1,65048.0
OLYMPIC,2022-04-04,137.1,137.5,136.3,136.5,80069.0
OLYMPIC,2022-04-05,137.3,137.3,136.1,136.4,83235.0
OLYMPIC,2022-04-06,136.4,136.9,135.3,135.6,79838.0
OLYMPIC,2022-04-07,136.0,138.9,134.5,135.0,137195.0
OLYMPIC,2022-04-10,137.0,137.0,134.7,135.1,38067.0
OLYMPIC,2022-04-11,135.1,136.0,134.5,134.7,64398.0
OLYMPIC,2022-04-12,134.8,134.9,134.1,134.4,34127.0
OLYMPIC,2022-04-13,135.0,135.4,133.8,134.5,34279.0
OLYMPIC,2022-04-17,135.6,135.6,134.0,134.0,28376.0
OLYMPIC,2022-04-18,134.0,134.0,131.4,131.6,86981.0
OLYMPIC,2022-04-19,132.9,132.9,129.0,131.5,109256.0
OLYMPIC,2022-04-20,133.0,133.5,131.0,131.9,57120.0
OLYMPIC,2022-04-21,133.5,135.0,132.0,134.5,129444.0
OLYMPIC,2022-04-24,137.7,139.0,134.5,135.9,122223.0
OLYMPIC,2022-04-25,135.1,135.7,133.1,133.9,99607.0
OLYMPIC,2022-04-26,134.9,134.9,132.9,133.1,134763.0
OLYMPIC,2022-04-27,133.5,134.5,133.1,133.5,60088.0
OLYMPIC,2022-04-28,133.5,133.5,130.1,130.7,180200.0
OLYMPIC,2022-05-05,130.5,130.7,127.8,128.0,138364.0
OLYMPIC,2022-05-08,129.9,131.5,128.2,130.7,52347.0
OLYMPIC,2022-05-09,130.0,133.2,130.0,132.5,410869.0
