symbol,date,open,high,low,close,volume
ORIONINFU,2022-01-02,88.5,90.0,88.0,89.0,294885.0
ORIONINFU,2022-01-03,89.4,92.0,89.1,89.7,384150.0
ORIONINFU,2022-01-04,90.0,97.1,89.0,96.0,969082.0
ORIONINFU,2022-01-05,96.3,98.0,93.2,94.0,632446.0
ORIONINFU,2022-01-06,94.0,96.1,93.0,93.9,764996.0
ORIONINFU,2022-01-09,94.0,95.5,90.1,91.4,412149.0
ORIONINFU,2022-01-10,92.6,93.7,90.5,92.2,326420.0
ORIONINFU,2022-01-11,93.9,96.2,91.9,92.6,781816.0
ORIONINFU,2022-01-12,93.2,94.7,91.0,91.3,272979.0
ORIONINFU,2022-01-13,92.7,92.7,90.0,90.8,387751.0
ORIONINFU,2022-01-16,91.9,97.1,91.9,94.8,999281.0
ORIONINFU,2022-01-17,96.4,104.2,96.2,104.2,2313018.0
ORIONINFU,2022-01-18,107.5,111.9,103.1,107.9,1817210.0
ORIONINFU,2022-01-19,108.0,117.0,108.0,111.0,2542203.0
ORIONINFU,2022-01-20,110.3,112.5,104.5,105.4,976939.0
ORIONINFU,2022-01-23,105.4,108.5,102.1,103.2,1154659.0
ORIONINFU,2022-01-24,104.2,110.9,103.0,108.3,1492945.0
ORIONINFU,2022-01-25,109.1,110.8,106.6,107.4,1224450.0
ORIONINFU,2022-01-26,107.4,107.8,100.1,101.6,1401504.0
ORIONINFU,2022-01-27,102.1,102.9,97.3,97.8,1181494.0
ORIONINFU,2022-01-30,97.8,103.4,97.0,97.7,880107.0
ORIONINFU,2022-01-31,95.0,96.4,92.8,93.2,960361.0
ORIONINFU,2022-02-01,94.7,96.2,93.1,95.1,550992.0
ORIONINFU,2022-02-02,95.8,97.4,92.8,93.6,462956.0
ORIONINFU,2022-02-03,94.1,94.8,92.0,92.3,399955.0
ORIONINFU,2022-02-06,93.1,94.3,91.6,92.0,488204.0
ORIONINFU,2022-02-07,92.2,94.7,92.2,93.3,362099.0
ORIONINFU,2022-02-08,94.2,94.9,92.2,92.6,307022.0
ORIONINFU,2022-02-09,93.4,94.4,92.7,93.9,275700.0
ORIONINFU,2022-02-10,94.8,97.7,94.2,97.1,984859.0
ORIONINFU,2022-02-13,98.1,99.4,94.5,95.0,573213.0
ORIONINFU,2022-02-14,96.0,96.2,93.6,93.8,333226.0
ORIONINFU,2022-02-15,94.6,94.9,93.3,93.9,296540.0
ORIONINFU,2022-02-16,94.4,96.0,94.1,95.3,355337.0
ORIONINFU,2022-02-17,96.0,97.3,94.9,95.1,537802.0
ORIONINFU,2022-02-20,96.0,96.3,93.6,94.0,396223.0
ORIONINFU,2022-02-22,94.0,95.8,93.1,93.5,358973.0
ORIONINFU,2022-02-23,94.1,94.6,93.4,93.6,183180.0
ORIONINFU,2022-02-24,94.4,94.4,90.0,91.0,362589.0
ORIONINFU,2022-02-27,90.8,91.3,87.3,87.9,300082.0
ORIONINFU,2022-02-28,89.6,90.5,87.6,88.0,186701.0
ORIONINFU,2022-03-01,89.5,90.9,88.0,88.3,169572.0
ORIONINFU,2022-03-02,88.6,88.6,86.0,86.6,124889.0
ORIONINFU,2022-03-03,86.5,88.1,85.4,87.4,166657.0
ORIONINFU,2022-03-06,87.9,87.9,85.5,85.7,155851.0
ORIONINFU,2022-03-07,86.1,86.1,79.8,80.4,257349.0
ORIONINFU,2022-03-08,82.7,84.8,76.8,83.1,213011.0
ORIONINFU,2022-03-09,85.4,88.2,83.4,87.4,196379.0
ORIONINFU,2022-03-10,88.0,89.4,86.6,87.3,315130.0
ORIONINFU,2022-03-13,87.7,89.3,86.5,88.8,199494.0
ORIONINFU,2022-03-14,88.8,90.1,87.6,88.0,207572.0
ORIONINFU,2022-03-15,88.0,88.4,86.6,87.0,211601.0
ORIONINFU,2022-03-16,87.4,87.6,86.6,87.2,165601.0
ORIONINFU,2022-03-20,87.0,87.9,85.5,85.5,128867.0
ORIONINFU,2022-03-21,85.0,85.6,83.9,85.0,151630.0
ORIONINFU,2022-03-22,85.7,87.5,85.5,87.1,142120.0
ORIONINFU,2022-03-23,87.7,87.8,85.4,85.7,114815.0
ORIONINFU,2022-03-24,86.0,89.5,84.9,89.0,321333.0
ORIONINFU,2022-03-27,90.0,91.3,89.2,89.8,323048.0
ORIONINFU,2022-03-28,89.9,91.0,88.2,88.4,357025.0
ORIONINFU,2022-03-29,88.0,88.3,86.7,86.7,251564.0
ORIONINFU,2022-03-30,87.9,87.9,86.0,86.2,84380.0
ORIONINFU,2022-03-31,86.2,86.9,86.0,86.3,100689.0
ORIONINFU,2022-04-03,86.3,87.0,86.1,86.3,61081.0
ORIONINFU,2022-04-04,86.3,86.3,85.5,85.7,58167.0
ORIONINFU,2022-04-05,85.1,86.1,84.8,84.9,62621.0
ORIONINFU,2022-04-06,84.3,86.7,84.0,84.8,37833.0
ORIONINFU,2022-04-07,85.7,85.7,83.9,84.8,63011.0
ORIONINFU,2022-04-10,85.9,85.9,84.6,85.3,72735.0
ORIONINFU,2022-04-11,85.4,86.0,84.0,84.2,66559.0
ORIONINFU,2022-04-12,84.4,84.4,82.6,82.6,95606.0
ORIONINFU,2022-04-13,82.1,83.5,81.0,82.5,85860.0
ORIONINFU,2022-04-17,82.5,82.5,81.0,81.5,40787.0
ORIONINFU,2022-04-18,80.6,81.9,79.9,80.3,105083.0
ORIONINFU,2022-04-19,80.7,82.3,78.7,81.2,90449.0
ORIONINFU,2022-04-20,82.4,82.8,81.0,82.5,83469.0
ORIONINFU,2022-04-21,82.1,83.5,80.9,81.1,262371.0
ORIONINFU,2022-04-24,82.2,84.5,81.4,82.9,139172.0
ORIONINFU,2022-04-25,83.0,83.0,81.0,81.5,66717.0
ORIONINFU,2022-04-26,82.5,82.5,80.1,80.7,110539.0
ORIONINFU,2022-04-27,82.1,83.2,81.6,82.3,157765.0
ORIONINFU,2022-04-28,82.0,82.5,81.1,81.4,109117.0
ORIONINFU,2022-05-05,81.4,83.8,81.0,83.3,79102.0
ORIONINFU,2022-05-08,83.1,84.5,82.8,84.1,226373.0
ORIONINFU,2022-05-09,84.2,86.8,83.9,86.4,356333.0
ORIONINFU,2022-05-10,86.3,87.8,84.1,84.5,172338.0
ORIONINFU,2022-05-11,85.0,85.8,81.8,82.1,235875.0
ORIONINFU,2022-05-12,82.1,83.7,81.3,82.0,82243.0
ORIONINFU,2022-05-16,83.5,83.5,80.3,80.5,144204.0
ORIONINFU,2022-05-17,81.0,82.6,79.1,82.0,225842.0
ORIONINFU,2022-05-18,82.4,84.4,78.0,79.6,290360.0
ORIONINFU,2022-05-19,79.7,80.8,78.0,78.4,103096.0
ORIONINFU,2022-05-22,79.9,79.9,76.5,77.1,120841.0
ORIONINFU,2022-05-23,79.9,80.8,78.1,80.0,118343.0
ORIONINFU,2022-05-24,81.0,81.5,76.2,77.7,167508.0
ORIONINFU,2022-05-25,78.8,80.8,76.1,76.5,196628.0
ORIONINFU,2022-05-26,76.5,78.0,76.0,77.4,65512.0
ORIONINFU,2022-05-29,78.2,80.9,78.2,80.5,93735.0
ORIONINFU,2022-05-30,80.2,83.0,80.1,81.5,315199.0
ORIONINFU,2022-05-31,82.0,82.0,81.0,81.4,56151.0
ORIONINFU,2022-06-01,82.9,82.9,80.7,82.0,151524.0
ORIONINFU,2022-06-02,82.0,83.3,81.9,82.1,186128.0
ORIONINFU,2022-06-05,82.3,83.1,81.9,82.5,124561.0
ORIONINFU,2022-06-06,81.6,82.8,81.0,82.3,180485.0
ORIONINFU,2022-06-07,81.9,82.8,81.0,81.3,154581.0
ORIONINFU,2022-06-08,80.4,81.8,80.2,81.2,65471.0
ORIONINFU,2022-06-09,82.0,82.0,80.8,81.1,60510.0
ORIONINFU,2022-06-12,81.3,81.3,79.5,79.6,100227.0
ORIONINFU,2022-06-13,83.0,83.0,79.6,79.9,30278.0
ORIONINFU,2022-06-14,80.1,81.2,79.4,79.7,136026.0
ORIONINFU,2022-06-15,79.8,81.3,79.7,80.4,98985.0
ORIONINFU,2022-06-16,80.7,82.2,80.0,81.4,137070.0
ORIONINFU,2022-06-19,83.7,83.7,80.2,80.7,99439.0
ORIONINFU,2022-06-20,80.8,81.4,79.9,80.4,178829.0
ORIONINFU,2022-06-21,81.7,82.5,80.4,82.1,334986.0
ORIONINFU,2022-06-22,82.5,83.5,81.3,83.1,177510.0
ORIONINFU,2022-06-23,83.6,86.1,83.4,85.3,724333.0
ORIONINFU,2022-06-26,86.0,86.2,83.6,84.4,230949.0
ORIONINFU,2022-06-27,84.4,84.8,83.4,84.2,135884.0
ORIONINFU,2022-06-28,85.4,85.8,84.2,85.1,234844.0
ORIONINFU,2022-06-29,85.4,87.7,85.3,87.2,770145.0
ORIONINFU,2022-06-30,87.9,88.1,86.3,87.3,448637.0
ORIONINFU,2022-07-03,87.3,88.0,86.2,87.6,329656.0
ORIONINFU,2022-07-04,87.6,90.0,87.1,89.8,567968.0
ORIONINFU,2022-07-05,90.0,94.0,90.0,93.4,779820.0
ORIONINFU,2022-07-06,93.4,95.4,92.6,95.0,1725375.0
ORIONINFU,2022-07-07,95.9,98.5,95.1,96.6,1282519.0
ORIONINFU,2022-07-12,97.4,97.9,94.7,94.7,326251.0
ORIONINFU,2022-07-13,93.0,96.3,92.9,95.5,530066.0
ORIONINFU,2022-07-14,97.8,97.9,94.2,95.7,519240.0
ORIONINFU,2022-07-17,96.0,98.8,96.0,98.1,767784.0
ORIONINFU,2022-07-18,99.0,102.7,98.3,100.2,1383331.0
ORIONINFU,2022-07-19,100.0,100.1,98.2,98.4,611949.0
ORIONINFU,2022-07-20,98.2,106.9,98.2,105.5,1562461.0
ORIONINFU,2022-07-21,106.1,108.9,105.1,107.1,1201045.0
ORIONINFU,2022-07-24,107.5,113.7,105.0,108.3,2149191.0
ORIONINFU,2022-07-25,108.5,108.6,106.2,107.8,777033.0
ORIONINFU,2022-07-26,112.8,112.8,107.6,108.9,1045216.0
ORIONINFU,2022-07-27,110.4,110.6,106.8,106.8,601853.0
ORIONINFU,2022-07-28,105.2,105.3,104.7,104.7,325194.0
ORIONINFU,2022-07-31,107.3,116.8,107.3,116.3,1615491.0
ORIONINFU,2022-08-01,116.6,119.9,115.0,117.7,1331903.0
ORIONINFU,2022-08-02,118.3,118.3,114.7,117.1,1317898.0
ORIONINFU,2022-08-03,118.5,126.8,117.9,125.5,1612332.0
ORIONINFU,2022-08-04,125.0,132.9,124.6,132.3,1354912.0
ORIONINFU,2022-08-07,132.0,132.4,126.0,131.4,1254586.0
ORIONINFU,2022-08-08,131.1,134.9,130.3,133.9,1291450.0
ORIONINFU,2022-08-10,133.9,135.7,132.6,133.7,862063.0
ORIONINFU,2022-08-11,134.1,134.6,125.5,130.5,1253321.0
ORIONINFU,2022-08-14,130.7,131.9,126.7,129.1,557873.0
ORIONINFU,2022-08-16,130.0,142.0,129.0,141.3,1352919.0
ORIONINFU,2022-08-17,142.2,147.7,140.7,145.8,762354.0
ORIONINFU,2022-08-21,146.0,160.3,144.0,158.1,1370333.0
ORIONINFU,2022-08-22,156.2,173.9,156.2,173.9,1351366.0
ORIONINFU,2022-08-23,175.0,191.2,173.9,191.2,956925.0
ORIONINFU,2022-08-24,194.7,206.0,190.0,200.0,1683329.0
