symbol,date,open,high,low,close,volume
ORIONPHARM,2022-01-02,93.1,95.0,92.1,93.9,491884.0
ORIONPHARM,2022-01-03,93.9,96.8,93.7,95.1,1409332.0
ORIONPHARM,2022-01-04,95.7,103.0,95.2,102.6,2341605.0
ORIONPHARM,2022-01-05,102.9,104.0,99.8,100.4,2010755.0
ORIONPHARM,2022-01-06,100.4,104.1,99.5,100.8,2341984.0
ORIONPHARM,2022-01-09,101.0,102.9,96.0,97.5,2120848.0
ORIONPHARM,2022-01-10,98.0,98.6,96.0,97.4,1953473.0
ORIONPHARM,2022-01-11,98.9,101.9,97.1,97.9,2130625.0
ORIONPHARM,2022-01-12,98.0,99.9,95.0,96.1,1564531.0
ORIONPHARM,2022-01-13,96.1,98.4,95.9,97.0,782956.0
ORIONPHARM,2022-01-16,98.0,101.0,97.9,99.5,1449505.0
ORIONPHARM,2022-01-17,101.3,109.4,100.8,106.3,7116769.0
ORIONPHARM,2022-01-18,106.7,107.7,104.0,105.0,2696309.0
ORIONPHARM,2022-01-19,105.8,107.7,104.4,105.1,3053724.0
ORIONPHARM,2022-01-20,105.4,106.5,102.5,102.8,1637276.0
ORIONPHARM,2022-01-23,104.0,105.0,101.9,102.1,1778510.0
ORIONPHARM,2022-01-24,102.2,105.2,102.2,103.9,1490407.0
ORIONPHARM,2022-01-25,105.0,107.2,104.3,105.9,2132541.0
ORIONPHARM,2022-01-26,106.9,107.7,105.4,105.9,2577100.0
ORIONPHARM,2022-01-27,106.4,107.5,105.2,106.0,2166652.0
ORIONPHARM,2022-01-30,106.9,109.5,106.6,108.7,3537045.0
ORIONPHARM,2022-01-31,110.1,110.5,104.4,104.8,3330779.0
ORIONPHARM,2022-02-01,105.0,109.1,103.2,108.4,3547075.0
ORIONPHARM,2022-02-02,109.8,110.6,105.1,105.7,3378579.0
ORIONPHARM,2022-02-03,106.0,106.5,103.6,103.9,2914656.0
ORIONPHARM,2022-02-06,104.5,107.0,103.9,104.7,2092219.0
ORIONPHARM,2022-02-07,105.9,108.9,105.7,107.5,4062012.0
ORIONPHARM,2022-02-08,108.5,109.7,106.3,106.8,2645274.0
ORIONPHARM,2022-02-09,107.4,108.4,106.5,108.0,3421703.0
ORIONPHARM,2022-02-10,108.9,114.6,108.7,113.3,7123814.0
ORIONPHARM,2022-02-13,114.8,115.9,110.1,111.1,4962538.0
ORIONPHARM,2022-02-14,111.1,111.4,107.5,108.2,4744042.0
ORIONPHARM,2022-02-15,108.3,110.1,107.3,109.1,2545491.0
ORIONPHARM,2022-02-16,110.2,110.8,108.2,110.3,4174685.0
ORIONPHARM,2022-02-17,111.2,113.8,110.2,111.1,5783896.0
ORIONPHARM,2022-02-20,112.0,112.0,108.9,109.2,3041187.0
ORIONPHARM,2022-02-22,109.5,109.7,107.4,108.8,3319459.0
ORIONPHARM,2022-02-23,109.0,110.7,108.6,108.9,2367947.0
ORIONPHARM,2022-02-24,109.4,109.4,103.8,104.5,3515815.0
ORIONPHARM,2022-02-27,105.0,105.7,101.7,102.8,2124155.0
ORIONPHARM,2022-02-28,103.9,104.9,102.7,103.2,1364265.0
ORIONPHARM,2022-03-01,104.1,104.5,101.1,101.8,2718620.0
ORIONPHARM,2022-03-02,102.8,102.8,98.3,99.9,1292754.0
ORIONPHARM,2022-03-03,99.9,101.5,98.0,100.6,1471870.0
ORIONPHARM,2022-03-06,101.5,102.0,96.5,97.0,1140262.0
ORIONPHARM,2022-03-07,96.9,97.5,92.9,93.2,1491963.0
ORIONPHARM,2022-03-08,94.0,96.4,91.0,95.6,1253831.0
ORIONPHARM,2022-03-09,96.9,99.5,96.0,99.0,1496538.0
ORIONPHARM,2022-03-10,101.0,101.8,98.6,99.2,2554946.0
ORIONPHARM,2022-03-13,100.0,103.7,99.5,103.2,2265396.0
ORIONPHARM,2022-03-14,103.5,104.2,101.2,101.7,1777049.0
ORIONPHARM,2022-03-15,101.0,102.7,99.9,100.6,1513763.0
ORIONPHARM,2022-03-16,101.2,102.7,100.9,101.8,1521484.0
ORIONPHARM,2022-03-20,102.7,103.7,100.2,100.3,1694988.0
ORIONPHARM,2022-03-21,101.0,102.0,99.4,101.4,1081470.0
ORIONPHARM,2022-03-22,102.0,104.9,101.8,104.3,2341103.0
ORIONPHARM,2022-03-23,105.0,105.7,102.6,102.8,1705510.0
ORIONPHARM,2022-03-24,103.1,107.1,102.5,106.6,4328819.0
ORIONPHARM,2022-03-27,107.4,107.8,105.0,105.3,4113971.0
ORIONPHARM,2022-03-28,105.5,106.0,103.9,104.3,2620619.0
ORIONPHARM,2022-03-29,104.0,105.0,102.8,103.1,1426837.0
ORIONPHARM,2022-03-30,103.6,103.8,102.0,102.3,1376940.0
ORIONPHARM,2022-03-31,103.0,103.7,102.1,103.3,1001265.0
ORIONPHARM,2022-04-03,103.6,104.1,102.7,102.8,866514.0
ORIONPHARM,2022-04-04,102.8,103.5,101.3,101.6,517586.0
ORIONPHARM,2022-04-05,101.0,102.2,100.3,101.5,716226.0
ORIONPHARM,2022-04-06,102.7,103.5,101.3,102.3,1135741.0
ORIONPHARM,2022-04-07,102.0,103.0,101.5,102.0,414533.0
ORIONPHARM,2022-04-10,102.7,103.0,101.7,102.5,673415.0
ORIONPHARM,2022-04-11,102.9,103.2,100.8,101.1,765855.0
ORIONPHARM,2022-04-12,101.4,101.8,99.1,99.7,806884.0
ORIONPHARM,2022-04-13,98.7,100.3,97.8,99.8,652448.0
ORIONPHARM,2022-04-17,100.6,100.9,97.9,98.2,446153.0
ORIONPHARM,2022-04-18,96.7,97.5,96.3,96.3,403477.0
ORIONPHARM,2022-04-19,96.5,97.1,94.4,96.8,882925.0
ORIONPHARM,2022-04-20,98.0,99.9,96.7,99.6,763002.0
ORIONPHARM,2022-04-21,99.8,101.7,99.1,99.8,1163382.0
ORIONPHARM,2022-04-24,100.4,104.0,99.8,102.8,5217270.0
ORIONPHARM,2022-04-25,103.0,103.7,101.2,101.7,2171012.0
ORIONPHARM,2022-04-26,101.6,102.7,100.1,101.4,3435947.0
ORIONPHARM,2022-04-27,102.7,103.4,101.3,102.0,1489195.0
ORIONPHARM,2022-04-28,102.0,102.0,100.2,100.5,1023613.0
ORIONPHARM,2022-05-05,100.6,101.5,99.5,100.9,1518273.0
ORIONPHARM,2022-05-08,100.9,102.4,100.5,101.0,2419889.0
ORIONPHARM,2022-05-09,102.0,103.0,100.8,102.2,4377733.0
ORIONPHARM,2022-05-10,102.9,103.7,100.1,100.5,2416037.0
ORIONPHARM,2022-05-11,101.0,101.5,97.5,98.3,1274822.0
ORIONPHARM,2022-05-12,99.4,100.3,97.1,98.2,2502062.0
ORIONPHARM,2022-05-16,99.5,100.0,94.5,96.2,1832487.0
ORIONPHARM,2022-05-17,97.0,97.8,92.0,94.1,1820430.0
ORIONPHARM,2022-05-18,95.7,96.0,89.4,90.4,828306.0
ORIONPHARM,2022-05-19,90.2,91.5,88.1,90.1,1609728.0
ORIONPHARM,2022-05-22,90.2,91.0,86.9,87.5,743379.0
ORIONPHARM,2022-05-23,91.0,92.8,89.8,90.1,1171841.0
ORIONPHARM,2022-05-24,90.5,92.0,87.5,88.2,721743.0
ORIONPHARM,2022-05-25,90.9,90.9,86.5,87.0,647326.0
ORIONPHARM,2022-05-26,87.0,88.9,86.4,88.6,355370.0
ORIONPHARM,2022-05-29,90.4,92.4,90.3,91.9,1631801.0
ORIONPHARM,2022-05-30,92.4,95.0,91.4,93.1,2837699.0
ORIONPHARM,2022-05-31,92.6,94.3,91.6,92.5,2889854.0
ORIONPHARM,2022-06-01,93.3,94.5,92.5,94.1,3001770.0
ORIONPHARM,2022-06-02,94.7,95.2,93.0,93.3,2772332.0
ORIONPHARM,2022-06-05,94.1,94.3,92.3,92.6,2110410.0
ORIONPHARM,2022-06-06,93.0,93.2,90.9,91.2,1079231.0
ORIONPHARM,2022-06-07,91.8,92.6,90.9,91.3,1614413.0
ORIONPHARM,2022-06-08,91.3,93.6,91.3,92.6,1601422.0
ORIONPHARM,2022-06-09,93.3,94.0,92.5,93.1,1324975.0
ORIONPHARM,2022-06-12,92.8,92.8,91.3,91.3,969329.0
ORIONPHARM,2022-06-13,91.6,91.7,90.2,90.5,500234.0
ORIONPHARM,2022-06-14,90.9,91.4,88.7,89.6,1019660.0
ORIONPHARM,2022-06-15,90.6,91.2,89.6,89.9,1553447.0
ORIONPHARM,2022-06-16,91.5,92.3,89.4,91.7,1880667.0
ORIONPHARM,2022-06-19,93.5,94.5,90.4,91.8,1434264.0
ORIONPHARM,2022-06-20,92.0,92.0,90.0,90.2,797404.0
ORIONPHARM,2022-06-21,89.4,91.0,89.0,89.9,642206.0
ORIONPHARM,2022-06-22,90.5,91.0,89.6,90.3,285169.0
ORIONPHARM,2022-06-23,90.9,91.1,89.1,89.7,939088.0
ORIONPHARM,2022-06-26,90.7,91.3,88.1,88.3,379644.0
ORIONPHARM,2022-06-27,88.8,90.0,87.2,87.7,416522.0
ORIONPHARM,2022-06-28,88.7,89.1,86.8,87.8,1455894.0
ORIONPHARM,2022-06-29,88.2,89.7,87.8,88.5,2393852.0
ORIONPHARM,2022-06-30,88.6,89.4,87.4,88.0,2774892.0
ORIONPHARM,2022-07-03,88.2,88.5,86.9,87.3,291633.0
ORIONPHARM,2022-07-04,87.9,87.9,86.0,86.2,480177.0
ORIONPHARM,2022-07-05,87.0,87.8,86.4,86.6,786989.0
ORIONPHARM,2022-07-06,86.7,87.7,85.5,86.8,608309.0
ORIONPHARM,2022-07-07,87.2,87.5,86.0,86.7,419524.0
ORIONPHARM,2022-07-12,86.7,86.8,85.0,85.1,386716.0
ORIONPHARM,2022-07-13,85.0,85.1,83.4,83.4,560341.0
ORIONPHARM,2022-07-14,83.5,83.6,81.9,83.4,664089.0
ORIONPHARM,2022-07-17,82.4,85.4,82.3,84.6,486579.0
ORIONPHARM,2022-07-18,85.0,85.3,83.0,84.0,929751.0
ORIONPHARM,2022-07-19,82.7,82.7,82.4,82.4,195261.0
ORIONPHARM,2022-07-20,80.8,83.4,80.8,81.7,852970.0
ORIONPHARM,2022-07-21,82.6,83.3,80.3,80.7,515073.0
ORIONPHARM,2022-07-24,81.0,81.0,79.1,79.1,482721.0
ORIONPHARM,2022-07-25,77.7,78.9,77.6,78.4,533877.0
ORIONPHARM,2022-07-26,80.5,83.1,79.1,81.9,665379.0
ORIONPHARM,2022-07-27,82.2,82.2,80.3,80.3,650710.0
ORIONPHARM,2022-07-28,78.7,79.0,78.7,78.7,179416.0
ORIONPHARM,2022-07-31,79.6,81.1,79.6,81.0,734338.0
ORIONPHARM,2022-08-01,82.0,85.9,81.6,84.0,848734.0
ORIONPHARM,2022-08-02,83.5,85.9,83.1,85.3,1496748.0
ORIONPHARM,2022-08-03,87.5,88.8,86.1,88.1,1905885.0
ORIONPHARM,2022-08-04,88.9,93.3,88.1,92.1,3475904.0
ORIONPHARM,2022-08-07,92.0,94.4,90.3,92.1,2485086.0
ORIONPHARM,2022-08-08,92.4,92.9,88.6,89.5,1519778.0
ORIONPHARM,2022-08-10,89.8,89.8,83.6,84.6,1160517.0
ORIONPHARM,2022-08-11,85.0,85.4,82.5,83.0,1011781.0
ORIONPHARM,2022-08-14,83.0,87.0,83.0,86.7,1042579.0
