symbol,date,open,high,low,close,volume
PADMALIFE,2022-01-02,48.7,49.5,47.3,47.6,115377.0
PADMALIFE,2022-01-03,48.5,49.0,47.4,47.8,236597.0
PADMALIFE,2022-01-04,48.5,51.9,47.5,50.3,1174565.0
PADMALIFE,2022-01-05,51.6,51.6,49.2,50.5,879526.0
PADMALIFE,2022-01-06,51.3,52.5,49.8,50.4,945882.0
PADMALIFE,2022-01-09,51.4,52.9,49.5,50.3,1007041.0
PADMALIFE,2022-01-10,51.3,54.5,50.9,52.7,2557403.0
PADMALIFE,2022-01-11,53.0,53.8,49.6,50.3,913676.0
PADMALIFE,2022-01-12,50.3,51.6,47.1,48.0,895167.0
PADMALIFE,2022-01-13,48.5,51.6,48.0,51.0,359177.0
PADMALIFE,2022-01-16,51.6,53.4,50.7,51.0,855334.0
PADMALIFE,2022-01-17,51.7,53.8,51.6,52.4,1218948.0
PADMALIFE,2022-01-18,53.0,53.5,51.4,52.0,1295242.0
PADMALIFE,2022-01-19,52.5,52.5,49.5,49.8,1135360.0
PADMALIFE,2022-01-20,50.0,51.0,49.5,49.8,566401.0
PADMALIFE,2022-01-23,50.0,51.0,48.8,49.0,590736.0
PADMALIFE,2022-01-24,50.2,50.2,47.4,47.7,913734.0
PADMALIFE,2022-01-25,47.7,48.5,46.3,46.7,306335.0
PADMALIFE,2022-01-26,47.6,48.9,46.6,47.4,639576.0
PADMALIFE,2022-01-27,48.3,48.7,47.4,47.6,779454.0
PADMALIFE,2022-01-30,48.7,48.7,46.0,46.6,577260.0
PADMALIFE,2022-01-31,46.7,47.7,45.8,46.3,610111.0
PADMALIFE,2022-02-01,47.3,47.3,46.0,46.6,645212.0
PADMALIFE,2022-02-02,47.6,49.8,46.8,48.9,1169744.0
PADMALIFE,2022-02-03,49.9,49.9,47.4,47.6,1238767.0
PADMALIFE,2022-02-06,48.3,48.6,47.5,47.7,556313.0
PADMALIFE,2022-02-07,48.5,49.0,47.8,48.0,569855.0
PADMALIFE,2022-02-08,48.7,48.7,47.5,47.7,639804.0
PADMALIFE,2022-02-09,48.5,48.5,47.7,48.0,515039.0
PADMALIFE,2022-02-10,48.4,49.3,48.0,48.8,646166.0
PADMALIFE,2022-02-13,48.7,49.5,47.2,47.3,597631.0
PADMALIFE,2022-02-14,48.1,48.1,47.1,47.8,564650.0
PADMALIFE,2022-02-15,48.2,48.2,46.3,47.4,590855.0
PADMALIFE,2022-02-16,47.9,47.9,46.6,47.1,343312.0
PADMALIFE,2022-02-17,47.5,47.5,46.2,46.9,244074.0
PADMALIFE,2022-02-20,47.8,47.9,44.5,47.0,428757.0
PADMALIFE,2022-02-22,47.9,48.1,47.0,47.3,263617.0
PADMALIFE,2022-02-23,47.9,48.4,46.8,47.6,268286.0
PADMALIFE,2022-02-24,47.9,48.2,46.1,46.6,168258.0
PADMALIFE,2022-02-27,47.5,47.5,43.0,43.7,243332.0
PADMALIFE,2022-02-28,44.5,47.4,43.5,46.9,402726.0
PADMALIFE,2022-03-01,46.9,47.6,46.5,46.9,292539.0
PADMALIFE,2022-03-02,47.4,47.5,46.1,46.9,391523.0
PADMALIFE,2022-03-03,47.4,47.4,46.0,46.6,73550.0
PADMALIFE,2022-03-06,47.2,47.2,45.5,45.9,221860.0
PADMALIFE,2022-03-07,46.6,46.6,43.9,44.3,167173.0
PADMALIFE,2022-03-08,44.8,46.0,43.1,44.8,147253.0
PADMALIFE,2022-03-09,46.6,46.6,45.3,46.4,121450.0
PADMALIFE,2022-03-10,47.0,47.2,46.2,46.7,195020.0
PADMALIFE,2022-03-13,47.4,47.4,45.8,46.4,461371.0
PADMALIFE,2022-03-14,47.3,49.7,46.2,46.9,402581.0
PADMALIFE,2022-03-15,47.8,47.8,46.3,46.8,228652.0
PADMALIFE,2022-03-16,46.8,48.5,46.5,48.0,484917.0
PADMALIFE,2022-03-20,48.0,48.6,47.5,48.3,347773.0
PADMALIFE,2022-03-21,48.8,48.8,48.0,48.3,170650.0
PADMALIFE,2022-03-22,48.5,49.5,47.9,49.0,458651.0
PADMALIFE,2022-03-23,50.3,50.3,49.0,49.1,314038.0
PADMALIFE,2022-03-24,49.9,49.9,48.8,49.3,480028.0
PADMALIFE,2022-03-27,49.9,50.3,48.4,49.2,333758.0
PADMALIFE,2022-03-28,49.6,49.7,48.3,48.8,288212.0
PADMALIFE,2022-03-29,49.4,49.4,48.0,49.1,305782.0
PADMALIFE,2022-03-30,49.5,51.7,48.9,51.4,938032.0
PADMALIFE,2022-03-31,52.0,52.5,50.4,51.0,1984705.0
PADMALIFE,2022-04-03,51.8,51.8,50.0,51.0,700228.0
PADMALIFE,2022-04-04,51.2,51.2,50.0,50.4,479640.0
PADMALIFE,2022-04-05,50.6,50.6,49.4,49.4,80131.0
