symbol,date,open,high,low,close,volume
PARAMOUNT,2022-01-02,75.0,75.0,73.8,74.3,41448.0
PARAMOUNT,2022-01-03,74.9,75.8,73.9,74.0,141859.0
PARAMOUNT,2022-01-04,75.0,76.4,74.0,75.1,156072.0
PARAMOUNT,2022-01-05,76.4,76.4,75.0,75.1,90374.0
PARAMOUNT,2022-01-06,76.0,76.0,74.5,74.8,113559.0
PARAMOUNT,2022-01-09,74.3,76.4,73.1,73.4,126255.0
PARAMOUNT,2022-01-10,74.6,74.6,73.0,73.2,89502.0
PARAMOUNT,2022-01-11,73.5,74.3,72.5,72.8,128166.0
PARAMOUNT,2022-01-12,74.0,74.0,72.5,72.6,87415.0
PARAMOUNT,2022-01-13,73.5,73.5,71.7,71.9,135050.0
PARAMOUNT,2022-01-16,71.9,73.0,71.8,71.9,91370.0
PARAMOUNT,2022-01-17,72.9,74.7,72.0,73.2,83562.0
PARAMOUNT,2022-01-18,74.0,74.0,72.0,72.2,111925.0
PARAMOUNT,2022-01-19,72.9,73.0,72.1,72.3,83701.0
PARAMOUNT,2022-01-20,73.4,74.0,72.1,72.5,69441.0
PARAMOUNT,2022-01-23,72.8,74.0,72.8,73.5,158001.0
PARAMOUNT,2022-01-24,73.2,74.1,73.2,73.3,125065.0
PARAMOUNT,2022-01-25,74.3,74.3,72.1,72.3,112543.0
PARAMOUNT,2022-01-26,73.4,73.5,72.0,72.1,71382.0
PARAMOUNT,2022-01-27,72.2,73.4,71.7,71.9,71880.0
PARAMOUNT,2022-01-30,71.9,73.3,71.5,71.8,96932.0
PARAMOUNT,2022-01-31,73.1,73.1,71.0,71.2,109857.0
PARAMOUNT,2022-02-01,72.3,72.9,70.9,72.3,76842.0
PARAMOUNT,2022-02-02,72.9,72.9,71.6,72.3,74013.0
PARAMOUNT,2022-02-03,72.9,73.3,71.0,71.8,127160.0
PARAMOUNT,2022-02-06,72.7,76.2,72.7,75.7,422894.0
PARAMOUNT,2022-02-07,75.7,77.9,75.7,77.1,423998.0
PARAMOUNT,2022-02-08,77.1,79.0,76.0,76.7,310606.0
PARAMOUNT,2022-02-09,77.0,77.0,75.0,75.5,87835.0
PARAMOUNT,2022-02-10,76.0,76.4,74.0,74.3,100696.0
PARAMOUNT,2022-02-13,74.3,75.3,72.9,73.0,122834.0
PARAMOUNT,2022-02-14,74.0,74.0,72.0,72.4,72163.0
PARAMOUNT,2022-02-15,73.4,73.4,71.7,71.9,87664.0
PARAMOUNT,2022-02-16,72.8,72.8,71.1,71.5,93450.0
PARAMOUNT,2022-02-17,72.8,73.0,70.5,70.7,144891.0
PARAMOUNT,2022-02-20,71.0,72.0,70.3,70.7,76987.0
PARAMOUNT,2022-02-22,70.7,71.8,70.4,70.8,58295.0
PARAMOUNT,2022-02-23,71.5,71.5,70.5,70.8,59292.0
PARAMOUNT,2022-02-24,71.5,71.5,68.0,68.6,147334.0
PARAMOUNT,2022-02-27,70.0,70.0,64.0,64.5,130833.0
PARAMOUNT,2022-02-28,65.0,68.3,65.0,67.0,52485.0
PARAMOUNT,2022-03-01,66.7,69.0,66.2,66.8,94592.0
PARAMOUNT,2022-03-02,67.3,67.3,65.5,65.8,36477.0
PARAMOUNT,2022-03-03,65.5,66.1,64.9,65.0,27027.0
PARAMOUNT,2022-03-06,66.0,66.0,64.0,64.2,21834.0
PARAMOUNT,2022-03-07,64.2,64.5,61.3,61.4,67617.0
PARAMOUNT,2022-03-08,62.9,62.9,56.8,61.1,64919.0
PARAMOUNT,2022-03-09,63.8,67.0,62.2,65.4,44617.0
PARAMOUNT,2022-03-10,67.5,69.7,65.9,66.1,72264.0
PARAMOUNT,2022-03-13,66.1,66.8,64.9,66.0,66041.0
PARAMOUNT,2022-03-14,66.7,67.0,65.7,65.8,68776.0
PARAMOUNT,2022-03-15,66.2,67.5,65.7,65.9,108068.0
PARAMOUNT,2022-03-16,65.7,67.1,64.6,64.6,84665.0
PARAMOUNT,2022-03-20,65.9,65.9,63.4,63.4,45687.0
PARAMOUNT,2022-03-21,63.4,64.0,62.2,62.8,56257.0
PARAMOUNT,2022-03-22,60.0,60.3,58.5,59.1,282524.0
PARAMOUNT,2022-03-23,60.0,61.4,59.0,59.8,63764.0
PARAMOUNT,2022-03-24,59.1,59.8,58.9,59.0,90500.0
PARAMOUNT,2022-03-27,58.9,59.0,58.0,58.1,44953.0
PARAMOUNT,2022-03-28,58.3,59.4,58.2,58.7,150175.0
PARAMOUNT,2022-03-29,59.5,59.5,58.4,58.5,30877.0
PARAMOUNT,2022-03-30,59.0,63.0,59.0,62.0,163980.0
PARAMOUNT,2022-03-31,63.0,63.5,60.8,61.4,65574.0
PARAMOUNT,2022-04-03,62.0,62.0,60.2,60.2,55071.0
PARAMOUNT,2022-04-04,61.0,61.0,59.0,59.0,46330.0
PARAMOUNT,2022-04-05,58.2,59.7,58.2,58.4,18894.0
PARAMOUNT,2022-04-06,58.4,58.4,57.5,57.8,37821.0
PARAMOUNT,2022-04-07,58.5,58.5,56.7,56.9,25514.0
PARAMOUNT,2022-04-10,57.5,58.0,56.7,57.5,9298.0
PARAMOUNT,2022-04-11,57.3,57.7,56.7,56.9,27175.0
PARAMOUNT,2022-04-12,57.4,57.4,55.8,55.8,21798.0
PARAMOUNT,2022-04-13,54.8,56.7,54.7,54.8,17631.0
PARAMOUNT,2022-04-17,55.0,55.0,53.8,53.8,60766.0
PARAMOUNT,2022-04-18,53.7,53.7,52.8,52.8,9863.0
PARAMOUNT,2022-04-19,51.8,52.5,51.8,52.2,47281.0
PARAMOUNT,2022-04-20,52.5,53.3,51.7,52.3,38336.0
PARAMOUNT,2022-04-21,53.5,53.5,52.1,53.0,27506.0
PARAMOUNT,2022-04-24,53.8,54.9,53.3,53.9,40901.0
PARAMOUNT,2022-04-25,55.0,56.5,54.5,56.1,82906.0
PARAMOUNT,2022-04-26,57.5,60.3,57.5,59.4,379540.0
PARAMOUNT,2022-04-27,58.7,59.8,56.8,57.1,81597.0
PARAMOUNT,2022-05-05,56.0,56.0,54.3,54.3,54308.0
PARAMOUNT,2022-05-08,52.9,54.9,52.9,54.4,66625.0
PARAMOUNT,2022-05-09,54.4,55.5,53.5,53.9,78182.0
PARAMOUNT,2022-05-10,55.7,56.5,54.0,54.6,83300.0
PARAMOUNT,2022-05-11,54.2,55.0,53.5,53.7,47494.0
PARAMOUNT,2022-05-12,53.9,53.9,51.8,52.2,65366.0
PARAMOUNT,2022-05-16,53.8,53.8,49.6,49.6,153509.0
PARAMOUNT,2022-05-17,52.3,52.3,47.8,48.4,49053.0
PARAMOUNT,2022-05-18,51.4,51.4,47.3,47.8,45720.0
PARAMOUNT,2022-05-19,47.0,47.0,45.5,45.7,90034.0
PARAMOUNT,2022-05-22,45.5,45.5,43.5,44.3,118745.0
PARAMOUNT,2022-05-23,45.9,48.7,45.0,46.1,80509.0
PARAMOUNT,2022-05-24,47.9,47.9,44.2,44.8,28540.0
PARAMOUNT,2022-05-25,45.0,46.0,43.1,43.6,36921.0
PARAMOUNT,2022-05-26,45.8,45.8,43.6,44.1,21103.0
PARAMOUNT,2022-05-29,44.5,46.5,44.4,45.7,79620.0
PARAMOUNT,2022-05-30,46.1,47.1,45.8,46.5,73667.0
PARAMOUNT,2022-05-31,46.9,50.0,46.9,48.3,213427.0
PARAMOUNT,2022-06-01,50.5,50.5,48.3,49.7,53860.0
PARAMOUNT,2022-06-02,50.6,50.6,49.1,49.6,75210.0
PARAMOUNT,2022-06-05,48.7,52.4,48.7,51.9,169206.0
PARAMOUNT,2022-06-06,53.0,57.0,52.5,57.0,366306.0
PARAMOUNT,2022-06-07,58.5,62.7,56.0,62.5,527427.0
PARAMOUNT,2022-06-08,62.0,67.2,61.3,63.9,795693.0
PARAMOUNT,2022-06-09,62.8,63.8,62.7,62.7,167453.0
PARAMOUNT,2022-06-12,61.5,61.5,61.5,61.5,29363.0
PARAMOUNT,2022-06-13,60.3,60.3,60.3,60.3,18812.0
PARAMOUNT,2022-06-14,59.1,63.3,59.1,59.1,499085.0
PARAMOUNT,2022-06-15,58.5,61.0,58.0,58.0,120505.0
PARAMOUNT,2022-06-16,59.4,59.4,56.9,57.3,193451.0
PARAMOUNT,2022-06-19,58.8,58.8,56.2,56.2,73440.0
PARAMOUNT,2022-06-20,56.2,56.9,55.1,55.1,57042.0
PARAMOUNT,2022-06-21,54.2,55.3,54.0,54.0,145421.0
PARAMOUNT,2022-06-22,54.0,55.3,53.3,53.6,51933.0
PARAMOUNT,2022-06-23,54.8,54.8,52.6,52.7,98034.0
PARAMOUNT,2022-06-26,52.7,52.9,51.7,51.7,57912.0
PARAMOUNT,2022-06-27,53.8,53.8,50.7,53.3,44273.0
PARAMOUNT,2022-06-28,53.9,54.3,52.4,52.6,90819.0
PARAMOUNT,2022-06-29,53.9,53.9,51.7,51.8,44827.0
PARAMOUNT,2022-06-30,52.9,52.9,50.8,51.8,83547.0
PARAMOUNT,2022-07-03,52.8,53.2,52.2,52.9,57417.0
PARAMOUNT,2022-07-04,53.4,53.4,52.3,52.6,59601.0
PARAMOUNT,2022-07-05,54.2,54.2,51.8,51.9,137114.0
PARAMOUNT,2022-07-06,52.6,52.6,51.1,51.3,29604.0
PARAMOUNT,2022-07-07,53.2,53.2,50.8,51.2,42195.0
PARAMOUNT,2022-07-12,56.0,56.0,50.2,50.6,60952.0
PARAMOUNT,2022-07-13,52.0,52.0,49.8,50.5,61795.0
PARAMOUNT,2022-07-14,51.5,51.5,49.5,49.8,62321.0
PARAMOUNT,2022-07-17,51.1,54.0,49.1,49.6,29530.0
PARAMOUNT,2022-07-18,49.0,49.2,48.7,48.7,37336.0
PARAMOUNT,2022-07-19,47.8,47.8,47.8,47.8,17827.0
PARAMOUNT,2022-07-20,46.9,47.8,46.9,46.9,79538.0
PARAMOUNT,2022-07-21,47.9,47.9,46.0,46.2,43569.0
PARAMOUNT,2022-07-24,49.6,49.6,45.3,45.3,23231.0
PARAMOUNT,2022-07-25,46.9,46.9,44.4,45.1,44682.0
PARAMOUNT,2022-07-26,48.0,49.0,46.0,47.9,95400.0
