symbol,date,open,high,low,close,volume
PENINSULA,2022-01-02,35.8,38.8,35.6,38.1,3464523.0
PENINSULA,2022-01-03,38.1,40.5,37.6,39.7,7206898.0
PENINSULA,2022-01-04,39.8,40.5,38.7,39.1,3172072.0
PENINSULA,2022-01-05,39.1,40.9,38.8,39.6,5322749.0
PENINSULA,2022-01-06,40.0,42.3,39.6,40.8,4385170.0
PENINSULA,2022-01-09,41.0,41.6,39.9,40.5,6230711.0
PENINSULA,2022-01-10,40.7,41.5,39.9,40.6,3274888.0
PENINSULA,2022-01-11,41.0,41.8,38.6,39.3,3193263.0
PENINSULA,2022-01-12,39.4,40.8,36.2,37.3,4458533.0
PENINSULA,2022-01-13,37.9,41.0,37.9,41.0,6326497.0
PENINSULA,2022-01-16,42.2,44.9,42.2,44.2,7325148.0
PENINSULA,2022-01-17,44.2,44.3,42.5,42.7,3975882.0
PENINSULA,2022-01-18,43.4,43.4,41.6,42.0,1826763.0
PENINSULA,2022-01-19,41.5,43.2,41.5,42.3,1331487.0
PENINSULA,2022-01-20,42.9,44.5,42.7,44.0,2836069.0
PENINSULA,2022-01-23,44.1,44.3,41.8,42.3,2221526.0
PENINSULA,2022-01-24,42.8,43.2,41.9,42.4,1275126.0
PENINSULA,2022-01-25,43.5,43.5,42.4,43.0,808339.0
PENINSULA,2022-01-26,43.4,43.8,42.4,42.7,1311540.0
PENINSULA,2022-01-27,42.9,43.0,42.1,42.4,1558962.0
PENINSULA,2022-01-30,43.5,43.5,42.1,42.8,957940.0
PENINSULA,2022-01-31,42.5,43.0,42.0,42.2,545040.0
PENINSULA,2022-02-01,42.9,42.9,41.9,42.2,574985.0
PENINSULA,2022-02-02,42.8,43.0,42.1,42.8,799867.0
PENINSULA,2022-02-03,43.3,43.4,42.6,43.3,859186.0
PENINSULA,2022-02-06,43.4,43.5,42.3,42.4,559298.0
PENINSULA,2022-02-07,42.9,42.9,41.6,41.9,1132656.0
PENINSULA,2022-02-08,42.7,42.7,41.8,42.3,807367.0
PENINSULA,2022-02-09,42.9,42.9,42.4,42.6,1371396.0
PENINSULA,2022-02-10,42.8,43.5,42.6,42.8,1344559.0
PENINSULA,2022-02-13,42.3,42.5,39.5,40.0,2333442.0
PENINSULA,2022-02-14,40.6,41.0,39.7,40.0,741737.0
PENINSULA,2022-02-15,40.7,40.9,39.8,40.2,782153.0
PENINSULA,2022-02-16,40.7,40.7,38.7,39.2,958883.0
PENINSULA,2022-02-17,39.9,39.9,37.4,38.0,856313.0
PENINSULA,2022-02-20,37.4,38.4,36.3,36.6,710565.0
PENINSULA,2022-02-22,37.4,40.1,37.1,40.0,1366227.0
PENINSULA,2022-02-23,40.0,40.1,39.4,39.9,587281.0
PENINSULA,2022-02-24,40.2,40.9,38.8,38.9,1201108.0
PENINSULA,2022-02-27,38.9,39.9,37.6,39.1,1441284.0
PENINSULA,2022-02-28,39.8,40.4,38.0,38.5,2098375.0
PENINSULA,2022-03-01,39.7,39.8,38.2,38.7,714483.0
PENINSULA,2022-03-02,39.3,39.3,37.9,38.0,805698.0
PENINSULA,2022-03-03,38.0,38.1,37.5,37.6,380253.0
PENINSULA,2022-03-06,37.6,38.4,37.1,37.2,412675.0
PENINSULA,2022-03-07,37.7,37.8,34.0,34.5,690328.0
PENINSULA,2022-03-08,35.5,36.4,34.5,35.9,634129.0
PENINSULA,2022-03-09,36.6,37.3,35.9,37.1,335629.0
PENINSULA,2022-03-10,37.1,37.5,36.5,36.9,430424.0
PENINSULA,2022-03-13,36.9,37.6,36.7,37.0,783822.0
PENINSULA,2022-03-14,36.9,38.0,36.5,36.7,547606.0
PENINSULA,2022-03-15,36.5,37.8,36.5,37.3,451101.0
PENINSULA,2022-03-16,37.4,37.9,36.6,36.7,774656.0
PENINSULA,2022-03-20,36.6,37.0,36.2,36.6,374228.0
PENINSULA,2022-03-21,36.4,37.1,36.2,36.5,315721.0
PENINSULA,2022-03-22,37.0,37.1,35.9,36.2,553714.0
PENINSULA,2022-03-23,36.6,36.6,35.9,35.9,308817.0
PENINSULA,2022-03-24,36.1,36.1,35.2,35.5,602331.0
PENINSULA,2022-03-27,35.5,35.9,35.0,35.2,171018.0
PENINSULA,2022-03-28,35.0,35.6,34.9,35.1,272160.0
PENINSULA,2022-03-29,35.1,35.3,34.8,35.0,504418.0
PENINSULA,2022-03-30,35.6,36.4,34.9,35.5,1347222.0
PENINSULA,2022-03-31,35.8,36.9,35.6,36.6,2032849.0
PENINSULA,2022-04-03,36.7,37.0,36.0,36.1,457917.0
PENINSULA,2022-04-04,36.0,36.0,35.4,35.4,349159.0
PENINSULA,2022-04-05,36.0,36.0,34.7,34.7,449830.0
PENINSULA,2022-04-06,35.2,35.2,34.3,34.4,179269.0
PENINSULA,2022-04-07,34.3,34.5,33.8,33.8,977292.0
PENINSULA,2022-04-10,34.4,35.0,33.5,34.8,431956.0
PENINSULA,2022-04-11,34.9,35.0,34.2,34.2,428205.0
PENINSULA,2022-04-12,34.0,34.0,33.6,33.6,433285.0
PENINSULA,2022-04-13,34.0,34.0,33.0,33.5,284578.0
PENINSULA,2022-04-17,34.0,34.1,32.9,32.9,203375.0
PENINSULA,2022-04-18,32.5,32.5,32.3,32.3,31764.0
PENINSULA,2022-04-19,32.2,32.6,31.7,32.3,321935.0
PENINSULA,2022-04-20,32.8,33.9,32.7,33.6,375160.0
PENINSULA,2022-04-21,33.1,34.0,33.1,33.4,427028.0
PENINSULA,2022-04-24,33.4,33.9,32.0,32.5,843531.0
PENINSULA,2022-04-25,32.5,32.5,31.5,31.9,464050.0
PENINSULA,2022-04-26,32.4,34.6,32.1,34.0,1728503.0
PENINSULA,2022-04-27,34.6,35.3,33.4,34.8,1065724.0
PENINSULA,2022-04-28,34.5,34.5,33.6,33.9,1286358.0
PENINSULA,2022-05-05,33.6,34.4,33.2,34.2,728431.0
