symbol,date,open,high,low,close,volume
PEOPLESINS,2022-01-02,60.8,61.8,59.0,60.5,1281808.0
PEOPLESINS,2022-01-03,61.5,63.7,61.5,62.3,1855867.0
PEOPLESINS,2022-01-04,62.6,65.7,62.2,63.2,2065501.0
PEOPLESINS,2022-01-05,63.8,64.8,62.6,63.0,1448718.0
PEOPLESINS,2022-01-06,63.2,64.2,60.5,60.9,1555533.0
PEOPLESINS,2022-01-09,61.0,62.3,59.5,59.9,1103497.0
PEOPLESINS,2022-01-10,60.5,60.5,58.5,58.6,709272.0
PEOPLESINS,2022-01-11,59.0,60.4,58.0,58.5,1112912.0
PEOPLESINS,2022-01-12,59.6,60.0,57.2,57.6,369086.0
PEOPLESINS,2022-01-13,58.0,58.6,55.5,55.9,532365.0
PEOPLESINS,2022-01-16,56.3,56.9,54.1,54.5,518653.0
PEOPLESINS,2022-01-17,55.7,59.5,55.2,58.4,794700.0
PEOPLESINS,2022-01-18,58.8,58.8,56.5,57.1,477879.0
PEOPLESINS,2022-01-19,57.0,57.4,55.5,55.8,420935.0
PEOPLESINS,2022-01-20,56.0,58.2,55.9,57.6,306644.0
PEOPLESINS,2022-01-23,58.3,59.3,57.9,58.3,677122.0
PEOPLESINS,2022-01-24,59.4,59.4,56.3,56.9,229854.0
PEOPLESINS,2022-01-25,56.9,58.0,56.6,56.8,240708.0
PEOPLESINS,2022-01-26,56.6,59.8,56.6,59.0,494214.0
PEOPLESINS,2022-01-27,59.4,60.5,58.9,59.1,576797.0
PEOPLESINS,2022-01-30,59.6,63.4,59.1,62.4,1556977.0
PEOPLESINS,2022-01-31,62.0,64.0,61.3,61.5,912634.0
PEOPLESINS,2022-02-01,61.7,62.0,59.7,59.9,490166.0
PEOPLESINS,2022-02-02,61.4,63.4,59.9,63.1,1310781.0
PEOPLESINS,2022-02-03,63.7,65.5,63.6,64.1,1876158.0
PEOPLESINS,2022-02-06,64.5,68.4,64.5,65.4,2102539.0
PEOPLESINS,2022-02-07,66.2,69.9,65.6,68.6,1882132.0
PEOPLESINS,2022-02-08,69.5,69.6,66.4,67.5,1424008.0
PEOPLESINS,2022-02-09,67.6,69.4,67.1,68.9,1445268.0
PEOPLESINS,2022-02-10,69.4,69.4,67.7,68.3,1002076.0
