symbol,date,open,high,low,close,volume
PF1STMF,2022-01-02,8.4,8.6,8.3,8.5,41719.0
PF1STMF,2022-01-03,8.4,8.9,8.4,8.6,715883.0
PF1STMF,2022-01-04,8.8,8.8,8.4,8.5,481101.0
PF1STMF,2022-01-05,8.5,8.6,8.4,8.5,322459.0
PF1STMF,2022-01-06,8.6,8.7,8.5,8.5,150376.0
PF1STMF,2022-01-09,8.6,8.6,8.4,8.5,116923.0
PF1STMF,2022-01-10,8.6,8.6,8.4,8.4,70371.0
PF1STMF,2022-01-11,8.4,8.9,8.3,8.8,939361.0
PF1STMF,2022-01-12,8.7,9.0,8.6,8.7,361302.0
PF1STMF,2022-01-13,8.6,8.7,8.5,8.6,126991.0
PF1STMF,2022-01-16,8.6,8.7,8.4,8.4,156943.0
PF1STMF,2022-01-17,8.6,8.6,8.5,8.6,132917.0
PF1STMF,2022-01-18,8.6,8.7,8.5,8.6,217584.0
PF1STMF,2022-01-19,8.6,8.8,8.6,8.7,678462.0
PF1STMF,2022-01-20,8.8,8.8,8.6,8.7,85062.0
PF1STMF,2022-01-23,8.6,8.9,8.6,8.7,439690.0
PF1STMF,2022-01-24,8.8,9.0,8.7,8.8,761291.0
PF1STMF,2022-01-25,8.9,8.9,8.7,8.8,110775.0
PF1STMF,2022-01-26,8.8,9.1,8.8,9.0,689313.0
PF1STMF,2022-01-27,8.9,9.1,8.8,8.9,212984.0
PF1STMF,2022-01-30,8.9,9.2,8.9,9.1,420781.0
PF1STMF,2022-01-31,9.2,9.2,9.0,9.0,254221.0
PF1STMF,2022-02-01,9.0,9.2,8.9,9.1,152843.0
PF1STMF,2022-02-02,9.2,9.2,8.9,9.0,324553.0
PF1STMF,2022-02-03,9.1,9.1,9.0,9.0,100139.0
PF1STMF,2022-02-06,9.1,9.1,9.0,9.0,180014.0
PF1STMF,2022-02-07,9.1,9.1,8.9,9.0,161481.0
PF1STMF,2022-02-08,9.0,9.1,8.9,9.0,225775.0
PF1STMF,2022-02-09,8.9,9.1,8.9,8.9,86941.0
PF1STMF,2022-02-10,8.9,9.0,8.8,8.9,239687.0
PF1STMF,2022-02-13,8.8,9.0,8.8,8.8,229373.0
PF1STMF,2022-02-14,8.8,9.0,8.8,8.8,194841.0
PF1STMF,2022-02-15,8.8,9.0,8.8,8.8,73845.0
PF1STMF,2022-02-16,9.0,9.0,8.9,8.9,395219.0
PF1STMF,2022-02-17,9.0,9.1,8.9,9.0,276670.0
PF1STMF,2022-02-20,9.0,9.1,8.9,9.0,303489.0
PF1STMF,2022-02-22,9.0,9.1,8.9,9.0,313270.0
PF1STMF,2022-02-23,9.0,9.2,9.0,9.0,226237.0
PF1STMF,2022-02-24,9.1,9.2,9.0,9.1,284396.0
PF1STMF,2022-02-27,9.1,9.2,9.0,9.0,467881.0
PF1STMF,2022-02-28,9.1,9.2,9.0,9.1,102860.0
PF1STMF,2022-03-01,9.2,9.5,9.1,9.3,805121.0
PF1STMF,2022-03-02,9.4,9.6,9.3,9.5,453855.0
PF1STMF,2022-03-03,9.5,9.6,9.4,9.5,208747.0
PF1STMF,2022-03-06,9.5,9.7,9.4,9.5,459997.0
PF1STMF,2022-03-07,9.5,9.5,9.1,9.1,244425.0
PF1STMF,2022-03-08,9.2,9.3,9.0,9.2,224499.0
PF1STMF,2022-03-09,9.2,9.6,9.2,9.5,197709.0
PF1STMF,2022-03-10,9.5,9.8,9.4,9.7,512783.0
PF1STMF,2022-03-13,9.8,10.1,9.7,10.0,804377.0
PF1STMF,2022-03-14,10.0,10.3,9.8,10.2,796455.0
PF1STMF,2022-03-15,10.2,10.9,10.2,10.6,2711374.0
PF1STMF,2022-03-16,10.5,10.9,10.4,10.7,1536709.0
PF1STMF,2022-03-20,10.6,10.6,10.5,10.5,1039113.0
PF1STMF,2022-03-21,10.3,10.6,10.3,10.6,964198.0
PF1STMF,2022-03-22,10.7,10.7,10.4,10.5,844343.0
PF1STMF,2022-03-23,10.4,10.6,10.3,10.5,745961.0
PF1STMF,2022-03-24,10.4,10.9,10.3,10.8,948139.0
PF1STMF,2022-03-27,10.9,11.2,10.8,11.0,2139030.0
PF1STMF,2022-03-28,10.9,11.2,10.9,11.1,1327688.0
PF1STMF,2022-03-29,11.0,11.8,11.0,11.7,2026212.0
PF1STMF,2022-03-30,11.7,11.8,11.5,11.6,1518305.0
PF1STMF,2022-03-31,11.5,12.3,11.5,12.1,3008666.0
PF1STMF,2022-04-03,12.1,12.2,11.9,12.1,1855323.0
PF1STMF,2022-04-04,12.1,12.4,11.9,12.2,2019829.0
PF1STMF,2022-04-05,12.0,12.2,12.0,12.1,1315036.0
PF1STMF,2022-04-06,12.1,12.1,11.9,11.9,442827.0
PF1STMF,2022-04-07,11.9,11.9,11.7,11.7,42861.0
PF1STMF,2022-04-10,11.5,11.6,11.5,11.5,359833.0
PF1STMF,2022-04-11,11.3,11.5,11.3,11.3,1962257.0
PF1STMF,2022-04-12,11.2,11.4,11.1,11.1,257732.0
PF1STMF,2022-04-13,11.0,11.3,10.9,11.2,677275.0
PF1STMF,2022-04-17,11.0,11.2,11.0,11.0,172730.0
PF1STMF,2022-04-18,10.9,10.9,10.8,10.8,16865.0
PF1STMF,2022-04-19,10.7,11.1,10.6,10.9,502013.0
PF1STMF,2022-04-20,11.2,11.2,10.8,11.1,242965.0
PF1STMF,2022-04-21,11.3,12.0,11.0,11.6,774887.0
PF1STMF,2022-04-24,11.7,11.7,11.3,11.5,752492.0
PF1STMF,2022-04-25,11.4,11.7,11.2,11.5,481547.0
PF1STMF,2022-04-26,11.3,11.6,11.2,11.3,367070.0
PF1STMF,2022-04-27,11.5,11.5,10.9,11.1,741301.0
PF1STMF,2022-04-28,10.7,11.2,10.7,11.0,283364.0
PF1STMF,2022-05-05,11.1,11.2,10.8,10.8,63009.0
PF1STMF,2022-05-08,10.8,11.0,10.6,10.9,381356.0
PF1STMF,2022-05-09,10.9,11.3,10.8,11.2,480965.0
PF1STMF,2022-05-10,11.3,11.5,11.1,11.3,825505.0
PF1STMF,2022-05-11,11.3,11.3,10.8,10.9,426755.0
PF1STMF,2022-05-12,10.9,11.1,10.8,11.0,208856.0
PF1STMF,2022-05-16,11.1,11.1,10.5,10.6,128612.0
PF1STMF,2022-05-17,10.9,10.9,10.2,10.4,158546.0
PF1STMF,2022-05-18,10.5,10.6,9.9,10.0,375045.0
PF1STMF,2022-05-19,10.0,10.2,9.5,9.6,384460.0
PF1STMF,2022-05-22,10.1,10.1,9.2,9.2,234218.0
PF1STMF,2022-05-23,9.6,9.7,9.3,9.6,217234.0
PF1STMF,2022-05-24,9.7,9.7,9.4,9.5,123872.0
PF1STMF,2022-05-25,9.5,9.6,9.2,9.5,191160.0
PF1STMF,2022-05-26,9.5,10.1,9.5,9.9,369684.0
PF1STMF,2022-05-29,10.0,10.5,10.0,10.4,113650.0
PF1STMF,2022-05-30,10.6,10.6,10.2,10.4,284550.0
PF1STMF,2022-05-31,10.3,10.5,10.2,10.4,194638.0
PF1STMF,2022-06-01,10.6,10.6,10.4,10.5,229332.0
PF1STMF,2022-06-02,10.4,10.8,10.4,10.4,162961.0
PF1STMF,2022-06-05,10.3,10.7,10.2,10.5,531218.0
PF1STMF,2022-06-06,10.6,11.5,10.6,11.3,972183.0
PF1STMF,2022-06-07,11.3,11.8,11.1,11.6,1424572.0
PF1STMF,2022-06-08,11.4,11.8,11.4,11.6,640626.0
PF1STMF,2022-06-09,11.4,11.6,11.4,11.4,219794.0
PF1STMF,2022-06-12,11.2,11.7,11.2,11.4,552477.0
PF1STMF,2022-06-13,11.5,11.8,11.2,11.4,1099302.0
PF1STMF,2022-06-14,11.3,11.7,11.2,11.3,457385.0
PF1STMF,2022-06-15,11.2,11.5,11.1,11.2,400998.0
PF1STMF,2022-06-16,11.0,11.5,11.0,11.4,241387.0
PF1STMF,2022-06-19,11.4,11.6,11.2,11.2,497116.0
PF1STMF,2022-06-20,11.0,11.4,11.0,11.1,253995.0
PF1STMF,2022-06-21,11.0,11.2,10.9,10.9,257669.0
PF1STMF,2022-06-22,10.9,11.1,10.7,10.9,541662.0
PF1STMF,2022-06-23,11.0,11.1,10.8,10.9,148948.0
PF1STMF,2022-06-26,10.9,11.0,10.7,10.7,164343.0
PF1STMF,2022-06-27,10.7,10.9,10.6,10.8,430362.0
PF1STMF,2022-06-28,11.0,11.0,10.8,10.9,159769.0
PF1STMF,2022-06-29,10.9,10.9,10.7,10.8,346843.0
