symbol,date,open,high,low,close,volume
PHARMAID,2022-01-02,600.0,617.9,585.0,589.3,114901.0
PHARMAID,2022-01-03,599.0,599.0,578.0,578.6,89911.0
PHARMAID,2022-01-04,581.0,597.0,578.9,582.7,49361.0
PHARMAID,2022-01-05,590.0,597.9,575.0,577.6,92290.0
PHARMAID,2022-01-06,577.6,585.9,562.5,563.8,75193.0
PHARMAID,2022-01-09,574.5,605.0,570.0,597.4,120530.0
PHARMAID,2022-01-10,607.0,614.9,591.0,596.8,101532.0
PHARMAID,2022-01-11,597.4,600.9,578.0,579.8,109935.0
PHARMAID,2022-01-12,589.9,609.4,582.0,591.5,112883.0
PHARMAID,2022-01-13,604.5,629.0,600.0,626.0,173279.0
PHARMAID,2022-01-16,638.5,672.9,638.5,672.9,75722.0
PHARMAID,2022-01-17,723.0,723.1,670.2,677.8,285230.0
PHARMAID,2022-01-18,677.9,728.6,669.2,728.6,218498.0
PHARMAID,2022-01-19,750.0,781.0,733.0,769.6,215074.0
PHARMAID,2022-01-20,775.0,805.0,752.0,791.0,186595.0
PHARMAID,2022-01-23,782.0,834.0,775.1,789.3,266160.0
PHARMAID,2022-01-24,778.1,810.0,760.0,797.6,179976.0
PHARMAID,2022-01-25,820.0,828.0,790.0,791.4,92204.0
PHARMAID,2022-01-26,790.0,805.0,780.0,791.0,129405.0
PHARMAID,2022-01-27,792.0,800.0,779.0,783.8,98429.0
PHARMAID,2022-01-30,789.8,842.5,775.0,842.0,176722.0
PHARMAID,2022-01-31,839.8,839.8,800.0,804.3,175209.0
PHARMAID,2022-02-01,796.1,816.0,781.0,786.1,122339.0
PHARMAID,2022-02-02,799.8,799.8,765.0,776.8,84962.0
PHARMAID,2022-02-03,776.8,799.0,776.8,780.6,52217.0
PHARMAID,2022-02-06,781.1,793.9,765.6,770.9,52115.0
PHARMAID,2022-02-07,772.3,780.0,750.0,753.7,84623.0
PHARMAID,2022-02-08,750.0,768.9,747.1,765.6,48674.0
PHARMAID,2022-02-09,777.9,804.8,762.1,785.3,80738.0
PHARMAID,2022-02-10,798.9,821.6,785.0,813.8,128019.0
PHARMAID,2022-02-13,828.0,840.0,817.0,826.9,122871.0
PHARMAID,2022-02-14,830.9,830.9,810.7,813.6,71234.0
PHARMAID,2022-02-15,807.0,836.8,806.1,819.1,116258.0
PHARMAID,2022-02-16,821.0,880.5,821.0,876.3,228928.0
PHARMAID,2022-02-17,887.9,888.0,854.4,860.2,55155.0
PHARMAID,2022-02-20,861.8,864.0,841.2,850.5,87065.0
PHARMAID,2022-02-22,858.5,858.5,821.0,826.7,79871.0
PHARMAID,2022-02-23,822.1,843.9,821.1,832.8,45950.0
PHARMAID,2022-02-24,833.3,845.0,807.0,816.6,74326.0
PHARMAID,2022-02-27,815.0,818.0,786.0,792.0,73353.0
PHARMAID,2022-02-28,793.0,812.0,793.0,802.6,39173.0
PHARMAID,2022-03-01,806.2,828.0,798.0,806.7,60346.0
