symbol,date,open,high,low,close,volume
PHENIXINS,2022-01-02,60.9,60.9,58.7,60.2,37072.0
PHENIXINS,2022-01-03,60.9,60.9,59.5,59.5,142554.0
PHENIXINS,2022-01-04,60.1,60.7,59.7,60.3,234697.0
PHENIXINS,2022-01-05,60.5,61.7,59.3,59.8,133958.0
PHENIXINS,2022-01-06,60.4,60.4,57.6,58.0,144460.0
PHENIXINS,2022-01-09,58.2,58.8,56.8,56.9,63856.0
PHENIXINS,2022-01-10,56.9,58.4,56.9,57.9,141709.0
PHENIXINS,2022-01-11,58.5,60.3,57.6,57.7,78985.0
PHENIXINS,2022-01-12,57.3,58.0,56.4,56.7,94027.0
PHENIXINS,2022-01-13,56.9,58.7,56.5,57.0,33736.0
PHENIXINS,2022-01-16,57.5,57.5,55.2,55.4,154508.0
PHENIXINS,2022-01-17,57.0,57.9,55.5,56.3,126024.0
PHENIXINS,2022-01-18,56.9,56.9,55.8,55.9,88987.0
PHENIXINS,2022-01-19,56.3,56.3,54.0,55.0,163963.0
PHENIXINS,2022-01-20,55.2,56.5,54.2,54.9,121283.0
PHENIXINS,2022-01-23,56.8,57.9,56.8,57.2,130608.0
PHENIXINS,2022-01-24,57.2,57.2,55.0,55.7,105837.0
PHENIXINS,2022-01-25,55.7,56.5,55.1,55.9,64099.0
PHENIXINS,2022-01-26,56.4,57.4,55.6,56.8,170149.0
PHENIXINS,2022-01-27,56.3,57.1,55.8,56.1,118040.0
PHENIXINS,2022-01-30,56.2,58.0,56.2,57.8,110887.0
PHENIXINS,2022-01-31,57.8,58.7,56.6,57.1,61387.0
PHENIXINS,2022-02-01,57.7,57.7,56.6,56.6,47915.0
PHENIXINS,2022-02-02,56.9,58.2,56.8,57.5,107322.0
PHENIXINS,2022-02-03,58.7,58.7,55.3,56.7,167649.0
PHENIXINS,2022-02-06,57.0,59.5,57.0,58.6,213405.0
PHENIXINS,2022-02-07,59.8,60.7,57.5,59.7,275284.0
PHENIXINS,2022-02-08,60.0,61.2,59.5,59.7,131874.0
PHENIXINS,2022-02-09,60.0,60.0,58.0,59.5,217689.0
PHENIXINS,2022-02-10,58.2,59.9,58.2,58.6,77955.0
PHENIXINS,2022-02-13,58.6,59.6,57.0,57.4,72138.0
PHENIXINS,2022-02-14,57.0,58.7,57.0,57.2,163363.0
PHENIXINS,2022-02-15,57.3,57.3,55.7,55.9,129279.0
PHENIXINS,2022-02-16,56.0,57.7,54.1,54.7,107811.0
PHENIXINS,2022-02-17,55.9,55.9,53.7,54.7,102988.0
PHENIXINS,2022-02-20,54.0,55.4,53.8,54.3,85816.0
PHENIXINS,2022-02-22,55.2,55.2,53.1,53.7,63949.0
PHENIXINS,2022-02-23,54.0,54.5,53.2,53.5,72138.0
PHENIXINS,2022-02-24,54.4,54.4,51.9,52.4,99232.0
PHENIXINS,2022-02-27,52.0,53.9,49.1,50.1,75905.0
PHENIXINS,2022-02-28,50.1,51.5,50.1,50.5,33996.0
PHENIXINS,2022-03-01,52.0,53.4,50.9,51.1,37149.0
PHENIXINS,2022-03-02,52.7,52.7,50.3,50.7,32916.0
PHENIXINS,2022-03-03,50.9,51.2,50.3,50.6,31661.0
PHENIXINS,2022-03-06,52.6,52.6,49.2,49.7,22929.0
PHENIXINS,2022-03-07,47.0,49.9,47.0,47.0,13469.0
