symbol,date,open,high,low,close,volume
PIONEERINS,2022-01-02,119.6,119.7,116.0,116.3,93871.0
PIONEERINS,2022-01-03,116.5,118.0,114.3,115.2,116173.0
PIONEERINS,2022-01-04,115.8,117.6,115.0,115.6,134058.0
PIONEERINS,2022-01-05,116.8,117.6,115.6,116.0,111410.0
PIONEERINS,2022-01-06,115.9,116.5,113.1,113.4,167606.0
PIONEERINS,2022-01-09,114.1,114.8,109.0,110.0,142710.0
PIONEERINS,2022-01-10,111.0,111.4,108.9,110.2,95843.0
PIONEERINS,2022-01-11,112.4,112.4,109.5,110.0,103105.0
PIONEERINS,2022-01-12,110.5,111.5,108.6,109.0,63795.0
PIONEERINS,2022-01-13,109.5,111.0,108.9,109.8,85723.0
PIONEERINS,2022-01-16,112.0,113.2,109.6,110.3,51089.0
PIONEERINS,2022-01-17,111.9,115.5,110.5,111.5,173798.0
PIONEERINS,2022-01-18,114.6,114.6,110.2,110.5,92406.0
PIONEERINS,2022-01-19,110.9,113.0,109.9,110.6,120531.0
PIONEERINS,2022-01-20,112.4,112.4,110.0,110.1,99392.0
PIONEERINS,2022-01-23,112.9,113.8,110.1,110.5,150215.0
PIONEERINS,2022-01-24,112.4,112.4,109.0,109.4,162627.0
PIONEERINS,2022-01-25,110.5,110.5,109.0,109.4,81364.0
PIONEERINS,2022-01-26,109.8,110.9,109.0,109.3,63258.0
PIONEERINS,2022-01-27,109.6,111.0,108.9,109.0,69207.0
PIONEERINS,2022-01-30,109.0,113.1,109.0,109.6,65837.0
PIONEERINS,2022-01-31,110.0,111.0,108.4,108.9,36986.0
PIONEERINS,2022-02-01,111.0,111.0,108.6,109.3,42803.0
PIONEERINS,2022-02-02,109.3,110.7,109.0,110.0,59895.0
PIONEERINS,2022-02-03,111.9,112.4,110.0,110.2,245332.0
PIONEERINS,2022-02-06,110.0,118.5,110.0,114.6,492058.0
PIONEERINS,2022-02-07,116.9,116.9,113.6,115.1,287154.0
PIONEERINS,2022-02-08,116.8,117.9,114.0,114.5,279955.0
PIONEERINS,2022-02-09,114.5,116.7,112.6,113.1,110955.0
PIONEERINS,2022-02-10,117.1,117.1,111.9,113.2,85595.0
PIONEERINS,2022-02-13,115.7,115.7,111.9,112.2,102969.0
PIONEERINS,2022-02-14,112.1,112.1,110.1,111.0,59897.0
PIONEERINS,2022-02-15,110.3,111.9,107.8,108.6,167156.0
PIONEERINS,2022-02-16,108.4,110.8,108.0,108.2,44882.0
PIONEERINS,2022-02-17,108.3,108.7,105.8,106.1,107663.0
PIONEERINS,2022-02-20,106.1,106.9,105.2,105.6,54252.0
PIONEERINS,2022-02-22,106.0,110.0,106.0,109.0,87477.0
PIONEERINS,2022-02-23,110.5,110.5,106.6,109.4,52430.0
PIONEERINS,2022-02-24,107.5,109.5,106.0,108.2,154141.0
PIONEERINS,2022-02-27,108.0,108.1,100.1,101.8,130763.0
PIONEERINS,2022-02-28,105.9,107.6,104.5,106.8,48097.0
PIONEERINS,2022-03-01,108.9,108.9,104.5,104.8,56450.0
PIONEERINS,2022-03-02,107.7,107.7,102.1,104.4,21406.0
PIONEERINS,2022-03-03,103.2,105.4,103.2,105.0,39765.0
PIONEERINS,2022-03-06,105.0,105.0,101.1,101.7,47197.0
PIONEERINS,2022-03-07,101.7,102.5,96.2,96.7,92313.0
PIONEERINS,2022-03-08,98.0,99.0,91.1,95.5,50550.0
PIONEERINS,2022-03-09,95.6,101.9,95.6,100.7,80304.0
PIONEERINS,2022-03-10,101.7,107.8,101.7,106.2,122998.0
PIONEERINS,2022-03-13,107.1,108.5,104.5,105.1,39173.0
PIONEERINS,2022-03-14,107.6,107.7,103.5,103.7,57184.0
PIONEERINS,2022-03-15,103.1,105.6,101.8,102.4,88854.0
PIONEERINS,2022-03-16,102.6,103.9,100.5,102.9,76891.0
PIONEERINS,2022-03-20,102.9,104.0,100.9,101.0,18946.0
PIONEERINS,2022-03-21,101.0,104.0,100.1,100.5,21621.0
PIONEERINS,2022-03-22,103.0,103.0,101.0,101.5,29334.0
PIONEERINS,2022-03-23,101.1,103.4,101.1,101.6,38970.0
PIONEERINS,2022-03-24,102.8,105.4,101.3,103.8,48239.0
PIONEERINS,2022-03-27,107.9,107.9,101.8,102.5,22890.0
PIONEERINS,2022-03-28,106.0,106.0,102.2,102.5,90617.0
PIONEERINS,2022-03-29,104.7,104.7,102.0,102.3,46563.0
PIONEERINS,2022-03-30,104.7,107.0,103.0,105.0,122779.0
PIONEERINS,2022-03-31,106.2,106.6,103.7,104.0,43177.0
PIONEERINS,2022-04-03,107.7,107.7,102.0,102.2,70476.0
PIONEERINS,2022-04-04,101.8,102.0,100.2,100.2,54593.0
PIONEERINS,2022-04-05,99.5,101.0,98.2,98.2,239927.0
PIONEERINS,2022-04-06,98.2,102.0,96.3,97.0,61342.0
PIONEERINS,2022-04-07,99.9,100.0,97.0,99.3,54459.0
PIONEERINS,2022-04-10,98.2,100.4,98.0,98.0,26166.0
PIONEERINS,2022-04-11,99.0,99.8,96.7,97.9,21856.0
PIONEERINS,2022-04-12,97.0,98.5,96.5,97.4,46827.0
PIONEERINS,2022-04-13,96.0,98.9,95.5,96.7,19156.0
PIONEERINS,2022-04-17,96.0,97.7,94.8,95.0,31509.0
PIONEERINS,2022-04-18,93.7,95.0,93.1,93.1,66791.0
PIONEERINS,2022-04-19,91.6,93.5,91.3,91.9,41279.0
PIONEERINS,2022-04-20,100.0,100.0,92.5,93.6,22775.0
PIONEERINS,2022-04-21,96.9,96.9,93.9,94.0,55479.0
PIONEERINS,2022-04-24,96.6,96.7,93.5,94.1,136576.0
PIONEERINS,2022-04-25,94.4,98.0,94.4,97.3,38794.0
PIONEERINS,2022-04-26,97.0,100.0,97.0,99.1,27362.0
PIONEERINS,2022-04-27,99.9,99.9,97.3,97.8,21384.0
PIONEERINS,2022-04-28,101.0,102.2,100.0,101.4,140529.0
PIONEERINS,2022-05-05,104.0,104.6,102.1,103.8,59601.0
PIONEERINS,2022-05-08,104.9,104.9,100.1,100.9,82086.0
PIONEERINS,2022-05-09,102.9,102.9,101.1,101.6,44399.0
PIONEERINS,2022-05-10,101.7,102.6,100.6,100.6,67207.0
PIONEERINS,2022-05-11,102.3,102.3,98.0,98.7,32928.0
PIONEERINS,2022-05-12,97.6,99.0,97.1,97.7,38459.0
PIONEERINS,2022-05-16,97.1,97.1,92.9,93.0,90096.0
PIONEERINS,2022-05-17,93.5,96.0,89.4,90.2,64507.0
PIONEERINS,2022-05-18,90.5,92.4,85.7,87.6,191002.0
PIONEERINS,2022-05-19,88.5,88.7,84.1,85.8,97364.0
PIONEERINS,2022-05-22,88.8,88.8,81.6,81.6,233631.0
PIONEERINS,2022-05-23,84.0,86.3,81.0,81.9,420491.0
PIONEERINS,2022-05-24,82.0,84.0,82.0,83.7,148819.0
PIONEERINS,2022-05-26,78.0,78.0,74.6,74.6,799880.0
PIONEERINS,2022-05-29,77.7,77.7,74.7,75.2,215419.0
PIONEERINS,2022-05-30,74.5,76.4,74.0,74.5,390647.0
PIONEERINS,2022-05-31,74.7,79.3,74.7,77.6,412347.0
PIONEERINS,2022-06-01,77.5,77.8,76.1,77.0,182953.0
PIONEERINS,2022-06-02,77.5,79.8,75.8,76.2,285618.0
PIONEERINS,2022-06-05,78.2,78.9,75.6,78.0,447248.0
PIONEERINS,2022-06-06,79.3,85.8,79.0,85.8,920723.0
PIONEERINS,2022-06-07,86.0,94.3,85.8,94.3,1197013.0
PIONEERINS,2022-06-08,94.3,97.6,92.5,94.5,953635.0
PIONEERINS,2022-06-09,93.5,94.0,92.7,92.7,316573.0
PIONEERINS,2022-06-12,90.9,90.9,90.9,90.9,33149.0
PIONEERINS,2022-06-13,89.1,89.2,89.1,89.1,14235.0
PIONEERINS,2022-06-14,87.4,93.9,87.4,90.2,792724.0
PIONEERINS,2022-06-15,91.4,92.3,88.4,88.5,223299.0
PIONEERINS,2022-06-16,89.2,89.9,86.8,87.9,339797.0
PIONEERINS,2022-06-19,86.3,88.9,86.2,86.2,134104.0
PIONEERINS,2022-06-20,86.3,86.3,84.5,84.5,140844.0
PIONEERINS,2022-06-21,83.0,86.4,82.9,83.1,196714.0
PIONEERINS,2022-06-22,91.0,91.0,82.6,84.7,61027.0
PIONEERINS,2022-06-23,90.0,90.0,83.1,83.2,98392.0
PIONEERINS,2022-06-26,82.6,82.6,81.6,81.6,101366.0
PIONEERINS,2022-06-27,81.1,84.0,80.0,83.5,161875.0
PIONEERINS,2022-06-28,83.9,85.9,81.9,82.2,165557.0
PIONEERINS,2022-06-29,83.8,83.8,81.1,81.3,75299.0
PIONEERINS,2022-06-30,80.5,82.6,80.5,82.0,71691.0
PIONEERINS,2022-07-03,84.1,84.1,80.5,80.8,88415.0
PIONEERINS,2022-07-04,80.9,81.4,79.4,80.1,133881.0
PIONEERINS,2022-07-05,80.2,81.4,78.8,79.1,125062.0
PIONEERINS,2022-07-06,84.8,84.8,79.1,79.2,78534.0
PIONEERINS,2022-07-07,79.2,81.2,78.5,78.7,57153.0
PIONEERINS,2022-07-12,82.3,82.3,77.2,77.4,52941.0
PIONEERINS,2022-07-13,77.0,79.8,77.0,77.8,55061.0
PIONEERINS,2022-07-14,77.8,80.0,76.6,77.2,49746.0
PIONEERINS,2022-07-17,79.9,81.7,77.2,77.3,111772.0
PIONEERINS,2022-07-18,77.5,77.5,75.8,75.8,90121.0
PIONEERINS,2022-07-19,74.3,75.4,74.3,74.3,15065.0
PIONEERINS,2022-07-20,72.9,76.9,72.9,73.0,97991.0
PIONEERINS,2022-07-21,73.4,75.5,72.2,72.6,78310.0
PIONEERINS,2022-07-24,73.1,73.1,71.2,71.2,58241.0
PIONEERINS,2022-07-25,71.2,73.4,69.8,71.4,118988.0
PIONEERINS,2022-07-26,71.5,74.2,70.0,73.1,169645.0
PIONEERINS,2022-07-27,72.9,73.0,71.7,71.7,71957.0
PIONEERINS,2022-07-28,70.4,71.2,70.3,70.3,72207.0
PIONEERINS,2022-07-31,71.6,78.6,71.5,77.1,256968.0
PIONEERINS,2022-08-01,78.5,78.8,74.0,74.1,81856.0
PIONEERINS,2022-08-02,73.8,76.6,73.7,75.9,122246.0
PIONEERINS,2022-08-03,76.2,77.6,74.9,75.5,98304.0
PIONEERINS,2022-08-04,75.5,75.5,73.5,73.9,81215.0
PIONEERINS,2022-08-07,75.0,75.0,71.6,72.0,110691.0
PIONEERINS,2022-08-08,72.2,73.0,71.5,71.7,149232.0
PIONEERINS,2022-08-10,71.8,72.0,71.5,71.6,103851.0
PIONEERINS,2022-08-11,71.6,72.8,71.5,71.5,52213.0
PIONEERINS,2022-08-14,71.5,71.5,71.5,71.5,35017.0
PIONEERINS,2022-08-16,71.5,72.0,71.5,71.5,97116.0
PIONEERINS,2022-08-17,71.7,73.5,71.6,71.9,89773.0
PIONEERINS,2022-08-21,73.3,73.3,71.5,71.5,71410.0
PIONEERINS,2022-08-22,71.6,72.0,71.5,71.5,161297.0
PIONEERINS,2022-08-23,74.2,74.2,71.5,71.5,80473.0
PIONEERINS,2022-08-24,71.5,71.7,71.5,71.5,118429.0
PIONEERINS,2022-08-25,71.5,72.7,71.5,72.1,141226.0
PIONEERINS,2022-08-28,72.2,75.5,72.2,74.5,302527.0
PIONEERINS,2022-08-29,74.5,75.5,72.2,72.6,166358.0
PIONEERINS,2022-08-30,72.9,72.9,71.7,71.9,221143.0
PIONEERINS,2022-08-31,72.0,73.4,71.7,72.5,466248.0
PIONEERINS,2022-09-01,76.7,76.7,72.6,73.6,313918.0
PIONEERINS,2022-09-04,73.1,73.7,71.8,71.9,310885.0
PIONEERINS,2022-09-05,71.8,72.3,71.6,71.6,232884.0
PIONEERINS,2022-09-06,72.8,72.8,71.5,71.5,185086.0
PIONEERINS,2022-09-07,71.5,71.9,71.5,71.5,206902.0
PIONEERINS,2022-09-08,71.5,72.0,71.5,71.5,172577.0
PIONEERINS,2022-09-11,71.5,71.5,71.5,71.5,54346.0
PIONEERINS,2022-09-12,71.5,71.5,71.5,71.5,15382.0
PIONEERINS,2022-09-13,71.5,71.5,71.5,71.5,25084.0
PIONEERINS,2022-09-14,71.5,71.5,71.5,71.5,43353.0
PIONEERINS,2022-09-15,71.5,71.5,71.5,71.5,7276.0
PIONEERINS,2022-09-18,71.5,75.5,71.5,72.7,462263.0
PIONEERINS,2022-09-19,72.4,74.8,71.5,71.6,264232.0
PIONEERINS,2022-09-20,71.5,71.6,71.5,71.5,127222.0
PIONEERINS,2022-09-21,71.5,72.5,71.5,71.5,36759.0
PIONEERINS,2022-09-22,71.5,71.5,71.5,71.5,8976.0
PIONEERINS,2022-09-25,71.5,71.5,71.5,71.5,2660.0
PIONEERINS,2022-09-26,71.5,71.5,71.5,71.5,1613.0
PIONEERINS,2022-09-27,71.5,71.5,71.5,71.5,18173.0
PIONEERINS,2022-09-28,71.5,71.5,71.5,71.5,666.0
PIONEERINS,2022-09-29,71.5,71.5,71.5,71.5,1044.0
PIONEERINS,2022-10-02,71.5,71.5,71.5,71.5,9890.0
PIONEERINS,2022-10-03,71.5,71.5,71.5,71.5,2896.0
PIONEERINS,2022-10-04,71.5,71.5,71.5,71.5,2010.0
PIONEERINS,2022-10-06,71.5,71.5,71.5,71.5,2444.0
PIONEERINS,2022-10-10,71.5,71.5,71.5,71.5,315.0
PIONEERINS,2022-10-11,71.5,71.5,71.5,71.5,130.0
PIONEERINS,2022-10-12,71.5,71.5,71.5,71.5,21.0
PIONEERINS,2022-10-13,71.5,72.0,71.5,71.5,137560.0
PIONEERINS,2022-10-16,71.7,72.4,71.5,71.5,73710.0
PIONEERINS,2022-10-17,71.5,71.5,71.5,71.5,17199.0
PIONEERINS,2022-10-18,71.5,71.5,71.5,71.5,5387.0
PIONEERINS,2022-10-19,71.5,71.5,71.5,71.5,582.0
PIONEERINS,2022-10-20,71.5,71.5,71.5,71.5,4415.0
PIONEERINS,2022-10-23,71.5,71.5,71.5,71.5,782.0
PIONEERINS,2022-10-24,71.5,71.5,71.5,71.5,645.0
PIONEERINS,2022-10-25,71.5,71.5,71.5,71.5,1175.0
PIONEERINS,2022-10-26,71.5,71.5,71.5,71.5,3.0
PIONEERINS,2022-10-27,71.5,71.5,71.5,71.5,3816.0
PIONEERINS,2022-10-30,71.5,71.5,71.5,71.5,59346.0
PIONEERINS,2022-10-31,71.5,71.5,71.5,71.5,732.0
PIONEERINS,2022-11-01,71.5,71.5,71.5,71.5,2025.0
PIONEERINS,2022-11-02,71.5,74.0,71.5,71.7,734624.0
PIONEERINS,2022-11-03,71.5,72.0,71.5,71.5,197951.0
PIONEERINS,2022-11-06,71.5,71.5,71.5,71.5,19391.0
PIONEERINS,2022-11-07,71.5,71.5,71.5,71.5,4510.0
PIONEERINS,2022-11-08,71.5,71.5,71.5,71.5,1313.0
PIONEERINS,2022-11-09,71.5,71.5,71.5,71.5,855.0
PIONEERINS,2022-11-10,71.5,71.5,71.5,71.5,1007.0
PIONEERINS,2022-11-13,71.5,71.5,71.5,71.5,1300.0
PIONEERINS,2022-11-14,71.5,71.5,71.5,71.5,1351.0
PIONEERINS,2022-11-15,71.5,71.5,71.5,71.5,265.0
PIONEERINS,2022-11-16,71.5,71.5,71.5,71.5,6775.0
PIONEERINS,2022-11-17,71.5,71.5,71.5,71.5,300.0
PIONEERINS,2022-11-20,71.5,71.5,71.5,71.5,301.0
PIONEERINS,2022-11-21,71.5,71.5,71.5,71.5,1773.0
PIONEERINS,2022-11-22,71.5,71.5,71.5,71.5,1507.0
PIONEERINS,2022-11-24,71.5,71.5,71.5,71.5,11.0
PIONEERINS,2022-11-28,71.5,71.5,71.5,71.5,185.0
PIONEERINS,2022-11-29,71.5,71.5,71.5,71.5,56.0
PIONEERINS,2022-11-30,71.5,71.5,71.5,71.5,139.0
PIONEERINS,2022-12-01,71.5,71.5,71.5,71.5,55.0
PIONEERINS,2022-12-04,71.5,71.5,71.5,71.5,67.0
PIONEERINS,2022-12-05,71.5,71.5,71.5,71.5,30.0
PIONEERINS,2022-12-06,71.5,71.5,71.5,71.5,22.0
PIONEERINS,2022-12-07,71.5,71.5,71.5,71.5,1.0
PIONEERINS,2022-12-08,71.5,71.5,71.5,71.5,105.0
PIONEERINS,2022-12-11,71.5,71.5,71.5,71.5,800.0
PIONEERINS,2022-12-12,71.5,71.5,71.5,71.5,410.0
PIONEERINS,2022-12-13,71.5,71.5,71.5,71.5,140.0
PIONEERINS,2022-12-14,71.5,71.5,71.5,71.5,25.0
PIONEERINS,2022-12-15,71.5,71.5,71.5,71.5,150.0
PIONEERINS,2022-12-18,71.5,71.5,71.5,71.5,140.0
PIONEERINS,2022-12-21,71.5,71.5,71.5,71.5,1.0
PIONEERINS,2022-12-22,71.5,71.5,71.5,71.5,5.0
PIONEERINS,2022-12-26,71.5,71.5,71.5,71.5,175.0
PIONEERINS,2022-12-27,71.5,71.5,71.5,71.5,152.0
PIONEERINS,2022-12-28,71.5,71.5,71.5,71.5,236.0
PIONEERINS,2022-12-29,71.5,71.5,71.5,71.5,261.0
PIONEERINS,2023-01-01,71.5,71.5,71.5,71.5,10.0
