symbol,date,open,high,low,close,volume
PLFSL,2024-03-10,3.3,3.3,3.3,3.3,113745.0
PLFSL,2024-03-11,3.6,3.6,3.6,3.6,179621.0
PLFSL,2024-03-12,3.9,3.9,3.9,3.9,898481.0
PLFSL,2024-03-13,4.2,4.2,4.2,4.2,1269228.0
PLFSL,2024-03-14,4.6,4.6,4.6,4.6,793595.0
PLFSL,2024-03-18,5.0,5.0,5.0,5.0,402807.0
PLFSL,2024-03-19,5.5,5.5,4.5,4.5,10798526.0
PLFSL,2024-03-20,4.7,4.9,4.3,4.6,1723243.0
PLFSL,2024-03-21,4.8,5.0,4.8,5.0,1821543.0
PLFSL,2024-03-24,5.4,5.5,5.0,5.1,2984578.0
PLFSL,2024-03-25,5.0,5.1,4.8,4.9,782990.0
PLFSL,2024-03-27,4.9,5.0,4.6,4.7,856698.0
PLFSL,2024-03-28,4.7,4.8,4.5,4.8,975038.0
PLFSL,2024-03-31,4.8,4.9,4.7,4.7,428832.0
PLFSL,2024-04-01,4.7,4.8,4.5,4.6,498877.0
PLFSL,2024-04-02,4.6,4.6,4.3,4.5,597828.0
PLFSL,2024-04-03,4.6,4.6,4.5,4.5,669509.0
PLFSL,2024-04-04,4.5,4.7,4.5,4.6,314999.0
PLFSL,2024-04-08,4.6,4.6,4.4,4.5,662036.0
PLFSL,2024-04-09,4.5,4.6,4.4,4.4,201687.0
PLFSL,2024-04-15,4.4,4.5,4.3,4.3,464837.0
PLFSL,2024-04-16,4.4,4.4,4.3,4.3,317156.0
PLFSL,2024-04-17,4.3,4.5,4.3,4.3,342375.0
PLFSL,2024-04-18,4.3,4.4,4.1,4.2,646022.0
PLFSL,2024-04-21,4.1,4.2,3.9,4.0,546962.0
PLFSL,2024-04-22,4.1,4.2,4.0,4.0,382173.0
PLFSL,2024-04-23,4.1,4.1,3.8,3.8,644089.0
PLFSL,2024-04-24,3.8,3.9,3.7,3.7,579895.0
PLFSL,2024-04-25,3.7,3.8,3.6,3.6,638071.0
PLFSL,2024-04-28,3.7,3.9,3.6,3.9,562427.0
PLFSL,2024-04-29,4.0,4.1,3.8,3.9,341515.0
PLFSL,2024-04-30,3.9,3.9,3.8,3.8,273202.0
PLFSL,2024-05-02,3.8,3.9,3.7,3.7,374252.0
PLFSL,2024-05-05,3.6,3.7,3.6,3.6,650883.0
PLFSL,2024-05-06,3.6,3.9,3.5,3.8,518018.0
PLFSL,2024-05-07,3.8,4.0,3.7,3.8,578345.0
PLFSL,2024-05-08,3.8,3.8,3.7,3.7,328332.0
PLFSL,2024-05-09,3.7,3.7,3.6,3.6,664623.0
PLFSL,2024-05-12,3.7,3.7,3.6,3.6,90726.0
PLFSL,2024-05-13,3.7,3.7,3.5,3.6,546355.0
PLFSL,2024-05-14,3.6,3.6,3.5,3.5,236699.0
PLFSL,2024-05-15,3.5,3.5,3.4,3.4,252116.0
PLFSL,2024-05-16,3.5,3.5,3.4,3.4,159452.0
