symbol,date,open,high,low,close,volume
POWERGRID,2022-01-02,60.3,62.5,59.8,61.6,2798876.0
POWERGRID,2022-01-03,62.3,66.2,61.7,63.6,6970645.0
POWERGRID,2022-01-04,63.8,66.2,62.5,65.3,4330560.0
POWERGRID,2022-01-05,66.2,68.0,66.2,66.9,7144728.0
POWERGRID,2022-01-06,67.3,70.1,65.8,69.7,10252968.0
POWERGRID,2022-01-09,70.5,71.0,67.2,67.8,7133539.0
POWERGRID,2022-01-10,68.2,74.5,66.9,74.4,14080894.0
POWERGRID,2022-01-11,76.7,80.6,74.6,75.4,17157098.0
POWERGRID,2022-01-12,74.8,76.0,69.3,70.6,10665886.0
POWERGRID,2022-01-13,71.0,76.2,70.4,75.4,8312481.0
POWERGRID,2022-01-16,76.0,78.0,74.4,75.4,7549580.0
POWERGRID,2022-01-17,76.0,76.7,72.5,73.2,7461084.0
POWERGRID,2022-01-18,73.3,74.9,71.1,71.4,6597973.0
POWERGRID,2022-01-19,71.4,74.0,70.9,72.2,4089282.0
POWERGRID,2022-01-20,73.4,73.9,70.0,70.5,3978170.0
POWERGRID,2022-01-23,70.7,75.5,70.2,74.3,7671425.0
POWERGRID,2022-01-24,75.0,75.5,71.7,72.4,4991216.0
POWERGRID,2022-01-25,72.8,73.1,70.9,71.4,3453798.0
POWERGRID,2022-01-26,71.5,72.6,70.9,71.4,3229543.0
POWERGRID,2022-01-27,71.1,71.8,69.9,70.2,4286158.0
POWERGRID,2022-01-30,68.5,69.0,66.0,67.1,7113520.0
POWERGRID,2022-01-31,67.0,68.6,66.6,66.9,2276125.0
POWERGRID,2022-02-01,67.3,70.8,67.3,69.8,2922727.0
POWERGRID,2022-02-02,70.0,72.8,69.7,69.9,2775606.0
POWERGRID,2022-02-03,70.3,70.4,67.1,68.1,2297251.0
POWERGRID,2022-02-06,68.4,69.9,68.2,69.2,1701689.0
POWERGRID,2022-02-07,69.2,71.1,69.1,69.4,2173373.0
POWERGRID,2022-02-08,69.4,70.7,68.8,69.7,1725050.0
POWERGRID,2022-02-09,70.2,70.3,68.3,68.7,1861006.0
POWERGRID,2022-02-10,69.7,69.7,68.2,68.8,1487125.0
POWERGRID,2022-02-13,68.6,69.8,67.6,67.9,806591.0
POWERGRID,2022-02-14,68.1,68.6,66.4,66.6,1249040.0
POWERGRID,2022-02-15,66.8,67.4,66.0,66.9,1539324.0
POWERGRID,2022-02-16,67.8,67.8,66.9,67.4,1373531.0
POWERGRID,2022-02-17,67.4,67.9,66.5,66.9,1012155.0
POWERGRID,2022-02-20,67.8,67.8,64.1,64.8,907383.0
POWERGRID,2022-02-22,64.3,65.5,63.8,64.0,756257.0
POWERGRID,2022-02-23,64.0,64.8,63.6,64.0,769979.0
POWERGRID,2022-02-24,64.1,64.8,62.0,62.2,1017963.0
POWERGRID,2022-02-27,61.9,62.5,60.6,61.4,1066758.0
POWERGRID,2022-02-28,61.5,62.9,61.5,62.4,651898.0
POWERGRID,2022-03-01,63.1,64.8,62.0,62.7,1095021.0
POWERGRID,2022-03-02,62.7,63.4,61.2,61.6,319374.0
POWERGRID,2022-03-03,61.8,61.9,60.2,60.6,870355.0
POWERGRID,2022-03-06,60.4,61.3,59.5,59.9,720462.0
POWERGRID,2022-03-07,60.4,61.0,58.0,58.2,1067322.0
POWERGRID,2022-03-08,59.6,60.2,56.5,59.8,707679.0
POWERGRID,2022-03-09,60.7,61.3,59.5,61.0,964591.0
POWERGRID,2022-03-10,61.0,62.8,60.5,61.0,1224727.0
POWERGRID,2022-03-13,61.3,63.7,60.8,63.0,821388.0
POWERGRID,2022-03-14,63.0,64.2,62.3,62.4,1484918.0
POWERGRID,2022-03-15,62.5,64.1,62.0,62.9,825501.0
POWERGRID,2022-03-16,63.3,63.3,61.7,62.1,838818.0
