symbol,date,open,high,low,close,volume
PREMIERBAN,2022-01-02,15.2,15.3,14.9,15.2,1551958.0
PREMIERBAN,2022-01-03,15.2,15.4,15.0,15.0,1386768.0
PREMIERBAN,2022-01-04,15.0,15.0,14.8,14.8,2114056.0
PREMIERBAN,2022-01-05,14.8,15.1,14.7,14.9,2644250.0
PREMIERBAN,2022-01-06,15.0,15.4,15.0,15.2,2399435.0
PREMIERBAN,2022-01-09,15.2,15.3,15.0,15.1,2819359.0
PREMIERBAN,2022-01-10,15.1,15.4,14.9,15.3,2772155.0
PREMIERBAN,2022-01-11,15.3,15.4,15.2,15.3,2798907.0
PREMIERBAN,2022-01-12,15.4,15.4,15.1,15.2,1425393.0
PREMIERBAN,2022-01-13,15.2,15.2,14.9,15.0,865206.0
PREMIERBAN,2022-01-16,15.0,15.1,14.8,14.8,1374742.0
PREMIERBAN,2022-01-17,15.1,15.1,14.8,15.0,764257.0
PREMIERBAN,2022-01-18,15.1,15.1,14.9,14.9,1052835.0
PREMIERBAN,2022-01-19,14.9,15.1,14.9,15.0,784698.0
PREMIERBAN,2022-01-20,15.0,15.1,14.9,15.0,1430111.0
PREMIERBAN,2022-01-23,14.9,15.0,14.8,14.8,833734.0
PREMIERBAN,2022-01-24,15.0,15.0,14.6,14.7,1260953.0
PREMIERBAN,2022-01-25,14.7,14.9,14.7,14.8,569031.0
PREMIERBAN,2022-01-26,14.8,14.9,14.7,14.8,443337.0
PREMIERBAN,2022-01-27,14.8,15.0,14.8,14.9,744830.0
PREMIERBAN,2022-01-30,14.9,15.3,14.9,15.2,2588837.0
PREMIERBAN,2022-01-31,15.2,15.2,15.0,15.2,1400243.0
PREMIERBAN,2022-02-01,15.1,15.4,15.1,15.2,2679885.0
PREMIERBAN,2022-02-02,15.2,15.4,15.1,15.3,939311.0
PREMIERBAN,2022-02-03,15.2,15.7,15.1,15.5,1287849.0
PREMIERBAN,2022-02-06,15.3,15.7,15.3,15.5,1233507.0
PREMIERBAN,2022-02-07,15.5,15.6,15.3,15.4,1757358.0
PREMIERBAN,2022-02-08,15.4,15.8,15.4,15.7,3064597.0
PREMIERBAN,2022-02-09,15.7,15.8,15.6,15.7,931081.0
PREMIERBAN,2022-02-10,15.7,16.0,15.7,15.9,1899942.0
PREMIERBAN,2022-02-13,16.0,16.0,15.8,16.0,1543817.0
PREMIERBAN,2022-02-14,16.0,16.2,15.8,16.0,1642924.0
PREMIERBAN,2022-02-15,16.0,16.0,15.6,15.9,1607982.0
PREMIERBAN,2022-02-16,15.9,15.9,15.7,15.7,508713.0
PREMIERBAN,2022-02-17,15.6,15.7,15.5,15.5,882004.0
PREMIERBAN,2022-02-20,15.5,15.5,15.3,15.3,865680.0
PREMIERBAN,2022-02-22,15.2,15.4,15.1,15.2,500894.0
PREMIERBAN,2022-02-23,15.3,15.4,15.3,15.3,419649.0
PREMIERBAN,2022-02-24,15.4,15.4,14.9,15.0,950775.0
PREMIERBAN,2022-02-27,14.8,14.9,14.6,14.7,1194120.0
PREMIERBAN,2022-02-28,14.9,16.1,14.8,15.8,6649697.0
PREMIERBAN,2022-03-01,15.8,16.6,15.2,16.2,5145441.0
PREMIERBAN,2022-03-02,16.2,16.2,15.4,15.5,2134757.0
PREMIERBAN,2022-03-03,15.4,15.6,15.2,15.5,867073.0
PREMIERBAN,2022-03-06,15.6,15.6,15.2,15.3,666079.0
PREMIERBAN,2022-03-07,15.2,15.4,14.9,15.0,1428732.0
PREMIERBAN,2022-03-08,15.0,15.5,14.8,15.1,1642862.0
PREMIERBAN,2022-03-09,15.2,15.7,15.2,15.6,1316659.0
PREMIERBAN,2022-03-10,15.6,16.0,15.5,15.6,1253869.0
PREMIERBAN,2022-03-13,15.7,15.8,15.6,15.8,1127766.0
PREMIERBAN,2022-03-14,15.9,16.1,15.6,16.0,3048761.0
PREMIERBAN,2022-03-15,16.0,16.0,15.7,15.8,1377741.0
PREMIERBAN,2022-03-16,16.0,16.1,15.8,16.0,2662522.0
PREMIERBAN,2022-03-20,16.0,16.1,15.7,16.0,2057922.0
PREMIERBAN,2022-03-21,16.0,17.6,15.7,16.9,8490785.0
PREMIERBAN,2022-03-22,17.0,17.0,16.6,16.6,2746637.0
PREMIERBAN,2022-03-23,16.5,17.5,16.3,17.0,10899429.0
PREMIERBAN,2022-03-24,17.0,17.6,16.8,17.3,17241425.0
PREMIERBAN,2022-03-27,17.3,18.0,17.1,17.7,18276691.0
PREMIERBAN,2022-03-28,17.6,17.6,17.4,17.4,9868924.0
PREMIERBAN,2022-03-29,17.7,17.8,16.7,17.0,14037151.0
PREMIERBAN,2022-03-30,17.1,17.1,16.7,16.7,6453312.0
PREMIERBAN,2022-03-31,16.7,16.7,16.4,16.6,5176944.0
PREMIERBAN,2022-04-03,16.7,16.9,16.5,16.8,4478031.0
PREMIERBAN,2022-04-04,16.8,16.9,16.5,16.6,3478838.0
PREMIERBAN,2022-04-05,16.6,16.6,16.4,16.5,2322097.0
PREMIERBAN,2022-04-06,16.5,16.6,16.4,16.6,1121260.0
PREMIERBAN,2022-04-07,16.6,16.8,16.5,16.7,2214464.0
PREMIERBAN,2022-04-10,16.7,16.9,16.5,16.7,1981563.0
PREMIERBAN,2022-04-11,16.7,16.8,16.5,16.5,2503533.0
PREMIERBAN,2022-04-12,16.6,16.6,16.2,16.3,1930499.0
PREMIERBAN,2022-04-13,16.4,16.4,16.0,16.3,2146982.0
PREMIERBAN,2022-04-17,16.3,16.5,16.2,16.3,2739217.0
PREMIERBAN,2022-04-18,16.3,16.4,16.0,16.1,2892739.0
PREMIERBAN,2022-04-19,16.1,16.3,16.0,16.2,5608227.0
PREMIERBAN,2022-04-21,14.0,14.0,14.0,14.0,459959.0
PREMIERBAN,2022-04-24,13.6,13.9,13.5,13.8,5105957.0
PREMIERBAN,2022-04-25,13.8,14.4,13.7,14.1,3454357.0
PREMIERBAN,2022-04-26,14.2,14.4,14.1,14.1,1542974.0
PREMIERBAN,2022-04-27,14.1,14.2,14.0,14.1,1072125.0
PREMIERBAN,2022-04-28,14.2,14.2,13.9,13.9,978492.0
PREMIERBAN,2022-05-05,13.9,14.0,13.8,13.9,455163.0
PREMIERBAN,2022-05-08,13.8,13.9,13.7,13.7,769995.0
PREMIERBAN,2022-05-09,13.8,13.9,13.7,13.8,1182738.0
PREMIERBAN,2022-05-10,13.8,13.9,13.6,13.7,1514723.0
PREMIERBAN,2022-05-11,13.7,13.8,13.5,13.5,909331.0
PREMIERBAN,2022-05-12,13.5,13.7,13.3,13.4,1266749.0
PREMIERBAN,2022-05-16,13.4,13.4,12.8,12.9,1365972.0
PREMIERBAN,2022-05-17,13.4,13.4,12.7,12.9,904019.0
PREMIERBAN,2022-05-18,13.2,13.2,12.7,12.8,575214.0
PREMIERBAN,2022-05-19,12.7,12.9,12.5,12.6,1241257.0
PREMIERBAN,2022-05-22,12.8,12.8,12.3,12.5,990481.0
PREMIERBAN,2022-05-23,12.8,12.8,12.6,12.7,1412724.0
PREMIERBAN,2022-05-24,12.7,12.8,12.4,12.4,1203560.0
PREMIERBAN,2022-05-25,12.4,12.8,12.3,12.7,1258681.0
PREMIERBAN,2022-05-26,12.5,12.8,12.5,12.7,377927.0
PREMIERBAN,2022-05-29,12.9,13.1,12.7,13.0,1181059.0
