symbol,date,open,high,low,close,volume
PREMIERCEM,2022-01-02,65.0,65.9,64.0,64.2,37982.0
PREMIERCEM,2022-01-03,64.0,65.0,63.9,64.6,32522.0
PREMIERCEM,2022-01-04,64.1,65.1,64.0,64.6,24175.0
PREMIERCEM,2022-01-05,64.7,65.8,64.5,65.3,41416.0
PREMIERCEM,2022-01-06,65.1,66.3,64.7,65.9,95120.0
PREMIERCEM,2022-01-09,66.5,67.8,64.3,64.7,61529.0
PREMIERCEM,2022-01-10,64.2,66.3,64.0,65.5,56103.0
PREMIERCEM,2022-01-11,66.4,71.9,65.0,66.5,272732.0
PREMIERCEM,2022-01-12,69.0,69.0,66.2,66.7,96636.0
PREMIERCEM,2022-01-13,66.5,67.3,65.0,66.1,39075.0
PREMIERCEM,2022-01-16,66.3,67.3,65.2,65.7,76121.0
PREMIERCEM,2022-01-17,65.1,66.2,64.2,65.4,125629.0
PREMIERCEM,2022-01-18,69.3,69.3,66.2,67.2,218594.0
PREMIERCEM,2022-01-19,65.8,67.3,65.8,66.4,83888.0
PREMIERCEM,2022-01-20,67.5,67.5,65.6,65.8,61655.0
PREMIERCEM,2022-01-23,65.7,65.9,63.0,63.3,85260.0
PREMIERCEM,2022-01-24,63.6,64.2,63.4,63.9,41698.0
PREMIERCEM,2022-01-25,64.5,64.5,63.1,63.6,73715.0
PREMIERCEM,2022-01-26,63.3,64.0,63.0,63.1,72447.0
PREMIERCEM,2022-01-27,60.1,61.0,57.3,58.6,235191.0
PREMIERCEM,2022-01-30,58.6,59.2,57.4,58.6,63378.0
PREMIERCEM,2022-01-31,58.2,59.1,57.4,57.8,119706.0
PREMIERCEM,2022-02-01,58.2,58.9,57.0,58.6,94503.0
PREMIERCEM,2022-02-02,58.7,59.0,57.7,58.0,90531.0
PREMIERCEM,2022-02-03,58.2,59.8,57.7,58.8,79781.0
PREMIERCEM,2022-02-06,58.1,59.0,57.8,58.3,96488.0
PREMIERCEM,2022-02-07,58.8,59.0,57.9,58.0,79346.0
PREMIERCEM,2022-02-08,58.5,58.5,57.8,57.9,93873.0
PREMIERCEM,2022-02-09,58.9,59.2,58.4,58.6,34541.0
PREMIERCEM,2022-02-10,58.9,59.0,58.3,58.6,42680.0
PREMIERCEM,2022-02-13,58.3,59.2,58.1,58.6,78105.0
PREMIERCEM,2022-02-14,58.6,59.7,58.5,59.4,91253.0
PREMIERCEM,2022-02-15,59.5,59.6,58.5,58.8,73793.0
PREMIERCEM,2022-02-16,59.0,59.3,58.1,58.5,46065.0
PREMIERCEM,2022-02-17,58.3,59.2,58.1,58.9,60077.0
PREMIERCEM,2022-02-20,59.3,59.3,58.0,58.1,46242.0
PREMIERCEM,2022-02-22,58.2,58.7,57.8,58.0,154703.0
PREMIERCEM,2022-02-23,58.1,59.0,57.9,58.3,72210.0
PREMIERCEM,2022-02-24,59.0,61.8,58.8,60.3,193441.0
PREMIERCEM,2022-02-27,58.2,59.3,57.7,57.9,65378.0
PREMIERCEM,2022-02-28,58.0,58.4,56.8,57.4,155513.0
PREMIERCEM,2022-03-01,57.6,58.3,57.0,57.3,30081.0
PREMIERCEM,2022-03-02,57.1,57.8,57.0,57.0,32733.0
PREMIERCEM,2022-03-03,57.0,57.2,56.4,57.0,15158.0
PREMIERCEM,2022-03-06,58.0,58.0,56.4,56.7,13676.0
PREMIERCEM,2022-03-07,57.0,57.0,52.4,53.1,39996.0
PREMIERCEM,2022-03-08,54.5,54.5,51.0,53.9,27977.0
PREMIERCEM,2022-03-09,54.9,56.7,53.9,55.8,35789.0
PREMIERCEM,2022-03-10,58.4,58.4,55.0,55.4,42125.0
PREMIERCEM,2022-03-13,56.0,56.6,55.0,56.2,35865.0
PREMIERCEM,2022-03-14,56.0,57.2,55.4,56.3,35292.0
PREMIERCEM,2022-03-15,57.0,57.1,55.8,56.8,40957.0
PREMIERCEM,2022-03-16,56.3,56.9,56.0,56.2,32256.0
PREMIERCEM,2022-03-20,56.3,56.3,55.1,55.3,13113.0
PREMIERCEM,2022-03-21,55.3,55.9,54.2,54.8,24957.0
PREMIERCEM,2022-03-22,56.4,56.7,55.1,56.3,34382.0
PREMIERCEM,2022-03-23,56.9,56.9,55.6,55.9,23368.0
PREMIERCEM,2022-03-24,55.8,56.9,55.7,56.8,17645.0
PREMIERCEM,2022-03-27,56.8,58.7,56.8,57.7,112621.0
PREMIERCEM,2022-03-28,58.0,58.0,57.1,57.4,48684.0
PREMIERCEM,2022-03-29,57.4,57.4,56.3,56.3,87455.0
PREMIERCEM,2022-03-30,56.9,56.9,56.0,56.4,37677.0
PREMIERCEM,2022-03-31,56.9,56.9,56.0,56.2,17862.0
PREMIERCEM,2022-04-03,55.9,57.0,55.9,56.5,81369.0
PREMIERCEM,2022-04-04,56.5,56.5,55.9,56.0,10554.0
PREMIERCEM,2022-04-05,55.4,56.0,54.9,55.1,38484.0
PREMIERCEM,2022-04-06,54.2,55.0,54.0,54.6,40429.0
PREMIERCEM,2022-04-07,54.7,54.9,53.9,54.0,58862.0
PREMIERCEM,2022-04-10,56.1,56.1,54.0,54.8,104048.0
