symbol,date,open,high,low,close,volume
PRIME1ICBA,2022-01-02,7.2,7.2,7.1,7.2,2600.0
PRIME1ICBA,2022-01-03,7.4,7.4,7.2,7.3,15142.0
PRIME1ICBA,2022-01-04,7.2,7.3,7.2,7.3,53093.0
PRIME1ICBA,2022-01-05,7.3,7.3,7.3,7.3,18497.0
PRIME1ICBA,2022-01-06,7.4,7.4,7.2,7.3,25445.0
PRIME1ICBA,2022-01-09,7.3,7.3,7.3,7.3,19687.0
PRIME1ICBA,2022-01-10,7.2,7.4,7.2,7.3,22500.0
PRIME1ICBA,2022-01-11,7.3,7.7,7.3,7.7,373090.0
PRIME1ICBA,2022-01-12,7.6,7.6,7.4,7.5,45755.0
PRIME1ICBA,2022-01-13,7.5,7.6,7.5,7.6,170000.0
PRIME1ICBA,2022-01-16,7.5,7.6,7.5,7.5,25124.0
PRIME1ICBA,2022-01-17,7.5,7.6,7.5,7.5,20000.0
PRIME1ICBA,2022-01-18,7.6,7.7,7.5,7.7,202733.0
PRIME1ICBA,2022-01-19,7.5,7.7,7.5,7.6,35500.0
PRIME1ICBA,2022-01-20,7.7,7.7,7.5,7.6,18493.0
PRIME1ICBA,2022-01-23,7.5,7.5,7.4,7.5,16900.0
PRIME1ICBA,2022-01-24,7.4,7.5,7.4,7.4,5948.0
PRIME1ICBA,2022-01-25,7.3,7.7,7.3,7.7,350966.0
PRIME1ICBA,2022-01-26,7.6,7.7,7.6,7.7,96850.0
PRIME1ICBA,2022-01-27,7.7,7.7,7.6,7.7,72789.0
PRIME1ICBA,2022-01-30,7.5,7.8,7.5,7.6,38880.0
PRIME1ICBA,2022-01-31,7.6,7.7,7.5,7.7,303165.0
PRIME1ICBA,2022-02-01,7.6,7.7,7.6,7.7,50849.0
PRIME1ICBA,2022-02-02,7.5,7.6,7.5,7.6,970.0
PRIME1ICBA,2022-02-03,7.7,7.8,7.6,7.8,65117.0
PRIME1ICBA,2022-02-06,7.7,7.7,7.7,7.7,4700.0
PRIME1ICBA,2022-02-07,7.6,7.8,7.6,7.7,29300.0
PRIME1ICBA,2022-02-08,7.7,7.8,7.6,7.8,116382.0
PRIME1ICBA,2022-02-09,7.7,7.8,7.7,7.7,13748.0
PRIME1ICBA,2022-02-10,7.8,7.8,7.7,7.8,20605.0
PRIME1ICBA,2022-02-13,7.7,7.8,7.5,7.6,85473.0
PRIME1ICBA,2022-02-14,7.6,7.7,7.5,7.5,57077.0
PRIME1ICBA,2022-02-15,7.6,7.7,7.5,7.7,33491.0
PRIME1ICBA,2022-02-16,7.6,7.6,7.5,7.5,40614.0
PRIME1ICBA,2022-02-17,7.5,7.5,7.5,7.5,11584.0
PRIME1ICBA,2022-02-20,7.5,7.5,7.5,7.5,10300.0
PRIME1ICBA,2022-02-22,7.4,7.5,7.4,7.5,8000.0
PRIME1ICBA,2022-02-23,7.4,7.4,7.4,7.4,387.0
PRIME1ICBA,2022-02-24,7.4,7.4,7.4,7.4,500.0
PRIME1ICBA,2022-02-27,7.4,7.4,6.8,7.1,55501.0
PRIME1ICBA,2022-02-28,7.2,7.3,7.2,7.2,6450.0
PRIME1ICBA,2022-03-01,7.3,7.3,7.3,7.3,16440.0
PRIME1ICBA,2022-03-02,7.3,7.3,7.0,7.1,35800.0
PRIME1ICBA,2022-03-03,7.2,7.2,7.1,7.1,10000.0
PRIME1ICBA,2022-03-06,7.2,7.3,7.2,7.3,17487.0
PRIME1ICBA,2022-03-07,7.3,7.3,7.2,7.2,2460.0
PRIME1ICBA,2022-03-08,7.2,7.3,7.2,7.2,13001.0
PRIME1ICBA,2022-03-09,7.2,7.3,7.2,7.3,5279.0
PRIME1ICBA,2022-03-10,7.3,7.4,7.3,7.4,11000.0
PRIME1ICBA,2022-03-13,7.4,7.5,7.4,7.4,2448.0
PRIME1ICBA,2022-03-14,7.5,7.6,7.5,7.5,22501.0
PRIME1ICBA,2022-03-15,7.4,7.9,7.4,7.8,170630.0
PRIME1ICBA,2022-03-16,7.8,7.8,7.7,7.7,18726.0
PRIME1ICBA,2022-03-20,7.6,7.6,7.6,7.6,21525.0
PRIME1ICBA,2022-03-21,7.5,7.5,7.5,7.5,28382.0
PRIME1ICBA,2022-03-22,7.5,7.5,7.4,7.4,48528.0
PRIME1ICBA,2022-03-23,7.5,7.9,7.5,7.8,84699.0
PRIME1ICBA,2022-03-24,7.7,7.7,7.7,7.7,1029.0
PRIME1ICBA,2022-03-28,7.6,7.6,7.6,7.6,16500.0
PRIME1ICBA,2022-03-29,7.5,7.6,7.5,7.5,76039.0
PRIME1ICBA,2022-03-30,7.6,7.6,7.5,7.5,5983.0
PRIME1ICBA,2022-03-31,7.4,7.5,7.4,7.5,8222.0
PRIME1ICBA,2022-04-03,7.6,7.6,7.5,7.5,11522.0
PRIME1ICBA,2022-04-04,7.5,7.6,7.4,7.5,4672.0
PRIME1ICBA,2022-04-05,7.6,7.6,7.4,7.4,46437.0
PRIME1ICBA,2022-04-06,7.3,7.4,7.3,7.3,4421.0
PRIME1ICBA,2022-04-07,7.3,7.3,7.3,7.3,716.0
PRIME1ICBA,2022-04-10,7.3,7.3,7.3,7.3,624.0
PRIME1ICBA,2022-04-11,7.5,7.5,7.4,7.4,2320.0
PRIME1ICBA,2022-04-12,7.3,7.4,7.3,7.3,2752.0
PRIME1ICBA,2022-04-13,7.7,7.8,7.5,7.7,11320.0
PRIME1ICBA,2022-04-18,7.6,7.6,7.6,7.6,5.0
PRIME1ICBA,2022-04-19,7.5,7.5,7.5,7.5,133.0
PRIME1ICBA,2022-04-20,7.4,7.5,7.4,7.4,9735.0
PRIME1ICBA,2022-04-21,7.3,7.5,7.3,7.4,2770.0
PRIME1ICBA,2022-04-24,7.6,7.6,7.4,7.4,9064.0
PRIME1ICBA,2022-04-25,7.5,7.6,7.4,7.5,555.0
PRIME1ICBA,2022-04-26,7.5,7.6,7.3,7.4,12790.0
PRIME1ICBA,2022-04-27,7.5,7.5,7.4,7.4,35949.0
PRIME1ICBA,2022-04-28,7.5,7.6,7.4,7.5,31020.0
PRIME1ICBA,2022-05-05,7.3,7.3,7.3,7.3,1000.0
PRIME1ICBA,2022-05-08,7.3,7.6,7.3,7.5,6370.0
PRIME1ICBA,2022-05-09,7.5,7.5,7.4,7.4,10532.0
PRIME1ICBA,2022-05-10,7.4,7.5,7.3,7.4,31370.0
PRIME1ICBA,2022-05-11,7.4,7.4,7.4,7.4,38000.0
PRIME1ICBA,2022-05-12,7.4,7.5,7.3,7.5,44492.0
PRIME1ICBA,2022-05-16,7.4,7.4,7.3,7.3,47751.0
PRIME1ICBA,2022-05-17,7.2,7.4,7.2,7.3,16329.0
PRIME1ICBA,2022-05-18,7.4,7.4,7.3,7.4,11695.0
PRIME1ICBA,2022-05-19,7.3,7.5,7.3,7.4,25884.0
PRIME1ICBA,2022-05-22,7.4,7.4,7.3,7.3,21091.0
PRIME1ICBA,2022-05-23,7.3,7.5,7.3,7.3,15040.0
PRIME1ICBA,2022-05-24,7.5,7.5,7.4,7.5,58773.0
PRIME1ICBA,2022-05-25,7.4,7.4,7.3,7.4,14037.0
PRIME1ICBA,2022-05-26,7.5,7.5,7.4,7.5,75700.0
PRIME1ICBA,2022-05-29,7.5,7.5,7.4,7.5,10943.0
PRIME1ICBA,2022-05-30,7.5,7.6,7.4,7.6,50741.0
PRIME1ICBA,2022-05-31,7.5,7.5,7.5,7.5,2830.0
PRIME1ICBA,2022-06-01,7.6,7.6,7.5,7.6,32248.0
PRIME1ICBA,2022-06-02,7.5,7.5,7.5,7.5,1007.0
PRIME1ICBA,2022-06-05,7.5,7.6,7.5,7.5,2150.0
PRIME1ICBA,2022-06-06,7.5,7.5,7.5,7.5,12739.0
PRIME1ICBA,2022-06-07,7.5,7.6,7.5,7.6,7466.0
PRIME1ICBA,2022-06-08,7.6,7.8,7.5,7.7,89314.0
PRIME1ICBA,2022-06-09,7.7,7.7,7.6,7.7,64202.0
PRIME1ICBA,2022-06-12,7.6,7.7,7.6,7.6,67812.0
PRIME1ICBA,2022-06-13,7.6,7.6,7.5,7.6,28200.0
PRIME1ICBA,2022-06-14,7.6,7.7,7.5,7.6,62300.0
PRIME1ICBA,2022-06-15,7.6,7.6,7.5,7.6,37013.0
PRIME1ICBA,2022-06-16,7.7,7.7,7.6,7.7,77279.0
PRIME1ICBA,2022-06-19,7.7,7.7,7.6,7.7,154673.0
PRIME1ICBA,2022-06-20,7.7,7.7,7.6,7.6,155199.0
PRIME1ICBA,2022-06-21,7.5,7.7,7.5,7.6,1900.0
PRIME1ICBA,2022-06-22,7.5,8.0,7.5,7.6,31161.0
PRIME1ICBA,2022-06-23,7.6,7.6,7.5,7.6,59031.0
PRIME1ICBA,2022-06-26,7.6,7.6,7.5,7.6,43000.0
PRIME1ICBA,2022-06-27,7.5,7.6,7.5,7.6,62703.0
PRIME1ICBA,2022-06-28,7.6,7.7,7.5,7.7,82675.0
PRIME1ICBA,2022-06-29,7.8,7.8,7.6,7.7,124446.0
PRIME1ICBA,2022-06-30,7.6,7.7,7.6,7.6,52679.0
PRIME1ICBA,2022-07-03,7.6,7.8,7.6,7.6,2871.0
PRIME1ICBA,2022-07-04,7.9,7.9,7.6,7.6,54575.0
PRIME1ICBA,2022-07-05,7.6,7.7,7.6,7.6,15022.0
PRIME1ICBA,2022-07-06,8.0,8.0,7.7,7.8,1752.0
PRIME1ICBA,2022-07-07,8.0,8.0,7.7,7.7,5306.0
PRIME1ICBA,2022-07-12,8.0,8.0,7.6,7.7,40466.0
PRIME1ICBA,2022-07-13,8.0,8.0,7.7,7.7,26669.0
PRIME1ICBA,2022-07-14,7.6,7.7,7.6,7.6,34599.0
PRIME1ICBA,2022-07-17,7.5,7.7,7.5,7.5,11733.0
PRIME1ICBA,2022-07-18,7.5,7.6,7.5,7.5,30424.0
PRIME1ICBA,2022-07-19,7.4,7.6,7.4,7.4,28321.0
PRIME1ICBA,2022-07-20,7.4,7.5,7.4,7.4,5208.0
PRIME1ICBA,2022-07-21,7.4,7.7,7.4,7.5,11170.0
PRIME1ICBA,2022-07-24,8.0,8.0,7.9,7.9,6010.0
PRIME1ICBA,2022-07-25,7.8,7.8,7.8,7.8,51.0
PRIME1ICBA,2022-07-26,7.7,7.8,7.7,7.7,27139.0
PRIME1ICBA,2022-07-27,7.8,7.8,7.6,7.6,431607.0
PRIME1ICBA,2022-07-28,8.0,8.0,7.6,7.6,28583.0
PRIME1ICBA,2022-07-31,7.7,7.8,7.7,7.7,177868.0
PRIME1ICBA,2022-08-01,7.8,7.8,7.7,7.7,11884.0
PRIME1ICBA,2022-08-02,8.0,8.0,7.7,7.8,56322.0
PRIME1ICBA,2022-08-03,7.7,7.7,7.7,7.7,13524.0
PRIME1ICBA,2022-08-04,7.7,7.7,7.7,7.7,11900.0
PRIME1ICBA,2022-08-07,7.7,7.8,7.7,7.8,118622.0
PRIME1ICBA,2022-08-08,7.8,7.8,7.7,7.7,34482.0
PRIME1ICBA,2022-08-10,7.8,7.8,7.7,7.7,28423.0
PRIME1ICBA,2022-08-11,7.7,7.7,7.7,7.7,699.0
PRIME1ICBA,2022-08-14,7.7,7.7,7.7,7.7,7263.0
PRIME1ICBA,2022-08-16,7.7,7.7,7.7,7.7,83700.0
PRIME1ICBA,2022-08-17,7.7,7.7,7.7,7.7,5000.0
PRIME1ICBA,2022-08-21,7.7,7.7,7.7,7.7,1.0
PRIME1ICBA,2022-08-23,7.7,7.7,7.7,7.7,500.0
PRIME1ICBA,2022-08-24,7.7,7.7,7.7,7.7,10.0
PRIME1ICBA,2022-08-28,7.7,7.7,7.7,7.7,6149.0
PRIME1ICBA,2022-08-29,7.7,7.7,7.7,7.7,26149.0
PRIME1ICBA,2022-08-30,7.7,7.7,7.7,7.7,26028.0
PRIME1ICBA,2022-08-31,7.7,7.7,7.7,7.7,15.0
PRIME1ICBA,2022-09-01,7.7,7.7,7.7,7.7,1185.0
PRIME1ICBA,2022-09-04,7.7,7.7,7.7,7.7,58641.0
PRIME1ICBA,2022-09-12,7.7,7.7,7.7,7.7,14.0
PRIME1ICBA,2022-09-13,7.7,7.7,7.7,7.7,6000.0
PRIME1ICBA,2022-10-03,7.7,7.7,7.7,7.7,39000.0
PRIME1ICBA,2022-10-04,7.7,7.7,7.7,7.7,1000.0
PRIME1ICBA,2022-10-06,7.7,7.7,7.7,7.7,1.0
PRIME1ICBA,2022-10-12,7.7,7.7,7.7,7.7,24761.0
PRIME1ICBA,2022-10-16,7.7,7.7,7.7,7.7,65.0
PRIME1ICBA,2022-10-30,7.7,7.7,7.7,7.7,7.0
PRIME1ICBA,2022-11-14,7.7,7.7,7.7,7.7,1.0
PRIME1ICBA,2022-11-20,7.7,7.7,7.7,7.7,2.0
PRIME1ICBA,2022-12-12,7.7,7.7,7.7,7.7,101.0
PRIME1ICBA,2023-01-24,7.7,7.7,7.7,7.7,10.0
PRIME1ICBA,2023-01-29,7.7,7.7,7.7,7.7,1.0
PRIME1ICBA,2023-02-07,7.7,7.7,7.7,7.7,2000.0
PRIME1ICBA,2023-02-23,7.7,7.7,7.7,7.7,10.0
PRIME1ICBA,2023-03-09,7.7,7.7,7.7,7.7,12914.0
PRIME1ICBA,2023-03-12,7.7,7.7,7.7,7.7,99.0
PRIME1ICBA,2023-03-14,7.7,7.7,7.7,7.7,1.0
PRIME1ICBA,2023-03-19,7.7,7.7,7.7,7.7,1.0
PRIME1ICBA,2023-04-03,7.7,7.7,7.7,7.7,100.0
PRIME1ICBA,2023-04-04,7.7,7.7,7.7,7.7,12850.0
PRIME1ICBA,2023-04-05,7.7,7.7,7.7,7.7,190.0
PRIME1ICBA,2023-04-06,7.7,7.7,7.7,7.7,10.0
PRIME1ICBA,2023-04-09,7.7,7.7,7.7,7.7,100.0
PRIME1ICBA,2023-04-12,7.7,7.7,7.7,7.7,10.0
PRIME1ICBA,2023-04-25,7.7,7.7,7.7,7.7,10.0
PRIME1ICBA,2023-04-25,7.7,7.7,7.7,7.7,10.0
PRIME1ICBA,2023-05-03,7.7,7.7,7.7,7.7,150.0
PRIME1ICBA,2023-05-08,7.7,7.7,7.7,7.7,3061.0
PRIME1ICBA,2023-05-09,7.7,7.7,7.7,7.7,15130.0
PRIME1ICBA,2023-05-14,7.7,7.7,7.7,7.7,100.0
PRIME1ICBA,2023-05-15,7.7,7.7,7.7,7.7,1265.0
PRIME1ICBA,2023-05-18,7.7,7.7,7.7,7.7,70.0
PRIME1ICBA,2023-05-22,7.7,7.7,7.7,7.7,3000.0
PRIME1ICBA,2023-05-29,7.7,7.7,7.7,7.7,11550.0
PRIME1ICBA,2023-05-30,7.7,7.7,7.7,7.7,20615.0
PRIME1ICBA,2023-06-01,7.7,7.7,7.7,7.7,22.0
PRIME1ICBA,2023-06-07,7.7,7.7,7.7,7.7,10040.0
PRIME1ICBA,2023-06-08,7.7,7.7,7.7,7.7,40.0
PRIME1ICBA,2023-06-13,7.7,7.7,7.7,7.7,60.0
PRIME1ICBA,2023-06-18,7.7,7.7,7.7,7.7,7560.0
PRIME1ICBA,2023-06-22,7.7,7.7,7.7,7.7,2000.0
PRIME1ICBA,2023-06-26,7.7,7.7,7.7,7.7,12.0
PRIME1ICBA,2023-07-03,7.7,7.7,7.7,7.7,9.0
PRIME1ICBA,2023-07-04,7.7,7.7,7.7,7.7,10.0
PRIME1ICBA,2023-07-06,7.7,7.7,7.7,7.7,24.0
PRIME1ICBA,2023-07-09,7.7,7.7,7.7,7.7,100.0
PRIME1ICBA,2023-07-10,7.7,7.7,7.7,7.7,200.0
PRIME1ICBA,2023-07-11,7.7,7.7,7.7,7.7,500.0
PRIME1ICBA,2023-07-16,7.7,7.7,7.7,7.7,3.0
PRIME1ICBA,2023-08-07,7.7,7.7,7.7,7.7,80.0
PRIME1ICBA,2023-08-08,7.7,7.7,7.7,7.7,10.0
PRIME1ICBA,2023-08-09,7.7,7.7,7.7,7.7,120.0
PRIME1ICBA,2023-08-10,7.7,7.7,7.7,7.7,5.0
PRIME1ICBA,2023-08-14,7.7,7.7,7.7,7.7,1.0
PRIME1ICBA,2023-08-16,7.7,7.7,7.7,7.7,3.0
PRIME1ICBA,2023-08-23,7.7,7.7,7.7,7.7,5237.0
PRIME1ICBA,2023-08-27,7.7,7.7,7.7,7.7,1.0
PRIME1ICBA,2023-09-03,7.7,7.7,7.7,7.7,15.0
PRIME1ICBA,2023-09-05,7.7,7.7,7.7,7.7,10.0
PRIME1ICBA,2023-09-07,7.7,7.7,7.7,7.7,10.0
PRIME1ICBA,2023-09-14,7.7,7.7,7.7,7.7,20.0
PRIME1ICBA,2023-09-18,7.7,7.7,7.7,7.7,305.0
