symbol,date,open,high,low,close,volume
PRIMEBANK,2022-01-02,21.5,21.7,21.4,21.6,1010225.0
PRIMEBANK,2022-01-03,21.7,21.7,21.4,21.4,550403.0
PRIMEBANK,2022-01-04,21.4,21.4,21.1,21.3,613410.0
PRIMEBANK,2022-01-05,21.4,21.5,21.3,21.3,285028.0
PRIMEBANK,2022-01-06,21.5,21.7,21.4,21.5,1498983.0
PRIMEBANK,2022-01-09,21.7,21.8,21.4,21.5,1183159.0
PRIMEBANK,2022-01-10,21.6,21.7,21.4,21.5,577674.0
PRIMEBANK,2022-01-11,21.5,21.7,21.4,21.5,575452.0
PRIMEBANK,2022-01-12,21.7,21.9,21.4,21.6,745957.0
PRIMEBANK,2022-01-13,21.6,21.7,21.3,21.5,357337.0
PRIMEBANK,2022-01-16,21.5,21.6,21.4,21.5,412502.0
PRIMEBANK,2022-01-17,21.4,22.3,21.2,21.3,991246.0
PRIMEBANK,2022-01-18,21.5,21.7,21.3,21.6,431880.0
PRIMEBANK,2022-01-19,21.7,21.8,21.5,21.6,344476.0
PRIMEBANK,2022-01-20,21.7,21.7,21.4,21.6,319616.0
PRIMEBANK,2022-01-23,21.7,21.7,21.3,21.4,300107.0
PRIMEBANK,2022-01-24,21.4,21.6,21.3,21.4,49912.0
PRIMEBANK,2022-01-25,21.6,21.6,21.2,21.3,99228.0
PRIMEBANK,2022-01-26,21.5,21.5,21.1,21.3,281024.0
PRIMEBANK,2022-01-27,21.5,21.7,21.2,21.5,301538.0
PRIMEBANK,2022-01-30,21.5,21.7,21.1,21.6,304266.0
PRIMEBANK,2022-01-31,21.5,21.6,21.3,21.6,259772.0
PRIMEBANK,2022-02-01,21.6,21.6,21.4,21.4,93949.0
PRIMEBANK,2022-02-02,21.4,21.6,21.0,21.3,366562.0
PRIMEBANK,2022-02-03,21.5,21.5,21.3,21.4,106115.0
PRIMEBANK,2022-02-06,21.7,21.7,21.3,21.6,152062.0
