symbol,date,open,high,low,close,volume
PRIMEFIN,2022-01-02,16.1,16.3,15.8,16.1,895542.0
PRIMEFIN,2022-01-03,16.3,16.3,16.0,16.1,362703.0
PRIMEFIN,2022-01-04,16.1,16.2,15.9,16.0,701720.0
PRIMEFIN,2022-01-05,16.2,16.8,16.1,16.5,1778377.0
PRIMEFIN,2022-01-06,16.5,16.7,16.3,16.4,775738.0
PRIMEFIN,2022-01-09,16.3,16.4,16.1,16.1,636836.0
PRIMEFIN,2022-01-10,16.1,16.2,15.9,16.0,967921.0
PRIMEFIN,2022-01-11,16.1,16.7,16.0,16.3,1566858.0
PRIMEFIN,2022-01-12,16.3,16.3,15.8,15.9,786435.0
PRIMEFIN,2022-01-13,16.0,16.1,15.8,15.8,474313.0
PRIMEFIN,2022-01-16,16.0,16.1,15.6,15.7,728326.0
PRIMEFIN,2022-01-17,16.1,16.1,15.6,15.9,696659.0
PRIMEFIN,2022-01-18,16.0,16.2,15.7,15.7,935575.0
PRIMEFIN,2022-01-19,15.9,16.0,15.6,15.6,594745.0
PRIMEFIN,2022-01-20,15.7,15.8,15.5,15.6,487114.0
PRIMEFIN,2022-01-23,15.5,15.7,15.1,15.2,651368.0
PRIMEFIN,2022-01-24,15.1,15.4,15.0,15.1,1017099.0
PRIMEFIN,2022-01-25,15.4,15.4,14.9,15.0,683967.0
PRIMEFIN,2022-01-26,14.9,15.6,14.9,15.5,998709.0
PRIMEFIN,2022-01-27,15.6,15.6,15.3,15.3,564800.0
PRIMEFIN,2022-01-30,15.4,15.4,15.0,15.1,516278.0
PRIMEFIN,2022-01-31,15.1,15.2,15.0,15.0,479442.0
PRIMEFIN,2022-02-01,15.1,15.3,15.0,15.2,581449.0
PRIMEFIN,2022-02-02,15.2,15.4,15.0,15.1,321203.0
PRIMEFIN,2022-02-03,15.0,15.4,15.0,15.4,646873.0
PRIMEFIN,2022-02-06,15.6,15.7,15.4,15.4,554258.0
PRIMEFIN,2022-02-07,15.5,15.7,15.2,15.4,1000152.0
PRIMEFIN,2022-02-08,15.4,16.4,15.3,16.1,2302248.0
PRIMEFIN,2022-02-09,16.3,16.3,15.9,16.0,812659.0
PRIMEFIN,2022-02-10,16.1,16.2,15.7,15.8,718386.0
PRIMEFIN,2022-02-13,15.9,16.0,15.4,15.5,284544.0
PRIMEFIN,2022-02-14,15.5,15.8,15.4,15.5,420486.0
PRIMEFIN,2022-02-15,15.7,15.7,15.3,15.3,308131.0
PRIMEFIN,2022-02-16,15.5,15.5,14.9,15.0,728835.0
PRIMEFIN,2022-02-17,15.0,15.1,14.7,14.9,312813.0
PRIMEFIN,2022-02-20,14.7,14.9,14.5,14.6,283172.0
PRIMEFIN,2022-02-22,14.6,14.7,14.4,14.5,439988.0
PRIMEFIN,2022-02-23,14.7,14.8,14.5,14.6,208415.0
PRIMEFIN,2022-02-24,14.7,14.7,14.3,14.3,488297.0
PRIMEFIN,2022-02-27,14.1,14.1,13.5,13.6,306491.0
PRIMEFIN,2022-02-28,13.7,14.0,13.6,13.7,337119.0
PRIMEFIN,2022-03-01,13.8,14.0,13.6,13.7,429825.0
