symbol,date,open,high,low,close,volume
PRIMEINSUR,2022-01-02,83.5,87.0,78.8,82.4,328191.0
PRIMEINSUR,2022-01-03,86.0,86.8,80.0,81.3,773164.0
PRIMEINSUR,2022-01-04,89.0,89.2,84.2,86.9,685614.0
PRIMEINSUR,2022-01-05,88.9,88.9,80.0,81.9,1567879.0
PRIMEINSUR,2022-01-06,83.9,83.9,78.1,79.6,334206.0
PRIMEINSUR,2022-01-09,80.6,80.6,75.3,76.0,266537.0
PRIMEINSUR,2022-01-10,78.4,78.4,75.9,77.4,316751.0
PRIMEINSUR,2022-01-11,77.9,79.4,76.2,77.8,524113.0
PRIMEINSUR,2022-01-12,78.9,82.2,78.9,80.1,576502.0
PRIMEINSUR,2022-01-13,81.1,81.2,79.8,80.6,257437.0
PRIMEINSUR,2022-01-16,81.9,81.9,77.7,78.1,212616.0
PRIMEINSUR,2022-01-17,79.7,81.4,77.3,79.3,246450.0
PRIMEINSUR,2022-01-18,80.5,80.6,78.6,79.1,192819.0
PRIMEINSUR,2022-01-19,80.0,80.0,78.0,78.3,153903.0
PRIMEINSUR,2022-01-20,79.8,80.0,78.4,79.2,169570.0
PRIMEINSUR,2022-01-23,80.5,81.9,79.3,81.1,334419.0
PRIMEINSUR,2022-01-24,83.0,83.0,79.4,80.0,172838.0
PRIMEINSUR,2022-01-25,81.2,81.2,79.8,80.3,180414.0
PRIMEINSUR,2022-01-26,80.9,87.9,80.0,86.0,919423.0
PRIMEINSUR,2022-01-27,86.9,93.6,85.9,90.9,1597412.0
PRIMEINSUR,2022-01-30,93.3,94.5,91.8,92.6,967912.0
PRIMEINSUR,2022-01-31,93.6,94.1,88.7,90.7,945246.0
PRIMEINSUR,2022-02-01,91.0,91.0,86.9,89.4,623131.0
PRIMEINSUR,2022-02-02,89.4,91.4,88.4,90.0,470385.0
PRIMEINSUR,2022-02-03,92.8,99.0,92.6,98.6,1618895.0
PRIMEINSUR,2022-02-06,100.0,100.0,95.2,97.5,498367.0
PRIMEINSUR,2022-02-07,103.0,103.0,94.2,96.3,1676049.0
PRIMEINSUR,2022-02-08,97.8,97.8,93.1,94.1,197419.0
PRIMEINSUR,2022-02-09,95.6,95.6,91.3,91.7,158938.0
PRIMEINSUR,2022-02-10,94.5,94.5,89.0,90.5,173786.0
PRIMEINSUR,2022-02-13,92.9,94.3,91.8,92.3,298553.0
PRIMEINSUR,2022-02-14,95.0,95.0,88.5,90.3,295389.0
PRIMEINSUR,2022-02-15,92.1,92.1,86.0,86.7,80164.0
PRIMEINSUR,2022-02-16,89.0,89.0,86.0,87.1,194272.0
PRIMEINSUR,2022-02-17,88.0,89.9,85.0,86.6,76480.0
PRIMEINSUR,2022-02-20,88.9,92.9,86.3,91.3,463795.0
PRIMEINSUR,2022-02-22,94.0,94.6,91.5,92.1,276765.0
PRIMEINSUR,2022-02-23,93.9,93.9,88.8,90.5,251418.0
PRIMEINSUR,2022-02-24,92.3,92.3,85.1,87.2,84105.0
PRIMEINSUR,2022-02-27,90.4,90.4,79.7,84.7,130581.0
PRIMEINSUR,2022-02-28,87.7,87.7,83.0,85.6,140778.0
PRIMEINSUR,2022-03-01,87.3,87.3,81.5,84.7,199817.0
PRIMEINSUR,2022-03-02,84.2,87.0,82.0,85.7,272531.0
PRIMEINSUR,2022-03-03,87.0,87.0,79.8,82.6,221784.0
PRIMEINSUR,2022-03-06,82.8,82.8,78.0,78.3,65841.0
PRIMEINSUR,2022-03-07,77.1,79.8,74.5,75.1,87760.0
PRIMEINSUR,2022-03-08,79.6,79.6,73.1,76.7,139397.0
PRIMEINSUR,2022-03-09,79.0,81.8,78.0,80.1,427002.0
PRIMEINSUR,2022-03-10,82.0,82.4,78.9,81.2,254048.0
PRIMEINSUR,2022-03-13,82.0,82.0,79.6,79.7,231139.0
PRIMEINSUR,2022-03-14,80.5,80.5,78.2,78.3,36797.0
PRIMEINSUR,2022-03-15,80.0,81.6,77.0,77.2,84712.0
PRIMEINSUR,2022-03-16,79.3,79.3,76.7,78.4,186137.0
PRIMEINSUR,2022-03-20,81.0,81.0,77.6,78.3,583275.0
PRIMEINSUR,2022-03-21,77.7,78.8,76.8,77.4,24359.0
PRIMEINSUR,2022-03-22,77.5,78.0,76.6,77.5,19327.0
PRIMEINSUR,2022-03-23,78.6,78.6,76.8,77.3,38036.0
PRIMEINSUR,2022-03-24,79.4,79.4,77.0,77.9,41340.0
PRIMEINSUR,2022-03-27,77.0,79.5,76.7,78.6,54798.0
PRIMEINSUR,2022-03-28,79.5,81.0,78.6,80.1,44012.0
PRIMEINSUR,2022-03-29,81.5,82.5,80.0,81.5,65737.0
PRIMEINSUR,2022-03-30,82.0,85.1,82.0,84.8,151471.0
PRIMEINSUR,2022-03-31,85.0,85.0,83.2,83.3,264486.0
PRIMEINSUR,2022-04-03,83.5,84.0,82.0,83.0,123298.0
PRIMEINSUR,2022-04-04,83.5,83.5,81.4,81.4,62247.0
PRIMEINSUR,2022-04-05,83.0,83.0,79.8,81.6,57482.0
PRIMEINSUR,2022-04-06,80.5,82.8,80.0,80.4,15336.0
PRIMEINSUR,2022-04-07,78.8,80.3,78.8,78.8,82388.0
PRIMEINSUR,2022-04-10,79.0,83.6,79.0,80.2,63324.0
PRIMEINSUR,2022-04-11,84.0,84.8,82.0,84.3,64912.0
PRIMEINSUR,2022-04-12,84.3,85.7,83.5,84.6,92150.0
PRIMEINSUR,2022-04-13,85.0,87.9,84.0,86.8,458142.0
PRIMEINSUR,2022-04-17,86.3,88.4,86.3,86.9,104226.0
PRIMEINSUR,2022-04-18,85.5,86.4,85.2,85.3,46993.0
PRIMEINSUR,2022-04-19,84.0,87.0,83.6,86.9,46503.0
PRIMEINSUR,2022-04-20,86.9,87.0,85.2,85.3,116314.0
PRIMEINSUR,2022-04-21,85.3,86.9,83.8,85.2,571043.0
PRIMEINSUR,2022-04-24,86.5,86.5,84.9,85.5,15546.0
PRIMEINSUR,2022-04-25,85.5,87.5,85.0,85.9,190497.0
PRIMEINSUR,2022-04-26,85.1,86.9,84.9,85.8,29396.0
PRIMEINSUR,2022-04-27,85.0,86.8,83.8,84.9,73113.0
PRIMEINSUR,2022-04-28,85.0,85.0,82.1,82.4,26527.0
PRIMEINSUR,2022-05-05,87.0,87.0,82.7,85.0,17234.0
PRIMEINSUR,2022-05-08,87.0,87.0,83.8,84.1,298248.0
PRIMEINSUR,2022-05-09,86.4,86.4,83.0,84.3,240900.0
PRIMEINSUR,2022-05-10,86.0,86.0,84.0,84.8,36734.0
PRIMEINSUR,2022-05-11,86.0,86.0,83.7,84.6,29737.0
PRIMEINSUR,2022-05-12,85.9,85.9,83.8,84.4,62247.0
PRIMEINSUR,2022-05-16,86.5,86.5,83.2,83.5,415361.0
PRIMEINSUR,2022-05-17,86.0,86.0,81.6,82.9,61535.0
PRIMEINSUR,2022-05-18,86.0,86.0,80.0,81.0,72090.0
PRIMEINSUR,2022-05-19,82.7,82.7,79.0,80.6,95532.0
PRIMEINSUR,2022-05-22,81.8,81.8,76.6,77.0,11659.0
PRIMEINSUR,2022-05-23,79.9,82.8,77.6,81.0,61648.0
PRIMEINSUR,2022-05-24,83.2,83.2,77.0,78.3,72829.0
PRIMEINSUR,2022-05-25,81.6,81.6,74.8,76.0,57410.0
PRIMEINSUR,2022-05-26,80.0,80.0,76.7,76.7,9072.0
PRIMEINSUR,2022-05-29,79.7,79.7,75.2,75.2,125128.0
PRIMEINSUR,2022-05-30,77.7,77.7,73.7,73.7,3600.0
PRIMEINSUR,2022-05-31,72.3,77.9,72.3,72.3,412256.0
PRIMEINSUR,2022-06-01,76.4,76.4,71.5,73.9,46159.0
PRIMEINSUR,2022-06-02,77.5,77.5,73.0,76.3,81200.0
PRIMEINSUR,2022-06-05,75.3,83.9,75.3,83.9,232069.0
PRIMEINSUR,2022-06-06,92.1,92.1,85.7,86.3,300481.0
