symbol,date,open,high,low,close,volume
PRIMETEX,2022-01-02,22.1,22.6,22.1,22.2,118153.0
PRIMETEX,2022-01-03,22.3,23.3,22.3,22.6,282563.0
PRIMETEX,2022-01-04,22.9,23.1,22.5,22.8,344640.0
PRIMETEX,2022-01-05,23.4,23.8,22.6,23.2,399910.0
PRIMETEX,2022-01-06,23.4,23.9,23.0,23.3,335542.0
PRIMETEX,2022-01-09,23.9,23.9,22.2,22.7,302942.0
PRIMETEX,2022-01-10,23.0,23.0,22.3,22.5,220919.0
PRIMETEX,2022-01-11,23.0,23.2,22.4,22.5,205497.0
PRIMETEX,2022-01-12,22.5,23.4,22.5,22.9,340753.0
PRIMETEX,2022-01-13,22.7,23.6,22.6,22.7,96412.0
PRIMETEX,2022-01-16,22.7,23.9,22.7,23.3,309692.0
PRIMETEX,2022-01-17,23.8,23.9,23.1,23.2,246828.0
PRIMETEX,2022-01-18,23.6,24.7,23.2,23.7,624952.0
PRIMETEX,2022-01-19,23.8,24.7,23.8,24.4,536425.0
PRIMETEX,2022-01-20,24.7,24.8,23.5,23.7,572610.0
PRIMETEX,2022-01-23,23.5,24.1,23.3,23.4,251370.0
PRIMETEX,2022-01-24,23.9,23.9,23.3,23.4,234308.0
PRIMETEX,2022-01-25,23.7,24.9,23.7,24.2,570546.0
PRIMETEX,2022-01-26,24.5,25.8,24.5,24.9,1094220.0
PRIMETEX,2022-01-27,25.0,26.3,24.9,26.1,1066185.0
PRIMETEX,2022-01-30,26.6,26.6,24.6,24.8,913237.0
PRIMETEX,2022-01-31,25.6,25.6,24.0,24.1,606690.0
PRIMETEX,2022-02-01,24.0,24.9,24.0,24.5,432615.0
PRIMETEX,2022-02-02,24.4,25.1,24.2,24.4,326450.0
PRIMETEX,2022-02-03,24.8,25.0,24.2,24.7,436406.0
PRIMETEX,2022-02-06,24.8,25.3,24.7,24.9,317730.0
PRIMETEX,2022-02-07,25.2,25.2,24.2,24.4,353840.0
PRIMETEX,2022-02-08,24.7,24.7,24.1,24.3,254969.0
PRIMETEX,2022-02-09,24.7,24.8,24.5,24.7,372552.0
PRIMETEX,2022-02-10,24.5,27.1,24.5,26.9,1747304.0
PRIMETEX,2022-02-13,27.1,28.1,26.5,27.0,839232.0
PRIMETEX,2022-02-14,26.9,26.9,25.5,25.7,573611.0
PRIMETEX,2022-02-15,25.8,26.8,25.5,26.5,482847.0
PRIMETEX,2022-02-16,26.7,28.6,26.7,27.8,1609867.0
PRIMETEX,2022-02-17,27.7,27.8,26.9,27.1,531193.0
PRIMETEX,2022-02-20,27.1,27.3,26.2,26.4,633578.0
PRIMETEX,2022-02-22,26.4,27.9,26.4,27.5,664407.0
PRIMETEX,2022-02-23,27.8,28.8,27.3,27.5,842631.0
PRIMETEX,2022-02-24,27.5,28.0,26.6,26.9,514566.0
PRIMETEX,2022-02-27,26.7,26.9,25.2,25.7,385563.0
PRIMETEX,2022-02-28,25.7,26.9,25.7,26.5,377803.0
PRIMETEX,2022-03-01,26.7,27.1,25.6,25.8,643855.0
PRIMETEX,2022-03-02,25.8,25.9,25.1,25.3,342030.0
PRIMETEX,2022-03-03,25.5,25.6,24.8,25.3,230330.0
PRIMETEX,2022-03-06,25.5,25.6,24.5,24.6,187463.0
PRIMETEX,2022-03-07,24.7,24.7,23.5,23.6,345251.0
PRIMETEX,2022-03-08,24.0,24.5,22.8,24.2,270596.0
PRIMETEX,2022-03-09,24.4,25.1,24.3,25.0,246681.0
PRIMETEX,2022-03-10,24.9,25.9,24.5,25.5,504694.0
PRIMETEX,2022-03-13,26.0,26.7,25.7,26.5,529053.0
PRIMETEX,2022-03-14,26.2,26.8,26.0,26.1,812513.0
PRIMETEX,2022-03-15,26.0,26.6,26.0,26.1,314961.0
PRIMETEX,2022-03-16,26.2,26.6,25.6,25.6,307157.0
PRIMETEX,2022-03-20,25.4,25.4,25.1,25.1,153550.0
PRIMETEX,2022-03-21,24.8,25.3,24.6,25.0,156943.0
PRIMETEX,2022-03-22,24.9,25.7,24.9,25.5,168958.0
PRIMETEX,2022-03-23,25.8,26.0,25.0,25.1,386890.0
PRIMETEX,2022-03-24,25.3,25.5,24.9,25.3,137825.0
PRIMETEX,2022-03-27,25.3,25.5,25.0,25.3,169490.0
PRIMETEX,2022-03-28,25.6,26.1,25.3,25.9,334386.0
PRIMETEX,2022-03-29,26.1,27.5,26.0,26.6,696980.0
PRIMETEX,2022-03-30,26.7,26.7,26.2,26.2,163521.0
PRIMETEX,2022-03-31,26.3,26.4,25.9,26.1,334866.0
PRIMETEX,2022-04-03,26.2,26.4,26.0,26.2,218384.0
PRIMETEX,2022-04-04,26.3,26.5,25.7,25.8,268519.0
PRIMETEX,2022-04-05,25.8,25.8,25.5,25.7,73585.0
PRIMETEX,2022-04-06,25.7,25.8,25.4,25.6,229822.0
PRIMETEX,2022-04-07,25.4,26.0,25.3,25.6,63127.0
PRIMETEX,2022-04-10,25.5,25.9,25.5,25.6,92776.0
PRIMETEX,2022-04-11,25.8,25.9,25.3,25.4,105743.0
PRIMETEX,2022-04-12,25.2,25.3,25.0,25.1,92722.0
PRIMETEX,2022-04-13,25.1,25.5,24.8,25.1,132847.0
PRIMETEX,2022-04-17,25.1,25.2,24.9,25.0,63369.0
PRIMETEX,2022-04-18,24.8,24.8,24.5,24.5,107910.0
PRIMETEX,2022-04-19,24.3,25.0,24.2,24.9,75634.0
PRIMETEX,2022-04-20,25.3,25.3,24.8,25.2,66234.0
PRIMETEX,2022-04-21,25.5,25.5,24.9,25.2,129136.0
PRIMETEX,2022-04-24,25.2,25.9,25.2,25.5,95372.0
PRIMETEX,2022-04-25,25.6,25.6,25.0,25.2,82187.0
PRIMETEX,2022-04-26,25.4,25.4,25.1,25.2,90152.0
PRIMETEX,2022-04-27,25.3,25.9,25.2,25.7,100945.0
PRIMETEX,2022-04-28,25.6,26.4,25.4,25.9,387400.0
PRIMETEX,2022-05-05,25.6,25.9,25.5,25.5,101051.0
PRIMETEX,2022-05-08,25.5,26.7,25.5,26.6,306629.0
PRIMETEX,2022-05-09,26.8,27.5,26.7,27.2,716324.0
PRIMETEX,2022-05-10,27.3,27.9,26.8,26.9,736329.0
PRIMETEX,2022-05-11,26.9,27.0,25.9,26.1,296391.0
PRIMETEX,2022-05-12,26.5,26.5,25.6,26.0,301474.0
PRIMETEX,2022-05-16,25.5,26.5,25.5,25.7,441476.0
PRIMETEX,2022-05-17,25.8,26.5,25.3,25.7,153408.0
PRIMETEX,2022-05-18,25.9,26.3,25.0,25.1,220615.0
PRIMETEX,2022-05-19,25.1,25.3,24.2,24.4,254859.0
