symbol,date,open,high,low,close,volume
PROGRESLIF,2022-01-02,98.0,100.4,97.4,98.8,30103.0
PROGRESLIF,2022-01-03,100.5,103.0,98.4,101.3,50209.0
PROGRESLIF,2022-01-04,102.8,108.0,102.2,105.5,222133.0
PROGRESLIF,2022-01-05,106.8,108.3,103.0,103.5,97379.0
PROGRESLIF,2022-01-06,104.9,105.0,99.0,102.0,118363.0
PROGRESLIF,2022-01-09,104.7,107.8,101.1,102.3,83624.0
PROGRESLIF,2022-01-10,105.0,110.7,103.5,104.8,263364.0
PROGRESLIF,2022-01-11,109.1,109.1,103.0,103.2,83975.0
PROGRESLIF,2022-01-12,102.2,103.8,99.3,100.0,92516.0
PROGRESLIF,2022-01-13,100.0,104.9,100.0,101.6,36068.0
PROGRESLIF,2022-01-16,104.0,106.9,101.1,103.5,97779.0
PROGRESLIF,2022-01-17,105.8,113.6,105.4,112.6,334205.0
PROGRESLIF,2022-01-18,114.2,115.0,108.5,109.5,337212.0
PROGRESLIF,2022-01-19,111.3,111.3,106.1,106.9,204390.0
PROGRESLIF,2022-01-20,107.1,109.5,104.6,106.3,91350.0
PROGRESLIF,2022-01-23,105.0,108.0,104.1,104.7,74767.0
PROGRESLIF,2022-01-24,106.4,111.0,105.1,106.2,131978.0
PROGRESLIF,2022-01-25,106.9,108.3,103.9,104.1,69813.0
PROGRESLIF,2022-01-26,105.8,105.8,102.1,103.4,71707.0
PROGRESLIF,2022-01-27,104.9,106.6,103.5,103.8,62665.0
PROGRESLIF,2022-01-30,106.0,106.0,101.0,102.0,68525.0
PROGRESLIF,2022-01-31,103.9,103.9,101.0,101.7,32068.0
PROGRESLIF,2022-02-01,103.9,103.9,101.2,102.1,51389.0
PROGRESLIF,2022-02-02,104.9,107.7,103.0,106.4,99513.0
PROGRESLIF,2022-02-03,107.8,107.8,102.5,103.0,48309.0
PROGRESLIF,2022-02-06,106.1,106.1,102.5,102.7,46488.0
PROGRESLIF,2022-02-07,103.1,106.0,103.1,104.9,64479.0
PROGRESLIF,2022-02-08,106.0,106.0,102.1,102.9,87472.0
PROGRESLIF,2022-02-09,104.9,104.9,102.0,102.4,59326.0
PROGRESLIF,2022-02-10,103.5,104.3,101.9,102.2,57865.0
PROGRESLIF,2022-02-13,102.5,103.0,101.0,101.4,60826.0
PROGRESLIF,2022-02-14,101.2,103.0,100.6,100.8,42182.0
PROGRESLIF,2022-02-15,100.6,102.4,100.2,100.5,31884.0
PROGRESLIF,2022-02-16,100.5,102.9,100.0,100.2,46473.0
PROGRESLIF,2022-02-17,100.2,100.2,98.5,98.8,64911.0
PROGRESLIF,2022-02-20,98.1,100.5,98.1,98.3,47837.0
PROGRESLIF,2022-02-22,98.8,100.2,97.6,98.3,25376.0
PROGRESLIF,2022-02-23,100.0,100.0,98.0,98.1,33021.0
PROGRESLIF,2022-02-24,98.1,99.3,95.8,96.3,30541.0
PROGRESLIF,2022-02-27,95.9,98.0,92.0,92.3,22470.0
PROGRESLIF,2022-02-28,97.1,97.1,91.1,91.8,47150.0
PROGRESLIF,2022-03-01,94.9,95.0,91.8,92.0,30089.0
PROGRESLIF,2022-03-02,92.3,96.0,90.0,94.5,51044.0
PROGRESLIF,2022-03-03,93.8,94.3,92.3,92.8,17862.0
PROGRESLIF,2022-03-06,95.0,95.0,91.5,92.2,11745.0
PROGRESLIF,2022-03-07,94.0,94.0,87.6,88.4,28290.0
PROGRESLIF,2022-03-08,88.4,89.8,84.2,87.4,25218.0
PROGRESLIF,2022-03-09,90.9,91.9,87.0,90.2,36179.0
PROGRESLIF,2022-03-10,93.0,93.0,89.1,89.5,32365.0
PROGRESLIF,2022-03-13,93.7,93.7,89.3,90.8,17895.0
PROGRESLIF,2022-03-14,92.5,93.0,90.3,90.6,38536.0
PROGRESLIF,2022-03-15,92.8,92.8,90.6,90.8,24708.0
PROGRESLIF,2022-03-16,90.8,92.6,90.2,90.4,24173.0
PROGRESLIF,2022-03-20,92.4,92.4,88.6,88.6,12094.0
PROGRESLIF,2022-03-21,91.7,91.7,87.0,87.3,7916.0
PROGRESLIF,2022-03-22,88.3,89.8,88.3,89.2,7721.0
PROGRESLIF,2022-03-23,91.0,91.9,89.3,89.4,19038.0
PROGRESLIF,2022-03-24,89.4,92.0,89.4,90.7,32733.0
PROGRESLIF,2022-03-27,91.8,91.8,90.4,91.3,7870.0
PROGRESLIF,2022-03-28,90.7,92.1,90.7,91.4,26622.0
PROGRESLIF,2022-03-29,96.0,96.0,91.3,91.9,9263.0
PROGRESLIF,2022-03-30,93.7,93.7,91.9,92.3,11767.0
PROGRESLIF,2022-03-31,93.7,93.7,90.9,91.5,22989.0
PROGRESLIF,2022-04-03,94.9,94.9,90.5,91.0,13425.0
PROGRESLIF,2022-04-04,90.2,91.7,89.2,89.2,28711.0
PROGRESLIF,2022-04-05,88.9,91.1,88.9,90.9,14037.0
PROGRESLIF,2022-04-06,89.4,90.9,89.1,89.1,34558.0
PROGRESLIF,2022-04-07,90.5,90.6,89.1,90.4,2746.0
PROGRESLIF,2022-04-10,88.9,90.4,88.6,88.7,7327.0
PROGRESLIF,2022-04-11,88.7,90.4,88.5,89.2,8734.0
PROGRESLIF,2022-04-12,91.4,91.4,87.6,87.8,9672.0
PROGRESLIF,2022-04-13,88.9,88.9,87.0,87.7,2154.0
PROGRESLIF,2022-04-17,90.6,90.6,86.8,87.1,2138.0
PROGRESLIF,2022-04-18,85.5,85.5,85.4,85.4,6482.0
PROGRESLIF,2022-04-19,84.0,85.8,83.8,84.2,4814.0
PROGRESLIF,2022-04-20,85.8,87.5,85.1,85.4,3350.0
