symbol,date,open,high,low,close,volume
PROVATIINS,2022-01-02,121.2,124.9,121.2,123.3,101710.0
PROVATIINS,2022-01-03,123.4,126.9,122.4,123.2,105564.0
PROVATIINS,2022-01-04,125.6,125.7,122.0,123.6,88369.0
PROVATIINS,2022-01-05,123.6,126.8,118.2,124.8,136747.0
PROVATIINS,2022-01-06,122.2,126.4,119.3,121.3,230754.0
PROVATIINS,2022-01-09,121.2,122.0,115.8,117.9,43862.0
PROVATIINS,2022-01-10,120.8,120.8,114.0,116.2,73792.0
PROVATIINS,2022-01-11,115.0,119.9,114.0,115.6,118388.0
PROVATIINS,2022-01-12,114.1,118.8,112.0,117.2,126899.0
PROVATIINS,2022-01-13,117.3,118.3,115.9,117.6,223620.0
PROVATIINS,2022-01-16,118.9,118.9,114.1,116.0,114132.0
PROVATIINS,2022-01-17,116.6,125.5,115.0,122.0,252426.0
PROVATIINS,2022-01-18,122.0,123.5,117.0,118.6,323912.0
PROVATIINS,2022-01-19,116.0,121.9,116.0,119.4,39569.0
PROVATIINS,2022-01-20,121.0,122.8,118.0,119.5,35032.0
PROVATIINS,2022-01-23,120.0,123.6,119.0,120.6,46521.0
PROVATIINS,2022-01-24,120.4,121.0,118.0,118.4,42971.0
PROVATIINS,2022-01-25,120.3,122.0,118.0,118.6,199655.0
PROVATIINS,2022-01-26,120.8,120.9,117.0,117.6,17598.0
PROVATIINS,2022-01-27,123.8,123.8,116.0,117.5,49690.0
PROVATIINS,2022-01-30,119.9,120.0,114.9,118.3,55853.0
PROVATIINS,2022-01-31,116.5,117.8,116.5,116.9,65934.0
PROVATIINS,2022-02-01,120.0,120.0,116.2,117.1,24784.0
PROVATIINS,2022-02-02,119.4,119.7,114.6,115.2,126252.0
PROVATIINS,2022-02-03,117.9,117.9,114.9,117.1,26277.0
PROVATIINS,2022-02-06,113.2,122.0,113.2,118.4,92056.0
PROVATIINS,2022-02-07,120.4,120.8,118.1,119.2,38945.0
PROVATIINS,2022-02-08,120.8,120.8,117.6,118.1,27637.0
PROVATIINS,2022-02-09,119.0,120.9,116.7,117.0,13558.0
PROVATIINS,2022-02-10,117.0,119.7,116.0,116.5,34200.0
PROVATIINS,2022-02-13,118.7,118.7,113.0,114.2,181525.0
PROVATIINS,2022-02-14,116.0,116.8,113.6,115.1,17954.0
PROVATIINS,2022-02-15,116.8,116.8,113.0,114.2,53976.0
PROVATIINS,2022-02-16,115.7,116.5,114.6,115.3,55595.0
PROVATIINS,2022-02-17,115.3,116.1,113.6,114.7,58138.0
PROVATIINS,2022-02-20,118.7,118.7,110.0,113.6,29703.0
PROVATIINS,2022-02-22,113.5,115.4,113.5,113.7,11081.0
PROVATIINS,2022-02-23,114.0,114.0,112.4,113.5,52655.0
PROVATIINS,2022-02-24,115.1,115.2,110.9,113.8,44103.0
PROVATIINS,2022-02-27,113.8,115.7,110.1,113.1,62318.0
PROVATIINS,2022-02-28,115.7,116.8,113.0,114.7,19331.0
PROVATIINS,2022-03-01,117.5,117.5,114.0,115.3,33394.0
PROVATIINS,2022-03-02,115.3,116.7,112.0,116.2,21887.0
PROVATIINS,2022-03-03,113.6,116.9,113.6,116.0,14414.0
PROVATIINS,2022-03-06,115.6,119.6,112.1,117.1,39981.0
PROVATIINS,2022-03-07,117.1,117.1,112.5,113.6,12888.0
PROVATIINS,2022-03-08,116.2,116.2,111.2,112.2,24498.0
PROVATIINS,2022-03-09,116.8,117.0,113.5,115.2,60312.0
PROVATIINS,2022-03-10,118.6,118.6,114.9,117.5,59764.0
PROVATIINS,2022-03-13,116.7,117.3,115.2,116.1,51075.0
PROVATIINS,2022-03-14,115.2,115.2,114.0,114.6,26591.0
PROVATIINS,2022-03-15,113.5,115.7,112.5,113.5,17530.0
PROVATIINS,2022-03-16,115.8,115.8,112.0,114.5,30442.0
PROVATIINS,2022-03-20,113.7,115.9,112.3,113.1,38037.0
PROVATIINS,2022-03-21,113.0,115.0,112.1,113.6,17027.0
PROVATIINS,2022-03-22,116.5,116.5,112.0,113.7,20520.0
PROVATIINS,2022-03-23,114.1,115.0,111.5,112.4,82313.0
PROVATIINS,2022-03-24,112.4,113.8,110.2,111.5,102405.0
PROVATIINS,2022-03-27,111.0,112.4,110.9,112.1,10265.0
PROVATIINS,2022-03-28,113.0,114.9,110.7,111.6,88034.0
PROVATIINS,2022-03-29,112.0,114.8,111.0,113.3,24968.0
PROVATIINS,2022-03-30,113.2,124.6,113.2,119.9,2174270.0
PROVATIINS,2022-03-31,122.5,125.0,117.6,117.8,321708.0
PROVATIINS,2022-04-03,115.5,118.5,115.5,115.5,3829386.0
PROVATIINS,2022-04-04,117.6,119.4,113.2,113.2,250014.0
PROVATIINS,2022-04-05,116.2,116.2,111.0,111.0,54992.0
PROVATIINS,2022-04-06,109.5,112.3,108.8,108.8,108763.0
PROVATIINS,2022-04-07,110.4,110.4,106.7,106.8,44705.0
PROVATIINS,2022-04-10,106.0,117.0,104.7,113.7,3216410.0
PROVATIINS,2022-04-11,111.6,116.8,111.5,111.5,607542.0
PROVATIINS,2022-04-12,112.7,112.7,109.3,109.3,153712.0
PROVATIINS,2022-04-13,107.2,111.3,107.2,109.4,1362847.0
PROVATIINS,2022-04-17,111.5,111.5,107.3,107.3,137205.0
PROVATIINS,2022-04-18,107.0,107.0,105.2,105.2,10908.0
PROVATIINS,2022-04-19,103.1,109.5,103.1,108.0,238728.0
PROVATIINS,2022-04-20,110.5,110.5,105.9,106.5,100307.0
PROVATIINS,2022-04-21,108.8,108.8,104.5,105.4,132265.0
PROVATIINS,2022-04-24,106.1,109.3,102.0,102.7,445535.0
PROVATIINS,2022-04-25,103.6,112.5,103.6,109.1,954662.0
PROVATIINS,2022-04-26,109.1,112.0,103.7,103.7,1503093.0
PROVATIINS,2022-04-27,105.9,110.0,98.6,98.8,1610227.0
PROVATIINS,2022-04-28,102.0,102.0,93.9,93.9,2103431.0
PROVATIINS,2022-05-05,99.0,102.9,93.0,93.6,1627106.0
PROVATIINS,2022-05-08,94.6,97.8,91.9,94.2,1808701.0
PROVATIINS,2022-05-09,96.0,99.9,94.6,96.1,1578070.0
PROVATIINS,2022-05-10,96.5,97.8,92.8,93.5,2392321.0
PROVATIINS,2022-05-11,95.0,95.0,90.2,90.6,906723.0
PROVATIINS,2022-05-12,91.0,91.2,86.5,86.8,1233510.0
PROVATIINS,2022-05-16,87.0,87.1,82.5,82.5,659760.0
PROVATIINS,2022-05-17,83.1,84.0,78.4,79.5,761534.0
PROVATIINS,2022-05-18,81.0,83.0,75.6,76.0,1041230.0
PROVATIINS,2022-05-19,76.0,76.6,72.4,73.3,768359.0
PROVATIINS,2022-05-22,71.1,74.9,69.7,70.1,773970.0
PROVATIINS,2022-05-23,75.9,75.9,72.0,72.8,725603.0
PROVATIINS,2022-05-24,73.8,73.8,69.5,70.1,727520.0
PROVATIINS,2022-05-25,69.2,70.6,68.1,68.7,658876.0
PROVATIINS,2022-05-26,68.0,69.0,67.4,67.5,646364.0
PROVATIINS,2022-05-29,66.9,70.7,66.8,70.2,790859.0
PROVATIINS,2022-05-31,62.9,66.5,61.6,66.1,1426203.0
PROVATIINS,2022-06-01,68.1,69.5,66.4,68.3,979786.0
PROVATIINS,2022-06-02,68.5,68.7,67.0,67.1,1212046.0
PROVATIINS,2022-06-05,67.3,69.6,66.3,69.0,1503803.0
PROVATIINS,2022-06-06,69.4,75.9,69.4,75.8,2684335.0
PROVATIINS,2022-06-07,76.5,83.3,74.5,83.0,2983675.0
PROVATIINS,2022-06-08,82.5,84.8,81.4,81.4,2625757.0
PROVATIINS,2022-06-09,80.0,81.6,79.8,79.8,1065860.0
PROVATIINS,2022-06-12,79.2,79.2,78.3,78.3,75107.0
PROVATIINS,2022-06-13,76.8,76.8,76.8,76.8,104516.0
PROVATIINS,2022-06-14,75.3,82.7,75.3,78.7,2580811.0
PROVATIINS,2022-06-15,82.8,82.8,77.2,77.2,955203.0
PROVATIINS,2022-06-16,75.7,78.2,75.7,76.0,1204097.0
PROVATIINS,2022-06-19,74.8,76.9,74.5,74.5,430627.0
PROVATIINS,2022-06-20,73.9,73.9,73.1,73.1,500089.0
PROVATIINS,2022-06-21,72.9,75.9,71.7,73.3,816678.0
PROVATIINS,2022-06-22,75.4,75.6,73.3,73.8,659213.0
PROVATIINS,2022-06-23,73.8,74.7,72.4,72.4,528645.0
PROVATIINS,2022-06-26,72.1,72.6,71.0,71.0,397795.0
PROVATIINS,2022-06-27,70.2,73.0,69.6,72.7,692983.0
PROVATIINS,2022-06-28,73.0,74.4,71.3,71.5,742332.0
PROVATIINS,2022-06-29,71.7,72.4,70.1,70.3,578395.0
PROVATIINS,2022-06-30,69.7,71.6,69.3,70.7,569559.0
PROVATIINS,2022-07-03,71.9,72.0,70.0,70.4,387092.0
PROVATIINS,2022-07-04,71.5,71.5,69.0,69.2,530547.0
PROVATIINS,2022-07-05,70.0,71.1,68.1,68.4,618429.0
PROVATIINS,2022-07-06,69.9,70.3,68.0,68.4,375262.0
PROVATIINS,2022-07-07,69.5,69.5,67.4,67.6,272595.0
PROVATIINS,2022-07-12,67.5,68.6,66.3,66.4,356603.0
PROVATIINS,2022-07-13,66.7,68.5,66.0,66.9,456758.0
PROVATIINS,2022-07-14,68.0,68.0,65.7,66.0,278136.0
PROVATIINS,2022-07-17,66.0,66.0,64.7,64.7,370633.0
PROVATIINS,2022-07-18,64.2,64.2,63.5,63.5,134799.0
PROVATIINS,2022-07-19,62.8,62.8,62.3,62.3,44715.0
PROVATIINS,2022-07-20,61.1,62.5,61.1,61.2,347742.0
PROVATIINS,2022-07-21,60.0,61.9,60.0,60.0,289499.0
PROVATIINS,2022-07-24,58.8,60.8,58.8,58.8,88957.0
PROVATIINS,2022-07-25,57.7,59.6,57.7,58.0,495106.0
PROVATIINS,2022-07-26,58.9,62.0,58.6,60.4,499520.0
PROVATIINS,2022-07-27,60.8,61.4,59.2,59.2,466090.0
PROVATIINS,2022-07-28,58.2,58.5,58.1,58.1,187826.0
PROVATIINS,2022-07-31,59.0,64.5,59.0,62.9,931777.0
PROVATIINS,2022-08-01,62.9,64.4,61.4,61.6,534022.0
PROVATIINS,2022-08-02,61.4,63.5,60.9,62.7,905281.0
PROVATIINS,2022-08-03,63.0,65.0,62.1,62.3,827786.0
PROVATIINS,2022-08-04,62.2,62.7,60.2,60.4,597389.0
PROVATIINS,2022-08-07,59.2,61.4,59.0,59.2,477984.0
PROVATIINS,2022-08-08,60.9,60.9,59.0,59.1,500990.0
PROVATIINS,2022-08-10,59.2,59.6,58.9,58.9,331849.0
PROVATIINS,2022-08-11,58.9,59.4,58.9,58.9,282492.0
PROVATIINS,2022-08-14,58.9,59.9,58.9,58.9,127854.0
PROVATIINS,2022-08-16,58.9,58.9,58.9,58.9,42851.0
PROVATIINS,2022-08-17,58.9,60.8,58.9,59.1,771195.0
PROVATIINS,2022-08-21,59.3,60.9,59.0,59.2,566658.0
PROVATIINS,2022-08-22,59.8,59.8,58.9,59.0,854476.0
PROVATIINS,2022-08-23,59.0,59.9,58.9,58.9,647283.0
PROVATIINS,2022-08-24,58.9,59.3,58.9,58.9,204699.0
PROVATIINS,2022-08-25,58.9,60.5,58.9,59.6,754585.0
PROVATIINS,2022-08-28,60.5,62.4,60.1,61.9,1119072.0
PROVATIINS,2022-08-29,63.5,64.0,61.6,62.0,1446473.0
PROVATIINS,2022-08-30,62.0,62.6,60.8,61.6,617941.0
PROVATIINS,2022-08-31,61.0,63.7,60.5,62.4,1139102.0
PROVATIINS,2022-09-01,63.1,63.8,61.8,62.3,899947.0
PROVATIINS,2022-09-04,62.3,62.9,59.7,60.0,1407477.0
PROVATIINS,2022-09-05,61.0,61.0,59.2,59.4,570886.0
PROVATIINS,2022-09-06,61.3,61.3,58.9,59.1,724051.0
PROVATIINS,2022-09-07,59.3,59.7,58.9,58.9,942415.0
PROVATIINS,2022-09-08,59.0,59.9,58.9,58.9,555661.0
PROVATIINS,2022-09-11,59.0,59.4,58.9,58.9,187904.0
PROVATIINS,2022-09-12,58.9,58.9,58.9,58.9,69904.0
PROVATIINS,2022-09-13,58.9,58.9,58.9,58.9,112652.0
PROVATIINS,2022-09-14,58.9,58.9,58.9,58.9,33029.0
PROVATIINS,2022-09-15,58.9,58.9,58.9,58.9,59185.0
PROVATIINS,2022-09-18,58.9,62.2,58.9,60.2,1734200.0
PROVATIINS,2022-09-19,61.3,61.5,58.9,59.1,954215.0
PROVATIINS,2022-09-20,58.9,59.7,58.9,58.9,1011670.0
PROVATIINS,2022-09-21,58.9,60.3,58.9,58.9,686223.0
PROVATIINS,2022-09-22,58.9,58.9,58.9,58.9,87959.0
PROVATIINS,2022-09-25,58.9,58.9,58.9,58.9,46999.0
PROVATIINS,2022-09-26,58.9,58.9,58.9,58.9,39386.0
PROVATIINS,2022-09-27,58.9,58.9,58.9,58.9,34456.0
PROVATIINS,2022-09-28,58.9,58.9,58.9,58.9,2036.0
PROVATIINS,2022-09-29,58.9,58.9,58.9,58.9,9176.0
PROVATIINS,2022-10-02,58.9,58.9,58.9,58.9,32458.0
PROVATIINS,2022-10-03,58.9,58.9,58.9,58.9,14491.0
PROVATIINS,2022-10-04,58.9,58.9,58.9,58.9,16201.0
PROVATIINS,2022-10-06,58.9,58.9,58.9,58.9,44102.0
PROVATIINS,2022-10-10,58.9,58.9,58.9,58.9,724.0
PROVATIINS,2022-10-11,58.9,58.9,58.9,58.9,14423.0
PROVATIINS,2022-10-12,58.9,58.9,58.9,58.9,774.0
PROVATIINS,2022-10-13,58.9,59.8,58.9,59.0,689652.0
PROVATIINS,2022-10-16,59.3,60.0,58.9,58.9,811404.0
PROVATIINS,2022-10-17,58.9,61.5,58.9,59.4,1948676.0
PROVATIINS,2022-10-18,58.9,59.8,58.9,59.0,1267562.0
PROVATIINS,2022-10-19,58.9,58.9,58.9,58.9,92654.0
PROVATIINS,2022-10-20,58.9,58.9,58.9,58.9,13520.0
PROVATIINS,2022-10-23,58.9,58.9,58.9,58.9,2.0
PROVATIINS,2022-10-24,58.9,58.9,58.9,58.9,3.0
PROVATIINS,2022-10-25,58.9,58.9,58.9,58.9,604.0
PROVATIINS,2022-10-26,58.9,58.9,58.9,58.9,4518.0
PROVATIINS,2022-10-27,58.9,58.9,58.9,58.9,1631.0
