symbol,date,open,high,low,close,volume
PUBALIBANK,2022-01-02,27.7,27.9,27.2,27.5,321079.0
PUBALIBANK,2022-01-03,27.8,27.8,27.1,27.5,89757.0
PUBALIBANK,2022-01-04,27.2,27.8,27.2,27.4,78127.0
PUBALIBANK,2022-01-05,27.3,27.5,27.0,27.3,60864.0
PUBALIBANK,2022-01-06,27.5,27.9,27.3,27.5,147716.0
PUBALIBANK,2022-01-09,27.4,27.8,27.3,27.4,57045.0
PUBALIBANK,2022-01-10,27.4,28.0,27.2,27.8,168345.0
PUBALIBANK,2022-01-11,27.4,27.8,27.4,27.7,61961.0
PUBALIBANK,2022-01-12,27.8,27.9,27.5,27.7,71582.0
PUBALIBANK,2022-01-13,27.4,28.0,27.4,27.5,46752.0
PUBALIBANK,2022-01-16,27.9,27.9,27.2,27.4,88007.0
PUBALIBANK,2022-01-17,27.6,27.8,27.3,27.5,44897.0
PUBALIBANK,2022-01-18,27.5,27.8,27.2,27.4,107181.0
PUBALIBANK,2022-01-19,27.4,27.7,27.3,27.4,40613.0
PUBALIBANK,2022-01-20,27.3,27.7,27.3,27.5,57709.0
PUBALIBANK,2022-01-23,27.6,27.8,27.2,27.3,129212.0
PUBALIBANK,2022-01-24,27.7,27.7,27.4,27.5,57190.0
PUBALIBANK,2022-01-25,27.4,27.6,27.3,27.5,58786.0
PUBALIBANK,2022-01-26,27.3,27.7,27.3,27.6,57110.0
PUBALIBANK,2022-01-27,27.7,27.9,27.3,27.7,72618.0
PUBALIBANK,2022-01-30,27.5,27.8,27.4,27.6,164286.0
PUBALIBANK,2022-01-31,27.4,27.8,27.3,27.5,51060.0
PUBALIBANK,2022-02-01,27.3,27.7,27.1,27.5,118550.0
PUBALIBANK,2022-02-02,27.4,27.7,27.3,27.6,57681.0
PUBALIBANK,2022-02-03,27.6,27.8,27.4,27.8,99597.0
PUBALIBANK,2022-02-06,27.4,28.0,27.4,27.6,46523.0
PUBALIBANK,2022-02-07,27.8,27.8,27.4,27.7,47841.0
PUBALIBANK,2022-02-08,27.6,28.0,27.3,28.0,343358.0
PUBALIBANK,2022-02-09,28.3,28.9,27.6,28.4,159028.0
PUBALIBANK,2022-02-10,28.5,28.8,28.1,28.5,129247.0
PUBALIBANK,2022-02-13,28.6,29.1,28.3,28.7,218202.0
PUBALIBANK,2022-02-14,28.5,28.7,28.1,28.2,153850.0
PUBALIBANK,2022-02-15,28.2,28.4,27.9,28.3,61863.0
PUBALIBANK,2022-02-16,27.9,28.3,27.8,27.9,100409.0
PUBALIBANK,2022-02-17,27.9,28.4,27.9,28.2,73824.0
PUBALIBANK,2022-02-20,28.3,28.4,27.9,28.1,61675.0
PUBALIBANK,2022-02-22,27.8,28.5,27.8,28.0,91780.0
PUBALIBANK,2022-02-23,27.8,28.4,27.8,28.3,292081.0
PUBALIBANK,2022-02-24,27.9,28.4,27.5,27.9,323090.0
PUBALIBANK,2022-02-27,27.7,28.2,27.4,27.7,410683.0
