symbol,date,open,high,low,close,volume
PURABIGEN,2022-01-02,41.6,41.8,41.2,41.4,191353.0
PURABIGEN,2022-01-03,42.0,42.1,41.0,41.1,260397.0
PURABIGEN,2022-01-04,41.0,41.9,41.0,41.2,343820.0
PURABIGEN,2022-01-05,41.9,41.9,40.9,41.1,443649.0
PURABIGEN,2022-01-06,41.2,41.4,40.2,40.3,411056.0
PURABIGEN,2022-01-09,40.4,41.4,39.0,39.2,284412.0
PURABIGEN,2022-01-10,39.9,40.0,38.6,38.9,225382.0
PURABIGEN,2022-01-11,39.0,39.8,38.4,38.6,277287.0
PURABIGEN,2022-01-12,39.8,39.8,38.4,38.6,159679.0
PURABIGEN,2022-01-13,39.0,39.0,38.0,38.2,186633.0
PURABIGEN,2022-01-16,38.6,38.8,37.8,38.0,200556.0
PURABIGEN,2022-01-17,38.1,39.9,38.0,38.9,314162.0
PURABIGEN,2022-01-18,39.5,39.7,38.5,38.6,218241.0
PURABIGEN,2022-01-19,39.3,39.3,38.1,38.2,164814.0
PURABIGEN,2022-01-20,38.5,39.0,37.9,38.0,294879.0
PURABIGEN,2022-01-23,38.5,39.3,38.4,38.7,202110.0
PURABIGEN,2022-01-24,38.7,39.0,37.9,38.0,200246.0
PURABIGEN,2022-01-25,38.3,38.6,37.9,38.1,110197.0
PURABIGEN,2022-01-26,38.1,38.5,37.9,38.3,104759.0
PURABIGEN,2022-01-27,38.5,38.5,37.9,38.0,137347.0
PURABIGEN,2022-01-30,37.7,38.7,37.1,37.9,360784.0
PURABIGEN,2022-01-31,38.3,38.4,37.2,37.4,181589.0
PURABIGEN,2022-02-01,38.0,38.0,37.1,37.2,170751.0
PURABIGEN,2022-02-02,37.7,37.9,37.1,37.7,137847.0
PURABIGEN,2022-02-03,38.2,38.6,37.2,37.6,225340.0
PURABIGEN,2022-02-06,38.0,38.9,37.3,38.6,319218.0
PURABIGEN,2022-02-07,38.8,39.9,38.4,39.6,505069.0
PURABIGEN,2022-02-08,40.0,40.5,39.3,39.6,458116.0
PURABIGEN,2022-02-09,39.4,39.8,38.7,38.9,332978.0
PURABIGEN,2022-02-10,38.3,39.2,38.3,38.5,174069.0
PURABIGEN,2022-02-13,39.2,39.4,38.3,38.4,124912.0
PURABIGEN,2022-02-14,38.4,38.5,37.8,38.0,103660.0
PURABIGEN,2022-02-15,37.8,38.0,37.4,37.6,115716.0
PURABIGEN,2022-02-16,38.0,38.0,37.3,37.5,76000.0
PURABIGEN,2022-02-17,38.1,38.1,37.0,37.1,106761.0
PURABIGEN,2022-02-20,37.5,37.5,35.8,36.0,210443.0
PURABIGEN,2022-02-22,35.7,36.5,35.7,36.2,99579.0
PURABIGEN,2022-02-23,36.8,36.8,36.2,36.4,56654.0
PURABIGEN,2022-02-24,36.6,36.6,34.3,35.1,104790.0
PURABIGEN,2022-02-27,34.8,34.8,32.7,32.8,195152.0
PURABIGEN,2022-02-28,33.9,36.0,33.4,34.7,192067.0
PURABIGEN,2022-03-01,35.9,36.1,34.4,34.5,120319.0
PURABIGEN,2022-03-02,34.6,34.6,33.6,33.9,79639.0
PURABIGEN,2022-03-03,34.7,34.7,33.3,34.1,56051.0
PURABIGEN,2022-03-06,34.5,34.5,32.8,33.0,126375.0
PURABIGEN,2022-03-07,33.2,33.2,31.2,31.5,140616.0
PURABIGEN,2022-03-08,31.3,32.5,30.1,31.6,141057.0
PURABIGEN,2022-03-09,31.8,34.5,31.8,34.0,158108.0
PURABIGEN,2022-03-10,34.5,35.7,34.4,34.6,298997.0
PURABIGEN,2022-03-13,34.6,35.8,34.6,35.0,149287.0
PURABIGEN,2022-03-14,35.2,35.2,34.9,34.9,96789.0
PURABIGEN,2022-03-15,34.9,34.9,34.3,34.5,106324.0
PURABIGEN,2022-03-16,35.0,35.0,33.9,34.0,80619.0
PURABIGEN,2022-03-20,33.8,34.0,33.4,33.5,99907.0
PURABIGEN,2022-03-21,33.1,33.9,32.9,33.5,50684.0
PURABIGEN,2022-03-22,33.5,34.0,33.3,33.5,63473.0
PURABIGEN,2022-03-23,34.0,34.2,33.5,33.6,65447.0
PURABIGEN,2022-03-24,33.9,34.0,33.4,33.8,63745.0
PURABIGEN,2022-03-27,34.0,34.0,33.2,33.4,50294.0
PURABIGEN,2022-03-28,34.0,34.4,33.9,34.3,125343.0
PURABIGEN,2022-03-29,34.5,34.6,33.9,34.2,99427.0
PURABIGEN,2022-03-30,34.2,36.1,34.2,35.6,500589.0
PURABIGEN,2022-03-31,36.2,36.8,35.5,36.0,326294.0
PURABIGEN,2022-04-03,36.0,36.1,35.3,35.3,155727.0
PURABIGEN,2022-04-04,35.3,35.4,34.6,34.6,81695.0
PURABIGEN,2022-04-05,34.6,34.6,34.0,34.1,42913.0
PURABIGEN,2022-04-06,33.6,34.5,33.5,33.5,58408.0
PURABIGEN,2022-04-07,33.5,33.6,32.9,33.3,62109.0
PURABIGEN,2022-04-10,33.1,33.9,33.1,33.5,34854.0
PURABIGEN,2022-04-11,33.5,33.6,32.9,32.9,84008.0
PURABIGEN,2022-04-12,32.5,33.0,32.3,32.4,40910.0
PURABIGEN,2022-04-13,31.9,33.0,31.8,32.8,29532.0
PURABIGEN,2022-04-17,32.4,32.4,32.2,32.2,36991.0
PURABIGEN,2022-04-18,31.7,31.7,31.6,31.6,52961.0
PURABIGEN,2022-04-19,31.1,31.7,31.0,31.6,95076.0
PURABIGEN,2022-04-20,31.6,32.0,31.0,31.4,98262.0
PURABIGEN,2022-04-21,32.2,32.2,31.0,31.4,133680.0
PURABIGEN,2022-04-24,31.4,32.7,31.4,32.4,115317.0
PURABIGEN,2022-04-25,32.8,33.6,32.4,33.3,166905.0
PURABIGEN,2022-04-26,33.5,34.4,33.3,33.8,137162.0
PURABIGEN,2022-04-27,33.8,34.0,33.0,33.1,93353.0
PURABIGEN,2022-04-28,33.0,33.0,32.2,32.4,62130.0
PURABIGEN,2022-05-05,32.2,33.3,31.5,32.2,24508.0
PURABIGEN,2022-05-08,32.2,32.7,32.2,32.3,115979.0
PURABIGEN,2022-05-09,32.3,32.6,32.0,32.4,123607.0
PURABIGEN,2022-05-10,32.7,33.3,32.5,32.7,129855.0
PURABIGEN,2022-05-11,32.7,32.9,31.5,31.7,93545.0
PURABIGEN,2022-05-12,31.7,31.7,30.9,31.1,124281.0
PURABIGEN,2022-05-16,31.1,31.1,29.6,29.6,110640.0
PURABIGEN,2022-05-17,29.8,29.8,28.2,28.9,164176.0
PURABIGEN,2022-05-18,29.1,29.8,28.6,29.0,136351.0
PURABIGEN,2022-05-19,28.5,28.7,27.6,27.8,195247.0
PURABIGEN,2022-05-22,29.2,29.2,26.5,26.5,91531.0
PURABIGEN,2022-05-23,28.9,28.9,26.7,27.4,71907.0
PURABIGEN,2022-05-24,28.6,28.6,27.0,27.1,103657.0
PURABIGEN,2022-05-25,26.9,27.4,25.8,26.6,59772.0
PURABIGEN,2022-05-26,27.7,27.7,26.1,26.9,57269.0
PURABIGEN,2022-05-29,27.1,28.1,27.1,27.8,76983.0
PURABIGEN,2022-05-30,28.6,28.6,27.7,28.2,79079.0
PURABIGEN,2022-05-31,28.2,30.3,28.2,30.0,270571.0
PURABIGEN,2022-06-01,30.0,30.3,29.6,30.1,121678.0
PURABIGEN,2022-06-02,30.6,30.6,29.9,30.4,102253.0
PURABIGEN,2022-06-05,32.0,32.4,30.9,32.1,240511.0
PURABIGEN,2022-06-06,32.4,35.3,32.4,35.0,781304.0
