symbol,date,open,high,low,close,volume
QUASEMIND,2022-01-02,46.7,46.7,45.0,45.6,84709.0
QUASEMIND,2022-01-03,45.5,49.9,45.0,48.4,341947.0
QUASEMIND,2022-01-04,48.5,49.0,47.0,47.3,136238.0
QUASEMIND,2022-01-05,46.5,49.0,46.5,47.8,141491.0
QUASEMIND,2022-01-06,47.8,49.0,46.7,47.2,164515.0
QUASEMIND,2022-01-09,48.7,48.7,45.5,45.9,110334.0
QUASEMIND,2022-01-10,47.5,49.4,46.0,48.9,236823.0
QUASEMIND,2022-01-11,49.0,51.5,48.2,50.0,359696.0
QUASEMIND,2022-01-12,49.9,53.5,48.5,50.8,482350.0
QUASEMIND,2022-01-13,51.7,51.8,50.3,51.1,116441.0
QUASEMIND,2022-01-16,51.2,52.5,50.1,50.6,224178.0
QUASEMIND,2022-01-17,50.6,51.0,49.5,50.7,130509.0
QUASEMIND,2022-01-18,50.1,51.0,50.0,50.7,132176.0
QUASEMIND,2022-01-19,50.5,50.8,50.1,50.3,65786.0
QUASEMIND,2022-01-20,50.0,50.9,49.8,50.0,88764.0
QUASEMIND,2022-01-23,49.2,49.5,48.0,48.2,102656.0
QUASEMIND,2022-01-24,48.0,48.0,45.6,45.9,184186.0
QUASEMIND,2022-01-25,46.9,48.1,46.1,46.2,72558.0
QUASEMIND,2022-01-26,46.7,47.1,46.0,46.3,99859.0
QUASEMIND,2022-01-27,46.2,47.5,46.1,46.9,36399.0
QUASEMIND,2022-01-30,47.6,48.6,46.9,47.7,41531.0
QUASEMIND,2022-01-31,45.4,47.3,45.3,46.3,91298.0
QUASEMIND,2022-02-01,46.3,46.9,45.9,46.2,36130.0
QUASEMIND,2022-02-02,46.6,46.6,45.8,46.2,51397.0
QUASEMIND,2022-02-03,46.5,47.1,46.0,46.5,72967.0
QUASEMIND,2022-02-06,46.5,46.5,45.4,45.6,101835.0
QUASEMIND,2022-02-07,46.9,46.9,45.5,45.7,49985.0
QUASEMIND,2022-02-08,46.0,46.3,45.1,45.5,87717.0
QUASEMIND,2022-02-09,45.4,46.2,45.3,45.8,89420.0
QUASEMIND,2022-02-10,45.9,46.9,45.9,46.5,77353.0
QUASEMIND,2022-02-13,46.2,48.2,46.0,47.7,177830.0
QUASEMIND,2022-02-14,47.3,47.7,46.6,47.1,57412.0
QUASEMIND,2022-02-15,47.2,47.3,46.3,46.4,71811.0
QUASEMIND,2022-02-16,46.4,47.4,46.4,46.8,45654.0
QUASEMIND,2022-02-17,46.8,47.6,46.6,46.9,126594.0
QUASEMIND,2022-02-20,46.8,49.8,46.6,49.3,348767.0
QUASEMIND,2022-02-22,49.9,50.7,47.5,48.2,123936.0
