symbol,date,open,high,low,close,volume
QUEENSOUTH,2022-01-02,24.1,25.1,24.1,24.8,208027.0
QUEENSOUTH,2022-01-03,25.0,25.4,24.7,25.0,277161.0
QUEENSOUTH,2022-01-04,25.1,25.1,24.6,24.7,231056.0
QUEENSOUTH,2022-01-05,25.1,25.9,24.8,25.7,445648.0
QUEENSOUTH,2022-01-06,25.8,25.9,25.4,25.5,327881.0
QUEENSOUTH,2022-01-09,25.7,25.7,24.9,25.0,277597.0
QUEENSOUTH,2022-01-10,25.1,25.1,24.8,24.9,222810.0
QUEENSOUTH,2022-01-11,24.9,25.0,24.0,24.7,1620712.0
QUEENSOUTH,2022-01-12,25.1,25.1,24.6,24.7,368949.0
QUEENSOUTH,2022-01-13,24.7,24.8,24.4,24.5,287524.0
QUEENSOUTH,2022-01-16,24.7,25.8,24.4,25.2,725229.0
QUEENSOUTH,2022-01-17,25.2,25.5,24.8,25.0,615018.0
QUEENSOUTH,2022-01-18,25.0,26.0,25.0,25.4,707581.0
QUEENSOUTH,2022-01-19,25.7,25.9,25.2,25.8,594136.0
QUEENSOUTH,2022-01-20,25.8,26.1,25.5,25.6,429026.0
QUEENSOUTH,2022-01-23,25.8,25.8,24.8,25.0,253192.0
QUEENSOUTH,2022-01-24,25.1,25.3,24.4,24.6,277966.0
QUEENSOUTH,2022-01-25,24.6,27.0,24.6,27.0,3480838.0
QUEENSOUTH,2022-01-26,29.7,29.7,29.7,29.7,2078336.0
QUEENSOUTH,2022-01-27,29.7,32.6,29.5,32.6,15884202.0
QUEENSOUTH,2022-01-30,32.6,35.8,32.1,35.4,11906934.0
QUEENSOUTH,2022-01-31,34.3,36.5,33.2,35.4,10953735.0
QUEENSOUTH,2022-02-01,35.4,35.8,33.4,34.3,4894187.0
QUEENSOUTH,2022-02-02,34.4,35.8,33.8,35.2,6105637.0
QUEENSOUTH,2022-02-03,35.2,36.7,34.2,34.9,3850076.0
QUEENSOUTH,2022-02-06,34.9,35.1,31.5,33.0,2928328.0
QUEENSOUTH,2022-02-07,33.6,33.6,31.1,31.3,2149832.0
QUEENSOUTH,2022-02-08,31.8,33.1,31.0,31.7,11287043.0
QUEENSOUTH,2022-02-09,32.2,32.5,31.5,31.7,1113491.0
QUEENSOUTH,2022-02-10,31.7,32.0,30.6,30.9,1347956.0
QUEENSOUTH,2022-02-13,30.9,31.3,28.3,28.7,6207707.0
QUEENSOUTH,2022-02-14,29.0,30.6,27.8,28.0,6551132.0
QUEENSOUTH,2022-02-15,28.5,29.7,28.2,28.5,3717894.0
QUEENSOUTH,2022-02-16,29.0,29.5,27.5,27.9,6990862.0
QUEENSOUTH,2022-02-17,28.3,28.3,27.6,27.9,1304859.0
QUEENSOUTH,2022-02-20,27.9,28.4,27.5,28.2,2213712.0
QUEENSOUTH,2022-02-23,26.5,26.7,25.5,25.7,4784770.0
