symbol,date,open,high,low,close,volume
RAHIMAFOOD,2022-01-02,356.0,362.0,346.0,351.7,103176.0
RAHIMAFOOD,2022-01-03,355.9,356.7,342.8,345.3,158092.0
RAHIMAFOOD,2022-01-04,350.0,351.8,340.0,341.3,84012.0
RAHIMAFOOD,2022-01-05,347.0,349.6,339.5,340.5,86677.0
RAHIMAFOOD,2022-01-06,342.0,344.6,330.3,333.0,109351.0
RAHIMAFOOD,2022-01-09,335.0,344.0,332.0,333.4,133639.0
RAHIMAFOOD,2022-01-10,338.0,346.8,335.3,342.6,112492.0
RAHIMAFOOD,2022-01-11,343.0,345.4,331.5,333.6,102989.0
RAHIMAFOOD,2022-01-12,334.0,338.0,323.8,325.2,111065.0
RAHIMAFOOD,2022-01-13,329.0,337.0,323.5,326.2,144432.0
RAHIMAFOOD,2022-01-16,332.7,337.9,329.0,331.4,136850.0
RAHIMAFOOD,2022-01-17,335.0,338.4,329.7,331.2,141136.0
RAHIMAFOOD,2022-01-18,332.0,340.4,331.5,338.4,155464.0
RAHIMAFOOD,2022-01-19,345.0,359.0,345.0,351.8,312688.0
RAHIMAFOOD,2022-01-20,355.9,356.0,342.2,343.4,144001.0
RAHIMAFOOD,2022-01-23,340.2,349.0,337.9,339.3,172581.0
RAHIMAFOOD,2022-01-24,340.0,346.4,335.4,337.5,171029.0
RAHIMAFOOD,2022-01-25,340.0,343.6,331.4,333.1,144079.0
RAHIMAFOOD,2022-01-26,335.6,335.6,325.1,326.5,82402.0
RAHIMAFOOD,2022-01-27,331.3,331.8,325.0,327.3,72584.0
RAHIMAFOOD,2022-01-30,327.0,330.5,322.6,326.7,110245.0
RAHIMAFOOD,2022-01-31,331.0,345.0,328.0,339.3,155358.0
RAHIMAFOOD,2022-02-01,341.2,346.0,335.8,337.6,152358.0
RAHIMAFOOD,2022-02-02,338.0,343.0,334.1,335.7,118423.0
RAHIMAFOOD,2022-02-03,338.8,344.8,337.5,343.5,178342.0
RAHIMAFOOD,2022-02-06,344.0,369.0,344.0,350.9,424946.0
RAHIMAFOOD,2022-02-07,351.0,354.0,340.5,342.2,136656.0
RAHIMAFOOD,2022-02-08,343.0,347.0,333.1,335.4,150570.0
RAHIMAFOOD,2022-02-09,337.0,349.9,336.3,341.7,142686.0
RAHIMAFOOD,2022-02-10,343.7,346.9,339.0,339.9,134371.0
RAHIMAFOOD,2022-02-13,344.9,348.8,340.6,346.7,172859.0
RAHIMAFOOD,2022-02-14,350.5,360.7,347.8,357.5,401640.0
RAHIMAFOOD,2022-02-15,387.0,387.0,360.0,365.6,940082.0
RAHIMAFOOD,2022-02-16,365.8,365.8,347.0,349.9,511135.0
