symbol,date,open,high,low,close,volume
RAKCERAMIC,2022-01-02,44.7,44.8,43.8,44.5,194762.0
RAKCERAMIC,2022-01-03,44.1,45.1,44.1,44.3,152834.0
RAKCERAMIC,2022-01-04,44.2,44.6,44.0,44.3,99820.0
RAKCERAMIC,2022-01-05,45.0,45.0,44.4,44.6,159831.0
RAKCERAMIC,2022-01-06,44.9,45.5,44.6,45.1,348077.0
RAKCERAMIC,2022-01-09,45.5,47.9,45.4,46.2,1162199.0
RAKCERAMIC,2022-01-10,46.2,46.5,45.2,46.3,319118.0
RAKCERAMIC,2022-01-11,46.3,50.9,45.9,50.9,4956489.0
RAKCERAMIC,2022-01-12,52.4,55.9,52.0,55.9,12303019.0
RAKCERAMIC,2022-01-13,56.9,58.1,54.9,55.7,6757770.0
RAKCERAMIC,2022-01-16,55.8,61.2,55.3,60.9,12045789.0
RAKCERAMIC,2022-01-17,60.8,60.8,56.1,57.0,7753716.0
RAKCERAMIC,2022-01-18,57.5,59.5,55.1,55.6,7059397.0
RAKCERAMIC,2022-01-19,55.8,56.4,54.0,54.5,3683913.0
RAKCERAMIC,2022-01-20,54.7,55.3,53.0,53.4,3741189.0
RAKCERAMIC,2022-01-23,53.9,57.5,53.3,57.1,4810383.0
RAKCERAMIC,2022-01-24,57.0,57.0,54.5,54.9,3176577.0
RAKCERAMIC,2022-01-25,54.4,56.9,54.4,55.8,3212929.0
RAKCERAMIC,2022-01-26,56.7,58.5,56.5,57.0,5014180.0
RAKCERAMIC,2022-01-27,57.6,58.8,56.9,58.5,5812951.0
RAKCERAMIC,2022-01-30,59.0,60.4,58.7,59.0,5261879.0
RAKCERAMIC,2022-01-31,59.0,59.4,56.9,57.3,3122435.0
RAKCERAMIC,2022-02-01,57.9,62.3,57.2,61.2,5808660.0
RAKCERAMIC,2022-02-02,62.3,63.3,58.6,58.9,4673273.0
RAKCERAMIC,2022-02-03,57.7,57.7,54.8,55.1,5593550.0
RAKCERAMIC,2022-02-06,55.6,56.4,53.1,53.6,3443239.0
RAKCERAMIC,2022-02-07,54.0,55.0,52.3,52.9,2493274.0
RAKCERAMIC,2022-02-08,53.6,53.8,52.3,52.5,1870998.0
RAKCERAMIC,2022-02-09,52.7,54.4,51.9,53.4,2646738.0
RAKCERAMIC,2022-02-10,53.7,54.8,52.8,53.0,1846180.0
RAKCERAMIC,2022-02-13,52.9,53.6,52.0,52.2,1359881.0
RAKCERAMIC,2022-02-14,52.1,53.0,51.1,51.2,1279408.0
RAKCERAMIC,2022-02-15,51.4,52.7,51.0,52.0,1097516.0
RAKCERAMIC,2022-02-16,52.4,52.8,51.2,51.4,1298282.0
RAKCERAMIC,2022-02-17,51.8,51.8,50.9,51.4,1198531.0
RAKCERAMIC,2022-02-20,51.2,51.4,50.3,50.6,1167760.0
RAKCERAMIC,2022-02-22,51.4,51.4,50.0,50.5,877330.0
RAKCERAMIC,2022-02-23,50.9,51.8,50.3,51.2,1365790.0
RAKCERAMIC,2022-02-27,48.0,49.1,47.2,47.7,1367010.0
RAKCERAMIC,2022-02-28,48.4,48.6,47.0,47.1,920453.0
RAKCERAMIC,2022-03-01,47.5,48.5,45.5,45.8,1677370.0
RAKCERAMIC,2022-03-02,45.8,46.2,44.4,44.8,668381.0
RAKCERAMIC,2022-03-03,44.8,46.8,44.6,45.6,782047.0
RAKCERAMIC,2022-03-06,46.0,46.2,44.8,45.0,432582.0
RAKCERAMIC,2022-03-07,44.9,45.3,42.5,42.8,1153494.0
RAKCERAMIC,2022-03-08,44.3,44.4,41.4,44.0,738668.0
RAKCERAMIC,2022-03-09,44.2,46.0,44.0,45.5,1843232.0
RAKCERAMIC,2022-03-10,46.2,46.6,44.9,45.2,1269515.0
RAKCERAMIC,2022-03-13,45.0,48.2,45.0,47.2,2430971.0
RAKCERAMIC,2022-03-14,47.4,47.7,46.7,46.9,996688.0
RAKCERAMIC,2022-03-15,46.5,46.8,46.0,46.1,1924374.0
RAKCERAMIC,2022-03-16,46.6,46.9,45.7,45.9,538519.0
RAKCERAMIC,2022-03-20,46.4,46.4,45.0,45.0,319656.0
RAKCERAMIC,2022-03-21,45.7,45.7,44.1,44.2,643627.0
RAKCERAMIC,2022-03-22,45.4,45.4,44.1,44.8,564206.0
RAKCERAMIC,2022-03-23,45.1,45.5,44.0,44.1,595209.0
RAKCERAMIC,2022-03-24,44.3,44.5,43.3,43.5,772461.0
RAKCERAMIC,2022-03-27,43.5,43.9,42.7,42.7,993643.0
RAKCERAMIC,2022-03-28,42.8,44.5,42.8,44.0,809516.0
RAKCERAMIC,2022-03-29,44.2,45.8,44.0,45.4,1437987.0
RAKCERAMIC,2022-03-30,45.8,46.0,44.8,44.9,637788.0
RAKCERAMIC,2022-03-31,45.4,45.8,44.2,45.3,760296.0
RAKCERAMIC,2022-04-03,45.8,45.8,44.4,44.5,436796.0
RAKCERAMIC,2022-04-04,44.5,44.9,43.7,44.4,491937.0
RAKCERAMIC,2022-04-05,44.0,44.6,43.6,44.1,223928.0
RAKCERAMIC,2022-04-06,43.6,44.8,43.6,43.9,481966.0
RAKCERAMIC,2022-04-07,43.7,44.3,43.6,43.7,327127.0
RAKCERAMIC,2022-04-10,43.8,44.7,43.3,44.4,408914.0
RAKCERAMIC,2022-04-11,44.8,45.3,43.8,43.9,456768.0
RAKCERAMIC,2022-04-12,43.6,43.7,43.1,43.1,372968.0
RAKCERAMIC,2022-04-13,43.2,43.4,42.5,42.9,229533.0
RAKCERAMIC,2022-04-17,42.3,43.0,42.2,42.3,306679.0
RAKCERAMIC,2022-04-18,42.0,42.3,41.5,41.5,526089.0
RAKCERAMIC,2022-04-19,41.5,42.7,40.7,42.3,300601.0
RAKCERAMIC,2022-04-20,42.8,43.3,42.5,43.0,261691.0
RAKCERAMIC,2022-04-21,43.0,44.3,42.8,43.6,584022.0
RAKCERAMIC,2022-04-24,43.7,44.7,43.4,43.9,990545.0
RAKCERAMIC,2022-04-25,43.5,44.0,43.3,43.7,414274.0
RAKCERAMIC,2022-04-26,43.4,44.3,43.4,43.9,468234.0
RAKCERAMIC,2022-04-27,44.4,44.4,43.5,43.8,419552.0
RAKCERAMIC,2022-04-28,43.6,44.0,42.6,43.2,346194.0
RAKCERAMIC,2022-05-05,43.5,43.6,42.5,42.8,182750.0
RAKCERAMIC,2022-05-08,43.6,45.8,43.0,45.1,858146.0
RAKCERAMIC,2022-05-09,45.7,47.8,45.6,47.6,2302217.0
RAKCERAMIC,2022-05-10,47.7,48.8,46.5,46.7,1377036.0
RAKCERAMIC,2022-05-11,46.7,46.9,44.6,44.9,1270167.0
RAKCERAMIC,2022-05-12,45.3,47.4,44.0,45.8,1071346.0
RAKCERAMIC,2022-05-16,46.0,46.0,43.6,43.7,947139.0
RAKCERAMIC,2022-05-17,44.7,44.7,41.9,43.5,666307.0
RAKCERAMIC,2022-05-18,44.3,44.8,41.4,41.8,665993.0
RAKCERAMIC,2022-05-19,41.8,42.3,40.1,41.0,348262.0
RAKCERAMIC,2022-05-22,44.0,44.0,40.2,41.0,332728.0
RAKCERAMIC,2022-05-23,41.0,44.0,41.0,42.6,489522.0
RAKCERAMIC,2022-05-24,43.7,43.9,40.7,41.1,520373.0
RAKCERAMIC,2022-05-25,42.4,42.5,40.8,41.3,417530.0
RAKCERAMIC,2022-05-26,40.5,42.8,40.5,41.8,213307.0
RAKCERAMIC,2022-05-29,44.0,44.0,42.8,43.7,442510.0
RAKCERAMIC,2022-05-30,48.0,48.0,43.2,43.4,550011.0
RAKCERAMIC,2022-05-31,45.6,45.7,43.4,43.8,357495.0
RAKCERAMIC,2022-06-01,43.8,44.5,43.4,43.8,438083.0
RAKCERAMIC,2022-06-02,43.8,45.9,43.7,45.6,1280155.0
RAKCERAMIC,2022-06-05,45.6,48.0,45.6,47.4,2686978.0
RAKCERAMIC,2022-06-06,47.4,48.5,46.6,46.7,1198320.0
RAKCERAMIC,2022-06-07,46.6,46.9,45.8,46.0,1181416.0
RAKCERAMIC,2022-06-08,46.1,48.4,45.8,48.0,2895512.0
RAKCERAMIC,2022-06-09,49.5,49.5,47.6,47.8,1589077.0
RAKCERAMIC,2022-06-12,47.7,48.1,46.9,47.0,1271569.0
RAKCERAMIC,2022-06-13,46.5,47.9,46.2,46.3,645896.0
RAKCERAMIC,2022-06-14,48.4,48.5,46.7,47.0,1653996.0
RAKCERAMIC,2022-06-15,47.6,51.7,47.5,51.7,10146270.0
RAKCERAMIC,2022-06-16,52.7,54.8,51.9,52.3,6750984.0
RAKCERAMIC,2022-06-19,51.6,53.5,51.4,51.6,4836845.0
RAKCERAMIC,2022-06-20,51.6,52.2,50.6,50.6,1735214.0
RAKCERAMIC,2022-06-21,50.0,50.2,49.6,49.7,2762597.0
RAKCERAMIC,2022-06-22,49.6,50.8,49.5,49.8,1608988.0
RAKCERAMIC,2022-06-23,50.0,51.1,49.4,49.6,2027934.0
RAKCERAMIC,2022-06-26,51.4,51.4,48.7,48.7,1338576.0
RAKCERAMIC,2022-06-27,49.1,49.8,47.9,49.4,1667316.0
RAKCERAMIC,2022-06-28,49.7,51.0,49.5,50.2,2498993.0
RAKCERAMIC,2022-06-29,50.2,51.4,49.2,49.3,3060687.0
RAKCERAMIC,2022-06-30,50.0,51.2,48.7,49.3,1011505.0
RAKCERAMIC,2022-07-03,50.0,50.9,48.6,48.9,1113776.0
RAKCERAMIC,2022-07-05,49.2,51.0,49.0,49.3,2767239.0
RAKCERAMIC,2022-07-06,50.5,50.5,48.6,48.7,891854.0
RAKCERAMIC,2022-07-07,49.0,49.3,48.5,48.8,698448.0
RAKCERAMIC,2022-07-12,49.6,49.6,47.9,47.9,918502.0
RAKCERAMIC,2022-07-13,47.6,48.5,47.0,47.0,1261647.0
RAKCERAMIC,2022-07-14,46.8,47.6,46.2,47.2,612161.0
RAKCERAMIC,2022-07-17,47.8,47.8,46.3,46.3,585511.0
RAKCERAMIC,2022-07-18,46.2,46.2,45.4,45.4,422744.0
RAKCERAMIC,2022-07-19,44.5,45.0,44.5,44.5,574223.0
RAKCERAMIC,2022-07-20,43.8,45.2,43.7,44.0,764391.0
RAKCERAMIC,2022-07-21,44.5,44.9,43.2,43.2,1299506.0
RAKCERAMIC,2022-07-24,42.4,43.8,42.4,42.4,446708.0
RAKCERAMIC,2022-07-25,41.7,44.4,41.6,44.2,1160601.0
RAKCERAMIC,2022-07-26,44.8,45.0,43.4,43.4,879695.0
RAKCERAMIC,2022-07-27,43.7,43.7,42.6,42.6,657072.0
RAKCERAMIC,2022-07-28,44.0,44.0,41.8,42.2,622856.0
RAKCERAMIC,2022-07-31,43.0,44.2,42.9,43.6,885895.0
RAKCERAMIC,2022-08-01,43.5,45.4,43.4,44.4,1239024.0
RAKCERAMIC,2022-08-02,44.6,46.3,44.0,45.8,1594739.0
RAKCERAMIC,2022-08-03,47.7,47.7,44.8,45.2,1095575.0
RAKCERAMIC,2022-08-04,46.0,46.0,44.6,44.9,944225.0
RAKCERAMIC,2022-08-07,43.8,45.3,43.4,43.8,1456636.0
RAKCERAMIC,2022-08-08,44.7,44.7,43.6,44.0,976806.0
RAKCERAMIC,2022-08-10,44.1,44.3,43.1,43.2,598819.0
RAKCERAMIC,2022-08-11,43.6,43.7,42.9,43.0,781486.0
RAKCERAMIC,2022-08-14,44.0,44.0,43.0,43.2,339434.0
RAKCERAMIC,2022-08-16,43.9,44.2,43.2,43.9,779957.0
RAKCERAMIC,2022-08-17,44.1,46.4,44.0,45.8,2407978.0
RAKCERAMIC,2022-08-21,46.0,46.8,45.2,45.7,1560741.0
RAKCERAMIC,2022-08-22,45.8,47.4,45.5,46.7,3018759.0
RAKCERAMIC,2022-08-23,47.1,47.1,45.0,45.3,1920541.0
RAKCERAMIC,2022-08-24,45.6,45.7,44.5,44.7,1333206.0
RAKCERAMIC,2022-08-25,44.3,46.4,44.3,45.7,2062464.0
RAKCERAMIC,2022-08-28,46.2,48.7,46.2,46.9,3089124.0
RAKCERAMIC,2022-08-29,47.1,48.1,46.1,46.4,1510860.0
RAKCERAMIC,2022-08-30,46.4,46.9,45.6,45.8,2261169.0
RAKCERAMIC,2022-08-31,46.2,47.7,46.0,46.3,2192500.0
RAKCERAMIC,2022-09-01,46.9,48.5,46.5,48.3,2984263.0
RAKCERAMIC,2022-09-04,49.8,51.6,48.6,49.1,5446444.0
RAKCERAMIC,2022-09-05,49.3,49.5,47.7,47.9,2025388.0
RAKCERAMIC,2022-09-06,48.7,50.7,47.3,50.1,3153619.0
RAKCERAMIC,2022-09-07,51.4,52.0,48.7,49.0,4626528.0
RAKCERAMIC,2022-09-08,49.1,49.8,47.3,47.5,2201408.0
RAKCERAMIC,2022-09-11,46.5,48.5,44.9,46.5,1831513.0
RAKCERAMIC,2022-09-12,46.5,47.4,46.3,46.5,1138478.0
RAKCERAMIC,2022-09-13,47.0,48.3,46.8,47.4,1459301.0
RAKCERAMIC,2022-09-14,47.8,48.0,45.5,46.0,1281879.0
RAKCERAMIC,2022-09-15,46.9,48.0,46.1,46.6,893865.0
RAKCERAMIC,2022-09-18,46.2,46.9,45.4,45.6,1336785.0
RAKCERAMIC,2022-09-19,45.2,46.5,45.2,46.3,1195524.0
RAKCERAMIC,2022-09-20,46.8,47.5,45.6,46.2,2156642.0
RAKCERAMIC,2022-09-21,45.6,46.3,44.5,44.6,1463362.0
RAKCERAMIC,2022-09-22,45.5,45.7,44.3,44.5,1093566.0
RAKCERAMIC,2022-09-25,45.3,46.1,44.5,45.5,1256273.0
RAKCERAMIC,2022-09-26,45.5,45.6,44.7,44.9,781874.0
RAKCERAMIC,2022-09-27,44.8,45.1,44.1,44.3,985630.0
RAKCERAMIC,2022-09-28,44.5,45.5,44.0,45.2,1141717.0
RAKCERAMIC,2022-09-29,45.0,45.7,44.2,44.5,1116648.0
RAKCERAMIC,2022-10-02,44.5,45.2,44.4,44.6,749980.0
RAKCERAMIC,2022-10-03,44.6,45.6,44.6,44.8,1030860.0
RAKCERAMIC,2022-10-04,44.9,45.3,44.7,45.0,565524.0
RAKCERAMIC,2022-10-06,44.8,45.6,44.3,44.5,726377.0
RAKCERAMIC,2022-10-10,44.6,44.7,42.9,43.1,972494.0
RAKCERAMIC,2022-10-11,43.3,43.6,42.9,42.9,852968.0
RAKCERAMIC,2022-10-12,42.9,43.2,42.9,42.9,573805.0
RAKCERAMIC,2022-10-13,43.0,43.2,42.9,42.9,522325.0
RAKCERAMIC,2022-10-16,42.9,43.0,42.9,42.9,487238.0
RAKCERAMIC,2022-10-17,42.9,42.9,42.9,42.9,32635.0
RAKCERAMIC,2022-10-18,42.9,42.9,42.9,42.9,74748.0
RAKCERAMIC,2022-10-19,42.9,42.9,42.9,42.9,164536.0
RAKCERAMIC,2022-10-20,42.9,42.9,42.9,42.9,105469.0
RAKCERAMIC,2022-10-23,42.9,42.9,42.9,42.9,28842.0
RAKCERAMIC,2022-10-24,42.9,42.9,42.9,42.9,3558.0
RAKCERAMIC,2022-10-25,42.9,42.9,42.9,42.9,107064.0
RAKCERAMIC,2022-10-26,42.9,42.9,42.9,42.9,48687.0
RAKCERAMIC,2022-10-27,42.9,42.9,42.9,42.9,5347.0
RAKCERAMIC,2022-10-30,42.9,42.9,42.9,42.9,3621.0
RAKCERAMIC,2022-10-31,42.9,42.9,42.9,42.9,14047.0
RAKCERAMIC,2022-11-01,42.9,42.9,42.9,42.9,100327.0
RAKCERAMIC,2022-11-02,42.9,42.9,42.9,42.9,49763.0
RAKCERAMIC,2022-11-03,42.9,42.9,42.9,42.9,75317.0
RAKCERAMIC,2022-11-06,42.9,42.9,42.9,42.9,136301.0
RAKCERAMIC,2022-11-07,42.9,42.9,42.9,42.9,113631.0
RAKCERAMIC,2022-11-08,42.9,42.9,42.9,42.9,126442.0
