symbol,date,open,high,low,close,volume
RDFOOD,2022-01-02,53.5,54.1,52.5,53.9,739755.0
RDFOOD,2022-01-03,53.6,54.9,53.5,54.1,999715.0
RDFOOD,2022-01-04,54.0,55.5,53.5,55.0,1480847.0
RDFOOD,2022-01-05,55.0,60.3,55.0,58.5,2434140.0
RDFOOD,2022-01-06,58.9,60.0,57.2,58.8,1633340.0
RDFOOD,2022-01-09,58.8,59.3,56.6,57.1,773104.0
RDFOOD,2022-01-10,57.0,57.7,55.4,55.7,856087.0
RDFOOD,2022-01-11,55.0,56.9,55.0,56.1,631944.0
RDFOOD,2022-01-12,56.0,57.5,56.0,56.8,690427.0
RDFOOD,2022-01-13,56.6,59.0,56.6,56.9,528990.0
RDFOOD,2022-01-16,55.9,58.4,55.8,56.3,765030.0
RDFOOD,2022-01-17,55.5,57.9,55.5,56.1,841887.0
RDFOOD,2022-01-18,55.5,57.6,55.5,56.1,672367.0
RDFOOD,2022-01-19,56.3,58.9,56.3,57.9,1819683.0
RDFOOD,2022-01-20,58.6,60.7,58.5,60.2,1571723.0
RDFOOD,2022-01-23,60.0,60.8,59.3,60.1,1539597.0
RDFOOD,2022-01-24,60.3,61.3,59.4,60.8,2052850.0
RDFOOD,2022-01-25,61.9,61.9,60.8,61.4,946302.0
RDFOOD,2022-01-26,61.2,62.1,60.8,61.6,1415108.0
RDFOOD,2022-01-27,61.6,62.3,60.6,60.9,978237.0
RDFOOD,2022-01-30,60.4,61.4,60.4,61.0,494831.0
RDFOOD,2022-01-31,61.0,61.8,60.6,60.8,626286.0
RDFOOD,2022-02-01,61.4,61.5,59.8,60.1,828526.0
RDFOOD,2022-02-02,59.5,60.3,58.5,59.5,982325.0
RDFOOD,2022-02-03,58.4,59.8,58.1,59.0,487404.0
RDFOOD,2022-02-06,58.5,60.0,58.5,59.6,363108.0
RDFOOD,2022-02-07,58.5,60.3,58.5,59.0,533852.0
RDFOOD,2022-02-08,58.7,59.9,58.2,58.6,654849.0
RDFOOD,2022-02-09,58.3,61.6,58.3,61.3,833961.0
RDFOOD,2022-02-10,60.6,62.0,60.6,61.6,933585.0
RDFOOD,2022-02-13,61.6,61.7,59.5,60.2,634116.0
RDFOOD,2022-02-14,60.5,63.0,60.5,62.2,1382993.0
RDFOOD,2022-02-15,61.7,63.0,61.1,61.8,826423.0
RDFOOD,2022-02-16,60.4,62.4,60.4,61.6,443166.0
RDFOOD,2022-02-17,61.5,61.6,60.8,61.1,481081.0
RDFOOD,2022-02-20,60.5,61.7,60.4,60.9,382306.0
RDFOOD,2022-02-22,60.1,61.5,59.7,60.3,318850.0
RDFOOD,2022-02-23,60.1,60.8,59.9,60.1,213400.0
RDFOOD,2022-02-24,59.6,60.5,58.3,59.1,282801.0
RDFOOD,2022-02-27,58.5,60.2,57.7,58.1,309346.0
RDFOOD,2022-02-28,57.2,59.5,57.2,58.5,280844.0
RDFOOD,2022-03-01,58.0,59.5,58.0,58.2,447734.0
RDFOOD,2022-03-02,57.6,59.2,57.6,58.3,200268.0
RDFOOD,2022-03-03,57.7,59.2,57.7,58.9,200284.0
RDFOOD,2022-03-06,58.0,58.9,57.9,58.1,237611.0
RDFOOD,2022-03-07,57.5,58.5,53.7,54.2,449941.0
RDFOOD,2022-03-08,52.4,56.5,52.4,55.1,203990.0
RDFOOD,2022-03-09,56.8,56.8,55.0,56.3,128012.0
RDFOOD,2022-03-10,55.6,57.2,55.6,56.6,288595.0
RDFOOD,2022-03-13,57.0,57.5,56.2,57.0,269836.0
RDFOOD,2022-03-15,56.0,57.1,56.0,56.6,937337.0
RDFOOD,2022-03-16,56.1,58.0,56.1,56.7,319627.0
RDFOOD,2022-03-20,56.5,57.6,55.8,56.9,303727.0
RDFOOD,2022-03-21,56.1,57.9,56.1,57.6,557908.0
RDFOOD,2022-03-22,57.3,59.5,57.1,58.9,1381110.0
RDFOOD,2022-03-23,59.6,60.0,58.8,59.7,881066.0
RDFOOD,2022-03-24,60.5,60.5,59.6,60.1,644158.0
RDFOOD,2022-03-27,59.1,60.3,59.1,59.9,434490.0
RDFOOD,2022-03-28,59.0,59.8,58.8,59.2,470977.0
RDFOOD,2022-03-29,58.7,59.7,58.7,58.9,233710.0
RDFOOD,2022-03-30,58.3,59.9,57.8,58.2,535921.0
RDFOOD,2022-03-31,59.3,59.4,57.6,59.2,893690.0
RDFOOD,2022-04-03,59.2,60.3,59.0,59.6,495506.0
RDFOOD,2022-04-04,59.3,60.5,58.5,59.0,592757.0
RDFOOD,2022-04-05,58.3,59.4,57.9,58.6,163152.0
RDFOOD,2022-04-06,58.0,59.5,57.5,57.9,226240.0
RDFOOD,2022-04-07,57.4,58.7,56.9,58.0,226298.0
RDFOOD,2022-04-10,57.6,59.3,57.5,57.8,73177.0
RDFOOD,2022-04-11,57.4,58.5,57.0,57.8,248626.0
RDFOOD,2022-04-12,57.1,58.0,56.7,57.2,133596.0
RDFOOD,2022-04-13,57.7,57.7,56.1,56.9,131810.0
RDFOOD,2022-04-17,56.5,58.3,55.8,56.4,233072.0
RDFOOD,2022-04-18,55.8,57.2,55.3,55.4,125343.0
RDFOOD,2022-04-19,54.5,56.7,54.3,56.1,197525.0
RDFOOD,2022-04-20,56.6,58.3,56.1,57.1,257254.0
RDFOOD,2022-04-21,56.5,57.9,56.5,57.3,268888.0
RDFOOD,2022-04-24,57.3,57.9,56.1,56.7,301277.0
RDFOOD,2022-04-25,56.1,57.0,55.9,56.7,281745.0
RDFOOD,2022-04-26,56.0,57.3,56.0,56.8,177427.0
RDFOOD,2022-04-27,56.6,57.8,56.2,56.5,276857.0
RDFOOD,2022-04-28,56.1,57.4,55.7,57.1,374315.0
RDFOOD,2022-05-05,56.5,57.6,56.5,57.4,112691.0
RDFOOD,2022-05-08,57.0,58.5,57.0,57.4,207642.0
RDFOOD,2022-05-09,57.4,58.0,56.5,57.7,559259.0
RDFOOD,2022-05-10,57.4,58.1,56.4,56.8,265503.0
RDFOOD,2022-05-11,57.5,62.0,56.6,59.5,16974027.0
RDFOOD,2022-05-12,60.0,62.9,58.8,61.2,4192036.0
RDFOOD,2022-05-16,60.9,60.9,58.2,58.2,6641122.0
RDFOOD,2022-05-17,56.5,57.1,55.3,55.3,1076192.0
RDFOOD,2022-05-18,53.1,53.8,52.6,52.6,3052149.0
RDFOOD,2022-05-19,51.1,51.8,50.0,50.0,2199374.0
RDFOOD,2022-05-22,48.4,50.0,47.5,47.5,1112764.0
RDFOOD,2022-05-23,49.6,49.6,45.2,45.5,2265822.0
RDFOOD,2022-05-24,45.5,47.9,43.5,43.7,1356511.0
RDFOOD,2022-05-25,43.2,43.5,41.6,41.9,1229926.0
RDFOOD,2022-05-26,41.1,43.2,41.1,42.5,1061354.0
RDFOOD,2022-05-29,42.5,46.7,42.5,46.6,6469726.0
RDFOOD,2022-05-30,46.8,48.8,45.7,46.3,1520011.0
RDFOOD,2022-05-31,45.5,46.5,45.4,45.4,735278.0
RDFOOD,2022-06-01,45.8,46.2,44.5,45.4,2102888.0
RDFOOD,2022-06-02,46.1,46.8,45.1,45.5,1090461.0
RDFOOD,2022-06-05,45.7,47.5,45.6,47.2,1352723.0
RDFOOD,2022-06-06,47.5,49.4,46.6,47.4,2344999.0
RDFOOD,2022-06-07,47.8,47.8,46.5,46.6,1326963.0
RDFOOD,2022-06-08,46.8,47.4,46.0,46.9,838773.0
RDFOOD,2022-06-09,47.1,47.6,46.1,46.3,693227.0
RDFOOD,2022-06-12,45.5,46.5,45.4,45.4,695334.0
RDFOOD,2022-06-13,46.2,46.2,44.5,44.5,748725.0
RDFOOD,2022-06-14,45.9,48.9,44.3,44.6,639669.0
RDFOOD,2022-06-15,44.6,46.5,44.6,45.8,858790.0
RDFOOD,2022-06-16,47.8,48.0,45.8,47.6,1865196.0
RDFOOD,2022-06-19,49.0,49.0,46.9,47.2,1433273.0
RDFOOD,2022-06-20,46.6,47.1,46.3,46.3,583507.0
RDFOOD,2022-06-21,46.0,46.6,45.4,45.4,392526.0
RDFOOD,2022-06-22,44.6,45.5,44.5,44.5,819393.0
RDFOOD,2022-06-23,45.5,45.5,43.7,44.0,465932.0
RDFOOD,2022-06-26,44.1,44.7,43.2,43.2,668288.0
RDFOOD,2022-06-27,43.8,43.8,42.4,42.4,1189648.0
RDFOOD,2022-06-28,42.1,43.4,41.6,42.2,1094221.0
RDFOOD,2022-06-29,42.0,42.7,41.8,42.1,416492.0
RDFOOD,2022-06-30,41.8,43.1,41.3,42.0,1205620.0
RDFOOD,2022-07-03,42.2,44.0,42.2,43.9,878614.0
RDFOOD,2022-07-04,43.6,44.3,43.1,43.1,865858.0
RDFOOD,2022-07-05,43.1,43.4,42.3,42.4,790348.0
RDFOOD,2022-07-06,43.3,43.3,41.6,41.8,681145.0
RDFOOD,2022-07-07,41.8,42.9,41.8,42.8,498716.0
RDFOOD,2022-07-12,43.4,43.4,42.0,42.1,250937.0
RDFOOD,2022-07-13,42.1,42.1,41.3,41.4,466070.0
RDFOOD,2022-07-14,41.2,41.7,40.9,41.2,327207.0
RDFOOD,2022-07-17,42.4,42.4,40.4,40.4,777846.0
RDFOOD,2022-07-18,40.0,40.1,39.6,39.6,160304.0
RDFOOD,2022-07-19,38.9,38.9,38.9,38.9,230769.0
RDFOOD,2022-07-20,38.2,38.9,38.2,38.2,616649.0
RDFOOD,2022-07-21,40.4,40.4,37.5,37.5,359144.0
RDFOOD,2022-07-24,39.9,39.9,36.8,36.8,324915.0
RDFOOD,2022-07-25,36.1,37.8,36.1,36.5,802306.0
RDFOOD,2022-07-26,37.6,38.0,36.4,36.6,790512.0
RDFOOD,2022-07-27,36.2,37.4,35.9,35.9,246241.0
RDFOOD,2022-07-28,35.9,35.9,35.2,35.2,437407.0
RDFOOD,2022-07-31,36.2,37.0,36.2,36.6,618408.0
RDFOOD,2022-08-01,36.8,38.8,36.6,38.3,797830.0
RDFOOD,2022-08-02,38.5,38.7,37.8,38.0,482408.0
RDFOOD,2022-08-03,39.3,39.3,37.5,37.8,699601.0
