symbol,date,open,high,low,close,volume
RECKITTBEN,2022-01-02,5760.1,5889.0,5748.1,5816.1,1592.0
RECKITTBEN,2022-01-03,5795.0,5823.9,5630.0,5655.2,1492.0
RECKITTBEN,2022-01-04,5670.0,5670.0,5560.0,5609.9,1394.0
RECKITTBEN,2022-01-05,5600.0,5738.8,5600.0,5725.6,323.0
RECKITTBEN,2022-01-06,5640.3,5680.0,5616.0,5640.1,767.0
RECKITTBEN,2022-01-09,5666.0,5720.0,5650.0,5707.4,1704.0
RECKITTBEN,2022-01-10,5700.0,5740.0,5643.0,5683.0,937.0
RECKITTBEN,2022-01-11,5746.0,5896.1,5670.0,5681.5,2349.0
RECKITTBEN,2022-01-12,5670.0,5789.7,5670.0,5687.5,780.0
RECKITTBEN,2022-01-13,5771.0,5790.0,5700.0,5768.4,374.0
RECKITTBEN,2022-01-16,5780.5,5920.0,5780.0,5852.0,2279.0
RECKITTBEN,2022-01-17,5900.0,5940.0,5785.0,5809.7,2068.0
RECKITTBEN,2022-01-18,5810.1,5839.0,5755.0,5827.6,1734.0
RECKITTBEN,2022-01-19,5809.0,5844.0,5781.0,5797.5,1139.0
RECKITTBEN,2022-01-20,5833.9,5833.9,5775.0,5809.4,1995.0
RECKITTBEN,2022-01-23,5799.9,5900.0,5799.9,5853.0,1168.0
RECKITTBEN,2022-01-24,5899.0,6000.0,5830.4,5947.4,1790.0
RECKITTBEN,2022-01-25,6000.0,6050.0,5975.0,6000.5,1602.0
RECKITTBEN,2022-01-26,5977.0,5980.1,5880.0,5900.0,1337.0
RECKITTBEN,2022-01-27,5900.1,5900.1,5806.2,5840.4,1337.0
RECKITTBEN,2022-01-30,5850.0,5879.9,5840.0,5853.4,641.0
RECKITTBEN,2022-01-31,5995.0,5995.0,5827.1,5840.1,557.0
RECKITTBEN,2022-02-01,5830.1,5918.9,5830.1,5860.5,1502.0
RECKITTBEN,2022-02-02,5850.0,5866.1,5832.0,5847.5,1029.0
RECKITTBEN,2022-02-03,5859.0,5900.0,5850.0,5853.4,253.0
RECKITTBEN,2022-02-06,5869.7,5870.0,5832.0,5849.4,558.0
RECKITTBEN,2022-02-07,5900.0,5954.9,5850.2,5850.4,435.0
RECKITTBEN,2022-02-08,5860.0,5870.0,5830.1,5839.2,606.0
RECKITTBEN,2022-02-09,5840.0,5914.0,5840.0,5901.1,286.0
RECKITTBEN,2022-02-10,5900.0,5900.0,5860.1,5868.0,553.0
RECKITTBEN,2022-02-13,5897.9,5954.0,5897.9,5940.4,549.0
RECKITTBEN,2022-02-14,5997.0,5997.0,5935.5,5943.3,954.0
RECKITTBEN,2022-02-15,5900.0,5940.0,5900.0,5903.8,319.0
RECKITTBEN,2022-02-16,6000.0,6000.0,5905.0,5908.4,522.0
RECKITTBEN,2022-02-17,5906.0,5948.0,5882.1,5914.8,447.0
RECKITTBEN,2022-02-20,5998.9,6000.0,5911.0,5957.7,1570.0
RECKITTBEN,2022-02-22,5958.0,5970.0,5911.0,5921.7,710.0
RECKITTBEN,2022-02-23,5920.0,5981.0,5920.0,5976.1,1188.0
RECKITTBEN,2022-02-24,5976.1,6040.0,5875.0,5884.5,3168.0
RECKITTBEN,2022-02-27,5786.1,5860.0,5666.0,5788.7,2616.0
RECKITTBEN,2022-02-28,5812.1,5880.0,5812.0,5853.3,829.0
RECKITTBEN,2022-03-01,5800.0,5851.0,5764.0,5784.1,837.0
RECKITTBEN,2022-03-02,5800.0,5805.0,5750.0,5780.3,813.0
RECKITTBEN,2022-03-03,5750.0,5792.4,5750.0,5783.1,371.0
RECKITTBEN,2022-03-06,5879.9,5880.0,5762.3,5763.9,1568.0
RECKITTBEN,2022-03-07,5753.0,5753.0,5550.0,5563.8,1876.0
RECKITTBEN,2022-03-08,5563.8,5563.8,5410.0,5453.9,1630.0
RECKITTBEN,2022-03-09,5490.0,5600.0,5440.0,5514.6,1491.0
RECKITTBEN,2022-03-10,5550.0,5599.0,5440.0,5463.0,1135.0
RECKITTBEN,2022-03-13,5400.0,5430.0,5316.1,5372.2,4317.0
RECKITTBEN,2022-03-14,5354.0,5500.0,5354.0,5417.3,1016.0
RECKITTBEN,2022-03-15,5440.0,5500.0,5440.0,5491.3,1028.0
RECKITTBEN,2022-03-16,5491.0,5544.0,5491.0,5516.2,642.0
RECKITTBEN,2022-03-20,5521.1,5521.1,5406.0,5406.2,1568.0
RECKITTBEN,2022-03-21,5411.0,5470.0,5381.0,5402.7,485.0
RECKITTBEN,2022-03-22,5365.0,5500.0,5365.0,5449.0,1201.0
RECKITTBEN,2022-03-23,5430.1,5468.9,5420.0,5421.4,623.0
RECKITTBEN,2022-03-24,5421.4,5421.4,5385.0,5403.1,588.0
RECKITTBEN,2022-03-27,5400.1,5446.8,5393.0,5395.6,534.0
RECKITTBEN,2022-03-28,5400.1,5419.5,5385.0,5401.7,788.0
RECKITTBEN,2022-03-29,5402.1,5410.0,5375.0,5382.4,1267.0
RECKITTBEN,2022-03-30,5385.1,5385.1,5345.2,5358.0,1081.0
RECKITTBEN,2022-03-31,5419.0,5419.0,5349.1,5388.4,1919.0
RECKITTBEN,2022-04-04,5280.7,5281.0,5280.7,5280.7,604.0
RECKITTBEN,2022-04-05,5201.0,5245.0,5175.1,5196.2,1467.0
RECKITTBEN,2022-04-06,5196.2,5245.0,5196.2,5229.6,141.0
RECKITTBEN,2022-04-07,5229.6,5229.6,5170.0,5179.3,298.0
RECKITTBEN,2022-04-10,5142.0,5340.0,5142.0,5245.7,205.0
RECKITTBEN,2022-04-11,5275.0,5295.0,5250.0,5284.6,399.0
RECKITTBEN,2022-04-12,5300.0,5300.0,5235.0,5255.9,556.0
RECKITTBEN,2022-04-13,5220.6,5298.0,5220.0,5233.3,359.0
RECKITTBEN,2022-04-17,5230.0,5275.0,5203.0,5208.4,601.0
RECKITTBEN,2022-04-18,5205.0,5205.0,5110.0,5131.1,385.0
RECKITTBEN,2022-04-19,5110.1,5200.0,5101.0,5135.0,334.0
RECKITTBEN,2022-04-20,5200.0,5201.0,5145.0,5150.3,349.0
RECKITTBEN,2022-04-21,5150.5,5184.5,5140.0,5164.5,1728.0
RECKITTBEN,2022-04-24,5164.5,5220.0,5164.5,5201.2,520.0
RECKITTBEN,2022-04-25,5205.0,5205.0,5154.0,5160.4,667.0
RECKITTBEN,2022-04-26,5197.5,5209.4,5175.1,5196.5,432.0
RECKITTBEN,2022-04-27,5200.0,5234.9,5100.0,5112.0,1166.0
RECKITTBEN,2022-04-28,5050.0,5063.0,4865.0,4871.3,2805.0
RECKITTBEN,2022-05-05,4871.3,5079.0,4871.3,4994.7,1126.0
RECKITTBEN,2022-05-08,4999.0,5080.0,4952.0,5037.4,903.0
RECKITTBEN,2022-05-09,5037.4,5070.0,5011.2,5032.4,622.0
RECKITTBEN,2022-05-10,5001.1,5060.0,5001.0,5026.5,453.0
RECKITTBEN,2022-05-11,5045.0,5050.0,4978.0,5000.5,567.0
RECKITTBEN,2022-05-12,4881.0,5015.0,4881.0,4999.5,251.0
RECKITTBEN,2022-05-16,4903.0,4980.0,4870.0,4875.5,650.0
RECKITTBEN,2022-05-17,4899.0,4899.0,4840.0,4872.3,354.0
RECKITTBEN,2022-05-18,4920.0,4920.0,4830.0,4836.4,438.0
RECKITTBEN,2022-05-19,4836.4,4850.0,4790.0,4806.0,471.0
RECKITTBEN,2022-05-22,4786.0,4786.0,4565.7,4698.9,659.0
RECKITTBEN,2022-05-23,4705.0,4749.0,4670.0,4673.5,667.0
RECKITTBEN,2022-05-24,4680.0,4729.0,4651.0,4708.6,200.0
RECKITTBEN,2022-05-25,4830.0,4830.0,4670.1,4692.2,151.0
RECKITTBEN,2022-05-26,4699.9,4707.0,4698.7,4701.6,230.0
RECKITTBEN,2022-05-29,4712.0,4750.0,4699.0,4720.6,297.0
RECKITTBEN,2022-05-30,4705.2,4750.0,4705.1,4707.0,241.0
RECKITTBEN,2022-05-31,4709.1,4709.9,4686.0,4695.9,90.0
RECKITTBEN,2022-06-01,4759.0,4759.0,4696.1,4707.6,432.0
RECKITTBEN,2022-06-02,4727.6,4799.1,4715.5,4765.9,660.0
RECKITTBEN,2022-06-05,4917.0,4930.0,4833.0,4913.9,589.0
RECKITTBEN,2022-06-06,4988.5,4988.5,4921.0,4922.4,582.0
RECKITTBEN,2022-06-07,4881.0,4900.0,4832.2,4832.6,304.0
RECKITTBEN,2022-06-08,4830.0,4900.0,4830.0,4878.6,67.0
RECKITTBEN,2022-06-09,4919.0,4920.0,4855.3,4891.6,293.0
RECKITTBEN,2022-06-12,4801.0,4961.0,4801.0,4867.5,239.0
RECKITTBEN,2022-06-13,4870.0,4870.0,4790.0,4795.5,312.0
RECKITTBEN,2022-06-14,4850.0,4850.0,4760.1,4768.2,304.0
RECKITTBEN,2022-06-15,4780.0,4780.0,4734.0,4741.5,335.0
RECKITTBEN,2022-06-16,4819.0,4900.0,4751.3,4821.3,141.0
RECKITTBEN,2022-06-19,4821.3,4898.0,4756.0,4845.8,200.0
RECKITTBEN,2022-06-20,4845.0,4895.0,4773.0,4778.5,413.0
RECKITTBEN,2022-06-21,4780.0,4840.0,4750.0,4754.1,218.0
RECKITTBEN,2022-06-22,4775.0,4800.0,4725.0,4748.8,452.0
RECKITTBEN,2022-06-23,4736.1,4834.1,4736.0,4770.7,202.0
RECKITTBEN,2022-06-26,4840.0,4855.0,4770.0,4819.7,1007.0
RECKITTBEN,2022-06-27,4819.7,4869.0,4806.0,4837.6,836.0
RECKITTBEN,2022-06-28,4830.9,4880.0,4805.1,4829.0,400.0
RECKITTBEN,2022-06-29,4900.0,4900.0,4811.5,4830.1,433.0
RECKITTBEN,2022-06-30,4830.1,4890.1,4781.0,4868.5,485.0
RECKITTBEN,2022-07-03,4861.0,4861.0,4805.0,4806.2,184.0
RECKITTBEN,2022-07-04,4850.0,4870.0,4820.0,4835.6,138.0
RECKITTBEN,2022-07-05,4821.0,4821.0,4781.2,4785.9,385.0
RECKITTBEN,2022-07-06,4784.0,4896.9,4738.0,4792.1,65.0
RECKITTBEN,2022-07-07,4772.0,4849.0,4772.0,4819.0,98.0
RECKITTBEN,2022-07-12,4819.0,4851.0,4810.0,4847.5,184.0
RECKITTBEN,2022-07-13,4850.0,4886.5,4810.0,4862.7,512.0
RECKITTBEN,2022-07-14,4898.0,4919.0,4851.0,4887.9,271.0
RECKITTBEN,2022-07-17,4863.0,4925.0,4860.0,4867.0,127.0
RECKITTBEN,2022-07-18,4867.0,4873.0,4777.0,4794.0,454.0
RECKITTBEN,2022-07-19,4756.0,4800.0,4740.0,4780.0,470.0
RECKITTBEN,2022-07-20,4750.1,4772.3,4750.1,4771.4,206.0
RECKITTBEN,2022-07-21,4785.0,4848.0,4782.0,4801.1,126.0
RECKITTBEN,2022-07-24,4841.0,4855.0,4760.0,4770.0,325.0
RECKITTBEN,2022-07-25,4775.0,4775.0,4720.0,4743.0,697.0
RECKITTBEN,2022-07-26,4830.0,4847.7,4755.0,4782.6,226.0
RECKITTBEN,2022-07-27,4769.0,4839.9,4757.0,4762.2,562.0
RECKITTBEN,2022-07-28,4755.0,4755.1,4731.0,4745.7,486.0
RECKITTBEN,2022-07-31,4804.0,4805.0,4769.2,4796.1,212.0
RECKITTBEN,2022-08-01,4766.0,4834.0,4766.0,4811.0,270.0
RECKITTBEN,2022-08-02,4811.0,4830.0,4810.0,4814.1,128.0
RECKITTBEN,2022-08-03,4881.5,4900.0,4820.0,4892.3,599.0
RECKITTBEN,2022-08-04,4891.0,4920.0,4834.0,4862.4,187.0
RECKITTBEN,2022-08-07,4831.0,4899.0,4831.0,4897.3,105.0
RECKITTBEN,2022-08-08,4851.0,4934.0,4850.4,4856.2,216.0
RECKITTBEN,2022-08-10,4856.2,4856.2,4840.1,4850.4,146.0
RECKITTBEN,2022-08-11,4850.3,4879.9,4827.0,4851.8,246.0
RECKITTBEN,2022-08-14,4850.0,4850.0,4809.0,4813.8,316.0
RECKITTBEN,2022-08-16,4869.9,4895.0,4835.0,4870.0,158.0
RECKITTBEN,2022-08-17,4919.0,4920.0,4857.0,4869.5,364.0
RECKITTBEN,2022-08-21,4895.0,4895.0,4831.0,4852.0,102.0
RECKITTBEN,2022-08-22,4855.0,4890.0,4840.0,4852.0,75.0
RECKITTBEN,2022-08-23,4848.0,4860.0,4841.0,4844.7,438.0
