symbol,date,open,high,low,close,volume
REGENTTEX,2022-01-02,9.8,10.1,9.8,10.0,201774.0
REGENTTEX,2022-01-03,10.1,10.5,10.1,10.2,206256.0
REGENTTEX,2022-01-04,10.4,10.4,10.0,10.1,137104.0
REGENTTEX,2022-01-05,10.1,10.5,10.1,10.4,316684.0
REGENTTEX,2022-01-06,10.6,10.7,10.3,10.3,433138.0
REGENTTEX,2022-01-09,10.4,10.5,10.0,10.1,231290.0
REGENTTEX,2022-01-10,10.3,10.3,10.0,10.1,163939.0
REGENTTEX,2022-01-11,10.2,10.3,9.9,10.0,723439.0
REGENTTEX,2022-01-12,10.0,10.2,9.9,10.0,611961.0
REGENTTEX,2022-01-13,10.3,10.3,9.9,10.0,133642.0
REGENTTEX,2022-01-16,10.0,10.3,10.0,10.1,291434.0
REGENTTEX,2022-01-17,10.1,10.3,10.0,10.1,407995.0
REGENTTEX,2022-01-18,10.1,10.4,10.0,10.1,414055.0
REGENTTEX,2022-01-19,10.3,10.4,10.1,10.3,492425.0
REGENTTEX,2022-01-20,10.4,10.6,10.3,10.4,635110.0
REGENTTEX,2022-01-23,10.5,10.5,10.1,10.1,343588.0
REGENTTEX,2022-01-24,10.0,10.1,9.7,9.9,340932.0
REGENTTEX,2022-01-25,10.0,10.3,9.7,9.9,353741.0
REGENTTEX,2022-01-26,10.0,10.0,9.9,10.0,164196.0
REGENTTEX,2022-01-27,10.0,10.1,9.8,10.0,470754.0
REGENTTEX,2022-01-30,10.2,10.3,9.6,9.8,417039.0
REGENTTEX,2022-01-31,9.9,9.9,9.7,9.8,162965.0
REGENTTEX,2022-02-01,10.0,10.0,9.8,9.9,229279.0
REGENTTEX,2022-02-02,10.1,10.3,10.0,10.2,658460.0
REGENTTEX,2022-02-03,10.3,10.3,10.0,10.0,217331.0
REGENTTEX,2022-02-06,9.9,10.2,9.9,10.0,123436.0
REGENTTEX,2022-02-07,10.2,10.3,9.9,10.0,391385.0
REGENTTEX,2022-02-08,10.2,10.2,9.9,10.0,271517.0
REGENTTEX,2022-02-09,10.1,10.4,10.1,10.3,682996.0
REGENTTEX,2022-02-10,10.3,10.4,10.2,10.3,163548.0
REGENTTEX,2022-02-13,10.3,10.9,10.3,10.7,898501.0
REGENTTEX,2022-02-14,10.6,10.7,10.4,10.5,420471.0
REGENTTEX,2022-02-15,10.4,10.4,10.2,10.2,488988.0
REGENTTEX,2022-02-16,10.2,10.5,10.2,10.3,221759.0
REGENTTEX,2022-02-17,10.3,10.4,10.0,10.1,285714.0
