symbol,date,open,high,low,close,volume
RELIANCINS,2022-01-02,88.0,90.8,85.4,89.5,45313.0
RELIANCINS,2022-01-03,89.5,90.6,87.6,89.0,40056.0
RELIANCINS,2022-01-04,89.3,90.2,88.4,88.6,32787.0
RELIANCINS,2022-01-05,90.3,90.3,87.2,87.6,48042.0
RELIANCINS,2022-01-06,89.6,89.6,86.8,87.4,44133.0
RELIANCINS,2022-01-09,87.2,89.3,86.2,86.4,46135.0
RELIANCINS,2022-01-10,87.9,87.9,84.6,85.3,27258.0
RELIANCINS,2022-01-11,87.8,87.8,84.6,86.5,48759.0
RELIANCINS,2022-01-12,86.9,87.7,85.0,85.3,54368.0
RELIANCINS,2022-01-13,85.2,86.3,84.6,85.0,13309.0
RELIANCINS,2022-01-16,85.9,85.9,83.0,84.0,65564.0
RELIANCINS,2022-01-17,84.0,85.9,84.0,84.9,21707.0
RELIANCINS,2022-01-18,86.0,86.0,84.7,85.0,35151.0
RELIANCINS,2022-01-19,85.8,86.4,83.1,83.7,73866.0
RELIANCINS,2022-01-20,86.2,86.6,84.2,84.6,50754.0
RELIANCINS,2022-01-23,87.0,87.7,85.1,86.4,58691.0
RELIANCINS,2022-01-24,87.5,87.5,84.5,84.7,42437.0
RELIANCINS,2022-01-25,85.7,86.9,84.0,84.7,44971.0
RELIANCINS,2022-01-26,86.7,86.7,84.2,85.0,21218.0
RELIANCINS,2022-01-27,86.5,86.6,82.5,82.9,86219.0
RELIANCINS,2022-01-30,83.0,86.0,82.9,83.6,39458.0
RELIANCINS,2022-01-31,85.3,85.4,83.7,84.0,36656.0
RELIANCINS,2022-02-01,84.0,84.0,82.5,83.1,30721.0
RELIANCINS,2022-02-02,84.8,85.5,83.4,84.8,24540.0
RELIANCINS,2022-02-03,85.0,85.9,84.5,85.4,43367.0
RELIANCINS,2022-02-06,86.5,93.9,86.5,93.9,362778.0
RELIANCINS,2022-02-07,96.9,98.4,93.1,97.6,564288.0
RELIANCINS,2022-02-08,98.0,98.0,94.5,96.0,228000.0
RELIANCINS,2022-02-09,96.0,96.0,93.8,94.0,140575.0
RELIANCINS,2022-02-10,95.7,97.4,93.5,96.7,190045.0
RELIANCINS,2022-02-13,96.8,98.5,94.0,95.8,245246.0
RELIANCINS,2022-02-14,98.0,98.0,89.2,90.0,353196.0
RELIANCINS,2022-02-15,91.0,91.0,85.0,86.4,76900.0
RELIANCINS,2022-02-16,86.4,88.0,83.1,85.2,63570.0
RELIANCINS,2022-02-17,87.0,87.0,82.0,82.6,69914.0
RELIANCINS,2022-02-20,83.6,83.6,80.0,80.9,55343.0
RELIANCINS,2022-02-22,82.8,82.8,80.2,81.2,38896.0
RELIANCINS,2022-02-23,81.2,82.5,81.0,81.8,69470.0
RELIANCINS,2022-02-24,82.8,82.8,76.1,78.4,53048.0
RELIANCINS,2022-02-27,82.6,82.6,74.2,74.5,57153.0
RELIANCINS,2022-02-28,77.7,77.9,75.5,75.8,47587.0
RELIANCINS,2022-03-01,77.0,79.7,77.0,77.3,57327.0
RELIANCINS,2022-03-02,77.5,77.9,76.4,77.6,31391.0
RELIANCINS,2022-03-03,77.5,78.0,75.8,76.6,44872.0
RELIANCINS,2022-03-06,77.9,77.9,74.7,75.6,56855.0
RELIANCINS,2022-03-08,70.1,72.4,68.7,70.9,100210.0
RELIANCINS,2022-03-09,73.7,75.7,70.4,74.0,47888.0
RELIANCINS,2022-03-10,75.0,76.9,73.2,73.8,106301.0
RELIANCINS,2022-03-13,74.7,74.7,72.4,72.6,35386.0
RELIANCINS,2022-03-14,74.8,74.8,72.0,72.2,33611.0
RELIANCINS,2022-03-15,74.8,74.8,70.8,71.3,80160.0
RELIANCINS,2022-03-16,70.2,74.0,69.9,70.1,80526.0
RELIANCINS,2022-03-20,69.8,70.0,68.7,68.7,37470.0
RELIANCINS,2022-03-21,67.5,69.6,67.4,69.0,26832.0
RELIANCINS,2022-03-22,70.3,70.3,68.5,68.9,9570.0
RELIANCINS,2022-03-23,69.0,70.8,69.0,69.1,24706.0
RELIANCINS,2022-03-24,70.1,71.5,69.6,70.3,47433.0
RELIANCINS,2022-03-27,69.1,70.2,69.0,69.3,24544.0
RELIANCINS,2022-03-28,70.0,72.5,70.0,70.4,59875.0
RELIANCINS,2022-03-29,71.9,71.9,69.9,70.5,10523.0
RELIANCINS,2022-03-30,71.9,73.4,71.1,72.6,103100.0
