symbol,date,open,high,low,close,volume
RENWICKJA,2022-01-02,1120.0,1130.0,1080.0,1097.6,413.0
RENWICKJA,2022-01-03,1070.1,1100.0,1051.1,1056.4,1473.0
RENWICKJA,2022-01-04,1080.0,1091.0,1045.0,1049.6,862.0
RENWICKJA,2022-01-05,1060.0,1080.0,1029.7,1037.8,1416.0
RENWICKJA,2022-01-06,1036.0,1036.0,1005.0,1010.3,1905.0
RENWICKJA,2022-01-09,1048.9,1049.0,1015.7,1015.7,499.0
RENWICKJA,2022-01-10,1044.9,1050.0,1001.1,1013.6,555.0
RENWICKJA,2022-01-11,1013.6,1076.9,1013.6,1076.9,3411.0
RENWICKJA,2022-01-12,1115.0,1130.0,1017.2,1034.3,2111.0
RENWICKJA,2022-01-13,1086.0,1086.0,1035.0,1050.9,818.0
RENWICKJA,2022-01-16,1050.9,1089.5,1050.9,1088.5,1063.0
RENWICKJA,2022-01-17,1082.8,1150.0,1060.0,1147.7,5115.0
RENWICKJA,2022-01-18,1121.0,1185.0,1120.0,1149.1,1407.0
RENWICKJA,2022-01-19,1160.0,1160.0,1078.7,1081.1,2983.0
RENWICKJA,2022-01-20,1138.5,1138.5,1053.1,1054.7,2140.0
RENWICKJA,2022-01-23,1046.1,1076.0,1046.0,1049.7,1372.0
RENWICKJA,2022-01-24,1080.0,1080.0,1040.0,1048.6,717.0
RENWICKJA,2022-01-25,1068.8,1068.8,1048.1,1049.5,927.0
RENWICKJA,2022-01-26,1059.0,1059.0,1042.4,1045.1,651.0
RENWICKJA,2022-01-27,1040.1,1055.0,1035.2,1039.9,722.0
RENWICKJA,2022-01-30,1031.0,1031.0,1000.1,1005.4,1474.0
RENWICKJA,2022-01-31,1005.4,1030.0,1000.0,1004.5,1538.0
RENWICKJA,2022-02-01,1000.1,1019.9,1000.1,1008.8,806.0
RENWICKJA,2022-02-02,1008.8,1071.8,1008.8,1064.9,1950.0
RENWICKJA,2022-02-03,1030.0,1109.9,1030.0,1101.6,10601.0
RENWICKJA,2022-02-06,1110.0,1142.0,1060.2,1099.3,6452.0
RENWICKJA,2022-02-07,1090.0,1113.0,1065.5,1093.6,1310.0
RENWICKJA,2022-02-08,1080.0,1098.6,1050.0,1056.0,979.0
RENWICKJA,2022-02-09,1080.0,1090.0,1054.0,1066.2,2628.0
RENWICKJA,2022-02-10,1056.2,1095.0,1052.4,1083.1,1134.0
RENWICKJA,2022-02-13,1110.0,1118.7,1100.0,1104.5,2502.0
RENWICKJA,2022-02-14,1108.0,1108.0,1060.0,1064.9,318.0
RENWICKJA,2022-02-15,1064.9,1098.5,1056.0,1058.9,587.0
RENWICKJA,2022-02-16,1060.1,1089.7,1000.0,1033.2,2320.0
RENWICKJA,2022-02-17,1040.1,1065.0,1035.0,1039.8,1206.0
RENWICKJA,2022-02-20,1040.0,1090.0,1040.0,1071.6,218.0
RENWICKJA,2022-02-22,1087.0,1111.6,1058.0,1085.1,2731.0
RENWICKJA,2022-02-23,1105.0,1105.0,1080.0,1089.4,376.0
RENWICKJA,2022-02-24,1102.0,1102.0,1052.0,1054.8,594.0
RENWICKJA,2022-02-27,1005.0,1016.2,1005.0,1014.3,525.0
RENWICKJA,2022-02-28,1005.0,1050.0,1000.3,1025.0,1467.0
RENWICKJA,2022-03-01,1025.0,1031.0,1025.0,1028.3,339.0
RENWICKJA,2022-03-02,1013.0,1030.0,1013.0,1025.5,82.0
RENWICKJA,2022-03-03,1025.6,1088.0,1025.0,1068.6,742.0
RENWICKJA,2022-03-06,1040.0,1051.0,1040.0,1045.2,141.0
RENWICKJA,2022-03-07,1015.0,1030.0,1010.0,1025.6,1527.0
RENWICKJA,2022-03-08,1007.0,1048.9,1007.0,1033.9,396.0
RENWICKJA,2022-03-09,1078.3,1078.4,1036.3,1057.0,696.0
RENWICKJA,2022-03-10,1089.0,1089.0,1036.3,1036.3,1512.0
RENWICKJA,2022-03-13,1036.2,1036.3,1020.0,1035.5,890.0
RENWICKJA,2022-03-14,1025.0,1035.0,1017.0,1030.3,1897.0
RENWICKJA,2022-03-15,1015.1,1044.9,1010.0,1012.4,1614.0
RENWICKJA,2022-03-16,1012.4,1035.0,1002.0,1006.2,802.0
RENWICKJA,2022-03-20,1001.1,1001.2,990.0,992.7,1414.0
RENWICKJA,2022-03-21,980.0,1007.9,980.0,988.2,293.0
RENWICKJA,2022-03-22,982.3,1020.0,982.3,1016.2,706.0
RENWICKJA,2022-03-23,1024.0,1025.2,1020.0,1024.2,140.0
RENWICKJA,2022-03-24,1011.0,1020.0,1010.0,1011.9,200.0
RENWICKJA,2022-03-27,1018.5,1018.5,997.0,1009.5,290.0
RENWICKJA,2022-03-28,1009.0,1009.0,995.6,998.8,1051.0
RENWICKJA,2022-03-29,999.0,999.0,997.3,998.4,520.0
RENWICKJA,2022-03-30,1000.1,1000.1,991.0,995.6,638.0
RENWICKJA,2022-03-31,1043.9,1043.9,997.5,1017.1,670.0
RENWICKJA,2022-04-03,1001.1,1015.0,998.0,999.7,730.0
RENWICKJA,2022-04-04,999.7,999.7,979.8,981.3,1117.0
RENWICKJA,2022-04-05,970.1,970.7,970.1,970.6,5.0
RENWICKJA,2022-04-06,980.2,980.4,962.0,968.7,455.0
RENWICKJA,2022-04-07,968.7,985.5,950.0,956.7,425.0
RENWICKJA,2022-04-10,956.7,999.0,951.0,996.1,109.0
RENWICKJA,2022-04-11,990.0,998.8,976.2,976.2,339.0
RENWICKJA,2022-04-12,976.2,976.2,960.0,960.3,356.0
RENWICKJA,2022-04-13,990.0,990.0,990.0,990.0,1.0
RENWICKJA,2022-04-17,970.2,970.3,970.2,970.2,549.0
RENWICKJA,2022-04-18,955.1,955.2,950.8,950.8,857.0
RENWICKJA,2022-04-19,931.8,934.1,931.8,933.4,897.0
RENWICKJA,2022-04-20,937.4,937.4,937.4,937.4,2.0
RENWICKJA,2022-04-21,895.0,948.8,892.0,937.1,258.0
RENWICKJA,2022-04-24,970.0,970.0,935.0,936.9,20.0
RENWICKJA,2022-04-25,939.0,959.0,939.0,955.1,522.0
RENWICKJA,2022-04-26,950.0,963.7,936.0,949.5,1330.0
RENWICKJA,2022-04-27,923.0,970.0,923.0,960.9,90.0
RENWICKJA,2022-04-28,942.1,942.1,940.1,940.8,138.0
RENWICKJA,2022-05-05,925.0,992.9,925.0,957.9,31.0
RENWICKJA,2022-05-08,956.9,956.9,927.0,932.9,990.0
RENWICKJA,2022-05-09,936.0,940.0,932.3,932.7,1590.0
RENWICKJA,2022-05-10,932.1,935.0,925.0,930.7,991.0
RENWICKJA,2022-05-11,969.2,969.2,920.0,921.4,1087.0
RENWICKJA,2022-05-12,928.0,950.0,922.1,937.4,1606.0
RENWICKJA,2022-05-16,925.0,925.0,900.2,902.3,399.0
RENWICKJA,2022-05-17,902.1,902.1,857.4,858.5,1878.0
RENWICKJA,2022-05-18,874.9,874.9,833.5,834.7,35.0
RENWICKJA,2022-05-19,806.0,858.9,805.0,829.2,216.0
RENWICKJA,2022-05-22,850.0,850.0,811.0,829.1,70.0
RENWICKJA,2022-05-23,869.0,880.0,869.0,876.8,1260.0
RENWICKJA,2022-05-24,896.0,896.0,875.0,879.6,237.0
RENWICKJA,2022-05-25,836.0,879.6,836.0,877.4,349.0
RENWICKJA,2022-05-26,898.6,940.0,888.4,930.7,1427.0
RENWICKJA,2022-05-29,930.8,950.0,930.8,945.0,190.0
RENWICKJA,2022-05-30,932.0,950.0,928.0,929.8,273.0
RENWICKJA,2022-05-31,912.3,944.6,912.3,944.1,2926.0
RENWICKJA,2022-06-01,951.0,970.0,940.0,957.0,755.0
RENWICKJA,2022-06-02,980.0,980.0,945.0,957.5,494.0
RENWICKJA,2022-06-05,974.0,974.0,941.2,954.6,673.0
RENWICKJA,2022-06-06,974.0,1026.2,974.0,1026.2,7211.0
RENWICKJA,2022-06-07,1079.0,1090.3,1059.9,1090.3,10528.0
RENWICKJA,2022-06-08,1127.9,1158.4,1068.5,1149.3,11982.0
RENWICKJA,2022-06-09,1169.0,1169.0,1126.4,1127.0,1269.0
RENWICKJA,2022-06-12,1105.0,1105.0,1104.5,1104.6,382.0
RENWICKJA,2022-06-13,1082.6,1085.0,1082.6,1082.7,3060.0
RENWICKJA,2022-06-14,1061.1,1065.0,1061.1,1061.1,477.0
RENWICKJA,2022-06-15,1040.2,1052.0,1039.9,1039.9,1030.0
RENWICKJA,2022-06-16,1095.0,1095.0,1020.0,1025.1,673.0
RENWICKJA,2022-06-19,1006.0,1024.0,1005.0,1005.6,851.0
RENWICKJA,2022-06-20,1010.0,1047.0,986.0,987.0,3176.0
RENWICKJA,2022-06-21,1022.0,1022.0,985.0,991.0,1048.0
RENWICKJA,2022-06-22,991.0,1023.5,980.0,988.4,519.0
RENWICKJA,2022-06-23,990.0,990.0,969.0,969.9,1263.0
RENWICKJA,2022-06-26,953.1,1019.0,952.0,958.1,548.0
RENWICKJA,2022-06-27,940.0,985.0,939.1,964.2,318.0
RENWICKJA,2022-06-28,985.0,985.0,965.5,966.7,276.0
RENWICKJA,2022-06-29,971.5,1039.2,971.5,1039.2,4905.0
RENWICKJA,2022-06-30,1065.3,1069.9,1019.0,1040.9,1245.0
RENWICKJA,2022-07-03,1049.9,1049.9,1031.0,1032.5,903.0
RENWICKJA,2022-07-04,1025.0,1082.0,1022.6,1067.4,6732.0
RENWICKJA,2022-07-05,1070.0,1120.0,1060.0,1078.0,3597.0
RENWICKJA,2022-07-06,1083.7,1083.7,1057.0,1057.0,1001.0
RENWICKJA,2022-07-07,1088.0,1088.8,1036.4,1044.1,474.0
RENWICKJA,2022-07-12,1036.0,1040.0,1025.2,1029.5,340.0
RENWICKJA,2022-07-13,1034.0,1064.0,1030.0,1037.9,804.0
RENWICKJA,2022-07-14,1049.0,1102.7,1049.0,1082.7,3989.0
RENWICKJA,2022-07-17,1088.0,1088.0,1070.0,1081.6,2192.0
RENWICKJA,2022-07-18,1069.0,1071.0,1060.0,1062.9,568.0
RENWICKJA,2022-07-19,1062.9,1088.0,1041.7,1041.8,373.0
RENWICKJA,2022-07-20,1041.8,1041.8,1021.0,1021.0,604.0
RENWICKJA,2022-07-21,1005.0,1008.7,1005.0,1008.1,441.0
RENWICKJA,2022-07-24,1000.2,1011.1,990.0,999.7,662.0
RENWICKJA,2022-07-25,985.1,1014.0,985.0,1000.7,479.0
RENWICKJA,2022-07-26,1014.0,1020.0,980.7,982.7,1100.0
RENWICKJA,2022-07-27,972.1,984.0,963.1,963.6,529.0
RENWICKJA,2022-07-28,950.1,961.0,944.4,945.2,1072.0
RENWICKJA,2022-07-31,978.9,987.9,978.3,978.8,1176.0
RENWICKJA,2022-08-01,978.8,999.9,978.4,984.6,318.0
RENWICKJA,2022-08-02,999.9,1015.0,980.1,1000.3,772.0
RENWICKJA,2022-08-03,1011.0,1055.9,988.1,1004.0,905.0
RENWICKJA,2022-08-04,990.3,1000.0,990.1,993.1,252.0
RENWICKJA,2022-08-07,1000.0,1000.0,980.1,981.8,210.0
RENWICKJA,2022-08-08,985.5,988.0,985.5,986.7,153.0
RENWICKJA,2022-08-10,986.0,986.0,981.1,981.5,695.0
RENWICKJA,2022-08-11,978.4,982.0,978.4,980.7,65.0
RENWICKJA,2022-08-14,997.9,1000.0,987.1,999.5,367.0
RENWICKJA,2022-08-16,1000.0,1015.0,987.1,995.7,219.0
RENWICKJA,2022-08-17,987.0,988.3,987.0,988.2,511.0
RENWICKJA,2022-08-21,986.7,990.0,986.3,986.9,808.0
RENWICKJA,2022-08-22,990.0,1004.0,987.5,1003.9,316.0
RENWICKJA,2022-08-23,1003.0,1003.9,993.1,993.5,349.0
RENWICKJA,2022-08-24,1000.0,1000.0,980.6,986.6,170.0
RENWICKJA,2022-08-25,990.0,990.0,982.0,986.1,403.0
RENWICKJA,2022-08-28,986.2,990.0,986.1,986.9,1140.0
RENWICKJA,2022-08-29,988.0,997.0,985.1,990.4,405.0
RENWICKJA,2022-08-30,986.1,1008.8,980.0,981.4,1704.0
RENWICKJA,2022-08-31,985.2,986.0,978.3,978.3,913.0
RENWICKJA,2022-09-01,979.4,1019.7,978.3,986.6,1295.0
RENWICKJA,2022-09-04,990.0,1023.0,990.0,1006.0,2203.0
RENWICKJA,2022-09-05,1009.0,1009.0,981.0,981.5,751.0
RENWICKJA,2022-09-06,982.0,995.0,978.3,979.4,2317.0
RENWICKJA,2022-09-07,980.1,993.0,978.3,978.7,1075.0
RENWICKJA,2022-09-08,978.5,978.5,978.3,978.3,813.0
RENWICKJA,2022-09-11,978.3,978.3,978.3,978.3,361.0
RENWICKJA,2022-09-12,978.3,978.3,978.3,978.3,124.0
RENWICKJA,2022-09-13,978.3,978.5,978.3,978.3,345.0
RENWICKJA,2022-09-14,980.0,999.0,978.3,993.1,675.0
RENWICKJA,2022-09-15,990.1,998.0,978.3,979.1,1925.0
RENWICKJA,2022-09-18,985.0,1003.0,978.4,986.0,2266.0
RENWICKJA,2022-09-19,1000.0,1004.0,978.3,978.3,4266.0
RENWICKJA,2022-09-20,999.0,1000.0,978.3,978.4,5028.0
RENWICKJA,2022-09-21,980.0,998.8,978.3,978.6,677.0
RENWICKJA,2022-09-22,978.3,978.3,978.3,978.3,358.0
RENWICKJA,2022-09-25,978.4,978.4,978.3,978.3,310.0
RENWICKJA,2022-09-26,978.3,978.3,978.3,978.3,169.0
RENWICKJA,2022-09-27,978.3,978.3,978.3,978.3,35.0
RENWICKJA,2022-09-28,978.3,978.3,978.3,978.3,37.0
RENWICKJA,2022-09-29,978.3,978.3,978.3,978.3,15.0
RENWICKJA,2022-10-02,978.3,978.3,978.3,978.3,65.0
RENWICKJA,2022-10-03,978.3,978.3,978.3,978.3,33.0
RENWICKJA,2022-10-04,978.3,978.3,978.3,978.3,9.0
RENWICKJA,2022-10-06,978.3,978.3,978.3,978.3,123.0
RENWICKJA,2022-10-10,978.3,978.3,978.3,978.3,120.0
RENWICKJA,2022-10-11,978.3,978.3,978.3,978.3,67.0
RENWICKJA,2022-10-12,978.3,978.3,978.3,978.3,56.0
RENWICKJA,2022-10-13,978.3,978.3,978.3,978.3,40.0
RENWICKJA,2022-10-16,978.3,999.9,978.3,978.3,1440.0
RENWICKJA,2022-10-17,978.3,978.3,978.3,978.3,572.0
RENWICKJA,2022-10-18,978.3,988.4,978.3,979.7,2734.0
RENWICKJA,2022-10-19,978.3,995.6,978.3,978.4,548.0
RENWICKJA,2022-10-20,978.3,978.3,978.3,978.3,31.0
RENWICKJA,2022-10-23,978.3,978.3,978.3,978.3,30.0
RENWICKJA,2022-10-24,978.3,978.3,978.3,978.3,4.0
RENWICKJA,2022-10-25,978.3,978.3,978.3,978.3,80.0
RENWICKJA,2022-10-27,978.3,978.3,978.3,978.3,1770.0
RENWICKJA,2022-11-01,978.3,978.3,978.3,978.3,8.0
RENWICKJA,2022-11-02,978.3,978.3,978.3,978.3,2.0
RENWICKJA,2022-11-03,978.3,978.3,978.3,978.3,10.0
RENWICKJA,2022-11-06,978.3,978.3,978.3,978.3,22.0
RENWICKJA,2022-11-09,978.3,978.3,978.3,978.3,50.0
RENWICKJA,2022-11-10,978.3,978.3,978.3,978.3,3.0
RENWICKJA,2022-11-23,978.3,978.3,978.3,978.3,9.0
RENWICKJA,2022-12-12,978.3,978.3,978.3,978.3,10.0
RENWICKJA,2022-12-13,978.3,978.3,978.3,978.3,276.0
RENWICKJA,2022-12-15,978.3,978.3,978.3,978.3,5.0
RENWICKJA,2022-12-19,978.3,978.3,978.3,978.3,5.0
RENWICKJA,2022-12-26,974.0,974.0,974.0,974.0,10.0
RENWICKJA,2022-12-28,964.3,964.3,964.3,964.3,1.0
RENWICKJA,2022-12-29,960.0,960.0,954.7,954.8,43.0
RENWICKJA,2023-01-01,954.7,954.7,945.3,948.0,7.0
RENWICKJA,2023-01-02,938.6,938.6,938.6,938.6,3.0
RENWICKJA,2023-01-03,929.3,929.3,929.3,929.3,1.0
RENWICKJA,2023-01-04,920.1,920.1,920.1,920.1,2.0
RENWICKJA,2023-01-05,910.9,910.9,910.9,910.9,1.0
RENWICKJA,2023-01-08,901.8,901.8,901.8,901.8,13.0
RENWICKJA,2023-01-09,892.8,892.8,892.8,892.8,1.0
RENWICKJA,2023-01-10,883.9,883.9,883.9,883.9,3.0
RENWICKJA,2023-01-11,875.1,875.3,875.1,875.1,702.0
RENWICKJA,2023-01-12,875.1,875.1,866.4,866.5,105.0
RENWICKJA,2023-01-15,857.9,857.9,857.9,857.9,23.0
RENWICKJA,2023-01-16,849.4,849.4,849.4,849.4,50.0
RENWICKJA,2023-01-17,841.0,849.4,841.0,841.0,1091.0
RENWICKJA,2023-01-18,832.6,832.6,832.6,832.6,130.0
RENWICKJA,2023-01-19,832.6,832.6,824.3,825.1,53.0
RENWICKJA,2023-01-22,817.0,817.0,817.0,817.0,144.0
RENWICKJA,2023-01-23,808.9,808.9,808.9,808.9,17.0
RENWICKJA,2023-01-24,808.9,811.0,800.9,801.6,462.0
RENWICKJA,2023-01-25,801.6,801.6,793.6,794.0,114.0
RENWICKJA,2023-01-26,786.1,786.1,786.1,786.1,25.0
RENWICKJA,2023-01-29,786.0,786.1,781.0,784.6,715.0
RENWICKJA,2023-01-30,778.0,784.6,776.8,782.0,182.0
RENWICKJA,2023-01-31,776.8,776.8,774.2,775.0,138.0
RENWICKJA,2023-02-01,767.3,767.4,767.3,767.3,511.0
RENWICKJA,2023-02-02,767.3,824.8,759.7,822.0,1029.0
RENWICKJA,2023-02-05,860.0,860.0,820.0,826.8,270.0
RENWICKJA,2023-02-06,819.0,849.0,819.0,819.2,152.0
RENWICKJA,2023-02-07,820.1,820.1,811.1,811.1,203.0
RENWICKJA,2023-02-08,803.0,839.0,803.0,817.5,81.0
RENWICKJA,2023-02-09,810.0,825.0,809.4,809.8,305.0
RENWICKJA,2023-02-12,819.0,825.0,801.8,805.0,349.0
RENWICKJA,2023-02-13,800.0,800.0,797.0,797.8,114.0
RENWICKJA,2023-02-14,797.8,797.8,790.8,792.2,100.0
RENWICKJA,2023-02-15,790.8,790.8,784.5,784.8,115.0
RENWICKJA,2023-02-16,784.5,784.5,777.0,778.7,347.0
RENWICKJA,2023-02-19,790.0,790.0,788.9,789.1,5.0
RENWICKJA,2023-02-20,788.9,788.9,781.8,782.5,64.0
RENWICKJA,2023-02-22,781.8,781.8,774.7,775.1,82.0
RENWICKJA,2023-02-23,768.0,768.0,767.4,767.5,23.0
RENWICKJA,2023-02-26,759.9,759.9,759.9,759.9,249.0
RENWICKJA,2023-02-27,752.4,752.4,752.4,752.4,1227.0
RENWICKJA,2023-02-28,752.4,752.4,744.9,745.1,377.0
RENWICKJA,2023-03-01,738.0,750.0,738.0,743.0,58.0
RENWICKJA,2023-03-01,738.0,750.0,738.0,743.0,58.0
RENWICKJA,2023-03-02,750.6,754.0,750.1,750.1,550.0
RENWICKJA,2023-03-05,750.1,789.0,750.1,755.3,907.0
RENWICKJA,2023-03-06,755.1,756.6,750.1,751.0,1995.0
RENWICKJA,2023-03-07,789.9,789.9,750.1,755.8,169.0
RENWICKJA,2023-03-09,751.0,753.0,750.2,750.4,423.0
RENWICKJA,2023-03-12,761.5,785.0,761.5,781.9,10046.0
RENWICKJA,2023-03-13,779.8,799.9,779.5,783.1,1555.0
RENWICKJA,2023-03-14,780.0,800.0,750.1,750.1,4810.0
RENWICKJA,2023-03-15,753.0,753.0,750.1,750.4,135.0
RENWICKJA,2023-03-16,750.1,750.2,750.1,750.1,1467.0
RENWICKJA,2023-03-19,750.2,750.2,750.1,750.1,88.0
RENWICKJA,2023-03-20,767.6,767.6,750.1,765.8,9380.0
RENWICKJA,2023-03-21,777.4,777.9,750.1,750.1,1829.0
RENWICKJA,2023-03-22,773.5,773.5,750.1,750.2,545.0
RENWICKJA,2023-03-23,750.2,750.2,750.1,750.1,67.0
RENWICKJA,2023-03-27,750.1,750.1,750.1,750.1,14.0
RENWICKJA,2023-03-29,750.1,770.0,750.1,750.7,535.0
RENWICKJA,2023-03-30,750.3,769.2,750.1,754.3,2915.0
RENWICKJA,2023-04-02,751.1,752.0,750.1,750.2,607.0
RENWICKJA,2023-04-03,750.1,751.0,750.1,750.1,576.0
RENWICKJA,2023-04-04,750.1,768.0,750.1,751.0,702.0
RENWICKJA,2023-04-05,760.0,760.0,750.1,751.3,635.0
RENWICKJA,2023-04-06,750.3,751.7,750.3,750.7,349.0
RENWICKJA,2023-04-09,760.0,777.0,752.1,754.6,1004.0
RENWICKJA,2023-04-10,752.0,752.0,750.1,750.1,1293.0
RENWICKJA,2023-04-12,750.1,750.1,750.1,750.1,31.0
RENWICKJA,2023-04-13,750.1,750.1,750.1,750.1,5.0
RENWICKJA,2023-04-16,798.9,798.9,750.1,750.6,438.0
RENWICKJA,2023-04-17,750.5,750.5,750.1,750.4,37.0
RENWICKJA,2023-04-18,750.4,764.9,750.4,751.3,1473.0
RENWICKJA,2023-04-24,754.5,754.5,750.1,750.3,450.0
RENWICKJA,2023-04-24,754.5,754.5,750.1,750.3,450.0
RENWICKJA,2023-04-25,754.5,760.0,750.1,750.1,2060.0
RENWICKJA,2023-04-25,754.5,760.0,750.1,750.1,2060.0
RENWICKJA,2023-04-26,750.4,750.4,750.1,750.2,137.0
RENWICKJA,2023-04-26,750.4,750.4,750.1,750.2,137.0
RENWICKJA,2023-04-27,750.1,754.1,750.1,753.8,2005.0
RENWICKJA,2023-04-27,750.1,754.1,750.1,753.8,2005.0
RENWICKJA,2023-04-30,754.0,790.0,750.1,750.1,2903.0
RENWICKJA,2023-04-30,754.0,790.0,750.1,750.1,2903.0
RENWICKJA,2023-05-02,751.1,760.0,750.1,750.3,991.0
RENWICKJA,2023-05-03,750.3,751.0,750.1,750.1,2470.0
RENWICKJA,2023-05-07,750.1,750.1,750.1,750.1,589.0
RENWICKJA,2023-05-08,750.1,750.1,750.1,750.1,151.0
RENWICKJA,2023-05-09,750.1,756.0,750.1,750.3,516.0
RENWICKJA,2023-05-10,750.3,750.3,750.1,750.1,491.0
RENWICKJA,2023-05-11,750.1,755.9,750.1,750.8,650.0
RENWICKJA,2023-05-14,750.1,750.8,750.1,750.3,318.0
RENWICKJA,2023-05-15,750.9,750.9,750.1,750.4,318.0
RENWICKJA,2023-05-16,750.4,750.4,750.4,750.4,3.0
RENWICKJA,2023-05-17,750.1,750.1,750.1,750.1,140.0
RENWICKJA,2023-05-18,750.1,750.1,750.1,750.1,55.0
RENWICKJA,2023-05-21,750.1,750.1,750.1,750.1,551.0
RENWICKJA,2023-05-22,750.1,750.1,750.1,750.1,162.0
RENWICKJA,2023-05-23,750.1,750.1,750.1,750.1,102.0
RENWICKJA,2023-05-24,750.1,780.0,750.1,756.5,1987.0
RENWICKJA,2023-05-25,764.8,813.2,764.8,813.0,9183.0
RENWICKJA,2023-05-28,835.0,873.9,815.0,873.9,4269.0
RENWICKJA,2023-05-29,874.0,875.0,808.4,814.4,3090.0
RENWICKJA,2023-05-30,800.0,830.0,792.0,798.9,1717.0
RENWICKJA,2023-05-31,815.0,840.1,798.0,808.0,2212.0
RENWICKJA,2023-06-01,815.0,816.1,800.0,804.7,854.0
RENWICKJA,2023-06-04,810.3,813.0,770.2,802.4,1843.0
RENWICKJA,2023-06-05,801.0,801.0,770.0,772.9,1294.0
RENWICKJA,2023-06-06,808.0,811.5,750.1,770.6,2264.0
RENWICKJA,2023-06-07,794.0,794.0,761.0,780.3,447.0
RENWICKJA,2023-06-08,780.0,788.8,761.0,783.6,1122.0
RENWICKJA,2023-06-11,795.0,805.0,760.0,767.2,3861.0
RENWICKJA,2023-06-12,795.0,795.0,751.0,753.0,3227.0
RENWICKJA,2023-06-13,760.0,788.7,750.2,750.7,1477.0
RENWICKJA,2023-06-14,752.1,760.0,750.1,750.1,2368.0
RENWICKJA,2023-06-15,750.5,751.3,750.5,751.2,216.0
RENWICKJA,2023-06-18,750.4,756.0,750.4,753.6,548.0
RENWICKJA,2023-06-19,752.1,764.8,750.1,750.6,1297.0
RENWICKJA,2023-06-20,751.1,753.0,750.1,750.1,1292.0
RENWICKJA,2023-06-21,752.0,752.0,751.3,751.7,346.0
RENWICKJA,2023-06-22,751.7,790.0,751.7,778.7,4655.0
RENWICKJA,2023-06-25,767.0,783.0,766.6,776.4,356.0
RENWICKJA,2023-06-26,762.0,785.5,760.1,762.5,385.0
RENWICKJA,2023-07-02,762.7,762.7,762.5,762.6,165.0
RENWICKJA,2023-07-03,762.7,774.0,756.0,773.9,1468.0
RENWICKJA,2023-07-04,762.0,763.3,762.0,762.9,475.0
RENWICKJA,2023-07-05,753.2,764.0,753.1,754.7,587.0
RENWICKJA,2023-07-06,754.8,755.0,754.8,754.8,215.0
RENWICKJA,2023-07-09,756.0,756.1,750.1,750.2,1575.0
RENWICKJA,2023-07-10,755.0,755.0,750.1,750.1,1786.0
RENWICKJA,2023-07-11,774.0,774.0,750.1,750.2,1420.0
RENWICKJA,2023-07-12,752.2,752.5,751.0,751.7,146.0
RENWICKJA,2023-07-13,752.2,760.0,752.1,753.5,134.0
RENWICKJA,2023-07-16,753.1,764.0,750.1,751.4,1498.0
RENWICKJA,2023-07-17,752.2,752.4,750.1,750.2,829.0
RENWICKJA,2023-07-18,750.2,750.5,750.1,750.1,590.0
RENWICKJA,2023-07-19,750.2,750.3,750.1,750.1,228.0
RENWICKJA,2023-07-20,750.1,759.1,750.1,750.3,677.0
RENWICKJA,2023-07-23,750.1,750.1,750.1,750.1,257.0
RENWICKJA,2023-07-24,750.1,750.1,750.1,750.1,81.0
RENWICKJA,2023-07-25,750.1,750.1,750.1,750.1,34.0
RENWICKJA,2023-07-26,750.1,750.1,750.1,750.1,15.0
RENWICKJA,2023-07-27,750.1,750.1,750.1,750.1,54.0
RENWICKJA,2023-07-30,750.1,750.1,750.1,750.1,9.0
RENWICKJA,2023-07-31,750.1,750.1,750.1,750.1,15.0
RENWICKJA,2023-08-01,750.1,750.1,750.1,750.1,6.0
RENWICKJA,2023-08-02,750.1,750.1,750.1,750.1,43.0
RENWICKJA,2023-08-03,750.1,750.3,750.1,750.2,1216.0
RENWICKJA,2023-08-06,750.1,750.1,750.1,750.1,151.0
RENWICKJA,2023-08-07,750.1,750.1,750.1,750.1,1.0
RENWICKJA,2023-08-08,750.1,750.1,750.1,750.1,6.0
RENWICKJA,2023-08-09,750.1,750.1,750.1,750.1,111.0
RENWICKJA,2023-08-10,750.1,750.1,750.1,750.1,14.0
RENWICKJA,2023-08-13,750.1,750.1,750.1,750.1,106.0
RENWICKJA,2023-08-14,750.1,750.1,750.1,750.1,151.0
RENWICKJA,2023-08-21,750.1,750.1,750.1,750.1,14.0
RENWICKJA,2023-08-22,750.1,750.1,750.1,750.1,5.0
RENWICKJA,2023-08-23,750.1,750.1,750.1,750.1,130.0
RENWICKJA,2023-08-24,750.1,750.1,750.1,750.1,565.0
RENWICKJA,2023-08-27,750.1,750.1,750.1,750.1,54.0
RENWICKJA,2023-08-29,750.1,750.1,750.1,750.1,50.0
