symbol,date,open,high,low,close,volume
REPUBLIC,2022-01-02,52.8,53.5,52.1,52.9,132616.0
REPUBLIC,2022-01-03,53.6,53.7,52.4,52.7,185398.0
REPUBLIC,2022-01-04,53.0,54.5,52.8,53.4,227629.0
REPUBLIC,2022-01-05,53.6,54.3,52.9,53.1,144659.0
REPUBLIC,2022-01-06,53.8,53.8,52.0,52.3,188816.0
REPUBLIC,2022-01-09,52.4,53.0,51.3,51.5,109913.0
REPUBLIC,2022-01-10,51.9,51.9,50.6,50.7,155561.0
REPUBLIC,2022-01-11,50.6,51.6,50.1,50.3,260674.0
REPUBLIC,2022-01-12,51.5,51.5,50.4,50.5,134893.0
REPUBLIC,2022-01-13,50.7,51.0,50.0,50.4,123824.0
REPUBLIC,2022-01-16,50.8,51.5,48.0,48.9,251310.0
REPUBLIC,2022-01-17,50.0,51.7,48.9,49.7,229069.0
REPUBLIC,2022-01-18,50.4,50.6,48.9,49.2,247453.0
REPUBLIC,2022-01-19,49.3,50.0,48.2,48.7,206924.0
REPUBLIC,2022-01-20,50.0,50.0,48.5,48.6,158147.0
REPUBLIC,2022-01-23,49.0,51.6,49.0,50.2,393295.0
REPUBLIC,2022-01-24,51.4,51.4,49.2,49.3,58465.0
REPUBLIC,2022-01-25,50.3,50.3,48.8,49.2,63988.0
REPUBLIC,2022-01-26,50.5,50.5,48.5,48.9,131105.0
REPUBLIC,2022-01-27,49.0,50.3,48.8,49.0,76097.0
REPUBLIC,2022-01-30,50.3,50.3,48.5,49.2,162867.0
REPUBLIC,2022-01-31,49.0,50.2,48.9,49.1,65290.0
REPUBLIC,2022-02-01,49.0,49.8,48.8,49.0,115363.0
REPUBLIC,2022-02-02,49.1,50.0,48.5,49.6,152262.0
REPUBLIC,2022-02-03,50.0,50.5,49.5,49.6,106592.0
REPUBLIC,2022-02-06,50.2,54.2,50.2,51.0,268110.0
REPUBLIC,2022-02-07,52.2,52.6,50.6,52.1,249451.0
REPUBLIC,2022-02-08,52.6,53.8,52.3,52.8,326476.0
REPUBLIC,2022-02-09,53.5,53.5,51.1,51.7,165725.0
REPUBLIC,2022-02-10,52.7,52.7,50.5,51.0,120236.0
REPUBLIC,2022-02-13,52.4,52.4,50.2,50.5,55045.0
REPUBLIC,2022-02-14,50.9,51.0,49.5,49.8,179538.0
REPUBLIC,2022-02-15,50.6,50.6,49.2,49.4,76453.0
REPUBLIC,2022-02-16,50.5,50.5,49.0,49.3,86167.0
REPUBLIC,2022-02-17,49.0,50.2,48.5,49.1,59658.0
REPUBLIC,2022-02-20,50.2,50.2,47.7,48.0,102672.0
REPUBLIC,2022-02-22,48.0,49.0,47.2,47.5,77107.0
REPUBLIC,2022-02-23,47.6,48.2,47.4,47.7,58941.0
REPUBLIC,2022-02-24,47.8,47.9,45.9,46.0,105093.0
REPUBLIC,2022-02-27,47.0,49.8,43.5,44.4,155867.0
