symbol,date,open,high,low,close,volume
ROBI,2022-01-02,34.8,35.0,34.5,34.7,870427.0
ROBI,2022-01-03,34.9,35.4,34.8,35.1,1211082.0
ROBI,2022-01-04,35.1,35.5,35.0,35.3,613560.0
ROBI,2022-01-05,35.6,38.8,35.5,38.8,3187650.0
ROBI,2022-01-06,40.1,40.9,38.5,39.0,3737966.0
ROBI,2022-01-09,38.9,38.9,37.0,37.1,2140607.0
ROBI,2022-01-10,37.0,38.3,36.8,38.1,1106793.0
ROBI,2022-01-11,38.3,38.5,37.8,38.2,1999227.0
ROBI,2022-01-12,38.0,42.0,38.0,41.2,12934192.0
ROBI,2022-01-13,41.5,42.0,40.6,40.8,1780544.0
ROBI,2022-01-16,40.8,41.2,39.1,39.3,4978074.0
ROBI,2022-01-17,39.5,41.2,39.0,40.5,3526843.0
ROBI,2022-01-18,40.8,41.3,39.6,39.7,3133940.0
ROBI,2022-01-19,39.7,39.9,39.1,39.2,1965049.0
ROBI,2022-01-20,39.2,39.7,39.1,39.2,1947447.0
ROBI,2022-01-23,39.3,39.3,38.4,38.5,1782356.0
ROBI,2022-01-24,38.5,38.6,38.1,38.2,997223.0
ROBI,2022-01-25,38.2,38.7,38.0,38.2,801713.0
ROBI,2022-01-26,38.2,38.5,38.1,38.1,612722.0
ROBI,2022-01-27,38.2,38.4,38.1,38.1,790369.0
ROBI,2022-01-30,38.1,38.4,37.9,38.0,873791.0
ROBI,2022-01-31,38.0,38.1,37.3,37.5,1079213.0
ROBI,2022-02-01,37.8,38.5,37.8,38.3,1480766.0
ROBI,2022-02-02,38.4,39.7,38.3,38.9,1400822.0
ROBI,2022-02-03,38.7,39.2,38.6,38.9,1043759.0
ROBI,2022-02-06,38.9,40.4,38.9,39.7,1956052.0
ROBI,2022-02-07,39.9,40.0,39.3,39.4,1296139.0
ROBI,2022-02-08,39.4,39.5,38.7,38.8,1967171.0
ROBI,2022-02-09,38.8,39.3,38.7,39.0,1343423.0
ROBI,2022-02-10,39.0,39.1,38.7,38.8,1455987.0
ROBI,2022-02-13,38.8,39.2,38.5,38.6,792619.0
ROBI,2022-02-14,38.9,38.9,38.3,38.5,785785.0
ROBI,2022-02-15,38.5,38.5,37.7,37.7,895140.0
ROBI,2022-02-16,37.7,38.2,37.6,37.6,571470.0
ROBI,2022-02-17,37.6,37.7,37.1,37.2,780340.0
ROBI,2022-02-20,37.7,37.7,36.8,36.9,558986.0
