symbol,date,open,high,low,close,volume
RSRMSTEEL,2022-01-02,24.7,25.0,23.6,24.5,678912.0
RSRMSTEEL,2022-01-03,24.1,24.3,23.4,23.9,345019.0
RSRMSTEEL,2022-01-04,23.1,24.0,22.9,23.9,163032.0
RSRMSTEEL,2022-01-05,23.9,24.5,23.9,24.3,197043.0
RSRMSTEEL,2022-01-06,24.4,24.6,24.0,24.0,383865.0
RSRMSTEEL,2022-01-09,22.8,23.4,21.7,22.6,826902.0
RSRMSTEEL,2022-01-10,22.5,23.8,22.4,23.3,322875.0
RSRMSTEEL,2022-01-11,23.5,23.6,22.5,22.9,371780.0
RSRMSTEEL,2022-01-12,23.0,23.0,22.5,22.5,219316.0
RSRMSTEEL,2022-01-13,22.5,23.0,22.5,22.5,101009.0
RSRMSTEEL,2022-01-16,22.5,23.0,22.5,22.7,215626.0
RSRMSTEEL,2022-01-17,23.1,23.1,22.6,22.8,102874.0
RSRMSTEEL,2022-01-18,23.0,24.0,22.8,23.5,356580.0
RSRMSTEEL,2022-01-19,23.6,23.9,23.4,23.8,345495.0
RSRMSTEEL,2022-01-20,24.0,26.1,24.0,24.5,952763.0
RSRMSTEEL,2022-01-23,24.5,24.5,23.2,23.5,284672.0
RSRMSTEEL,2022-01-24,23.2,23.9,22.6,22.7,289963.0
RSRMSTEEL,2022-01-25,22.8,23.0,22.4,22.5,276754.0
RSRMSTEEL,2022-01-26,23.0,23.2,22.5,22.9,77823.0
RSRMSTEEL,2022-01-27,23.0,23.6,22.4,22.8,238254.0
RSRMSTEEL,2022-01-30,22.8,23.0,22.2,22.4,200046.0
RSRMSTEEL,2022-01-31,22.4,23.3,22.3,22.6,224383.0
RSRMSTEEL,2022-02-01,22.9,23.0,22.5,22.6,83372.0
RSRMSTEEL,2022-02-02,23.0,23.8,22.9,23.1,236401.0
RSRMSTEEL,2022-02-03,23.3,23.3,22.8,23.1,139576.0
RSRMSTEEL,2022-02-06,23.0,23.1,22.8,22.8,133467.0
RSRMSTEEL,2022-02-07,22.9,23.0,22.4,22.5,127282.0
RSRMSTEEL,2022-02-08,22.4,22.8,22.3,22.5,152623.0
RSRMSTEEL,2022-02-09,22.6,23.1,22.6,22.7,75694.0
RSRMSTEEL,2022-02-10,22.8,22.9,22.5,22.6,99385.0
RSRMSTEEL,2022-02-13,22.5,22.8,22.3,22.4,201986.0
RSRMSTEEL,2022-02-14,22.3,22.6,22.1,22.2,152579.0
RSRMSTEEL,2022-02-15,22.2,22.3,22.0,22.1,136068.0
RSRMSTEEL,2022-02-16,22.2,22.4,21.8,22.0,233918.0
RSRMSTEEL,2022-02-17,21.9,22.1,21.6,21.6,222656.0
RSRMSTEEL,2022-02-20,21.5,21.5,21.0,21.2,152513.0
RSRMSTEEL,2022-02-22,21.3,21.6,21.3,21.5,95712.0
RSRMSTEEL,2022-02-23,21.5,21.9,21.4,21.8,85210.0
RSRMSTEEL,2022-02-24,22.2,22.2,21.0,21.5,217075.0
RSRMSTEEL,2022-02-27,21.1,21.4,20.5,20.6,150620.0
RSRMSTEEL,2022-02-28,20.7,21.2,20.6,20.8,74892.0
RSRMSTEEL,2022-03-01,21.0,21.3,20.4,20.5,115988.0
RSRMSTEEL,2022-03-02,20.9,20.9,20.4,20.5,44964.0
RSRMSTEEL,2022-03-03,20.4,20.7,20.1,20.5,31071.0
RSRMSTEEL,2022-03-06,20.9,20.9,20.2,20.3,55204.0
RSRMSTEEL,2022-03-07,20.4,21.7,19.2,19.6,176567.0
RSRMSTEEL,2022-03-08,19.4,20.1,19.3,20.0,95969.0
RSRMSTEEL,2022-03-09,20.8,20.8,19.6,20.4,207530.0
RSRMSTEEL,2022-03-10,21.0,21.0,20.3,20.6,104681.0
RSRMSTEEL,2022-03-13,20.7,21.7,20.7,21.4,265758.0
RSRMSTEEL,2022-03-14,21.7,21.7,21.2,21.4,138644.0
RSRMSTEEL,2022-03-15,21.3,21.6,21.1,21.5,181565.0
RSRMSTEEL,2022-03-16,21.8,21.8,21.3,21.3,104341.0
RSRMSTEEL,2022-03-20,21.3,21.3,20.9,21.0,95395.0
RSRMSTEEL,2022-03-21,21.0,21.4,20.7,21.0,104924.0
RSRMSTEEL,2022-03-22,20.8,21.1,20.8,21.0,71597.0
RSRMSTEEL,2022-03-23,21.0,21.2,21.0,21.2,120310.0
RSRMSTEEL,2022-03-24,21.2,21.4,20.8,21.0,115467.0
RSRMSTEEL,2022-03-27,20.7,21.0,20.7,21.0,29371.0
RSRMSTEEL,2022-03-28,21.1,21.1,20.6,20.6,154255.0
RSRMSTEEL,2022-03-29,20.8,20.8,20.3,20.5,121062.0
RSRMSTEEL,2022-03-30,20.6,20.9,20.6,20.8,36101.0
RSRMSTEEL,2022-03-31,20.7,20.9,20.4,20.8,111839.0
RSRMSTEEL,2022-04-03,20.7,20.9,20.4,20.5,46114.0
RSRMSTEEL,2022-04-04,20.3,20.6,20.3,20.4,45062.0
RSRMSTEEL,2022-04-05,20.6,20.6,20.3,20.4,28900.0
RSRMSTEEL,2022-04-06,20.3,20.3,20.0,20.1,142870.0
RSRMSTEEL,2022-04-07,20.0,20.0,19.7,20.0,32747.0
RSRMSTEEL,2022-04-10,20.0,20.0,19.7,19.8,51699.0
RSRMSTEEL,2022-04-11,19.5,19.5,19.5,19.5,28156.0
RSRMSTEEL,2022-04-12,19.2,19.2,19.2,19.2,13592.0
RSRMSTEEL,2022-04-13,18.9,18.9,18.9,18.9,37112.0
RSRMSTEEL,2022-04-17,18.6,18.6,18.6,18.6,21470.0
RSRMSTEEL,2022-04-18,18.3,18.3,18.3,18.3,18830.0
RSRMSTEEL,2022-04-19,18.0,18.0,18.0,18.0,73715.0
RSRMSTEEL,2022-04-20,17.7,17.7,17.7,17.7,141382.0
RSRMSTEEL,2022-04-21,16.9,18.9,16.9,18.3,483374.0
RSRMSTEEL,2022-04-24,18.3,18.4,17.7,18.0,70291.0
RSRMSTEEL,2022-04-25,17.6,18.1,17.3,17.9,136879.0
RSRMSTEEL,2022-04-26,17.6,17.9,17.5,17.7,59604.0
RSRMSTEEL,2022-04-27,17.7,17.9,17.5,17.6,66500.0
RSRMSTEEL,2022-04-28,17.6,18.6,17.6,18.1,215211.0
RSRMSTEEL,2022-05-05,18.1,18.4,17.9,18.0,35243.0
RSRMSTEEL,2022-05-08,17.8,18.3,17.8,18.3,55993.0
RSRMSTEEL,2022-05-09,18.4,18.5,18.1,18.3,305731.0
RSRMSTEEL,2022-05-10,18.5,18.8,18.2,18.3,137826.0
RSRMSTEEL,2022-05-11,18.1,18.4,17.8,17.9,82330.0
RSRMSTEEL,2022-05-12,17.9,18.1,17.7,17.9,68941.0
RSRMSTEEL,2022-05-16,17.8,17.8,17.2,17.4,94390.0
RSRMSTEEL,2022-05-17,17.7,17.7,16.9,17.1,98354.0
RSRMSTEEL,2022-05-18,17.1,17.2,17.0,17.1,67501.0
RSRMSTEEL,2022-05-19,17.0,17.2,16.7,16.8,75739.0
RSRMSTEEL,2022-05-22,16.8,17.0,16.1,16.2,44245.0
RSRMSTEEL,2022-05-23,17.0,17.8,16.3,17.7,143612.0
RSRMSTEEL,2022-05-24,17.7,17.8,17.1,17.4,65522.0
RSRMSTEEL,2022-05-25,17.4,17.4,16.7,17.3,44868.0
RSRMSTEEL,2022-05-26,17.3,17.4,17.2,17.3,24164.0
RSRMSTEEL,2022-05-29,17.5,18.4,17.5,18.2,159406.0
RSRMSTEEL,2022-05-30,18.9,19.9,18.5,19.5,688983.0
RSRMSTEEL,2022-05-31,19.8,19.9,19.2,19.6,371184.0
RSRMSTEEL,2022-06-01,19.4,19.9,19.4,19.7,120667.0
RSRMSTEEL,2022-06-02,19.7,20.2,19.4,19.5,215878.0
RSRMSTEEL,2022-06-05,19.4,19.5,19.2,19.2,222089.0
RSRMSTEEL,2022-06-06,19.2,19.3,18.9,18.9,168726.0
RSRMSTEEL,2022-06-07,18.6,18.8,18.6,18.7,117193.0
RSRMSTEEL,2022-06-08,18.5,19.0,18.4,18.5,64431.0
RSRMSTEEL,2022-06-09,18.2,18.3,18.2,18.2,273055.0
RSRMSTEEL,2022-06-12,17.9,17.9,17.9,17.9,96288.0
RSRMSTEEL,2022-06-13,17.6,17.6,17.6,17.6,30805.0
RSRMSTEEL,2022-06-14,17.3,18.0,17.3,17.4,283536.0
RSRMSTEEL,2022-06-15,17.4,17.9,17.4,17.5,102026.0
RSRMSTEEL,2022-06-16,17.8,18.0,17.5,17.9,143533.0
RSRMSTEEL,2022-06-19,18.4,18.4,17.7,17.9,65623.0
RSRMSTEEL,2022-06-20,17.9,17.9,17.6,17.6,53464.0
RSRMSTEEL,2022-06-21,17.4,17.6,17.3,17.3,49433.0
RSRMSTEEL,2022-06-22,17.0,17.6,17.0,17.4,84572.0
RSRMSTEEL,2022-06-23,17.4,17.8,17.2,17.2,80621.0
RSRMSTEEL,2022-06-26,17.4,17.5,17.1,17.2,36095.0
RSRMSTEEL,2022-06-27,17.2,17.5,17.1,17.3,50145.0
RSRMSTEEL,2022-06-28,17.5,17.5,17.3,17.5,76064.0
RSRMSTEEL,2022-06-29,17.5,17.9,17.4,17.6,112769.0
RSRMSTEEL,2022-06-30,17.8,17.8,17.5,17.6,86838.0
RSRMSTEEL,2022-07-03,17.8,17.9,17.6,17.9,92824.0
RSRMSTEEL,2022-07-04,17.8,17.9,17.7,17.8,64994.0
RSRMSTEEL,2022-07-05,17.7,18.0,17.5,17.9,129287.0
RSRMSTEEL,2022-07-06,17.9,18.7,17.9,18.5,308109.0
RSRMSTEEL,2022-07-07,18.5,19.0,18.5,18.8,254695.0
RSRMSTEEL,2022-07-12,18.7,19.6,18.5,18.6,223872.0
RSRMSTEEL,2022-07-13,18.3,18.7,18.3,18.3,90899.0
RSRMSTEEL,2022-07-14,18.0,18.0,18.0,18.0,49252.0
RSRMSTEEL,2022-07-17,17.7,18.2,17.7,17.7,129308.0
RSRMSTEEL,2022-07-18,17.6,17.6,17.4,17.4,117665.0
RSRMSTEEL,2022-07-19,17.1,17.5,17.1,17.2,147274.0
RSRMSTEEL,2022-07-20,17.4,17.6,17.0,17.6,104566.0
RSRMSTEEL,2022-07-21,18.5,18.5,17.4,17.5,138904.0
RSRMSTEEL,2022-07-24,17.4,17.8,17.2,17.3,88070.0
RSRMSTEEL,2022-07-25,17.3,17.6,17.0,17.4,105857.0
RSRMSTEEL,2022-07-26,17.3,17.5,17.1,17.1,160650.0
RSRMSTEEL,2022-07-27,16.9,17.3,16.8,16.8,72442.0
RSRMSTEEL,2022-07-28,16.6,17.0,16.5,16.6,54974.0
RSRMSTEEL,2022-07-31,17.5,17.5,17.0,17.2,51796.0
RSRMSTEEL,2022-08-01,17.3,17.3,17.0,17.0,114096.0
RSRMSTEEL,2022-08-02,17.5,17.5,17.0,17.2,91050.0
