symbol,date,open,high,low,close,volume
RUNNERAUTO,2022-01-02,51.9,52.1,51.3,51.7,59706.0
RUNNERAUTO,2022-01-03,52.4,52.8,51.8,52.8,67256.0
RUNNERAUTO,2022-01-04,52.7,53.5,52.7,53.0,54801.0
RUNNERAUTO,2022-01-05,53.7,54.9,53.5,53.8,69347.0
RUNNERAUTO,2022-01-06,54.5,55.5,53.2,54.8,90768.0
RUNNERAUTO,2022-01-09,54.8,57.6,54.8,56.1,140036.0
RUNNERAUTO,2022-01-10,56.9,57.4,55.6,56.4,148310.0
RUNNERAUTO,2022-01-11,57.7,58.5,56.9,57.8,305264.0
RUNNERAUTO,2022-01-12,58.2,58.3,56.2,56.5,82144.0
RUNNERAUTO,2022-01-13,56.1,57.2,54.1,56.2,42622.0
RUNNERAUTO,2022-01-16,57.9,57.9,53.9,54.2,156320.0
RUNNERAUTO,2022-01-17,54.2,55.4,54.2,54.3,74542.0
RUNNERAUTO,2022-01-18,54.3,55.2,54.3,54.9,60125.0
RUNNERAUTO,2022-01-19,54.1,55.2,53.8,54.1,70115.0
RUNNERAUTO,2022-01-20,55.1,55.2,54.1,54.3,27274.0
RUNNERAUTO,2022-01-23,54.5,55.0,53.2,53.4,30968.0
RUNNERAUTO,2022-01-24,52.7,53.1,52.5,52.8,37012.0
RUNNERAUTO,2022-01-25,52.8,53.8,52.6,53.1,68078.0
RUNNERAUTO,2022-01-26,53.0,54.4,52.7,53.8,70809.0
RUNNERAUTO,2022-01-27,54.5,54.5,53.2,53.3,42693.0
RUNNERAUTO,2022-01-30,53.1,53.9,52.6,52.9,49832.0
RUNNERAUTO,2022-01-31,53.0,53.9,53.0,53.3,51383.0
RUNNERAUTO,2022-02-01,54.0,54.0,52.0,53.8,78908.0
RUNNERAUTO,2022-02-02,54.2,56.4,54.0,55.8,181029.0
RUNNERAUTO,2022-02-03,56.0,56.0,54.7,54.8,32430.0
RUNNERAUTO,2022-02-06,55.5,55.9,54.9,55.7,48424.0
RUNNERAUTO,2022-02-07,56.2,56.7,55.7,55.8,103579.0
RUNNERAUTO,2022-02-08,55.9,55.9,55.0,55.2,29069.0
RUNNERAUTO,2022-02-09,55.6,56.0,54.5,54.6,88176.0
RUNNERAUTO,2022-02-10,54.0,55.2,53.7,54.3,141075.0
RUNNERAUTO,2022-02-13,54.4,55.3,53.5,54.0,55574.0
RUNNERAUTO,2022-02-14,53.3,54.9,53.3,53.5,51326.0
RUNNERAUTO,2022-02-15,53.5,54.3,53.2,53.3,61156.0
RUNNERAUTO,2022-02-16,54.0,54.0,53.0,53.2,30860.0
RUNNERAUTO,2022-02-17,53.1,53.3,53.0,53.0,109551.0
RUNNERAUTO,2022-02-20,53.0,53.0,52.3,52.6,41801.0
RUNNERAUTO,2022-02-22,52.6,52.6,52.2,52.4,26174.0
RUNNERAUTO,2022-02-23,52.7,53.4,52.7,53.0,20522.0
RUNNERAUTO,2022-02-24,52.6,53.0,51.1,51.7,76895.0
RUNNERAUTO,2022-02-27,51.0,51.6,50.1,50.4,73115.0
RUNNERAUTO,2022-02-28,51.6,51.6,50.5,50.9,19603.0
RUNNERAUTO,2022-03-01,51.7,52.3,50.8,51.9,41655.0
RUNNERAUTO,2022-03-02,51.0,51.9,50.2,51.0,42951.0
RUNNERAUTO,2022-03-03,50.3,51.4,49.4,49.8,74369.0
RUNNERAUTO,2022-03-06,50.0,50.3,47.2,48.7,69471.0
RUNNERAUTO,2022-03-07,48.7,49.1,46.1,46.4,143880.0
RUNNERAUTO,2022-03-08,46.4,48.0,46.1,47.8,113836.0
RUNNERAUTO,2022-03-09,48.8,50.0,48.0,49.8,54697.0
RUNNERAUTO,2022-03-10,50.0,51.3,49.6,50.5,105012.0
RUNNERAUTO,2022-03-13,51.3,51.7,49.9,51.2,101805.0
RUNNERAUTO,2022-03-14,52.5,52.5,50.9,51.6,26321.0
RUNNERAUTO,2022-03-15,51.6,52.8,51.3,52.3,63210.0
RUNNERAUTO,2022-03-16,52.8,52.8,51.8,51.8,28051.0
RUNNERAUTO,2022-03-20,51.8,52.9,50.9,51.5,54962.0
RUNNERAUTO,2022-03-21,52.5,52.5,51.0,51.9,32545.0
RUNNERAUTO,2022-03-22,52.5,52.5,51.7,52.0,18024.0
RUNNERAUTO,2022-03-23,52.7,52.7,51.7,51.9,22716.0
RUNNERAUTO,2022-03-24,52.5,52.5,51.7,52.0,34015.0
RUNNERAUTO,2022-03-27,52.3,52.3,51.0,51.2,26637.0
RUNNERAUTO,2022-03-28,51.7,52.5,51.1,52.0,64581.0
