symbol,date,open,high,low,close,volume
RUPALIBANK,2022-01-02,32.3,32.7,31.9,32.5,91860.0
RUPALIBANK,2022-01-03,33.4,33.4,32.6,32.8,89443.0
RUPALIBANK,2022-01-04,33.0,33.0,32.3,32.4,56922.0
RUPALIBANK,2022-01-05,32.4,33.2,32.3,33.0,100595.0
RUPALIBANK,2022-01-06,33.5,34.4,33.2,33.4,208372.0
RUPALIBANK,2022-01-09,33.6,33.9,32.7,33.0,164433.0
RUPALIBANK,2022-01-10,33.0,33.4,32.6,33.2,79518.0
RUPALIBANK,2022-01-11,33.8,36.2,33.5,35.3,816483.0
RUPALIBANK,2022-01-12,35.5,35.9,33.6,33.8,226793.0
RUPALIBANK,2022-01-13,34.4,34.4,33.2,33.4,226169.0
RUPALIBANK,2022-01-16,34.2,34.2,33.1,33.2,149166.0
RUPALIBANK,2022-01-17,33.7,33.9,33.3,33.7,117252.0
RUPALIBANK,2022-01-18,33.9,33.9,33.4,33.5,164236.0
RUPALIBANK,2022-01-19,33.8,34.0,33.4,33.5,286371.0
RUPALIBANK,2022-01-20,33.4,34.0,33.0,33.3,78088.0
RUPALIBANK,2022-01-23,33.2,33.3,32.7,32.8,151276.0
RUPALIBANK,2022-01-24,32.9,34.1,32.9,33.8,160617.0
RUPALIBANK,2022-01-25,33.4,34.5,33.4,34.3,146310.0
RUPALIBANK,2022-01-26,33.6,34.6,32.8,33.6,125328.0
RUPALIBANK,2022-01-27,33.7,34.2,33.5,34.1,119705.0
RUPALIBANK,2022-01-30,34.4,34.4,33.0,33.3,169723.0
RUPALIBANK,2022-01-31,33.0,33.5,33.0,33.1,65595.0
RUPALIBANK,2022-02-01,33.2,33.7,32.8,33.0,84076.0
RUPALIBANK,2022-02-02,32.1,33.7,31.6,33.4,200614.0
RUPALIBANK,2022-02-03,33.5,33.8,33.1,33.7,53744.0
RUPALIBANK,2022-02-06,34.0,34.4,33.4,33.9,197985.0
RUPALIBANK,2022-02-07,33.9,34.4,33.6,34.2,127979.0
RUPALIBANK,2022-02-08,33.2,34.4,33.1,33.8,107586.0
RUPALIBANK,2022-02-09,34.2,34.2,33.5,33.6,36143.0
RUPALIBANK,2022-02-10,33.7,34.4,33.5,33.6,129892.0
RUPALIBANK,2022-02-13,33.8,33.9,33.2,33.8,44453.0
RUPALIBANK,2022-02-14,33.9,34.7,33.5,33.5,193412.0
RUPALIBANK,2022-02-15,33.2,33.9,32.1,33.1,115989.0
RUPALIBANK,2022-02-16,33.3,33.6,33.2,33.4,64071.0
RUPALIBANK,2022-02-17,33.9,33.9,33.1,33.2,137957.0
RUPALIBANK,2022-02-20,32.5,33.2,32.5,32.7,43332.0
RUPALIBANK,2022-02-22,32.9,32.9,31.8,32.1,74482.0
RUPALIBANK,2022-02-23,32.0,32.7,30.5,32.2,90012.0
RUPALIBANK,2022-02-24,32.2,32.4,31.6,31.8,92246.0
RUPALIBANK,2022-02-27,32.7,32.7,30.5,30.6,84542.0
RUPALIBANK,2022-02-28,30.6,31.6,30.6,31.3,74026.0
RUPALIBANK,2022-03-01,31.9,31.9,31.0,31.0,26854.0
RUPALIBANK,2022-03-02,31.4,31.5,30.6,30.9,22367.0
RUPALIBANK,2022-03-03,31.7,31.7,30.7,30.9,26238.0
RUPALIBANK,2022-03-06,31.7,31.9,30.5,30.6,23587.0
RUPALIBANK,2022-03-07,30.2,30.5,28.0,28.7,104265.0
RUPALIBANK,2022-03-08,29.2,29.2,26.7,28.1,112333.0
RUPALIBANK,2022-03-09,29.6,29.6,28.7,29.1,70931.0
RUPALIBANK,2022-03-10,29.9,30.4,29.2,29.5,262314.0
RUPALIBANK,2022-03-13,29.5,29.8,29.3,29.5,201221.0
RUPALIBANK,2022-03-14,29.9,29.9,29.2,29.4,177452.0
RUPALIBANK,2022-03-15,29.7,29.8,29.2,29.3,60323.0
RUPALIBANK,2022-03-16,29.4,29.6,29.3,29.5,75748.0
