symbol,date,open,high,low,close,volume
RUPALILIFE,2022-01-02,61.2,61.9,60.0,60.6,120207.0
RUPALILIFE,2022-01-03,61.0,64.0,61.0,63.4,157793.0
RUPALILIFE,2022-01-04,63.6,69.7,63.6,69.7,672928.0
RUPALILIFE,2022-01-05,71.0,71.2,67.6,68.5,238660.0
RUPALILIFE,2022-01-06,68.8,71.6,68.0,68.7,391744.0
RUPALILIFE,2022-01-09,67.9,73.2,67.9,69.9,298840.0
RUPALILIFE,2022-01-10,71.3,75.5,70.5,73.1,801146.0
RUPALILIFE,2022-01-11,73.3,74.0,68.2,69.3,467060.0
RUPALILIFE,2022-01-12,71.0,71.0,65.6,66.2,245948.0
RUPALILIFE,2022-01-13,70.0,70.5,66.5,68.1,125881.0
RUPALILIFE,2022-01-16,68.7,71.8,68.6,69.7,311677.0
RUPALILIFE,2022-01-17,71.7,76.6,71.3,74.3,1247811.0
RUPALILIFE,2022-01-18,76.0,77.8,74.2,75.6,575391.0
RUPALILIFE,2022-01-19,75.7,78.7,74.0,74.5,778261.0
RUPALILIFE,2022-01-20,75.0,76.0,71.6,72.3,228391.0
RUPALILIFE,2022-01-23,71.7,73.3,70.0,70.5,325575.0
RUPALILIFE,2022-01-24,72.0,73.7,69.3,69.8,347478.0
RUPALILIFE,2022-01-25,70.4,71.0,69.6,69.9,108810.0
RUPALILIFE,2022-01-26,71.4,71.5,68.6,68.9,125036.0
RUPALILIFE,2022-01-27,70.0,71.9,69.7,69.8,138186.0
RUPALILIFE,2022-01-30,71.8,71.8,69.0,70.0,152184.0
RUPALILIFE,2022-01-31,69.2,70.8,69.2,69.9,114564.0
RUPALILIFE,2022-02-01,70.0,72.8,70.0,72.0,228317.0
RUPALILIFE,2022-02-02,72.0,79.2,72.0,79.2,2654101.0
RUPALILIFE,2022-02-03,83.0,84.6,77.0,78.8,1244980.0
RUPALILIFE,2022-02-06,78.6,83.7,77.7,81.5,1650617.0
RUPALILIFE,2022-02-07,82.0,84.4,80.9,82.1,1230561.0
RUPALILIFE,2022-02-08,82.0,82.9,77.6,78.6,694011.0
RUPALILIFE,2022-02-09,80.0,80.0,77.3,78.0,366163.0
RUPALILIFE,2022-02-10,78.5,79.7,77.1,77.5,328402.0
RUPALILIFE,2022-02-13,77.6,78.7,76.3,77.0,266068.0
RUPALILIFE,2022-02-14,76.3,77.5,73.2,73.7,372410.0
RUPALILIFE,2022-02-15,74.0,74.6,72.8,73.3,221893.0
RUPALILIFE,2022-02-16,74.4,74.8,73.3,73.6,144236.0
RUPALILIFE,2022-02-17,72.3,74.7,72.3,73.6,149676.0
RUPALILIFE,2022-02-20,74.0,74.0,72.2,72.7,81507.0
RUPALILIFE,2022-02-22,74.6,74.6,72.8,73.3,64881.0
RUPALILIFE,2022-02-23,74.5,75.6,73.3,74.6,186955.0
RUPALILIFE,2022-02-24,75.9,75.9,72.2,72.8,200119.0
RUPALILIFE,2022-02-27,74.0,74.0,68.6,69.0,134636.0
RUPALILIFE,2022-02-28,69.1,71.8,69.1,70.5,161548.0
RUPALILIFE,2022-03-01,72.0,75.4,70.6,72.4,247793.0
RUPALILIFE,2022-03-02,73.8,75.6,71.7,74.8,527125.0
RUPALILIFE,2022-03-03,74.8,75.6,72.9,73.2,275760.0
RUPALILIFE,2022-03-06,73.0,75.2,72.2,73.5,232053.0
RUPALILIFE,2022-03-07,73.5,75.0,69.6,69.8,153184.0
RUPALILIFE,2022-03-08,70.0,71.0,67.5,69.9,221298.0
RUPALILIFE,2022-03-09,71.0,72.9,70.3,71.8,185834.0
RUPALILIFE,2022-03-10,72.3,73.6,70.7,71.0,234301.0
RUPALILIFE,2022-03-13,73.0,73.0,70.0,71.3,214200.0
RUPALILIFE,2022-03-14,72.0,76.8,71.5,76.0,1043421.0
RUPALILIFE,2022-03-15,76.7,78.3,74.5,75.2,725887.0
RUPALILIFE,2022-03-16,75.1,77.0,73.7,75.7,452654.0
RUPALILIFE,2022-03-20,75.6,76.3,74.2,74.3,366665.0
RUPALILIFE,2022-03-21,74.9,75.0,73.0,74.6,320428.0
RUPALILIFE,2022-03-22,75.5,76.5,74.9,76.2,279626.0
RUPALILIFE,2022-03-23,76.5,82.3,76.5,77.9,1122625.0
RUPALILIFE,2022-03-24,80.9,82.0,77.8,80.1,869277.0
RUPALILIFE,2022-03-27,81.2,81.2,78.5,78.8,834407.0
RUPALILIFE,2022-03-28,78.2,78.2,77.3,77.3,372740.0
RUPALILIFE,2022-03-29,77.8,77.8,75.8,75.8,325090.0
RUPALILIFE,2022-03-30,76.9,77.6,74.3,75.1,560228.0
RUPALILIFE,2022-03-31,75.4,77.0,74.1,74.7,460423.0
RUPALILIFE,2022-04-03,75.3,77.7,74.7,77.2,1505188.0
RUPALILIFE,2022-04-04,77.4,78.7,75.7,75.7,468763.0
RUPALILIFE,2022-04-05,77.0,77.4,74.7,75.8,201258.0
RUPALILIFE,2022-04-06,76.8,76.8,74.3,74.4,307628.0
RUPALILIFE,2022-04-07,75.7,75.7,73.5,73.6,112343.0
RUPALILIFE,2022-04-10,73.3,73.8,72.2,72.5,295439.0
RUPALILIFE,2022-04-11,74.8,74.9,71.6,72.0,128293.0
RUPALILIFE,2022-04-12,71.1,72.5,70.6,70.7,185137.0
RUPALILIFE,2022-04-13,70.0,71.2,69.3,70.9,76571.0
RUPALILIFE,2022-04-17,71.7,71.7,69.5,69.5,96951.0
RUPALILIFE,2022-04-18,68.5,68.5,68.2,68.2,89672.0
RUPALILIFE,2022-04-19,66.9,69.3,66.9,67.7,82193.0
RUPALILIFE,2022-04-20,68.3,70.2,66.9,68.0,90434.0
