symbol,date,open,high,low,close,volume
SAFKOSPINN,2022-01-02,24.2,24.9,24.2,24.7,635496.0
SAFKOSPINN,2022-01-03,24.9,25.5,24.8,25.0,792439.0
SAFKOSPINN,2022-01-04,24.8,25.0,24.3,24.4,578788.0
SAFKOSPINN,2022-01-05,24.6,26.2,24.5,25.8,1505668.0
SAFKOSPINN,2022-01-06,25.9,26.0,24.9,25.0,950985.0
SAFKOSPINN,2022-01-09,25.1,25.6,24.6,24.8,870673.0
SAFKOSPINN,2022-01-10,24.9,25.3,24.4,24.6,605109.0
SAFKOSPINN,2022-01-11,24.8,25.2,24.5,24.6,727037.0
SAFKOSPINN,2022-01-12,24.8,25.3,24.7,24.8,748599.0
SAFKOSPINN,2022-01-13,25.0,25.3,24.7,24.8,497377.0
SAFKOSPINN,2022-01-16,25.2,26.4,25.0,26.2,1935607.0
SAFKOSPINN,2022-01-17,26.6,26.7,25.3,25.4,847821.0
SAFKOSPINN,2022-01-18,25.7,27.0,25.3,26.2,1473059.0
SAFKOSPINN,2022-01-19,26.9,27.8,26.2,26.9,1814480.0
SAFKOSPINN,2022-01-20,27.1,27.3,26.0,26.2,1017328.0
SAFKOSPINN,2022-01-23,26.3,26.5,25.1,25.3,816960.0
SAFKOSPINN,2022-01-24,25.2,25.6,24.8,24.9,406885.0
SAFKOSPINN,2022-01-25,25.1,26.7,25.1,25.8,872664.0
SAFKOSPINN,2022-01-26,26.1,26.6,26.0,26.1,638555.0
SAFKOSPINN,2022-01-27,26.3,26.8,25.8,26.3,1049649.0
SAFKOSPINN,2022-01-30,26.8,27.7,25.9,26.3,1945708.0
SAFKOSPINN,2022-01-31,26.4,26.4,24.4,24.6,1359473.0
SAFKOSPINN,2022-02-01,25.1,25.1,24.2,24.7,772296.0
SAFKOSPINN,2022-02-02,24.8,25.4,24.5,24.6,555779.0
SAFKOSPINN,2022-02-03,24.7,24.9,23.9,24.2,850513.0
SAFKOSPINN,2022-02-06,24.5,25.2,24.3,25.0,558550.0
SAFKOSPINN,2022-02-07,25.2,25.3,24.3,24.4,620877.0
SAFKOSPINN,2022-02-08,24.5,24.9,24.3,24.4,508991.0
SAFKOSPINN,2022-02-09,24.6,25.1,24.4,24.6,446197.0
SAFKOSPINN,2022-02-10,24.7,25.8,24.6,25.4,1110393.0
SAFKOSPINN,2022-02-13,25.5,25.9,25.1,25.3,783995.0
SAFKOSPINN,2022-02-14,25.5,25.6,24.8,24.9,432360.0
SAFKOSPINN,2022-02-15,24.8,25.3,24.7,24.9,417920.0
SAFKOSPINN,2022-02-16,25.0,25.9,25.0,25.2,653405.0
SAFKOSPINN,2022-02-17,25.2,25.2,24.7,24.8,292892.0
SAFKOSPINN,2022-02-20,24.8,24.8,24.1,24.3,519859.0
SAFKOSPINN,2022-02-22,24.3,25.0,24.3,24.8,375121.0
SAFKOSPINN,2022-02-23,24.8,25.4,24.6,24.7,331795.0
SAFKOSPINN,2022-02-24,24.7,25.5,24.2,24.3,609727.0
SAFKOSPINN,2022-02-27,24.3,24.4,23.1,23.2,515517.0
SAFKOSPINN,2022-02-28,23.9,24.4,23.8,23.9,494462.0
SAFKOSPINN,2022-03-01,24.2,24.6,23.6,23.8,307689.0
SAFKOSPINN,2022-03-02,24.1,24.1,22.8,23.1,388255.0
SAFKOSPINN,2022-03-03,23.1,23.4,22.6,22.9,232594.0
SAFKOSPINN,2022-03-06,23.2,23.2,22.3,22.6,297131.0
SAFKOSPINN,2022-03-07,22.7,22.7,21.0,21.2,282192.0
SAFKOSPINN,2022-03-08,21.4,21.8,20.4,21.4,363173.0
SAFKOSPINN,2022-03-09,22.2,23.0,21.7,22.8,438936.0
SAFKOSPINN,2022-03-10,23.0,23.6,22.4,23.2,746211.0
SAFKOSPINN,2022-03-13,23.2,24.2,23.2,24.0,364820.0
SAFKOSPINN,2022-03-14,23.8,24.0,23.6,23.6,390618.0
SAFKOSPINN,2022-03-15,23.5,23.9,23.2,23.3,446250.0
SAFKOSPINN,2022-03-16,23.8,23.8,23.1,23.2,356987.0
SAFKOSPINN,2022-03-20,23.0,23.5,22.8,22.8,119765.0
SAFKOSPINN,2022-03-21,23.1,23.1,22.4,22.5,267292.0
SAFKOSPINN,2022-03-22,22.8,23.0,22.7,22.8,200886.0
SAFKOSPINN,2022-03-23,23.1,23.2,22.4,22.5,166888.0
SAFKOSPINN,2022-03-24,22.5,22.9,22.4,22.7,170255.0
SAFKOSPINN,2022-03-27,22.8,23.1,22.6,22.9,207135.0
SAFKOSPINN,2022-03-28,22.9,23.2,22.6,22.7,157252.0
SAFKOSPINN,2022-03-29,22.9,23.2,22.8,22.9,208990.0
SAFKOSPINN,2022-03-30,23.0,23.4,22.9,23.0,168232.0
SAFKOSPINN,2022-03-31,23.0,23.5,22.8,23.0,234318.0
SAFKOSPINN,2022-04-03,23.1,23.4,22.9,23.0,68861.0
SAFKOSPINN,2022-04-04,23.0,23.1,22.6,22.7,254259.0
SAFKOSPINN,2022-04-05,22.8,22.8,22.3,22.4,88445.0
SAFKOSPINN,2022-04-06,22.4,22.4,22.2,22.2,64449.0
SAFKOSPINN,2022-04-07,22.6,23.2,22.6,23.0,692589.0
SAFKOSPINN,2022-04-10,23.1,23.2,22.8,22.9,177089.0
SAFKOSPINN,2022-04-11,23.0,23.0,22.5,22.5,289533.0
SAFKOSPINN,2022-04-12,22.3,22.6,22.1,22.1,148945.0
SAFKOSPINN,2022-04-13,21.8,22.3,21.7,22.2,111520.0
SAFKOSPINN,2022-04-17,22.2,22.2,21.8,21.8,79234.0
