symbol,date,open,high,low,close,volume
SAIFPOWER,2022-01-02,38.4,40.7,38.4,40.4,2269557.0
SAIFPOWER,2022-01-03,40.5,41.9,40.5,41.3,4609506.0
SAIFPOWER,2022-01-04,41.5,41.9,40.1,41.7,3701196.0
SAIFPOWER,2022-01-05,42.0,44.4,42.0,42.8,9678129.0
SAIFPOWER,2022-01-06,42.9,43.8,42.5,43.0,4404538.0
SAIFPOWER,2022-01-09,43.3,43.5,41.0,41.3,6363310.0
SAIFPOWER,2022-01-10,41.4,43.4,40.8,42.3,6047251.0
SAIFPOWER,2022-01-11,43.0,44.2,42.7,43.0,9287639.0
SAIFPOWER,2022-01-12,43.3,43.7,41.5,41.7,5449387.0
SAIFPOWER,2022-01-13,41.8,42.4,41.1,41.4,3587411.0
SAIFPOWER,2022-01-16,42.1,43.7,42.1,43.0,6455392.0
SAIFPOWER,2022-01-17,43.4,46.8,43.0,46.3,22441452.0
SAIFPOWER,2022-01-18,47.4,48.9,45.5,45.8,17632433.0
SAIFPOWER,2022-01-19,45.5,47.3,44.7,46.2,14085688.0
SAIFPOWER,2022-01-20,46.9,47.2,45.1,45.3,8710522.0
SAIFPOWER,2022-01-23,45.5,45.8,43.5,43.8,7693064.0
SAIFPOWER,2022-01-24,44.0,44.0,42.2,42.4,3502292.0
SAIFPOWER,2022-01-25,42.7,43.3,42.7,42.9,2230972.0
SAIFPOWER,2022-01-26,42.9,43.6,42.3,42.6,3302850.0
SAIFPOWER,2022-01-27,42.8,44.3,42.0,43.4,6214201.0
SAIFPOWER,2022-01-30,43.5,45.2,43.2,44.1,7465246.0
SAIFPOWER,2022-01-31,44.5,45.2,43.8,44.2,6165021.0
SAIFPOWER,2022-02-01,44.5,45.3,44.3,44.4,4995724.0
SAIFPOWER,2022-02-02,44.8,45.2,43.9,44.0,4588704.0
SAIFPOWER,2022-02-03,44.1,44.3,43.3,43.4,3534595.0
SAIFPOWER,2022-02-06,43.4,44.2,42.8,43.5,3779525.0
SAIFPOWER,2022-02-07,44.0,45.9,43.9,44.9,12546222.0
SAIFPOWER,2022-02-08,45.3,45.8,44.4,44.5,6078814.0
SAIFPOWER,2022-02-09,44.8,45.7,44.0,45.3,5914368.0
SAIFPOWER,2022-02-10,45.9,46.1,44.9,45.0,5773319.0
SAIFPOWER,2022-02-13,45.1,45.2,43.2,43.6,6727170.0
SAIFPOWER,2022-02-14,43.9,44.3,42.8,43.0,4113147.0
SAIFPOWER,2022-02-15,43.4,44.6,43.1,43.8,3133748.0
SAIFPOWER,2022-02-16,44.2,44.2,42.7,43.0,8850928.0
SAIFPOWER,2022-02-17,43.3,43.4,42.4,42.6,2513778.0
SAIFPOWER,2022-02-20,42.7,42.9,41.0,41.3,3654626.0
SAIFPOWER,2022-02-22,41.4,43.3,41.0,43.0,4094598.0
SAIFPOWER,2022-02-23,43.1,43.3,42.1,42.3,1878345.0
SAIFPOWER,2022-02-24,42.4,42.6,41.5,41.6,2855251.0
SAIFPOWER,2022-02-27,41.7,42.2,40.6,40.8,3737614.0
SAIFPOWER,2022-03-01,40.0,40.2,39.1,39.3,4385634.0
SAIFPOWER,2022-03-02,39.6,40.4,38.9,39.7,3397257.0
SAIFPOWER,2022-03-03,39.7,40.1,39.2,39.7,2321394.0
SAIFPOWER,2022-03-06,39.8,40.0,38.7,38.9,2032832.0
SAIFPOWER,2022-03-07,38.9,39.3,37.0,37.2,2885670.0
SAIFPOWER,2022-03-08,37.8,38.5,36.2,38.2,2347925.0
SAIFPOWER,2022-03-09,38.8,39.5,38.5,39.1,2673514.0
SAIFPOWER,2022-03-10,39.5,39.7,38.7,39.0,2347020.0
SAIFPOWER,2022-03-13,39.4,40.4,38.8,40.1,3653003.0
SAIFPOWER,2022-03-14,40.4,40.6,39.5,39.7,2986119.0
SAIFPOWER,2022-03-15,39.7,40.0,39.2,39.4,2652791.0
SAIFPOWER,2022-03-16,39.5,39.6,38.7,38.8,2515922.0
SAIFPOWER,2022-03-20,38.8,38.8,38.1,38.1,2639881.0
SAIFPOWER,2022-03-21,38.1,38.7,37.6,38.4,1638881.0
SAIFPOWER,2022-03-22,38.3,38.9,38.2,38.7,2386100.0
SAIFPOWER,2022-03-23,38.8,38.9,38.0,38.0,3916303.0
SAIFPOWER,2022-03-24,38.1,38.2,37.4,37.7,1500017.0
SAIFPOWER,2022-03-27,37.7,38.0,37.1,37.2,1365313.0
SAIFPOWER,2022-03-28,37.5,37.6,37.0,37.2,1159514.0
SAIFPOWER,2022-03-29,37.6,38.6,37.5,38.4,2546495.0
SAIFPOWER,2022-03-30,38.5,38.7,37.8,37.9,1209638.0
SAIFPOWER,2022-03-31,38.0,38.2,37.5,37.7,1700135.0
SAIFPOWER,2022-04-03,37.8,38.1,37.5,37.8,959493.0
SAIFPOWER,2022-04-04,37.8,37.8,37.2,37.3,847885.0
SAIFPOWER,2022-04-05,37.6,37.6,36.6,36.6,1683596.0
SAIFPOWER,2022-04-06,36.6,36.7,36.0,36.1,1008169.0
SAIFPOWER,2022-04-07,35.9,36.0,35.4,35.7,1637357.0
SAIFPOWER,2022-04-10,36.0,36.6,35.8,36.3,860761.0
SAIFPOWER,2022-04-11,36.3,36.6,35.7,35.7,878778.0
SAIFPOWER,2022-04-12,35.7,35.7,35.0,35.0,1145884.0
SAIFPOWER,2022-04-13,35.0,35.0,34.3,34.6,1155375.0
SAIFPOWER,2022-04-17,35.5,36.3,35.0,35.2,1480117.0
SAIFPOWER,2022-04-18,35.2,35.2,34.5,34.5,599052.0
SAIFPOWER,2022-04-19,34.5,35.3,33.9,35.2,1335809.0
SAIFPOWER,2022-04-20,35.5,36.2,35.2,36.1,1368717.0
SAIFPOWER,2022-04-21,36.2,36.9,36.0,36.4,2227028.0
SAIFPOWER,2022-04-24,36.5,37.1,36.3,36.5,1154840.0
SAIFPOWER,2022-04-25,36.6,36.6,36.1,36.2,840219.0
SAIFPOWER,2022-04-26,36.4,36.4,35.5,35.8,1507745.0
SAIFPOWER,2022-04-27,36.0,36.0,35.5,35.7,2042536.0
SAIFPOWER,2022-04-28,35.8,35.8,34.9,35.1,1990056.0
SAIFPOWER,2022-05-05,35.1,35.3,34.3,34.5,1302729.0
SAIFPOWER,2022-05-08,34.5,37.2,33.9,36.7,5362744.0
SAIFPOWER,2022-05-09,37.3,37.3,36.2,37.0,2998916.0
SAIFPOWER,2022-05-10,36.7,36.9,35.5,35.6,2790122.0
SAIFPOWER,2022-05-11,35.6,35.9,34.5,34.6,2407242.0
SAIFPOWER,2022-05-12,34.6,35.4,34.3,34.7,1894937.0
SAIFPOWER,2022-05-16,34.5,34.8,33.0,33.2,1910596.0
SAIFPOWER,2022-05-17,33.6,34.2,31.6,32.5,1748786.0
SAIFPOWER,2022-05-18,32.8,33.4,30.9,31.2,1684805.0
SAIFPOWER,2022-05-19,31.7,31.7,29.9,30.4,1795002.0
SAIFPOWER,2022-05-22,31.2,31.3,28.9,28.9,1842219.0
SAIFPOWER,2022-05-23,30.5,31.3,29.9,30.8,1424968.0
SAIFPOWER,2022-05-24,30.8,32.1,30.6,30.8,2764796.0
SAIFPOWER,2022-05-25,30.9,30.9,29.8,30.2,1643727.0
SAIFPOWER,2022-05-26,29.8,30.9,29.7,30.6,902066.0
SAIFPOWER,2022-05-29,33.6,33.6,31.2,33.2,2484790.0
SAIFPOWER,2022-05-30,33.5,33.5,32.6,32.6,1761231.0
SAIFPOWER,2022-05-31,32.3,32.5,32.0,32.2,1252681.0
SAIFPOWER,2022-06-01,31.9,32.9,31.9,32.5,784608.0
SAIFPOWER,2022-06-02,32.8,33.3,32.4,33.1,1785378.0
SAIFPOWER,2022-06-05,33.2,34.2,33.2,33.7,2615564.0
SAIFPOWER,2022-06-06,34.2,34.2,33.1,33.2,1306575.0
SAIFPOWER,2022-06-07,33.0,33.2,32.6,32.7,1086302.0
SAIFPOWER,2022-06-08,32.8,33.3,32.5,33.1,1564807.0
SAIFPOWER,2022-06-09,33.4,33.6,32.6,32.8,846374.0
SAIFPOWER,2022-06-12,32.5,32.7,32.2,32.2,893257.0
SAIFPOWER,2022-06-13,32.3,32.5,31.6,31.7,1013704.0
SAIFPOWER,2022-06-14,31.5,32.0,31.1,31.2,1476335.0
SAIFPOWER,2022-06-15,31.3,32.0,31.1,31.7,1269069.0
SAIFPOWER,2022-06-16,31.5,34.8,31.5,34.6,6416153.0
SAIFPOWER,2022-06-19,35.6,35.9,34.6,34.7,6226696.0
SAIFPOWER,2022-06-20,34.4,34.5,34.1,34.1,1799673.0
SAIFPOWER,2022-06-21,34.0,34.0,33.5,33.5,574486.0
SAIFPOWER,2022-06-22,32.9,33.4,32.9,32.9,2987756.0
SAIFPOWER,2022-06-23,32.8,33.5,32.3,32.4,1319524.0
SAIFPOWER,2022-06-26,32.6,32.6,31.8,31.9,2025789.0
SAIFPOWER,2022-06-27,32.3,32.9,31.7,32.7,1280643.0
SAIFPOWER,2022-06-28,32.9,33.4,32.8,32.9,1717243.0
SAIFPOWER,2022-06-29,32.9,33.1,32.3,32.3,1513054.0
SAIFPOWER,2022-06-30,32.1,32.9,32.0,32.5,1501627.0
SAIFPOWER,2022-07-03,32.8,33.8,32.4,33.6,2724287.0
SAIFPOWER,2022-07-04,33.5,33.7,33.0,33.2,2109814.0
SAIFPOWER,2022-07-05,32.6,34.4,32.6,33.6,3552069.0
SAIFPOWER,2022-07-06,34.0,34.1,33.1,33.2,2166080.0
SAIFPOWER,2022-07-07,33.4,33.5,33.1,33.2,1270648.0
SAIFPOWER,2022-07-12,33.2,33.4,32.7,32.9,1827241.0
SAIFPOWER,2022-07-13,32.9,33.4,32.5,32.6,1449465.0
SAIFPOWER,2022-07-14,32.1,33.0,32.1,32.6,1125159.0
SAIFPOWER,2022-07-17,32.9,32.9,32.0,32.1,891708.0
SAIFPOWER,2022-07-18,31.9,32.0,31.5,31.5,842587.0
SAIFPOWER,2022-07-19,31.0,31.0,30.9,30.9,187952.0
SAIFPOWER,2022-07-20,30.3,31.2,30.3,30.5,1762752.0
SAIFPOWER,2022-07-21,30.8,30.9,29.9,30.1,1409766.0
SAIFPOWER,2022-07-24,29.7,30.0,29.5,29.5,787585.0
SAIFPOWER,2022-07-25,29.1,30.4,29.0,30.1,1732076.0
SAIFPOWER,2022-07-26,30.5,31.1,30.1,30.3,1586454.0
SAIFPOWER,2022-07-27,30.3,30.3,29.7,29.7,613048.0
SAIFPOWER,2022-07-28,29.2,29.7,29.2,29.2,571357.0
SAIFPOWER,2022-07-31,29.7,30.3,29.7,30.1,1485601.0
SAIFPOWER,2022-08-01,30.4,31.9,30.3,31.5,2965002.0
SAIFPOWER,2022-08-02,31.4,32.4,31.2,32.3,2681132.0
SAIFPOWER,2022-08-03,32.9,33.3,31.8,32.2,2664407.0
SAIFPOWER,2022-08-04,32.2,32.4,31.7,32.2,1559895.0
SAIFPOWER,2022-08-07,32.1,32.2,31.2,31.4,2007909.0
SAIFPOWER,2022-08-08,31.6,32.8,31.4,32.0,2925789.0
SAIFPOWER,2022-08-10,32.4,32.4,30.9,31.2,1259953.0
SAIFPOWER,2022-08-11,32.2,32.2,30.5,30.9,908593.0
SAIFPOWER,2022-08-14,30.9,31.2,30.7,31.1,792404.0
SAIFPOWER,2022-08-16,31.4,33.2,31.2,33.0,4548715.0
SAIFPOWER,2022-08-17,33.0,33.9,32.9,33.1,5361702.0
SAIFPOWER,2022-08-21,33.1,33.7,32.4,33.5,5325399.0
SAIFPOWER,2022-08-22,33.8,34.7,33.8,34.0,7200807.0
SAIFPOWER,2022-08-23,34.3,34.3,33.2,33.4,4496452.0
SAIFPOWER,2022-08-24,33.3,33.5,32.5,32.7,2555393.0
SAIFPOWER,2022-08-25,32.4,33.6,32.4,33.2,2870281.0
SAIFPOWER,2022-08-28,34.0,34.4,33.2,33.4,4860104.0
SAIFPOWER,2022-08-29,34.0,34.1,33.1,33.3,2287598.0
SAIFPOWER,2022-08-30,33.4,33.8,33.1,33.3,2749804.0
SAIFPOWER,2022-08-31,33.4,34.4,33.4,34.2,4630763.0
SAIFPOWER,2022-09-01,34.6,36.4,34.4,36.0,11674545.0
SAIFPOWER,2022-09-04,36.5,37.1,34.5,34.9,7880703.0
SAIFPOWER,2022-09-05,35.5,35.7,33.6,33.9,3998490.0
SAIFPOWER,2022-09-06,34.1,35.1,33.9,34.7,3152171.0
SAIFPOWER,2022-09-07,35.1,35.3,34.1,34.2,3839300.0
SAIFPOWER,2022-09-08,34.6,34.6,33.0,33.3,4891968.0
SAIFPOWER,2022-09-11,33.2,34.9,32.9,34.4,3623183.0
SAIFPOWER,2022-09-12,34.5,34.7,33.8,33.9,2465442.0
SAIFPOWER,2022-09-13,34.0,34.3,33.4,33.5,2443308.0
SAIFPOWER,2022-09-14,33.5,33.8,32.6,32.8,2635233.0
SAIFPOWER,2022-09-15,32.9,33.5,32.5,33.1,2198097.0
SAIFPOWER,2022-09-18,33.4,33.9,32.9,33.1,2333392.0
SAIFPOWER,2022-09-19,33.3,33.6,32.9,33.0,2830432.0
SAIFPOWER,2022-09-20,33.5,34.4,33.0,33.2,6346293.0
SAIFPOWER,2022-09-21,33.3,33.6,32.3,32.5,2147744.0
SAIFPOWER,2022-09-22,32.5,33.4,32.4,32.8,2583181.0
SAIFPOWER,2022-09-25,32.9,33.4,32.5,32.7,3579194.0
SAIFPOWER,2022-09-26,33.0,34.9,32.5,34.1,5582283.0
SAIFPOWER,2022-09-27,35.3,36.9,34.8,35.9,18758136.0
SAIFPOWER,2022-09-28,35.9,35.9,34.5,34.7,6178171.0
SAIFPOWER,2022-09-29,34.7,35.1,33.7,33.9,5370060.0
SAIFPOWER,2022-10-02,33.9,35.4,33.7,35.2,5461892.0
SAIFPOWER,2022-10-03,35.4,36.2,34.5,34.7,6061626.0
SAIFPOWER,2022-10-04,34.8,34.9,34.0,34.2,3097921.0
SAIFPOWER,2022-10-06,34.0,34.5,33.5,33.6,2836100.0
SAIFPOWER,2022-10-10,33.4,33.4,30.9,31.4,2513152.0
SAIFPOWER,2022-10-11,31.4,32.0,30.9,31.4,1862231.0
SAIFPOWER,2022-10-12,31.4,32.2,31.3,32.0,1303982.0
SAIFPOWER,2022-10-13,32.3,32.6,31.7,32.0,2061014.0
SAIFPOWER,2022-10-16,31.9,32.2,30.9,31.1,2109418.0
SAIFPOWER,2022-10-17,30.8,31.1,29.8,30.0,2247889.0
SAIFPOWER,2022-10-18,30.1,30.5,29.8,29.9,1619045.0
SAIFPOWER,2022-10-19,30.3,30.6,29.7,29.7,1388876.0
SAIFPOWER,2022-10-20,29.9,30.0,29.7,29.7,779304.0
SAIFPOWER,2022-10-23,29.7,29.8,29.7,29.7,243944.0
SAIFPOWER,2022-10-24,29.7,29.7,29.7,29.7,55753.0
SAIFPOWER,2022-10-25,29.7,29.7,29.7,29.7,109908.0
SAIFPOWER,2022-10-26,29.7,29.7,29.7,29.7,192706.0
SAIFPOWER,2022-10-27,29.7,30.0,29.7,29.8,1090284.0
SAIFPOWER,2022-10-30,29.7,29.7,29.7,29.7,133678.0
SAIFPOWER,2022-10-31,29.7,29.7,29.7,29.7,125237.0
SAIFPOWER,2022-11-01,29.7,29.7,29.7,29.7,72090.0
SAIFPOWER,2022-11-02,29.7,29.7,29.7,29.7,152373.0
SAIFPOWER,2022-11-03,29.7,32.0,29.7,30.9,3807958.0
SAIFPOWER,2022-11-06,31.4,31.7,30.5,30.7,1715013.0
SAIFPOWER,2022-11-07,30.5,30.8,29.7,29.7,2108036.0
SAIFPOWER,2022-11-08,30.0,31.5,29.8,30.4,3271763.0
SAIFPOWER,2022-11-09,30.5,30.6,29.7,29.7,1646151.0
SAIFPOWER,2022-11-10,29.9,30.1,29.7,29.7,1090948.0
SAIFPOWER,2022-11-13,29.7,29.8,29.7,29.7,332851.0
SAIFPOWER,2022-11-14,29.7,29.7,29.7,29.7,44361.0
SAIFPOWER,2022-11-15,29.7,29.7,29.7,29.7,59533.0
SAIFPOWER,2022-11-16,29.7,29.7,29.7,29.7,15047.0
SAIFPOWER,2022-11-20,29.7,29.7,29.7,29.7,3178.0
SAIFPOWER,2022-11-21,29.7,29.7,29.7,29.7,3323.0
SAIFPOWER,2022-11-22,29.7,29.7,29.7,29.7,992.0
SAIFPOWER,2022-11-23,29.7,29.7,29.7,29.7,11836.0
SAIFPOWER,2022-11-24,29.7,29.7,29.7,29.7,4378.0
SAIFPOWER,2022-11-27,29.7,29.7,29.7,29.7,4317.0
SAIFPOWER,2022-11-28,29.7,29.7,29.7,29.7,1420.0
SAIFPOWER,2022-11-29,29.7,29.7,29.7,29.7,10970.0
SAIFPOWER,2022-11-30,29.7,29.7,29.7,29.7,371.0
SAIFPOWER,2022-12-01,29.7,29.7,29.7,29.7,31292.0
SAIFPOWER,2022-12-04,29.7,29.7,29.7,29.7,90.0
SAIFPOWER,2022-12-05,29.7,29.7,29.7,29.7,596.0
SAIFPOWER,2022-12-06,29.7,29.7,29.7,29.7,1725.0
SAIFPOWER,2022-12-07,29.7,29.7,29.7,29.7,1680.0
SAIFPOWER,2022-12-08,29.7,29.7,29.7,29.7,5716.0
SAIFPOWER,2022-12-11,29.7,29.7,29.7,29.7,16035.0
SAIFPOWER,2022-12-12,29.7,29.7,29.7,29.7,8659.0
SAIFPOWER,2022-12-13,29.7,29.7,29.7,29.7,7902.0
SAIFPOWER,2022-12-14,29.7,29.7,29.7,29.7,10812.0
SAIFPOWER,2022-12-15,29.7,29.7,29.7,29.7,1964.0
SAIFPOWER,2022-12-18,29.7,29.7,29.7,29.7,1705.0
SAIFPOWER,2022-12-19,29.7,29.7,29.7,29.7,500.0
SAIFPOWER,2022-12-20,29.7,29.7,29.7,29.7,7305.0
SAIFPOWER,2022-12-21,29.7,29.7,29.7,29.7,751.0
SAIFPOWER,2022-12-22,29.7,29.7,29.7,29.7,478.0
SAIFPOWER,2022-12-26,29.7,29.7,29.7,29.7,100.0
SAIFPOWER,2022-12-27,29.7,29.7,29.7,29.7,5000.0
SAIFPOWER,2022-12-28,29.7,29.7,29.7,29.7,46.0
SAIFPOWER,2022-12-29,29.7,29.7,29.7,29.7,10928.0
SAIFPOWER,2023-01-01,29.7,29.7,29.7,29.7,2066.0
SAIFPOWER,2023-01-02,29.7,29.7,29.7,29.7,619.0
SAIFPOWER,2023-01-03,29.7,29.7,29.7,29.7,300.0
SAIFPOWER,2023-01-04,29.7,29.7,29.7,29.7,1764.0
SAIFPOWER,2023-01-05,29.7,29.7,29.7,29.7,913.0
SAIFPOWER,2023-01-08,29.7,29.7,29.7,29.7,357.0
SAIFPOWER,2023-01-09,29.7,29.7,29.7,29.7,2250.0
SAIFPOWER,2023-01-10,29.7,29.7,29.7,29.7,3860.0
SAIFPOWER,2023-01-11,29.7,29.7,29.7,29.7,3860.0
SAIFPOWER,2023-01-12,29.7,29.7,29.7,29.7,4195.0
SAIFPOWER,2023-01-15,29.7,29.7,29.7,29.7,13116.0
SAIFPOWER,2023-01-16,29.7,29.7,29.7,29.7,7343.0
SAIFPOWER,2023-01-17,29.7,30.8,29.7,30.4,3888907.0
SAIFPOWER,2023-01-18,30.8,31.0,29.7,29.7,2541034.0
SAIFPOWER,2023-01-19,29.7,29.7,29.7,29.7,99785.0
SAIFPOWER,2023-01-22,29.7,29.7,29.7,29.7,13888.0
SAIFPOWER,2023-01-23,29.7,29.7,29.7,29.7,12356.0
SAIFPOWER,2023-01-24,29.7,29.7,29.7,29.7,8652.0
SAIFPOWER,2023-01-25,29.7,29.7,29.7,29.7,1590.0
SAIFPOWER,2023-01-26,29.7,29.7,29.7,29.7,801.0
SAIFPOWER,2023-01-29,29.7,29.7,29.7,29.7,5152.0
SAIFPOWER,2023-01-30,29.7,29.7,29.7,29.7,4222.0
SAIFPOWER,2023-01-31,29.7,29.7,29.7,29.7,289.0
SAIFPOWER,2023-02-01,29.7,29.7,29.7,29.7,3100.0
SAIFPOWER,2023-02-02,29.7,29.7,29.7,29.7,6113.0
SAIFPOWER,2023-02-05,29.7,29.7,29.7,29.7,18150.0
SAIFPOWER,2023-02-06,29.7,29.7,29.7,29.7,9205.0
SAIFPOWER,2023-02-07,29.7,29.7,29.7,29.7,2382.0
SAIFPOWER,2023-02-08,29.7,29.7,29.7,29.7,3952.0
SAIFPOWER,2023-02-09,29.7,29.7,29.7,29.7,801.0
SAIFPOWER,2023-02-12,29.7,29.7,29.7,29.7,100.0
