symbol,date,open,high,low,close,volume
SAIHAMCOT,2022-01-02,16.0,16.1,15.8,15.9,173534.0
SAIHAMCOT,2022-01-03,16.0,16.4,16.0,16.1,203237.0
SAIHAMCOT,2022-01-04,16.1,16.3,16.0,16.1,158972.0
SAIHAMCOT,2022-01-05,16.0,16.8,16.0,16.7,461593.0
SAIHAMCOT,2022-01-06,16.7,16.8,16.5,16.6,269754.0
SAIHAMCOT,2022-01-09,16.8,16.9,16.3,16.4,325139.0
SAIHAMCOT,2022-01-10,16.7,16.7,16.1,16.3,255230.0
SAIHAMCOT,2022-01-11,16.3,16.5,16.2,16.3,420975.0
SAIHAMCOT,2022-01-12,16.3,16.6,16.2,16.3,464235.0
SAIHAMCOT,2022-01-13,16.5,16.5,16.1,16.2,315044.0
SAIHAMCOT,2022-01-16,16.5,16.5,16.0,16.2,578163.0
SAIHAMCOT,2022-01-17,16.4,16.6,16.1,16.3,536495.0
SAIHAMCOT,2022-01-18,16.6,16.8,16.3,16.4,718073.0
SAIHAMCOT,2022-01-19,16.5,16.7,16.4,16.6,620319.0
SAIHAMCOT,2022-01-20,16.7,17.8,16.7,17.3,1997301.0
SAIHAMCOT,2022-01-23,17.3,17.4,17.1,17.3,1128819.0
SAIHAMCOT,2022-01-24,17.4,17.5,17.2,17.3,867106.0
SAIHAMCOT,2022-01-25,17.3,18.1,17.1,18.0,1334852.0
SAIHAMCOT,2022-01-26,18.1,18.3,17.5,17.9,956838.0
SAIHAMCOT,2022-01-27,18.0,18.4,17.7,18.0,967311.0
SAIHAMCOT,2022-01-30,18.9,18.9,17.2,17.3,1395458.0
SAIHAMCOT,2022-01-31,17.2,17.7,17.0,17.5,509310.0
SAIHAMCOT,2022-02-01,17.7,17.8,17.2,17.3,648038.0
SAIHAMCOT,2022-02-02,17.3,18.1,17.3,17.7,1276213.0
SAIHAMCOT,2022-02-03,17.9,17.9,17.3,17.4,314049.0
SAIHAMCOT,2022-02-06,17.5,17.9,17.4,17.8,617107.0
SAIHAMCOT,2022-02-07,17.8,18.0,17.5,17.5,798159.0
SAIHAMCOT,2022-02-08,17.7,17.7,17.3,17.4,284224.0
SAIHAMCOT,2022-02-09,17.6,17.7,17.2,17.3,401131.0
SAIHAMCOT,2022-02-10,17.5,17.5,17.2,17.3,409532.0
SAIHAMCOT,2022-02-13,17.2,17.5,17.2,17.3,131993.0
SAIHAMCOT,2022-02-14,17.3,17.4,17.0,17.1,254854.0
SAIHAMCOT,2022-02-15,17.1,17.3,16.9,17.0,347608.0
SAIHAMCOT,2022-02-16,17.2,17.2,16.6,16.7,1236703.0
SAIHAMCOT,2022-02-17,16.7,16.9,16.6,16.7,231441.0
SAIHAMCOT,2022-02-20,16.7,16.7,16.2,16.3,202380.0
SAIHAMCOT,2022-02-22,16.3,16.6,16.1,16.5,124333.0
SAIHAMCOT,2022-02-23,16.5,16.8,16.4,16.7,520474.0
SAIHAMCOT,2022-02-24,16.8,17.5,16.4,16.7,774790.0
SAIHAMCOT,2022-02-27,16.5,16.5,16.0,16.1,597691.0
SAIHAMCOT,2022-02-28,16.5,16.6,16.0,16.3,111323.0
SAIHAMCOT,2022-03-01,16.3,16.5,15.9,16.0,365860.0
SAIHAMCOT,2022-03-02,16.1,16.1,15.7,15.8,192597.0
SAIHAMCOT,2022-03-03,15.9,16.0,15.6,15.9,361161.0
SAIHAMCOT,2022-03-06,16.1,16.4,15.9,16.0,193264.0
SAIHAMCOT,2022-03-07,15.9,15.9,15.4,15.5,233292.0
SAIHAMCOT,2022-03-08,15.7,16.1,14.7,15.7,372509.0
SAIHAMCOT,2022-03-09,16.2,16.3,15.8,16.1,211701.0
SAIHAMCOT,2022-03-10,16.4,16.4,15.8,16.0,777234.0
SAIHAMCOT,2022-03-13,16.2,16.8,16.1,16.7,1074133.0
SAIHAMCOT,2022-03-14,16.9,17.0,16.6,16.6,545826.0
SAIHAMCOT,2022-03-15,16.6,16.7,16.4,16.5,341328.0
