symbol,date,open,high,low,close,volume
SAIHAMTEX,2022-01-02,22.3,22.3,21.8,22.0,254458.0
SAIHAMTEX,2022-01-03,22.2,22.5,21.9,22.0,299139.0
SAIHAMTEX,2022-01-04,22.3,22.3,21.8,21.9,301948.0
SAIHAMTEX,2022-01-05,21.9,23.0,21.9,22.7,427896.0
SAIHAMTEX,2022-01-06,23.0,23.0,22.4,22.7,494478.0
SAIHAMTEX,2022-01-09,22.7,23.2,22.0,22.3,524759.0
SAIHAMTEX,2022-01-10,22.3,22.8,22.1,22.4,207035.0
SAIHAMTEX,2022-01-11,22.5,22.5,22.0,22.2,1231887.0
SAIHAMTEX,2022-01-12,22.6,22.6,21.8,22.0,359285.0
SAIHAMTEX,2022-01-13,22.3,22.3,21.7,21.8,170662.0
SAIHAMTEX,2022-01-16,22.0,22.4,21.8,22.0,245355.0
SAIHAMTEX,2022-01-17,22.3,22.8,22.1,22.2,443483.0
SAIHAMTEX,2022-01-18,22.6,23.1,22.2,22.4,645380.0
SAIHAMTEX,2022-01-19,22.8,23.0,22.5,22.9,471791.0
SAIHAMTEX,2022-01-20,23.0,23.5,22.7,22.8,763324.0
SAIHAMTEX,2022-01-23,22.6,23.0,22.6,22.6,187680.0
SAIHAMTEX,2022-01-24,22.7,22.7,22.3,22.4,305407.0
SAIHAMTEX,2022-01-25,22.4,23.3,22.4,22.8,454900.0
SAIHAMTEX,2022-01-26,22.8,23.5,22.8,23.3,900363.0
SAIHAMTEX,2022-01-27,23.7,24.1,23.2,23.9,1170617.0
SAIHAMTEX,2022-01-30,24.5,24.5,23.3,23.4,683701.0
SAIHAMTEX,2022-01-31,23.8,24.0,23.3,23.4,669257.0
SAIHAMTEX,2022-02-01,23.4,23.9,23.0,23.2,539766.0
SAIHAMTEX,2022-02-02,23.5,23.9,23.0,23.2,964039.0
SAIHAMTEX,2022-02-03,23.7,23.8,23.3,23.6,772524.0
SAIHAMTEX,2022-02-06,23.4,23.9,23.4,23.6,412425.0
SAIHAMTEX,2022-02-07,23.4,23.8,23.0,23.1,535920.0
SAIHAMTEX,2022-02-08,23.2,23.4,22.8,22.9,696802.0
SAIHAMTEX,2022-02-09,23.3,23.4,23.0,23.1,171615.0
