symbol,date,open,high,low,close,volume
SALAMCRST,2022-01-02,25.0,26.0,25.0,25.8,10505.0
SALAMCRST,2022-01-03,25.8,26.7,25.8,26.4,52689.0
SALAMCRST,2022-01-04,26.0,29.0,26.0,29.0,278693.0
SALAMCRST,2022-01-05,29.1,30.7,29.1,30.5,266437.0
SALAMCRST,2022-01-06,30.0,30.8,29.3,30.4,167620.0
SALAMCRST,2022-01-09,30.4,30.6,28.1,28.7,169554.0
SALAMCRST,2022-01-10,29.0,29.5,28.1,29.3,138470.0
SALAMCRST,2022-01-11,29.5,30.0,29.3,29.5,91965.0
SALAMCRST,2022-01-12,29.0,29.8,28.2,28.5,147623.0
SALAMCRST,2022-01-13,28.3,29.0,27.7,27.8,118137.0
SALAMCRST,2022-01-16,28.5,28.8,27.9,28.1,149583.0
SALAMCRST,2022-01-17,28.8,28.8,28.2,28.4,36252.0
SALAMCRST,2022-01-18,28.2,28.9,28.2,28.4,90843.0
SALAMCRST,2022-01-19,28.4,29.2,28.4,28.6,51297.0
SALAMCRST,2022-01-20,29.0,30.4,28.5,30.0,294819.0
SALAMCRST,2022-01-23,30.5,30.9,28.8,29.0,86788.0
SALAMCRST,2022-01-24,30.3,30.3,27.9,28.0,126519.0
SALAMCRST,2022-01-25,28.5,28.5,27.1,27.4,137871.0
SALAMCRST,2022-01-26,27.5,27.9,26.9,27.1,147375.0
SALAMCRST,2022-01-27,27.8,28.5,27.3,27.8,112229.0
SALAMCRST,2022-01-30,27.4,27.4,26.0,26.3,192652.0
SALAMCRST,2022-01-31,27.0,27.0,26.0,26.3,64706.0
SALAMCRST,2022-02-01,26.8,26.8,26.4,26.5,91129.0
SALAMCRST,2022-02-02,26.7,27.2,26.5,26.6,82966.0
SALAMCRST,2022-02-03,27.0,28.7,27.0,27.3,179255.0
SALAMCRST,2022-02-06,28.2,28.2,26.9,27.0,56551.0
SALAMCRST,2022-02-07,27.0,27.7,26.6,26.8,44379.0
SALAMCRST,2022-02-08,27.4,27.4,26.5,26.6,60769.0
SALAMCRST,2022-02-09,27.2,27.6,27.0,27.3,21851.0
SALAMCRST,2022-02-10,26.9,27.5,26.8,27.2,47580.0
SALAMCRST,2022-02-13,27.4,27.4,26.6,26.9,82092.0
SALAMCRST,2022-02-14,27.4,27.4,26.4,26.7,132081.0
SALAMCRST,2022-02-15,27.0,27.0,26.2,26.3,56806.0
SALAMCRST,2022-02-16,26.9,27.0,26.4,26.4,30130.0
SALAMCRST,2022-02-17,26.1,27.0,25.5,25.7,262066.0
SALAMCRST,2022-02-20,26.0,26.0,25.4,25.5,48434.0
SALAMCRST,2022-02-22,26.3,26.3,24.9,25.1,308484.0
SALAMCRST,2022-02-23,25.8,25.8,24.7,24.9,221048.0
SALAMCRST,2022-02-24,25.5,26.0,25.0,25.2,187010.0
SALAMCRST,2022-02-27,25.0,25.0,24.3,24.5,145285.0
SALAMCRST,2022-02-28,24.6,25.4,24.2,24.7,118310.0
SALAMCRST,2022-03-01,25.3,25.3,24.5,24.7,131832.0
SALAMCRST,2022-03-02,24.3,25.1,23.8,24.0,135044.0
SALAMCRST,2022-03-03,24.0,24.4,23.5,23.9,69080.0
SALAMCRST,2022-03-06,24.6,24.7,23.7,23.9,57905.0
SALAMCRST,2022-03-07,23.9,23.9,22.8,23.1,89724.0
SALAMCRST,2022-03-08,22.9,23.4,22.8,23.1,54697.0
SALAMCRST,2022-03-09,23.4,24.5,23.3,24.4,112608.0
SALAMCRST,2022-03-10,24.8,24.8,24.0,24.2,148894.0
SALAMCRST,2022-03-13,24.3,26.6,24.2,26.6,512893.0
SALAMCRST,2022-03-14,28.5,28.5,26.8,27.0,313410.0
SALAMCRST,2022-03-15,26.6,27.0,26.5,26.5,252152.0
SALAMCRST,2022-03-16,26.2,26.8,26.0,26.0,185681.0
SALAMCRST,2022-03-20,26.0,26.3,25.5,25.6,63397.0
SALAMCRST,2022-03-21,25.2,25.8,25.1,25.1,106854.0
SALAMCRST,2022-03-22,25.8,25.8,24.9,25.2,201627.0
SALAMCRST,2022-03-23,25.3,25.4,24.7,24.8,115557.0
SALAMCRST,2022-03-24,25.1,25.2,24.8,25.0,63390.0
SALAMCRST,2022-03-27,24.9,25.2,24.6,24.7,55831.0
SALAMCRST,2022-03-28,24.8,25.0,24.5,24.7,126477.0
SALAMCRST,2022-03-29,24.8,25.3,24.8,25.2,88793.0
SALAMCRST,2022-03-30,25.2,25.9,25.2,25.5,147993.0
SALAMCRST,2022-03-31,25.5,25.7,25.2,25.3,51185.0
SALAMCRST,2022-04-03,25.6,25.6,25.0,25.1,37353.0
SALAMCRST,2022-04-04,25.1,25.1,24.6,24.8,107349.0
SALAMCRST,2022-04-05,24.8,25.0,24.7,24.8,16009.0
SALAMCRST,2022-04-06,24.5,24.8,24.4,24.4,101095.0
SALAMCRST,2022-04-07,24.2,24.7,24.0,24.5,73073.0
SALAMCRST,2022-04-10,24.2,24.6,24.2,24.5,38161.0
SALAMCRST,2022-04-11,24.8,24.8,24.2,24.3,54119.0
SALAMCRST,2022-04-12,24.1,24.2,23.9,24.0,29156.0
SALAMCRST,2022-04-13,24.4,24.4,23.7,24.0,23141.0
SALAMCRST,2022-04-17,24.7,24.7,23.9,24.1,25682.0
SALAMCRST,2022-04-18,23.7,23.9,23.7,23.7,34546.0
SALAMCRST,2022-04-19,23.4,24.0,23.3,23.9,196958.0
SALAMCRST,2022-04-20,24.0,24.5,24.0,24.4,17512.0
SALAMCRST,2022-04-21,24.5,24.7,24.2,24.6,69616.0
SALAMCRST,2022-04-24,24.8,24.8,24.3,24.5,19635.0
SALAMCRST,2022-04-25,24.3,24.5,24.0,24.3,56086.0
SALAMCRST,2022-04-26,24.6,25.0,24.2,24.8,70828.0
SALAMCRST,2022-04-27,24.7,24.9,24.4,24.4,25352.0
SALAMCRST,2022-04-28,24.5,24.5,24.0,24.3,68015.0
SALAMCRST,2022-05-05,23.6,24.7,23.6,24.4,66305.0
SALAMCRST,2022-05-08,24.2,25.4,24.1,25.2,83486.0
SALAMCRST,2022-05-09,25.2,26.5,25.2,26.4,445012.0
SALAMCRST,2022-05-10,26.4,26.4,25.2,25.4,224821.0
SALAMCRST,2022-05-11,25.2,25.7,24.3,24.4,140090.0
SALAMCRST,2022-05-12,25.0,25.1,24.5,24.6,109094.0
SALAMCRST,2022-05-16,24.6,27.0,24.6,27.0,1330168.0
SALAMCRST,2022-05-17,27.5,28.6,26.3,27.4,579432.0
SALAMCRST,2022-05-18,27.2,30.1,27.2,30.0,1486507.0
SALAMCRST,2022-05-19,29.5,33.0,29.1,33.0,1254789.0
SALAMCRST,2022-05-22,32.0,33.4,31.4,31.4,438746.0
SALAMCRST,2022-05-23,31.8,34.5,29.9,34.5,2315209.0
SALAMCRST,2022-05-24,34.1,36.7,32.8,32.9,917963.0
SALAMCRST,2022-05-25,31.4,33.8,31.3,32.4,1422510.0
SALAMCRST,2022-05-26,32.2,32.5,31.8,31.9,518630.0
SALAMCRST,2022-05-29,33.5,33.5,31.3,31.7,1091742.0
SALAMCRST,2022-05-30,32.4,33.3,31.1,31.1,1397196.0
SALAMCRST,2022-05-31,31.6,31.6,30.5,30.5,711205.0
SALAMCRST,2022-06-01,30.4,31.4,30.0,30.5,749663.0
SALAMCRST,2022-06-02,30.8,31.1,30.2,30.4,460237.0
SALAMCRST,2022-06-05,30.3,31.6,30.3,30.7,716366.0
SALAMCRST,2022-06-06,30.7,31.4,30.5,30.7,650540.0
SALAMCRST,2022-06-07,30.8,30.9,30.1,30.1,286232.0
SALAMCRST,2022-06-08,30.0,30.6,29.7,30.4,559857.0
SALAMCRST,2022-06-09,30.6,33.1,30.4,32.3,1754053.0
SALAMCRST,2022-06-12,32.3,35.2,31.7,34.0,1674996.0
SALAMCRST,2022-06-13,34.3,34.3,33.4,33.4,757780.0
SALAMCRST,2022-06-14,33.2,36.7,32.8,36.3,2139346.0
SALAMCRST,2022-06-15,36.0,38.1,35.6,36.6,1398476.0
SALAMCRST,2022-06-16,35.9,36.5,35.9,35.9,1014772.0
SALAMCRST,2022-06-19,35.4,36.1,35.2,35.3,1076731.0
SALAMCRST,2022-06-20,35.9,35.9,34.6,34.6,221936.0
SALAMCRST,2022-06-21,34.1,34.5,34.0,34.0,540407.0
SALAMCRST,2022-06-22,33.9,35.0,33.7,33.9,397450.0
