symbol,date,open,high,low,close,volume
SALVOCHEM,2022-01-02,51.3,52.5,50.6,52.2,256401.0
SALVOCHEM,2022-01-03,53.3,54.1,52.4,52.9,491326.0
SALVOCHEM,2022-01-04,52.0,52.5,51.5,51.8,356185.0
SALVOCHEM,2022-01-05,52.5,52.5,50.9,51.2,829873.0
SALVOCHEM,2022-01-06,52.2,52.4,51.2,51.4,408654.0
SALVOCHEM,2022-01-09,51.3,52.8,50.9,51.1,540032.0
SALVOCHEM,2022-01-10,51.1,51.7,49.2,50.0,765159.0
SALVOCHEM,2022-01-11,51.2,51.2,49.1,49.4,681584.0
SALVOCHEM,2022-01-12,50.0,50.1,48.2,48.4,598299.0
SALVOCHEM,2022-01-13,49.7,50.7,48.5,49.9,595087.0
SALVOCHEM,2022-01-16,50.6,50.6,48.2,48.6,570453.0
SALVOCHEM,2022-01-17,49.0,50.0,48.5,49.4,578192.0
SALVOCHEM,2022-01-18,49.9,54.3,49.8,52.4,2318693.0
SALVOCHEM,2022-01-19,53.6,53.6,51.8,52.8,728085.0
SALVOCHEM,2022-01-20,52.5,53.3,50.6,51.1,805247.0
SALVOCHEM,2022-01-23,51.3,51.9,49.8,50.0,437670.0
SALVOCHEM,2022-01-24,50.2,52.6,50.2,51.2,727415.0
SALVOCHEM,2022-01-25,51.4,52.8,50.9,52.2,1091357.0
SALVOCHEM,2022-01-26,52.8,53.4,52.3,52.5,1003741.0
SALVOCHEM,2022-01-27,52.9,52.9,50.6,51.0,1108677.0
SALVOCHEM,2022-01-30,51.1,51.3,49.1,49.5,729889.0
SALVOCHEM,2022-01-31,49.2,49.5,48.5,48.8,790254.0
SALVOCHEM,2022-02-01,49.6,50.1,48.8,49.4,1240984.0
SALVOCHEM,2022-02-02,50.3,50.3,49.0,49.8,1180363.0
SALVOCHEM,2022-02-03,49.8,52.9,49.8,51.5,1863114.0
SALVOCHEM,2022-02-06,52.2,52.2,50.0,50.5,610972.0
SALVOCHEM,2022-02-07,50.9,51.1,49.9,50.3,398554.0
SALVOCHEM,2022-02-08,50.5,51.4,50.2,50.4,466136.0
SALVOCHEM,2022-02-09,50.6,53.0,50.6,52.8,1683441.0
SALVOCHEM,2022-02-10,53.0,56.8,52.8,56.0,2622353.0
SALVOCHEM,2022-02-13,56.5,57.5,55.0,55.5,1525478.0
SALVOCHEM,2022-02-14,55.5,57.3,54.9,57.0,1742791.0
SALVOCHEM,2022-02-15,57.5,61.5,57.5,60.6,3107821.0
SALVOCHEM,2022-02-16,60.9,61.0,57.8,58.3,1654999.0
SALVOCHEM,2022-02-17,58.4,59.9,57.7,59.2,1478974.0
SALVOCHEM,2022-02-20,59.6,61.8,59.6,61.2,1861778.0
SALVOCHEM,2022-02-22,61.4,62.0,59.8,61.6,1438877.0
SALVOCHEM,2022-02-23,61.8,62.6,60.9,61.9,1208659.0
SALVOCHEM,2022-02-24,63.2,63.5,58.7,59.0,2335373.0
SALVOCHEM,2022-02-27,58.9,59.0,55.4,55.8,1681048.0
SALVOCHEM,2022-02-28,56.2,57.8,55.5,56.9,731230.0
SALVOCHEM,2022-03-01,57.1,58.3,56.7,57.1,702508.0
SALVOCHEM,2022-03-02,57.4,57.8,55.8,56.1,1042687.0
SALVOCHEM,2022-03-03,56.0,57.3,55.5,56.7,466498.0
SALVOCHEM,2022-03-06,56.7,57.5,55.5,55.7,507619.0
SALVOCHEM,2022-03-07,56.0,56.0,52.9,53.3,854974.0
SALVOCHEM,2022-03-08,54.2,54.9,52.0,54.0,669378.0
SALVOCHEM,2022-03-09,55.2,56.2,54.5,55.9,639582.0
SALVOCHEM,2022-03-10,56.3,56.6,55.1,55.8,1038785.0
SALVOCHEM,2022-03-13,56.0,56.4,55.3,55.5,1105377.0
SALVOCHEM,2022-03-14,55.5,55.5,54.4,54.5,715601.0
SALVOCHEM,2022-03-15,54.6,55.3,53.5,54.1,878505.0
SALVOCHEM,2022-03-16,54.3,54.9,54.3,54.6,410433.0
SALVOCHEM,2022-03-20,55.6,55.6,53.6,53.6,462352.0
SALVOCHEM,2022-03-21,53.6,54.9,53.1,54.6,395207.0
SALVOCHEM,2022-03-22,54.6,55.2,54.3,55.0,751529.0
SALVOCHEM,2022-03-23,55.3,55.6,53.9,54.0,570902.0
SALVOCHEM,2022-03-24,54.0,54.5,53.0,53.1,554542.0
SALVOCHEM,2022-03-27,53.1,53.4,52.1,52.9,652247.0
SALVOCHEM,2022-03-28,53.3,54.8,53.0,54.1,412668.0
SALVOCHEM,2022-03-29,54.1,54.8,53.1,53.3,415204.0
SALVOCHEM,2022-03-30,53.9,54.5,52.8,53.2,348937.0
SALVOCHEM,2022-03-31,53.4,53.9,52.6,53.0,505689.0
SALVOCHEM,2022-04-03,53.5,53.5,52.4,52.6,237061.0
SALVOCHEM,2022-04-04,52.5,52.7,51.7,52.0,254835.0
SALVOCHEM,2022-04-05,51.8,53.3,51.6,51.8,426703.0
SALVOCHEM,2022-04-06,51.5,52.1,51.1,51.7,179574.0
SALVOCHEM,2022-04-07,51.9,52.3,51.0,51.5,221688.0
SALVOCHEM,2022-04-10,52.2,52.2,51.2,51.8,298985.0
SALVOCHEM,2022-04-11,52.2,52.2,51.1,51.3,244960.0
SALVOCHEM,2022-04-12,51.3,51.3,50.3,51.1,368005.0
SALVOCHEM,2022-04-13,51.2,53.3,50.4,53.1,492423.0
SALVOCHEM,2022-04-17,53.2,55.8,53.2,54.8,1812025.0
SALVOCHEM,2022-04-18,54.9,54.9,53.8,53.8,696112.0
SALVOCHEM,2022-04-19,52.8,53.8,52.8,53.7,683917.0
SALVOCHEM,2022-04-20,53.9,55.2,53.9,54.9,723018.0
SALVOCHEM,2022-04-21,54.9,55.7,54.5,55.0,1083580.0
SALVOCHEM,2022-04-24,55.0,55.5,53.5,53.9,706345.0
SALVOCHEM,2022-04-25,53.5,53.6,52.8,53.3,343908.0
SALVOCHEM,2022-04-26,53.6,53.7,52.8,53.3,394181.0
SALVOCHEM,2022-04-27,54.0,55.0,53.2,54.7,485840.0
SALVOCHEM,2022-04-28,54.7,55.1,54.2,54.5,479853.0
SALVOCHEM,2022-05-05,54.8,55.7,54.1,55.5,391148.0
SALVOCHEM,2022-05-08,55.8,58.4,55.8,57.6,1460990.0
SALVOCHEM,2022-05-09,58.0,59.0,56.8,58.7,1420336.0
SALVOCHEM,2022-05-10,59.1,60.0,57.9,58.6,1582681.0
SALVOCHEM,2022-05-11,58.3,60.4,58.0,58.8,2123726.0
SALVOCHEM,2022-05-12,60.6,64.4,58.7,64.0,3168056.0
SALVOCHEM,2022-05-16,64.5,65.8,60.8,62.8,2721987.0
SALVOCHEM,2022-05-17,64.5,66.3,62.8,65.5,3941770.0
SALVOCHEM,2022-05-18,66.5,67.7,63.5,65.3,2603710.0
SALVOCHEM,2022-05-19,64.8,64.8,62.1,62.4,1431842.0
SALVOCHEM,2022-05-22,62.3,64.5,59.3,60.1,2717485.0
SALVOCHEM,2022-05-23,63.5,63.5,60.9,61.1,1125609.0
SALVOCHEM,2022-05-24,60.6,62.2,60.5,61.1,1080427.0
SALVOCHEM,2022-05-25,60.8,61.0,58.9,60.1,915409.0
SALVOCHEM,2022-05-26,60.8,60.8,58.9,60.2,832527.0
SALVOCHEM,2022-05-29,61.4,62.1,61.0,61.6,1055189.0
SALVOCHEM,2022-05-30,62.3,62.3,60.4,61.1,1205320.0
SALVOCHEM,2022-05-31,61.0,61.2,59.9,60.2,569552.0
SALVOCHEM,2022-06-01,59.5,60.7,59.0,60.1,1026497.0
SALVOCHEM,2022-06-02,61.1,63.0,60.3,62.5,2248955.0
SALVOCHEM,2022-06-05,62.9,64.7,62.9,63.9,2339354.0
SALVOCHEM,2022-06-06,64.4,65.0,63.9,64.5,2404152.0
SALVOCHEM,2022-06-07,64.5,66.5,63.6,66.1,3854571.0
SALVOCHEM,2022-06-08,67.6,67.6,66.2,67.0,1478270.0
SALVOCHEM,2022-06-09,67.0,67.1,66.0,66.8,1773449.0
SALVOCHEM,2022-06-12,66.6,66.8,65.7,66.0,1424950.0
SALVOCHEM,2022-06-13,65.8,68.2,65.8,67.7,2310715.0
SALVOCHEM,2022-06-14,68.0,69.1,67.7,68.5,2177371.0
SALVOCHEM,2022-06-15,68.6,69.3,67.9,68.6,1697837.0
SALVOCHEM,2022-06-16,68.7,69.6,68.1,69.1,1643888.0
SALVOCHEM,2022-06-19,69.3,70.0,67.8,68.1,865480.0
SALVOCHEM,2022-06-20,68.1,68.1,66.8,67.2,941516.0
SALVOCHEM,2022-06-21,67.2,67.2,65.9,65.9,824401.0
SALVOCHEM,2022-06-22,66.2,66.5,64.8,66.2,522893.0
SALVOCHEM,2022-06-23,67.0,67.0,64.9,65.4,1086206.0
SALVOCHEM,2022-06-26,66.7,68.4,65.7,68.0,2029990.0
SALVOCHEM,2022-06-27,68.4,69.2,67.5,67.9,1670378.0
SALVOCHEM,2022-06-28,67.7,68.1,66.6,66.9,2158247.0
SALVOCHEM,2022-06-29,66.9,67.7,66.3,67.0,755985.0
SALVOCHEM,2022-06-30,67.4,69.1,67.2,67.9,2122150.0
SALVOCHEM,2022-07-03,68.7,69.4,66.8,67.3,749061.0
SALVOCHEM,2022-07-04,67.7,68.1,66.8,67.1,600182.0
SALVOCHEM,2022-07-05,67.6,67.6,65.8,66.2,600016.0
