symbol,date,open,high,low,close,volume
SAMORITA,2022-01-02,92.0,94.0,92.0,92.6,112823.0
SAMORITA,2022-01-03,93.6,94.0,91.5,92.0,170198.0
SAMORITA,2022-01-04,92.0,93.5,91.5,93.4,89896.0
SAMORITA,2022-01-05,92.4,94.3,91.8,92.1,95158.0
SAMORITA,2022-01-06,92.2,93.3,91.8,92.2,129247.0
SAMORITA,2022-01-09,93.5,93.9,90.2,90.8,60994.0
SAMORITA,2022-01-10,90.1,94.5,90.1,93.3,156991.0
SAMORITA,2022-01-11,93.4,96.4,91.1,93.5,174704.0
SAMORITA,2022-01-12,94.0,94.0,92.5,92.9,75337.0
SAMORITA,2022-01-13,92.1,97.5,92.1,96.7,165070.0
SAMORITA,2022-01-16,98.9,106.3,98.8,106.3,501329.0
SAMORITA,2022-01-17,116.9,116.9,114.0,116.9,1157072.0
SAMORITA,2022-01-18,122.0,128.5,109.0,127.9,1003894.0
SAMORITA,2022-01-19,126.2,128.9,119.4,122.0,546415.0
SAMORITA,2022-01-20,122.0,125.8,116.5,118.2,535260.0
SAMORITA,2022-01-23,118.6,125.0,115.2,120.0,868562.0
SAMORITA,2022-01-24,122.6,124.9,117.0,124.3,677424.0
SAMORITA,2022-01-25,125.6,128.6,120.0,121.1,895726.0
SAMORITA,2022-01-26,122.0,122.0,112.3,114.7,390725.0
SAMORITA,2022-01-27,114.0,119.0,110.0,112.5,332271.0
SAMORITA,2022-01-30,103.5,103.8,101.3,101.3,367511.0
SAMORITA,2022-01-31,98.4,102.7,96.2,96.8,340941.0
SAMORITA,2022-02-01,96.9,102.6,96.9,100.8,261831.0
SAMORITA,2022-02-02,100.0,101.5,93.2,94.8,268751.0
SAMORITA,2022-02-03,96.0,96.4,92.1,92.5,245043.0
SAMORITA,2022-02-06,93.2,95.2,91.9,92.1,250464.0
SAMORITA,2022-02-07,92.5,93.9,88.6,89.0,283522.0
SAMORITA,2022-02-08,90.0,93.8,89.0,92.6,274689.0
SAMORITA,2022-02-09,93.2,94.6,92.0,92.7,201626.0
SAMORITA,2022-02-10,92.9,94.9,92.1,94.1,136672.0
SAMORITA,2022-02-13,95.1,103.4,95.0,103.0,538115.0
SAMORITA,2022-02-14,104.1,104.5,96.2,98.0,297604.0
SAMORITA,2022-02-15,98.2,102.6,97.5,100.0,231136.0
SAMORITA,2022-02-16,102.5,107.0,100.9,105.2,476706.0
SAMORITA,2022-02-17,106.5,108.0,105.1,106.8,381274.0
SAMORITA,2022-02-20,107.0,113.3,107.0,112.1,436505.0
SAMORITA,2022-02-22,112.1,112.1,102.2,106.0,331950.0
SAMORITA,2022-02-23,102.6,106.5,102.0,102.9,170050.0
SAMORITA,2022-02-24,102.0,105.0,98.0,98.5,208434.0
SAMORITA,2022-02-27,99.1,100.1,93.8,94.3,186234.0
SAMORITA,2022-02-28,96.9,97.0,95.3,96.1,98291.0
SAMORITA,2022-03-01,95.3,98.6,95.3,97.1,79272.0
SAMORITA,2022-03-02,96.1,98.6,93.1,93.5,84965.0
SAMORITA,2022-03-03,94.8,94.8,91.2,93.0,89480.0
SAMORITA,2022-03-06,93.2,94.6,92.0,92.3,42238.0
SAMORITA,2022-03-07,91.5,93.3,86.1,87.5,111594.0
SAMORITA,2022-03-08,88.0,90.4,84.0,87.7,123312.0
SAMORITA,2022-03-09,87.9,92.6,87.9,92.0,123054.0
