symbol,date,open,high,low,close,volume
SAPORTL,2022-01-02,24.3,25.3,24.3,24.7,275783.0
SAPORTL,2022-01-03,24.3,25.4,24.2,24.9,270413.0
SAPORTL,2022-01-04,25.1,25.7,24.6,25.5,319637.0
SAPORTL,2022-01-05,25.7,27.2,25.7,26.8,539909.0
SAPORTL,2022-01-06,26.8,27.1,25.1,26.6,261108.0
SAPORTL,2022-01-09,26.3,27.0,25.9,26.3,198234.0
SAPORTL,2022-01-10,26.7,26.9,25.7,26.3,479271.0
SAPORTL,2022-01-11,26.8,28.5,26.1,28.1,1466957.0
SAPORTL,2022-01-12,28.2,28.4,26.8,26.9,372108.0
SAPORTL,2022-01-13,27.2,27.3,26.7,26.8,226778.0
SAPORTL,2022-01-16,27.6,27.6,26.8,27.0,218799.0
SAPORTL,2022-01-17,27.4,28.1,27.1,27.3,325994.0
SAPORTL,2022-01-18,27.9,27.9,27.1,27.2,186226.0
SAPORTL,2022-01-19,27.3,27.4,27.0,27.2,237579.0
SAPORTL,2022-01-20,27.6,28.2,27.3,27.4,380626.0
SAPORTL,2022-01-23,27.1,27.7,26.7,26.9,150023.0
SAPORTL,2022-01-24,26.9,28.0,26.4,26.8,436127.0
SAPORTL,2022-01-25,26.5,27.3,26.5,26.9,148156.0
SAPORTL,2022-01-26,27.1,27.2,26.5,26.9,184584.0
SAPORTL,2022-01-27,26.9,27.6,26.9,27.0,183372.0
SAPORTL,2022-01-30,27.0,27.1,26.4,26.5,527381.0
SAPORTL,2022-01-31,26.7,27.0,26.0,26.6,221273.0
SAPORTL,2022-02-01,27.8,27.8,26.5,27.4,444752.0
SAPORTL,2022-02-02,27.7,30.0,27.3,29.1,1746016.0
SAPORTL,2022-02-03,29.1,29.1,28.3,28.5,515497.0
SAPORTL,2022-02-06,28.5,28.9,27.7,28.0,626262.0
SAPORTL,2022-02-07,28.3,30.7,28.1,29.9,1729642.0
SAPORTL,2022-02-08,30.0,31.4,29.5,30.3,1651046.0
SAPORTL,2022-02-09,30.5,31.3,30.1,30.4,1490503.0
SAPORTL,2022-02-10,30.8,30.8,29.7,30.2,808672.0
SAPORTL,2022-02-13,30.1,30.4,29.5,29.8,598663.0
SAPORTL,2022-02-14,29.8,30.2,29.6,29.8,599527.0
SAPORTL,2022-02-15,29.9,30.0,28.9,29.2,473403.0
SAPORTL,2022-02-16,29.6,29.6,28.8,28.8,361315.0
SAPORTL,2022-02-17,28.9,28.9,28.3,28.6,369784.0
SAPORTL,2022-02-20,28.2,28.6,28.0,28.3,274127.0
SAPORTL,2022-02-22,28.4,29.1,28.2,28.4,259164.0
SAPORTL,2022-02-23,28.7,28.7,28.2,28.4,178518.0
SAPORTL,2022-02-24,29.0,29.0,27.5,27.6,283254.0
SAPORTL,2022-02-27,27.3,27.4,26.1,26.4,295595.0
SAPORTL,2022-02-28,26.4,26.9,26.2,26.7,197405.0
SAPORTL,2022-03-01,26.9,27.7,26.8,26.9,235442.0
SAPORTL,2022-03-02,26.8,26.9,25.9,26.4,178647.0
SAPORTL,2022-03-03,26.4,26.9,26.1,26.7,72879.0
SAPORTL,2022-03-06,26.9,26.9,26.1,26.2,74652.0
SAPORTL,2022-03-07,26.3,26.3,25.7,25.8,139127.0
SAPORTL,2022-03-08,25.8,26.5,25.3,26.2,215503.0
SAPORTL,2022-03-09,26.7,27.1,26.3,27.0,212613.0
SAPORTL,2022-03-10,27.1,27.7,27.1,27.5,309560.0
SAPORTL,2022-03-13,27.5,29.0,27.4,28.5,560245.0
SAPORTL,2022-03-14,28.2,28.6,28.0,28.1,182818.0
SAPORTL,2022-03-15,28.0,28.6,27.8,28.4,222752.0
SAPORTL,2022-03-16,28.6,30.4,28.2,29.4,1378220.0
SAPORTL,2022-03-20,29.2,29.4,28.9,28.9,441819.0
SAPORTL,2022-03-21,28.5,30.0,28.4,29.1,609646.0
SAPORTL,2022-03-22,29.1,29.9,29.1,29.5,438779.0
SAPORTL,2022-03-23,29.5,29.5,29.0,29.0,187438.0
SAPORTL,2022-03-24,28.6,29.1,28.5,28.7,196203.0
SAPORTL,2022-03-27,28.4,28.8,28.3,28.3,139149.0
SAPORTL,2022-03-28,28.4,29.0,28.2,28.8,154423.0
SAPORTL,2022-03-29,28.6,29.3,28.6,28.9,164693.0
SAPORTL,2022-03-30,29.1,29.1,28.6,28.6,89795.0
SAPORTL,2022-03-31,28.9,28.9,28.3,28.4,138475.0
SAPORTL,2022-04-03,28.2,29.2,28.2,28.3,63973.0
SAPORTL,2022-04-04,28.1,28.8,27.8,27.9,94484.0
SAPORTL,2022-04-05,27.9,28.3,27.6,28.2,140871.0
SAPORTL,2022-04-06,28.0,28.5,27.7,28.5,220633.0
SAPORTL,2022-04-07,28.2,28.6,28.0,28.4,94562.0
SAPORTL,2022-04-10,28.4,28.7,28.3,28.5,101910.0
SAPORTL,2022-04-11,28.6,28.6,28.1,28.1,130000.0
SAPORTL,2022-04-12,28.0,28.1,27.6,27.7,89092.0
SAPORTL,2022-04-13,28.4,28.4,27.4,27.5,67307.0
SAPORTL,2022-04-17,27.4,27.4,27.0,27.1,188442.0
SAPORTL,2022-04-18,26.8,27.0,26.6,26.6,97339.0
SAPORTL,2022-04-19,26.8,27.0,26.6,27.0,66086.0
SAPORTL,2022-04-20,27.0,27.6,27.0,27.3,36712.0
SAPORTL,2022-04-21,27.2,27.9,27.2,27.5,69732.0
SAPORTL,2022-04-24,27.9,28.0,27.4,27.6,90193.0
SAPORTL,2022-04-25,27.4,27.7,27.0,27.1,118103.0
SAPORTL,2022-04-26,27.9,27.9,26.8,27.0,128965.0
SAPORTL,2022-04-27,27.9,27.9,27.1,27.7,104797.0
SAPORTL,2022-04-28,28.0,30.4,27.5,30.4,2416275.0
SAPORTL,2022-05-05,31.4,32.0,30.7,31.3,1124021.0
SAPORTL,2022-05-08,31.2,32.7,30.9,32.5,2421183.0
SAPORTL,2022-05-09,32.5,33.5,31.7,32.6,2320199.0
SAPORTL,2022-05-10,32.3,32.7,31.1,31.3,2040706.0
SAPORTL,2022-05-11,31.3,31.7,30.2,30.4,999620.0
SAPORTL,2022-05-12,30.6,31.1,29.7,30.2,1023504.0
SAPORTL,2022-05-16,30.2,30.3,28.7,28.7,732620.0
SAPORTL,2022-05-17,28.9,29.3,27.3,28.6,900397.0
SAPORTL,2022-05-18,28.9,29.7,27.6,27.9,588102.0
SAPORTL,2022-05-19,27.5,28.2,27.0,27.5,396654.0
SAPORTL,2022-05-22,27.5,28.0,26.9,27.1,321275.0
SAPORTL,2022-05-23,28.2,28.8,27.7,28.5,382993.0
SAPORTL,2022-05-24,28.4,29.4,28.2,28.3,396733.0
SAPORTL,2022-05-25,27.8,28.6,27.7,28.2,244948.0
SAPORTL,2022-05-26,28.2,28.5,27.7,28.4,217367.0
SAPORTL,2022-05-29,28.6,30.3,28.4,29.9,789315.0
SAPORTL,2022-05-30,30.0,30.3,29.4,29.4,474860.0
SAPORTL,2022-05-31,29.1,29.4,28.9,29.0,413744.0
SAPORTL,2022-06-01,29.1,31.0,28.8,30.4,1217432.0
SAPORTL,2022-06-02,30.5,30.9,30.2,30.4,710147.0
SAPORTL,2022-06-05,30.6,32.1,30.6,31.2,2046851.0
SAPORTL,2022-06-06,31.4,31.4,30.6,30.6,745088.0
SAPORTL,2022-06-07,30.0,30.8,30.0,30.0,590782.0
SAPORTL,2022-06-08,29.7,30.8,29.6,30.6,559119.0
SAPORTL,2022-06-09,30.6,31.0,30.0,30.0,474199.0
SAPORTL,2022-06-12,29.7,30.1,29.4,29.4,304047.0
SAPORTL,2022-06-13,29.3,29.6,28.9,28.9,472088.0
SAPORTL,2022-06-14,29.0,29.5,28.5,29.1,505613.0
SAPORTL,2022-06-15,29.5,30.8,29.5,30.1,1207847.0
SAPORTL,2022-06-16,30.1,31.3,30.1,31.0,1172412.0
SAPORTL,2022-06-19,32.3,32.3,30.4,30.4,614437.0
SAPORTL,2022-06-20,30.8,30.8,29.8,29.8,318163.0
SAPORTL,2022-06-21,29.4,29.7,29.3,29.3,408077.0
SAPORTL,2022-06-22,30.3,30.4,29.1,29.3,203622.0
SAPORTL,2022-06-23,30.1,30.1,29.2,29.4,302217.0
SAPORTL,2022-06-26,29.5,29.6,28.9,29.0,461445.0
SAPORTL,2022-06-27,29.0,29.7,28.8,29.4,316831.0
SAPORTL,2022-06-28,29.5,30.2,29.5,30.1,459439.0
SAPORTL,2022-06-29,30.1,30.2,29.8,30.0,447249.0
SAPORTL,2022-06-30,30.2,30.4,29.5,29.6,364700.0
SAPORTL,2022-07-03,30.0,30.0,29.3,29.5,196549.0
SAPORTL,2022-07-04,29.4,29.9,29.0,29.1,457008.0
SAPORTL,2022-07-05,29.7,29.7,29.2,29.4,189188.0
SAPORTL,2022-07-06,29.4,30.4,29.4,30.2,626733.0
SAPORTL,2022-07-07,30.3,30.5,29.7,29.8,328916.0
SAPORTL,2022-07-12,30.0,30.0,29.3,29.3,274448.0
SAPORTL,2022-07-13,29.0,29.6,29.0,29.2,151599.0
SAPORTL,2022-07-14,29.5,29.6,28.9,29.5,200680.0
SAPORTL,2022-07-17,29.4,29.7,29.1,29.2,134451.0
SAPORTL,2022-07-18,28.9,29.0,28.7,28.7,222176.0
SAPORTL,2022-07-19,28.2,28.3,28.2,28.2,72203.0
SAPORTL,2022-07-20,28.0,28.5,27.7,27.9,270007.0
SAPORTL,2022-07-21,28.1,28.4,27.6,27.8,187695.0
