symbol,date,open,high,low,close,volume
SAVAREFR,2022-01-02,206.0,206.0,194.0,194.2,519.0
SAVAREFR,2022-01-03,194.2,196.0,190.0,190.5,1700.0
SAVAREFR,2022-01-04,203.0,203.0,190.0,191.1,1352.0
SAVAREFR,2022-01-05,197.0,206.5,193.2,196.3,6615.0
SAVAREFR,2022-01-06,197.3,197.3,190.0,190.4,2683.0
SAVAREFR,2022-01-09,187.3,187.3,184.0,184.7,2464.0
SAVAREFR,2022-01-10,188.5,193.5,187.6,189.2,527.0
SAVAREFR,2022-01-11,200.0,200.0,183.1,184.1,5992.0
SAVAREFR,2022-01-12,186.1,191.0,186.0,188.8,354.0
SAVAREFR,2022-01-13,194.8,194.8,190.0,192.6,10456.0
SAVAREFR,2022-01-16,198.0,198.0,193.1,194.3,1338.0
SAVAREFR,2022-01-17,199.0,199.0,188.1,193.0,8398.0
SAVAREFR,2022-01-18,203.0,203.0,187.0,188.9,5465.0
SAVAREFR,2022-01-19,193.9,195.0,192.8,194.6,1566.0
SAVAREFR,2022-01-20,202.0,202.0,190.0,193.1,350.0
SAVAREFR,2022-01-23,192.0,192.0,189.8,190.0,129.0
SAVAREFR,2022-01-24,201.9,201.9,180.0,183.1,3158.0
SAVAREFR,2022-01-25,181.3,189.0,180.0,181.8,3564.0
SAVAREFR,2022-01-26,191.9,191.9,178.0,180.8,1001.0
SAVAREFR,2022-01-27,187.0,187.0,177.1,178.3,1480.0
SAVAREFR,2022-01-30,191.0,191.0,173.0,175.2,1080.0
SAVAREFR,2022-01-31,185.4,185.4,173.2,174.8,1214.0
SAVAREFR,2022-02-01,175.2,183.0,174.8,178.2,1243.0
SAVAREFR,2022-02-02,179.9,185.1,174.2,178.8,2987.0
SAVAREFR,2022-02-03,177.0,180.0,168.0,172.5,1846.0
SAVAREFR,2022-02-06,182.0,182.0,171.4,173.4,1376.0
SAVAREFR,2022-02-07,173.4,173.4,171.2,171.6,2967.0
SAVAREFR,2022-02-08,176.9,178.8,172.3,175.2,994.0
SAVAREFR,2022-02-09,180.0,189.0,174.0,185.6,5046.0
SAVAREFR,2022-02-10,193.9,197.7,190.0,194.3,5110.0
SAVAREFR,2022-02-13,200.6,207.0,194.3,194.4,5688.0
SAVAREFR,2022-02-14,195.0,195.0,185.0,188.6,2303.0
SAVAREFR,2022-02-15,195.0,195.0,171.0,182.3,2616.0
SAVAREFR,2022-02-16,197.7,197.7,183.8,184.4,2774.0
SAVAREFR,2022-02-17,196.5,196.5,181.5,185.0,781.0
SAVAREFR,2022-02-20,194.9,194.9,187.1,190.5,1221.0
SAVAREFR,2022-02-22,194.8,194.9,185.1,187.6,3675.0
